,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,300.0,160.0,400.0,250.0, Fruit Smoothie Bowl - 300 calories per portion | 1 portion | None | Origin, Vegan Cinnamon Rolls," Vegan Pesto Pasta Salad - 160 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Vegetable Biryani, Lentil Tacos
2,300.0,250.0,400.0,300.0,200.0, Vegan Mango Turmeric Smoothie Bowl - 300 calories per portion | 1 portion | None | Origin, Overnight Oats, Zucchini Fritters, Lentil and Quinoa Salad," Tofu Stir-Fry - 200 calories per portion, 4 portions, Soy, China
"
3,400.0,120.0,280.0,300.0,300.0, Vegan Breakfast Empanadas - 400 calories per portion | 1 portion | Contains gluten | Origin, Vegan Energy Balls, Vegan Lemon Poppy Seed Muffins, Black Bean Tacos," Italian Vegan Minestrone Soup (300 calories/portion, 4 portions) - Italy
"
4,250.0,250.0,240.0,300.0,288.0, Vegan Pancakes - 250 calories per portion | 2 portions | Contains gluten | Origin, Apple Cinnamon Oatmeal, Vegan Stuffed Portobello Mushrooms, Vegan Singapore Noodles, Chickpea and Vegetable Curry
5,400.0,200.0,180.0,300.0,300.0, Vegan Breakfast Tofu Wrap - 400 calories per portion | 1 portion | Contains soy | Origin, Vegan Blueberry Chia Pudding," Roasted Chickpea Salad - 180 kcals per portion, 4 portions, no allergic warnings, origin"," Indian Aloo Gobi
Total calories per portion"," Thai Green Curry - 300 calories per portion, 4 portions, None, Thailand
"
6,300.0,180.0,100.0,300.0,250.0, Veggie Tofu Scramble Wrap - 300 calories per portion | 1 portion | None | Origin, Fruity Nice Cream," Crispy Baked Tofu Bites - 100 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Chili, Cauliflower Buffalo Wings
7,400.0,150.0,120.0,400.0,250.0, Vegan Breakfast Casserole - 400 calories per portion | 1 portion | None | Origin, Oatmeal Raisin Cookies," Vegan Coconut Lime Energy Balls - 120 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Goulash with Seitan
Total calories per portion", Vegan Fettuccine Alfredo
8,400.0,200.0,200.0,350.0,200.0, Vegan Breakfast Tater Tots - 400 calories per portion | 1 portion | Contains gluten | Origin, Vegan Lemon Poppy Seed Muffins," Quinoa Salad with Roasted Vegetables - 200 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Pesto Pasta with Roasted Tomatoes, Mexican Street Corn Salad
9,200.0,350.0,130.0,400.0,250.0, Vegan Green Smoothie - 200 calories per portion | 2 portions | None | Origin, Quinoa Salad," Veggie Sushi Rolls with Spicy Tofu - 130 kcals per portion, 4 portions, no allergic warnings, origin", Roasted Veggie Pasta, Stuffed Bell Peppers
10,250.0,150.0,280.0,450.0,300.0, Vegan Breakfast Shakshuka, Baked Sweet Potato Fries, Vegan Greek Salad," Italian Vegan Pizza
Total calories per portion", Vegan Gumbo
11,100.0,180.0,120.0,350.0,300.0, Vegan Breakfast Rice Pudding, Vegan Breakfast Quinoa, Guacamole and Veggie Sticks," Eggplant Parmesan
Total calories per portion", Ratatouille-Stuffed Peppers
12,50.0,210.0,80.0,500.0,250.0, Vegan Breakfast Smoothie, Quinoa Sushi Rolls," Veggie Spring Rolls with Peanut Sauce - 80 kcals per portion, 4 portions, allergic warning (peanuts), origin", Veggie Burger with Sweet Potato Fries," Vegan Sushi Rolls (250 calories/portion, 4 portions) - Japan
"
13,350.0,200.0,360.0,200.0,200.0, Vegan Sweet Potato Hash Browns - 350 calories per portion | 1 portion | None | Origin, Rice Paper Spring Rolls, Vegetable Tempura, Quinoa Stuffed Mushrooms, Quinoa Salad
14,400.0,100.0,360.0,200.0,220.0, Vegan Breakfast Burrito - 400 calories per portion | 1 portion | None | Origin, Roasted Almonds, Vegan Turkish Delight, Vegan Creamy Broccoli Soup, Lentil and Vegetable Stir Fry
15,400.0,90.0,100.0,300.0,300.0, Vegan Breakfast Burrito - 400 calories per portion | 1 portion | None | Origin, Stuffed Dates," Baked Tofu Nuggets - 100 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Moroccan Lentil Soup," Chinese Vegan Eggplant with Garlic Sauce (300 calories/portion, 3 portions) - China
"
16,300.0,240.0,120.0,400.0,300.0, Vegan Almond Butter Toast - 300 calories per portion | 1 portion | Contains nuts | Origin, Vegan Apple Cinnamon Pancakes," Vegan Cucumber Sushi Rolls - 120 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Pasta Primavera," Tahini Chickpea Salad - 300 calories per portion, 4 portions, None, Various
"
17,50.0,240.0,180.0,350.0,150.0, Vegan Breakfast Energy Balls, Vegan Raspberry Muffins," Vegan Black Bean Brownies - 180 kcals per portion, 4 portions, no allergic warnings, origin", Spinach and Mushroom Quesadillas, Ratatouille
18,400.0,220.0,130.0,400.0,220.0, Vegan Breakfast Empanadas - 400 calories per portion | 1 portion | Contains gluten | Origin, Lemon Poppy Seed Muffins," Oven-Baked Sweet Potato Fries - 130 kcals per portion, 4 portions, no allergic warnings, origin"," Mexican Rice and Beans
Total calories per portion", Chickpea and Vegetable Stir Fry
19,300.0,250.0,180.0,400.0,300.0, Vegan Chocolate Banana Smoothie Bowl - 300 calories per portion | 1 portion | None | Origin, Vegan Protein Donuts," Vegan Nachos with Salsa - 180 kcals per portion, 4 portions, no allergic warnings, origin", Chickpea and Mushroom Stir-Fry, Cauliflower Tikka Masala
20,350.0,280.0,160.0,150.0,300.0, Vegan Breakfast Sandwich - 350 calories per portion | 1 portion | Contains gluten | Origin, Vegan Quiche," Vegan Broccoli and Cheese Bites - 160 kcals per portion, 4 portions, no allergic warnings, origin", Ratatouille," Roasted Vegetable Pasta - 300 calories per portion, 4 portions, Gluten, Italy
"
