,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,200.0,240.0,320.0,400.0,250.0, Stuffed Grape Leaves, Vegan Spinach Dip with Pita Chips, Vegan Breaded Zucchini Sticks, Vegan Ramen, Vegan Fettuccine Alfredo
2,300.0,320.0,400.0,350.0,200.0, Veggie Spring Rolls, Quinoa Salad, Zucchini Fritters, Vegan Tacos, Vegan Goulash
3,400.0,350.0,240.0,280.0,250.0, Vegan Ramen, Vegan BBQ Sandwich, Vegan Spinach Dip with Pita Chips, Vegan Lemon Poppy Seed Muffins, Cauliflower Buffalo Wings
4,350.0,760.0,480.0,720.0,200.0, Vegan BBQ Sandwich, Vegan Cinnamon Rolls, Spinach and Mushroom Quesadillas, Vegetable Samosas, Lentil and Vegetable Bolognese
5,350.0,640.0,440.0,640.0,200.0, Mushroom Tacos, Vegan Baked Falafel Bowl, Vegan Gyoza, Vegan Baked Falafel Bowl, Lentil and Vegetable Bolognese
6,400.0,350.0,400.0,380.0,200.0, Vegan Carbonara, Vegan Ravioli, Zucchini Fritters, Vegan Chocolate Chip Cookies, Lentil and Vegetable Bolognese
7,300.0,280.0,320.0,400.0,250.0, Vegan Gyros, Vegan Lemon Poppy Seed Muffins, Quinoa Salad, Vegan Pastrami Reuben Sandwich, Cauliflower Buffalo Wings
8,300.0,560.0,400.0,960.0,200.0, Vegan Gyros, Vegan Chickpea Salad Sandwich, Zucchini Fritters, Vegan Buffalo Cauliflower Pizza, Lentil and Vegetable Bolognese
9,350.0,560.0,480.0,640.0,250.0, Soba Noodle Stir-Fry, Vegan Chickpea Salad Sandwich, Vegan Lentil Burgers, Vegan Baked Falafel Bowl, Vegan Fettuccine Alfredo
10,150.0,560.0,320.0,960.0,250.0, Vegan Banana Bread, Vegan Chickpea Salad Sandwich, Vegan Raspberry Oat Bars, Vegan Meatballs with Marinara Sauce, Vegan Nachos
