,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,90.0,200.0,400.0,300.0, Vegan Berry Chia Smoothie - 250 calories per portion | 2 portions | None | Origin, Stuffed Dates," Vegan Mango Smoothie Bowl - 200 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Gnocchi with Pesto Sauce
Total calories per portion", Quinoa Stuffed Mushrooms
2,600.0,100.0,120.0,300.0,250.0, Vegan Breakfast Tofu Bowl, Energy Balls, Guacamole and Veggie Sticks, Spicy Eggplant Stir-Fry, Chickpea Salad
3,250.0,100.0,110.0,350.0,250.0, Vegan Breakfast Shakshuka, Roasted Edamame," Oatmeal Raisin Energy Balls - 110 kcals per portion, 4 portions, no allergic warnings, origin"," Greek Spanakopita
Total calories per portion"," Veggie Dumplings - 250 calories per portion, 4 portions, Gluten, Various

"
4,350.0,100.0,80.0,300.0,300.0, Vegan Breakfast Quinoa Bowl - 350 calories per portion | 1 portion | Contains nuts | Origin, Chilled Gazpacho," Baked Kale Chips - 80 kcals per portion, 4 portions, no allergic warnings, origin", Lentil and Spinach Curry," Mexican Black Bean Tacos (300 calories/portion, 2 portions) - Mexico
"
5,450.0,80.0,560.0,400.0,250.0, Vegan Breakfast Muffuletta, Stuffed Dates, Vegan Chickpea Salad Sandwich," Quinoa Salad with Roasted Vegetables
Total calories per portion", Cucumber Avocado Sushi Rolls
6,300.0,80.0,100.0,400.0,320.0, Vegan Coconut Chia Pancakes - 300 calories per portion | 1 portion | Contains gluten | Origin, Stuffed Dates," Roasted Cauliflower Hummus - 100 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Jackfruit Curry, Thai Noodle Salad
7,250.0,80.0,180.0,350.0,320.0, Vegan Breakfast Bruschetta, Fruit Salad," Vegan Pumpkin Muffins - 180 kcals per portion, 4 portions, no allergic warnings, origin"," Eggplant Parmesan
Total calories per portion", Sweet and Sour Tofu
8,450.0,100.0,170.0,350.0,300.0, Vegan Breakfast Enchiladas - 450 calories per portion | 1 portion | Contains gluten | Origin, Toasted Coconut Chips," Vegan Mediterranean Flatbread - 170 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Mexican Rice, Roasted Veggie Wrap
9,400.0,90.0,160.0,250.0,320.0, Vegan Breakfast Quesadilla - 400 calories per portion | 1 portion | Contains gluten | Origin, Quinoa Energy Bites," Vegan Pesto Pasta Salad - 160 kcals per portion, 4 portions, no allergic warnings, origin", Black Bean and Corn Salad, Mediterranean Vegan Wrap
10,350.0,80.0,170.0,400.0,256.0, Vegan Sweet Potato Hash Browns - 350 calories per portion | 1 portion | None | Origin, Fruit Salad," Vegan Mediterranean Flatbread - 170 kcals per portion, 4 portions, no allergic warnings, origin"," Brazilian Black Bean Stew
Total calories per portion", Vegan BLT Sandwich
11,50.0,100.0,90.0,350.0,300.0, Vegan Breakfast Stuffed Tomatoes, Roasted Almonds," Roasted Brussels Sprouts with Balsamic Glaze - 90 kcals per portion, 4 portions, no allergic warnings, origin", Tofu and Vegetable Kebabs," Chinese Vegan Tomato and Tofu Soup (300 calories/portion, 4 portions) - China
"
12,350.0,100.0,140.0,400.0,350.0, Vegan Breakfast Baked Potato - 350 calories per portion | 1 portion | None | Origin, Roasted Pumpkin Seeds," Vegan Spinach Dip with Pita Chips - 140 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Pasta Primavera," Vegan Fajitas - 350 calories per portion, 4 portions, None, Mexico
"
13,250.0,80.0,360.0,400.0,300.0, Vegan Matcha Overnight Oats - 250 calories per portion | 2 portions | None | Origin, Stuffed Dates, Vegan Turkish Delight, Veggie Biryani, Tofu and Vegetable Curry
14,250.0,100.0,480.0,250.0,350.0, Vegan Breakfast Bruschetta, Roasted Edamame, Vegan Cucumber Sushi Rolls, Vegan Greek Style Couscous Salad, Vegan Butternut Squash Ravioli
15,350.0,80.0,200.0,350.0,300.0, Vegan Breakfast Couscous - 350 calories per portion | 1 portion | Contains gluten | Origin, Stuffed Dates, Vegan Thai Papaya Salad, Vegan Quiche, Lentil and Vegetable Curry
16,300.0,100.0,640.0,350.0,300.0, Vegan Breakfast Stromboli, Chilled Gazpacho, Vegan Tofu Scramble," Eggplant Parmesan
Total calories per portion", Sweet Potato Curry
17,400.0,100.0,140.0,300.0,250.0, Veggie Sausage and Hash Browns - 400 calories per portion | 1 portion | Contains soy | Origin, Baked Apple Chips," Vegan Greek Salad - 140 kcals per portion, 4 portions, no allergic warnings, origin", Black Bean and Vegetable Quesadillas," Moroccan Vegan Harira Soup (250 calories/portion, 4 portions) - Morocco

"
18,250.0,100.0,150.0,550.0,350.0, Tofu Scramble - 250 calories per portion | 2 portions | None | Origin, Overnight Chia Pudding," Cucumber and Avocado Sushi Rolls - 150 kcals per portion, 4 portions, allergic warning (avocado), origin"," Vegan Pad Thai
Total calories per portion", Vegan BBQ Sandwich
19,450.0,90.0,150.0,350.0,300.0, Vegan Blueberry Muffins, Stuffed Dates," Vegan Zucchini Bread - 150 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Meatball Sub," Thai Curry Noodle Soup - 300 calories per portion, 4 portions, None, Thailand
"
20,300.0,90.0,320.0,300.0,350.0, Vegan Oatmeal Raisin Cookies, Stuffed Dates, Vegan Mediterranean Flatbread Pizza, Chickpea Spinach Stew, Vegan Tikka Masala
21,400.0,100.0,120.0,350.0,250.0, Vegan Breakfast Tamales - 400 calories per portion | 1 portion | Contains gluten | Origin, Overnight Chia Pudding," Roasted Cauliflower Bites - 120 kcals per portion, 4 portions, no allergic warnings, origin", Veggie Sushi Burrito," Vegan Korean Bibimbap - 250 calories per portion, 2 portions, may contain soy"
22,400.0,100.0,400.0,300.0,250.0, Vegan Breakfast Tamales - 400 calories per portion | 1 portion | Contains gluten | Origin, Roasted Almonds, Zucchini Fritters," Thai Mango Salad
Total calories per portion"," Vegan Caesar Salad - 250 calories per portion, 4 portions, None, United States
"
23,300.0,100.0,240.0,400.0,300.0, Vegan Breakfast Stromboli, Energy Balls, Veggie Sushi Rolls, Quinoa and Black Bean Burrito Bowl," Japanese Vegan Sushi Bowl (300 calories/portion, 3 portions) - Japan
"
24,350.0,100.0,280.0,500.0,300.0, Vegan Savory Breakfast Muffins - 350 calories per portion | 1 portion | Contains gluten | Origin, Overnight Chia Pudding, Baked Tofu Nuggets," Vegan Korean Bibimbap Bowl
Total calories per portion", Quinoa Stuffed Bell Peppers
25,250.0,100.0,480.0,150.0,200.0, Vegan Green Breakfast Bowl - 250 calories per portion | 2 portions | None | Origin, Baked Apple Chips, Vegan Cucumber Sushi Rolls, Cabbage Stir-Fry, Lentil Spinach Soup
