,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,50.0,150.0,100.0,300.0," Spinach and mushroom breakfast burrito (400 calories per portion, 2 portions, nut-free, Mexican origin)
", Baked Apple Chips - Approx," Stuffed Mini Bell Peppers - 150 kcals per portion, 4 portions, gluten-free (Various)", Israeli salad, Lentil Biryani
2,350.0,50.0,150.0,120.0,250.0," Turkish simit (sesame bread rings) with cheese - 350 calories per portion, 1 portion, contains gluten and dairy, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Stuffed Mini Bell Peppers," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Vegan Soba Noodle Salad
3,200.0,50.0,100.0,120.0,300.0, Overnight Chia Pudding," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Baked zucchini fries," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Lemon Garlic Butter Scallops - 300 calories per portion, 4 portions, contains shellfish, Origin"
4,400.0,50.0,180.0,120.0,300.0," Hungarian pogácsa (cheese biscuits) with tea (400kcals per portion, 2 portions, origin"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Cheese and tomato bruschetta," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Lentil and Vegetable Curry
5,250.0,50.0,200.0,120.0,350.0, Vegan Breakfast Sushi Rolls," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Baked falafel with tahini sauce," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Spinach and Artichoke Dip Stuffed Bread - 350 calories/portion, 4 portions, contains gluten and dairy (United States)
"
6,250.0,50.0,160.0,100.0,350.0, Vegan Pancake Skewers, Baked Apple Chips - Approx," Mini Spinach and Feta Quiches - 160 kcals per portion, 4 portions, contains dairy (Greece)", Israeli salad," Vegan Korean Bibimbap - 350 calories per portion, 4 portions, None, Korea
"
7,380.0,50.0,200.0,120.0,294.0," Israeli-style salad with scrambled eggs (380 calories per portion, 2 portions, nut-free, Israeli origin)
"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Bacon-Wrapped Dates with Goat Cheese," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Vegan Lentil Sloppy Joes
8,300.0,50.0,250.0,120.0,289.0, Vegan Breakfast Stromboli," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Peanut Butter Banana Roll-Ups," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Chickpea and Spinach Stew
9,400.0,60.0,200.0,20.0,320.0," Hungarian pogácsa (cheese biscuits) with tea (400kcals per portion, 2 portions, origin", Cucumber and tomato salad, Veggie burger sliders, Moroccan Mint Tea, Vegan Gumbo
10,200.0,50.0,90.0,120.0,320.0, Vegan Breakfast Frittata," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Zucchini fritters," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Eggplant Curry - 320kcals per portion, 4 portions, contains spices (India)
"
11,450.0,50.0,280.0,120.0,380.0, Vegan Breakfast Pho," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Apple and Cinnamon Muffins," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Eggplant and chickpea curry with naan bread – 380 calories per portion, 4 portions, vegan-friendly (origin"
12,350.0,50.0,200.0,100.0,260.0, Vegan Breakfast Banana Bread," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Hummus and Veggie Wrap, Israeli salad," Greek Style Lemon Potatoes - 260kcals per portion, 4 portions
"
13,300.0,60.0,150.0,100.0,200.0, Chia Seed Smoothie, Fruit Salad - Approx, Stuffed Grape Leaves, Israeli salad, Stuffed Mushrooms
14,350.0,50.0,100.0,20.0,350.0," French toast with cinnamon and maple syrup (350kcals per portion, 2 portions, origin", Baked Apple Chips - Approx, Stuffed Dates, Moroccan Mint Tea, Vegan Eggplant Parmesan
15,300.0,50.0,320.0,120.0,300.0, Vegan Omelette," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Greek Spanakopita," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Chickpea Curry - 300 calories per portion, 4 portions, may contain mustard"
16,320.0,60.0,140.0,100.0,350.0," Spinach and mushroom breakfast wrap (320 calories per portion, 2 portions, nut-free, American origin)
", Cucumber and tomato salad, Greek Yogurt with Apple and Cinnamon, Israeli salad, Eggplant Parmesan Roll-Ups
17,400.0,50.0,90.0,100.0,320.0, Shakshuka with Feta Cheese," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Mini Quiche, Israeli salad, Vegan Gumbo
18,300.0,50.0,180.0,100.0,350.0, Vegan Coconut Chia Pancakes - 300 calories per portion | 1 portion | Contains gluten | Origin," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Veggie Stuffed Pita Bread, Israeli salad, Lentil and Vegetable Curry with Coconut Milk
19,250.0,60.0,120.0,20.0,390.0, Tropical Green Smoothie, Cucumber and tomato salad, Tomato Basil Bruschetta, Moroccan Mint Tea," Spinach and Ricotta Stuffed Shells with Marinara Sauce - 390kcals per portion, 4 portions, contains dairy
"
20,400.0,50.0,200.0,120.0,200.0, Shakshuka with Merguez Sausage, Baked Apple Chips - Approx, Mini Bagel Pizzas," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Greek stuffed bell peppers - 200 calories per portion, 4 portions, none (Greece)
"
21,300.0,50.0,120.0,20.0,210.0," Scottish porridge with honey and berries - 300 calories per portion, 2 portions, no allergic warnings, origin", Baked Apple Chips - Approx, Greek tomato and feta dip with pita chips, Moroccan Mint Tea," Greek Briam - 210kcals per portion, 4 portions
"
22,320.0,60.0,250.0,120.0,350.0," Vegetable and cheese strata (320 calories per portion, 2 portions, contains dairy, American origin)
", Fruit Salad - Approx, Zucchini and ricotta crostini," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Vegetarian Bibimbap - 350 calories/portion, 4 portions, Origin"
23,200.0,60.0,240.0,20.0,350.0, Apple Cinnamon Porridge, Fruit Salad - Approx," Matzah with Cream Cheese - 240 kcals per portion, 3 portions, contains dairy (Jewish)", Moroccan Mint Tea," Cheese and vegetable-stuffed bell peppers - 350 kcals per portion, 4 portions, vegetarian, contains lactose
"
