,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,80.0,160.0,100.0,250.0," Aloo paratha (Indian stuffed potato bread) - 350 calories per portion, 2 portions, contains gluten, origin", Fruit Salad, Sliced Apples with Peanut Butter, Israeli salad," Spinach and Feta Stuffed Mushrooms - 250 calories/portion, 4 portions, contains dairy (Greece)
"
2,350.0,80.0,250.0,20.0,250.0," Japanese tamagoyaki (rolled omelette) with rice - 350 calories per portion, 2 portions, no allergic warnings, origin", Fruit Salad, Stuffed Bell Peppers with Quinoa, Moroccan Mint Tea," Lentil Spinach Curry - 250 calories per portion, 4 portions, None, India
"
3,250.0,100.0,170.0,120.0,250.0, Vegan Breakfast Crepes, Chilled Gazpacho Soup - Approx, Mexican Bean Dip," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Chickpea Stew - 250 calories per portion, 6 portions, Allergic to legumes, Middle East
"
4,250.0,100.0,240.0,100.0,280.0," Greek yogurt with honey and nuts - 250 calories per portion, 1 portion, may contain nuts, origin"," Dates Stuffed with Almond Butter - 100kcals per portion, 2 portions
    Origin", Chickpea and Vegetable Curry, Israeli salad," Beef and Broccoli Stir-Fry - 280 calories per portion, 4 portions, contains gluten (soy sauce), Origin"
5,200.0,100.0,150.0,100.0,250.0," Oatmeal with berries - 200 calories per portion, 2 portions, no allergic warnings, origin", Cucumber Sandwich, Bruschetta with Mozzarella, Israeli salad," Vegetable Curry Puffs - 250 calories/portion, 4 portions, contains gluten (Various)
"
6,350.0,80.0,160.0,20.0,250.0, Veggie Breakfast Quinoa, Cheesy Popcorn, Portobello Mushroom Pizza Bites, Moroccan Mint Tea, Spinach and Goat Cheese Stuffed Portobello Mushrooms
7,300.0,90.0,160.0,100.0,200.0, Veggie Tofu Scramble Wrap - 300 calories per portion | 1 portion | None | Origin, Turkish-style boiled eggs," Mini Bagel Pizzas - 160 kcals per portion, 4 portions, contains gluten, dairy (USA)", Israeli salad," Ratatouille - 200 calories per portion, 6 portions, no allergic warnings, Origin"
8,300.0,100.0,250.0,120.0,180.0, Mushroom and Tomato Omelette, Baked Apple Chips, Chicken Skewers with Peanut Sauce," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Vegan Ratatouille
9,250.0,100.0,180.0,120.0,250.0, Sourdough Toast with Almond Butter, Zesty Lime Popcorn - Approx, Cranberry Orange Muffins," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Tofu and Vegetable Kebabs
10,350.0,100.0,120.0,20.0,250.0, Huevos Rancheros, Cucumber and Hummus Rolls," Roasted Chickpeas - 120 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Stuffed Butternut Squash - 250 calories/portion, 4 portions, Origin"
11,320.0,100.0,400.0,120.0,250.0," Whole wheat pancakes with fresh fruit compote (320 calories per portion, 2 portions, nut-free, American origin)
", Overnight Chia Pudding, Vegan Caesar Salad," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Vegetable Curry
12,350.0,100.0,180.0,20.0,220.0, Baked Eggs in Avocado, Vegetable Crudité with Hummus," Bruschetta - 180 kcals per portion, 4 portions, contains gluten (Italy)", Moroccan Mint Tea, Lentil and Vegetable Stir Fry
13,250.0,100.0,220.0,100.0,250.0, Vegan Breakfast Bruschetta - 250 calories per portion | 2 portions | Contains gluten | Origin, Zesty Lime Popcorn - Approx, Nutella Stuffed French Toast, Israeli salad, Vegetable Curry
14,220.0,100.0,200.0,120.0,200.0," Vegetable frittata - 220 calories per portion, 4 portions, no allergic warnings, origin"," Apple Slices with Caramel Dip - 100kcals per portion, 2 portions
    Origin", Chicken and vegetable skewers," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Greek Stuffed Peppers
15,300.0,90.0,300.0,120.0,220.0, Vegan Breakfast Bars - 300 calories per portion | 1 portion | Contains nuts | Origin, Rice Paper Rolls, Sweet potato and black bean quesadillas," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Lentil and Vegetable Stir Fry
16,300.0,100.0,170.0,120.0,200.0, Vegan Mango Coconut Chia Pudding - 300 calories per portion | 1 portion | None | Origin, Chilled Gazpacho," Egg Salad Lettuce Wraps - 170 kcals per portion, 3 portions, contains egg (USA)"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Vegan Creamy Cauliflower Soup - 200 calories per portion, 4 portions, None, Various
"
17,250.0,100.0,120.0,120.0,250.0, Vegan Breakfast Sushi Rolls, Roasted Pumpkin Seeds," Vegan Spinach and Mushroom Frittata - 120 kcals per portion, 4 portions, no allergic warnings, origin"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Ratatouille tart - 250 calories per portion, 6 portions, contains gluten (France)
"
18,250.0,100.0,140.0,20.0,160.0, Greek Yogurt with Honey and Nuts, Cucumber Rolls with Hummus - Approx," Vegan Mediterranean Pasta Salad - 140 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Vegan Quinoa and Kale Salad - 160 calories per portion, 2 portions, may contain gluten"
