,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,50.0,180.0,120.0,200.0," Apple cinnamon overnight French toast (350 calories per portion, 2 portions, nut-free, American origin)
"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Roasted Chickpea Salad - 180 kcals per portion, 4 portions, no allergic warnings, origin"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Miso Soup - 200 calories/portion, 2 portions, Origin"
2,450.0,50.0,250.0,100.0,301.0," Pancakes with maple syrup and blueberries (450kcals per portion, 2 portions, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Stuffed Avocado with Quinoa, Israeli salad, Vegan Gnocchi
3,250.0,60.0,200.0,120.0,300.0, Mozzarella and Tomato Bruschetta, Cucumber and tomato salad, Mini Chicken Teriyaki Skewers," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Greek Gigantes Plaki - 300 calories/portion, 4 portions, contains garlic (Greece)
"
4,400.0,50.0,150.0,120.0,250.0, Veggie English Breakfast," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Roasted Garlic and Tomato Crostini," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Zucchini Noodles with Marinara - 250 calories per portion, 4 portions, None, Italy
"
5,400.0,50.0,150.0,100.0,300.0, Vegan Cinnamon Rolls," Fruit Salad - 50kcals per portion, 2 portions
   Origin"," Zucchini Fritters - 150 kcals per portion, 4 portions, no allergic warnings, origin", Israeli salad," Coconut Curry Tofu - 300 calories per portion, 4 portions, Soy, Thailand
"
6,350.0,60.0,300.0,120.0,250.0," Avocado toast with poached eggs (350kcals per portion, 2 portions, origin", Cucumber and tomato salad, Roasted Vegetable Pizza," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Vegetable Stir Fry - 250 calories/portion, 4 portions, Origin"
7,250.0,50.0,300.0,120.0,250.0," Overnight oats with berries and almond milk (250 calories per portion, 2 portions, nut-free, American origin)
"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Mini Beef Empanadas," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Stuffed Bell Peppers
8,300.0,50.0,150.0,120.0,220.0, Berry Quinoa Breakfast Bowl - 300 calories per portion | 1 portion | Contains nuts | Origin," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Roasted Brussels Sprouts," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Quinoa and Vegetable Stir Fry
9,250.0,60.0,250.0,20.0,200.0, Vegan Chocolate Banana Chia Pudding - 250 calories per portion | 2 portions | None | Origin, Fruit Salad - Approx, Quinoa Salad, Moroccan Mint Tea," Lentil Curry (200 calories/portion, 4 portions) - India
"
10,250.0,50.0,120.0,100.0,225.0, Vegan Breakfast Strata," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Baked Pita Chips with Hummus, Israeli salad, Vegan Stuffed Mushrooms
