,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,200.0,400.0,280.0,300.0,200.0, Vegan Matcha Chia Pudding - 200 calories per portion | 1 portion | None | Origin, Acai Bowl, Vegan Chocolate Mousse, Lentil and Sweet Potato Stew, Stuffed Mushrooms
2,250.0,100.0,140.0,400.0,200.0, Vegan Breakfast Crepes, Toasted Coconut Chips," Mexican Street Corn Salad - 140 kcals per portion, 4 portions, no allergic warnings, origin", Veggie Biryani, Butternut Squash Soup
3,200.0,200.0,100.0,400.0,150.0, Vegan Scones - 200 calories per portion | 2 portions | Contains gluten | Origin, Vegan Breakfast Cookies," Stuffed Mini Peppers with Vegan Cream Cheese - 100 kcals per portion, 4 portions, no allergic warnings, origin", Thai Red Curry with Vegetables, Ratatouille
4,200.0,160.0,140.0,400.0,150.0, Vegan Breakfast Frittata, Vegan Banana Bread Muffins," Maple Roasted Nuts - 140 kcals per portion, 4 portions, no allergic warnings, origin", Quinoa and Vegetable Stir-Fry, Cauliflower Fried Rice
5,250.0,250.0,120.0,550.0,200.0, Vegan Pancakes - 250 calories per portion | 2 portions | Contains gluten | Origin, Vegan Chocolate Oat Bars," Vegan Chocolate Chip Cookies - 120 kcals per portion, 4 portions, no allergic warnings, origin"," Spicy Thai Peanut Noodles
Total calories per portion"," Mexican Vegan Guacamole (200 calories/portion, 4 portions) - Mexico
"
6,250.0,150.0,100.0,400.0,150.0, Vegan Oatmeal Raisin Overnight Oats - 250 calories per portion | 2 portions | Contains gluten | Origin, Roasted Chickpeas," Roasted Garlic Hummus with Veggie Sticks - 100 kcals per portion, 4 portions, no allergic warnings, origin", Chickpea Curry, Ratatouille
7,200.0,150.0,90.0,250.0,200.0, Vegan Oatmeal Raisin Cookies - 200 calories per portion | 2 portions | Contains gluten | Origin, Oatmeal Raisin Cookies," Roasted Brussels Sprouts with Balsamic Glaze - 90 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Sushi Rolls, Vegan Caprese Salad
8,250.0,300.0,160.0,250.0,150.0, Tofu Scramble - 250 calories per portion | 2 portions | None | Origin, Quinoa Stuffed Bell Peppers," Vegan Bruschetta Pasta Salad - 160 kcals per portion, 4 portions, no allergic warnings, origin", Veggie Soba Noodles," Low-Calorie Veggie Stir-Fry (150 calories/portion, 3 portions) - China
"
9,250.0,250.0,100.0,550.0,200.0, Vegan Matcha Overnight Oats - 250 calories per portion | 2 portions | None | Origin, Rice Pudding," Vegan Chocolate Covered Strawberries - 100 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Pad Thai
Total calories per portion"," Italian Caprese Salad (200 calories/portion, 2 portions) - Italy
"
10,250.0,250.0,160.0,300.0,200.0, Vegan Berry Chia Smoothie - 250 calories per portion | 2 portions | None | Origin, Vegan Peanut Butter Banana Pancakes," Chickpea Salad Lettuce Wraps - 160 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Eggplant Rollatini
Total calories per portion"," Lentil Curry (200 calories/portion, 4 portions) - India
"
11,150.0,200.0,200.0,300.0,200.0, Vegan Energy Balls - 150 calories per portion | 2 portions | Contains nuts | Origin, Avocado Toast, Stuffed Grape Leaves, Vegan Black Bean Soup, Lentil Spinach Soup
12,100.0,240.0,150.0,400.0,200.0, Vegan Breakfast Falafel, Mango Coconut Chia Pudding," Cucumber and Avocado Sushi Rolls - 150 kcals per portion, 4 portions, allergic warning (avocado), origin", Thai Coconut Curry, Vegan Bibimbap
