,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,200.0,200.0,180.0,250.0,350.0, Tofu Scramble, Tofu and Vegetable Stir-Fry, Crispy Tofu Bites, Vegetarian sushi rolls," Vegetarian bibimbap - 350 calories per portion, 4 portions, contains gluten and soy (Korea)
"
2,350.0,200.0,280.0,500.0,300.0, Vegan Breakfast Tacos, Tofu and Vegetable Stir-Fry, Vegan Nachos, Veggie Soba Noodle Stir-Fry," Vegetable and tofu stir-fry - 300 calories per portion, 4 portions, contains soy
"
3,400.0,300.0,280.0,650.0,150.0, Tofu Benedict, Vegetable Potstickers with Soy Dipping Sauce, Vegan Nachos, Veggie Lo Mein," Greek Salad with Tofu - 150 calories/portion, 4 portions, contains soy (Greece)
"
4,350.0,200.0,180.0,350.0,200.0, Vegan Breakfast Burrito, Tofu and Vegetable Stir-Fry, Crispy Tofu Bites, Vegetable and Tofu Skewers," Veggie Stir-Fry with Tofu - 200 calories/portion, 4 portions, contains soy (China)
"
5,150.0,200.0,180.0,650.0,200.0, Scrambled Tofu, Tofu Scramble with Veggies, Crispy Tofu Bites, Veggie Lo Mein," Tofu and Broccoli Stir-Fry - 200 calories/portion, 4 portions, contains soy (China)
"
6,350.0,300.0,180.0,350.0,300.0, Vegan Breakfast Tacos, Vegetable Potstickers with Soy Dipping Sauce, Crispy Tofu Bites," Veggie Bibimbap - 350kcals per portion, 2 portions, contains soy (Korea)
"," Vegetable and tofu stir-fry - 300 calories per portion, 4 portions, contains soy
"
7,350.0,200.0,100.0,450.0,350.0, Vegan Breakfast Tacos, Tofu and Vegetable Stir-Fry, Edamame, Moroccan Couscous," Veggie stir-fried rice - 350 calories per portion, 4 portions, contains soy (China)
"
8,400.0,200.0,280.0,350.0,350.0, Vegan Breakfast Hash, Tofu Scramble with Veggies, Vegan Nachos, Vegetable Stir-Fry," Vegetarian bibimbap - 350 calories per portion, 4 portions, contains gluten and soy (Korea)
"
9,400.0,200.0,280.0,350.0,250.0, Vegan Breakfast Hash, Tofu Scramble with Veggies, Vegan Nachos," Veggie Bibimbap - 350kcals per portion, 2 portions, contains soy (Korea)
"," Tofu and vegetable kabobs - 250 calories per portion, 4 portions, contains soy
"
10,400.0,200.0,180.0,280.0,200.0, Veggie Sausage Breakfast Sandwich, Tofu Scramble with Veggies, Crispy Tofu Bites," Tofu Stir-Fry - 280kcals per portion, 2 portions, contains soy (China)
"," Veggie Stir-Fry with Tofu - 200 calories/portion, 4 portions, contains soy (China)
"
11,400.0,300.0,180.0,250.0,150.0, Vegan Breakfast Hash, Vegetable Potstickers with Soy Dipping Sauce, Crispy Tofu Bites, Veggie Sushi Rolls," Greek Salad with Tofu - 150 calories/portion, 4 portions, contains soy (Greece)
"
12,200.0,300.0,180.0,450.0,350.0, Tomato Basil Tofu Scramble, Vegetable Potstickers with Soy Dipping Sauce, Crispy Tofu Bites, Moroccan Couscous," Vegetarian bibimbap - 350 calories per portion, 4 portions, contains gluten and soy (Korea)
"
13,200.0,200.0,100.0,250.0,200.0, Veggie Breakfast Wrap with Tofu Scramble, Tofu Scramble with Veggies, Edamame, Vegetarian sushi bowl," Cauliflower Fried Rice - 200 calories/portion, 4 portions, contains soy (China)
"
14,350.0,200.0,180.0,250.0,300.0, Vegan Breakfast Burrito, Tofu Scramble with Veggies, Crispy Tofu Bites, Vegetarian sushi bowl," Chickpea and vegetable stir-fry - 300 calories per portion, 4 portions, contains soy (Middle East)
"
15,200.0,300.0,100.0,320.0,250.0, Tofu Scramble, Vegetable Potstickers with Soy Dipping Sauce, Edamame," Veggie Stir-Fry - 320kcals per portion, 2 portions, contains soy
"," Tofu and vegetable kabobs - 250 calories per portion, 4 portions, contains soy
"
16,350.0,300.0,180.0,500.0,200.0, Vegan Breakfast Burrito, Vegetable Potstickers with Soy Dipping Sauce, Crispy Tofu Bites, Veggie Soba Noodle Stir-Fry," Tofu and Broccoli Stir-Fry - 200 calories/portion, 4 portions, contains soy (China)
"
17,400.0,200.0,100.0,280.0,200.0, Vegan Breakfast Hash, Tofu Scramble with Veggies, Edamame," Tofu Stir-Fry - 280kcals per portion, 2 portions, contains soy (China)
"," Cauliflower Fried Rice - 200 calories/portion, 4 portions, contains soy (China)
"
18,200.0,200.0,100.0,400.0,350.0, Tofu Scramble, Tofu and Vegetable Stir-Fry, Edamame, Veggie Fried Rice," Vegetarian bibimbap - 350 calories per portion, 4 portions, contains gluten and soy (Korea)
"
19,400.0,200.0,100.0,400.0,300.0, Tofu Benedict, Tofu Scramble with Veggies, Edamame," Veggie Sushi Burrito - 400kcals per portion, 1 portion, contains soy, gluten (Japan)
"," Vegetable and tofu stir-fry - 300 calories per portion, 4 portions, contains soy
"
20,200.0,200.0,180.0,400.0,200.0, Tofu Scramble, Tofu Scramble with Veggies, Crispy Tofu Bites, Veggie Fried Rice," Tofu and Broccoli Stir-Fry - 200 calories/portion, 4 portions, contains soy (China)
"
21,400.0,200.0,100.0,750.0,300.0, Veggie Sausage Breakfast Sandwich, Tofu Scramble with Veggies, Edamame, Tofu Pad Thai," Vegetable and tofu stir-fry - 300 calories per portion, 4 portions, contains soy
"
22,400.0,200.0,280.0,350.0,250.0, Vegan Breakfast Hash, Tofu and Vegetable Stir-Fry, Vegan Nachos, Vegetable Stir-Fry," Tofu and vegetable kabobs - 250 calories per portion, 4 portions, contains soy
"
23,400.0,200.0,280.0,650.0,350.0, Vegan Breakfast Hash, Tofu Scramble with Veggies, Vegan Nachos, Veggie Lo Mein," Vegetarian bibimbap - 350 calories per portion, 4 portions, contains gluten and soy (Korea)
"
24,400.0,200.0,180.0,350.0,300.0, Veggie Sausage Breakfast Sandwich, Tofu and Vegetable Stir-Fry, Crispy Tofu Bites, Vegetable and Tofu Skewers," Vegetable and tofu stir-fry - 300 calories per portion, 4 portions, contains soy
"
25,350.0,200.0,180.0,350.0,300.0, Vegan Breakfast Tacos, Tofu Scramble with Veggies, Crispy Tofu Bites, Vegetable Stir-Fry," Vegetable Sushi Rolls - 300 calories/portion, 4 portions, contains soy (Japan)

"
26,150.0,200.0,100.0,280.0,300.0, Scrambled Tofu, Tofu and Vegetable Stir-Fry, Edamame," Tofu Stir-Fry - 280kcals per portion, 2 portions, contains soy (China)
"," Vegetable Sushi Rolls - 300 calories/portion, 4 portions, contains soy (Japan)

"
27,150.0,200.0,180.0,400.0,300.0, Scrambled Tofu, Tofu Scramble with Veggies, Crispy Tofu Bites, Vegetarian Spring Rolls," Vegetable and tofu stir-fry - 300 calories per portion, 4 portions, contains soy
"
28,400.0,200.0,180.0,250.0,300.0, Tofu Benedict, Tofu and Vegetable Stir-Fry, Crispy Tofu Bites, Veggie Sushi Rolls," Chickpea and vegetable stir-fry - 300 calories per portion, 4 portions, contains soy (Middle East)
"
29,400.0,200.0,100.0,650.0,250.0, Vegan Breakfast Hash, Tofu and Vegetable Stir-Fry, Edamame, Veggie Lo Mein," Tofu and vegetable kabobs - 250 calories per portion, 4 portions, contains soy
"
30,200.0,200.0,280.0,280.0,350.0, Veggie Breakfast Wrap with Tofu Scramble, Tofu Scramble with Veggies, Vegan Nachos," Tofu Stir-Fry - 280kcals per portion, 2 portions, contains soy (China)
"," Vegetarian bibimbap - 350 calories per portion, 4 portions, contains gluten and soy (Korea)
"
31,400.0,200.0,180.0,380.0,350.0, Tofu Benedict, Tofu Scramble with Veggies, Crispy Tofu Bites," Veggie Bibimbap Bowl - 380kcals per portion, 2 portions, contains soy (Korea)
"," Vegetarian bibimbap - 350 calories per portion, 4 portions, contains gluten and soy (Korea)
"
32,400.0,300.0,100.0,250.0,300.0, Vegan Breakfast Hash, Vegetable Potstickers with Soy Dipping Sauce, Edamame, Veggie Sushi Rolls," Vegetable and tofu stir-fry - 300 calories per portion, 4 portions, contains soy
"
33,200.0,200.0,280.0,400.0,250.0, Tomato Basil Tofu Scramble, Tofu and Vegetable Stir-Fry, Vegan Nachos, Vegetarian Spring Rolls," Tofu and vegetable kabobs - 250 calories per portion, 4 portions, contains soy
"
34,400.0,200.0,100.0,600.0,250.0, Tofu Benedict, Tofu Scramble with Veggies, Edamame, Veggie Pho," Tofu and vegetable kabobs - 250 calories per portion, 4 portions, contains soy
"
35,200.0,200.0,180.0,600.0,200.0, Tofu Scramble, Tofu Scramble with Veggies, Crispy Tofu Bites, Veggie Pho," Tofu and Broccoli Stir-Fry - 200 calories/portion, 4 portions, contains soy (China)
"
36,200.0,200.0,100.0,400.0,350.0, Veggie Breakfast Wrap with Tofu Scramble, Tofu Scramble with Veggies, Edamame, Vegetarian Spring Rolls," Vegetarian bibimbap - 350 calories per portion, 4 portions, contains gluten and soy (Korea)
"
37,350.0,300.0,180.0,600.0,200.0, Vegan Breakfast Burrito, Vegetable Potstickers with Soy Dipping Sauce, Crispy Tofu Bites, Veggie Pho," Veggie Stir-Fry with Tofu - 200 calories/portion, 4 portions, contains soy (China)
"
38,400.0,200.0,280.0,250.0,300.0, Vegan Breakfast Hash, Tofu Scramble with Veggies, Vegan Nachos, Veggie Sushi Rolls," Vegetable Sushi Rolls - 300 calories/portion, 4 portions, contains soy (Japan)

"
39,400.0,200.0,280.0,380.0,350.0, Vegan Breakfast Hash, Tofu Scramble with Veggies, Vegan Nachos," Veggie Bibimbap Bowl - 380kcals per portion, 2 portions, contains soy (Korea)
"," Vegetarian bibimbap - 350 calories per portion, 4 portions, contains gluten and soy (Korea)
"
40,200.0,200.0,280.0,320.0,350.0, Veggie Breakfast Wrap with Tofu Scramble, Tofu Scramble with Veggies, Vegan Nachos," Veggie Stir-Fry - 320kcals per portion, 2 portions, contains soy
"," Vegetarian bibimbap - 350 calories per portion, 4 portions, contains gluten and soy (Korea)
"
41,400.0,200.0,280.0,650.0,300.0, Veggie Sausage Breakfast Sandwich, Tofu Scramble with Veggies, Vegan Nachos, Veggie Lo Mein," Vegetable Sushi Rolls - 300 calories/portion, 4 portions, contains soy (Japan)

"
42,200.0,200.0,280.0,650.0,200.0, Tofu Scramble, Tofu and Vegetable Stir-Fry, Vegan Nachos, Veggie Lo Mein," Cauliflower Fried Rice - 200 calories/portion, 4 portions, contains soy (China)
"
43,350.0,200.0,280.0,280.0,350.0, Vegan Protein Pancakes, Tofu and Vegetable Stir-Fry, Vegan Nachos," Tofu Stir-Fry - 280kcals per portion, 2 portions, contains soy (China)
"," Veggie stir-fried rice - 350 calories per portion, 4 portions, contains soy (China)
"
44,150.0,300.0,280.0,450.0,350.0, Scrambled Tofu, Vegetable Potstickers with Soy Dipping Sauce, Vegan Nachos, Moroccan Couscous," Vegetarian bibimbap - 350 calories per portion, 4 portions, contains gluten and soy (Korea)
"
45,150.0,200.0,100.0,400.0,300.0, Scrambled Tofu, Tofu and Vegetable Stir-Fry, Edamame," Veggie Sushi Burrito - 400kcals per portion, 1 portion, contains soy, gluten (Japan)
"," Vegetable and tofu stir-fry - 300 calories per portion, 4 portions, contains soy
"
