,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,150.0,90.0,100.0,450.0, Veggie English Breakfast, Mozzarella Sticks," Roasted Brussels Sprouts with Balsamic Glaze - 90 kcals per portion, 4 portions, no allergic warnings, origin", Israeli salad, Ratatouille Tart
2,450.0,150.0,180.0,20.0,500.0," Turkish simit (sesame bread) with cream cheese and olives (450kcals per portion, 1 portion, dairy allergies, origin", Baked Egg Cups, Stuffed Bell Peppers with Quinoa and Black Beans, Moroccan Mint Tea," Vegan BBQ Tofu Skewers - 500 calories per portion, 2 portions, may contain soy"
3,300.0,150.0,440.0,100.0,350.0," Turkish menemen (egg and vegetable scramble) - 300 calories per portion, 2 portions, no allergic warnings, origin", Vegan Gingerbread Cookies, Vegan Roasted Red Pepper Dip, Israeli salad," Egg Fried Rice - 350 calories per portion, 4 portions, contains gluten (soy sauce), Origin"
4,700.0,80.0,110.0,20.0,420.0, Vegan Scones," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin"," Edamame - 110 kcals per portion, 2 portions, contains soy (Japan)", Moroccan Mint Tea," Chicken and vegetable stir-fry – 420 calories per portion, 2 portions
"
5,350.0,120.0,80.0,20.0,420.0, Chocolate Chip Muffins, Melon and Prosciutto Skewers, Zucchini Chips, Moroccan Mint Tea," Vegetable Lo Mein - 420kcals per portion, 2 portions, contains gluten (China)
"
6,250.0,150.0,130.0,100.0,200.0, Vegan Berry Parfait - 250 calories per portion | 2 portions | Contains nuts | Origin, Vegan Gingerbread Cookies," Veggie Sushi Rolls with Spicy Tofu - 130 kcals per portion, 4 portions, no allergic warnings, origin", Israeli salad, Ratatouille
7,700.0,150.0,90.0,20.0,400.0, Vegan Breakfast Bibimbap, Chia Pudding," Baked Eggplant Chips - 90 kcals per portion, 4 portions, gluten-free (Mediterranean)", Moroccan Mint Tea," British Vegan Welsh Rarebit (400 calories/portion, 2 portions) - United Kingdom
"
8,300.0,150.0,120.0,20.0,400.0, Classic Peanut Butter and Jelly, Cinnamon Maple Roasted Chickpeas, Greek Yogurt with Berries, Moroccan Mint Tea, Teriyaki Salmon
9,380.0,150.0,120.0,20.0,350.0," Greek-style baked eggs with spinach and feta (380 calories per portion, 2 portions, nut-free, Greek origin)
"," Onion and Cheese Mini Quiches - 150kcals per portion, 2 portions
    Origin", Roasted Chickpeas, Moroccan Mint Tea," Mexican Stuffed Bell Peppers - 350 calories/portion, 4 portions, Origin"
10,300.0,150.0,140.0,100.0,400.0, Classic Peanut Butter and Jelly, Spinach and ricotta puff pastry swirls," Vegan Lemon Bars - 140 kcals per portion, 4 portions, no allergic warnings, origin", Israeli salad, Vegetable Biryani
