,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,100.0,300.0,150.0,420.0, Hash Brown Casserole, Toasted Coconut Chips, Mini Beef Sliders, Thai Tom Yum Soup," Spaghetti Aglio e Olio - 420kcals per portion, 2 portions, contains gluten (Italy)
"
2,600.0,180.0,200.0,150.0,400.0, English Breakfast, Vegan Zucchini and Corn Fritters, Baked falafel with tahini sauce," Caponata - 150kcals per portion, 4 portions, no allergies, Origin"," Mediterranean stuffed tomatoes with quinoa and olives (400 calories per portion, 3 portions, vegan-friendly, origin"
3,450.0,120.0,240.0,150.0,250.0, Dutch Baby Pancake, Tomato and Basil Bruschetta, Vegan Spinach Dip with Pita Chips, Thai Tom Yum Soup, Lebanese Tabbouleh
4,500.0,150.0,250.0,150.0,450.0," Mexican churros with hot chocolate dipping sauce - 500 calories per portion, 2 portions, contains gluten, origin", Apple slices with almond butter, Greek Spanakopita Triangles, Lentil Soup," Shrimp Pad Thai - 450 calories per portion, 4 portions, contains gluten (noodles), Origin"
5,800.0,150.0,50.0,100.0,400.0, Vegan Breakfast Quiche," Watermelon and Feta Skewers - 150kcals per portion, 2 portions
    Origin", Fruit Salad, Israeli salad," Vegetarian Burrito Bowl - 400 calories/portion, 4 portions, contains gluten (Mexico)
"
6,150.0,180.0,250.0,150.0,400.0, Greek Yogurt with Berries, Watermelon with Feta Cheese, Mini Beef Sliders, Tomato Basil Soup, Caprese Flatbread
7,450.0,180.0,200.0,150.0,400.0," Spanish tortilla de patatas (potato omelet) with aioli (450kcals per portion, 2 portions, origin", Banana Bread, Banana Bread, Greek Taramasalata, Vegan Nachos
8,500.0,180.0,200.0,120.0,400.0," Eggs Benedict with ham and hollandaise sauce (500kcals per portion, 2 portions)
", Pumpkin Energy Bars, Mini ham and cheese sandwiches," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Beef Tostadas - 400 calories per portion, 4 portions, contains gluten (tortillas), Origin"
9,400.0,100.0,180.0,150.0,400.0," Huevos Rancheros with refried beans and salsa (400kcals per portion, 2 portions, origin", Roasted Beetroot Chips, Quinoa Stuffed Mushrooms, Butternut squash soup," British Vegan Mushroom Wellington (400 calories/portion, 2 portions) - United Kingdom

"
10,350.0,150.0,240.0,150.0,400.0," Russian syrniki (cottage cheese pancakes) - 350 calories per portion, 2 portions, contains gluten and dairy, origin", Antipasto Skewers - Approx, Spinach and Artichoke Dip, Butternut squash soup, Veggie Burger with Avocado Mayo
11,500.0,190.0,100.0,150.0,550.0," Breakfast burrito with scrambled eggs and avocado (500kcals per portion, 2 portions, origin", Rice Cakes with Peanut Butter, Fruit Salad, Caprese Salad," Herb and lemon roasted chicken with mashed potatoes – 550 calories per portion, 3 portions, contains poultry
"
12,400.0,150.0,90.0,150.0,300.0, Vegan Breakfast Fried Rice, Oven-Baked Onion Rings," Vegan Sweet Potato Toast - 90 kcals per portion, 4 portions, no allergic warnings, origin", Caprese Salad, Tofu and Vegetable Curry
13,350.0,160.0,150.0,150.0,400.0, Vegan Chocolate Peanut Butter Smoothie - 350 calories per portion | 1 portion | Contains nuts | Origin, Quinoa Balls, Stuffed Grape Leaves," Greek Salad - 150kcals per portion, 2 portions"," Chickpea and spinach stew with crusty bread (400 calories per portion, 3 portions, vegan-friendly, origin"
14,350.0,120.0,150.0,150.0,400.0," Veggie omelette with sweet potato hash (350 calories per portion, 2 portions, nut-free, American origin)
", Melon and Prosciutto Skewers," Strawberry Spinach Salad - 150 kcals per portion, 3 portions, contains dairy (USA)", Grilled Chicken Salad," Greek salad with grilled chicken – 400 calories per portion, 3 portions, contains poultry (origin"
15,300.0,100.0,200.0,150.0,300.0, Chocolate Chia Protein Pudding, Roasted Chickpeas, Caramelized Onion and Goat Cheese Tartlets," Grilled Vegetable Skewers - 150kcals per portion, 4 portions", Vegan Tikka Masala
16,500.0,150.0,220.0,150.0,250.0," Iranian kaleh pacheh (sheep's head and hoof soup) - 500 calories per portion, 2 portions, no allergic warnings, origin", Pumpkin Spice Latte, Guacamole with Tortilla Chips," Potato Latkes - 150 calories
   - Total portions", Lentil Buddha Bowl
17,400.0,150.0,130.0,150.0,250.0, Breakfast Tacos with Avocado Salsa, Baked Sweet Potato Fries - Approx, Greek Yogurt with Cinnamon and Honey, Butternut squash soup," Falafel salad with tahini dressing - 250 calories per portion, 4 portions, contains gluten (Middle East)
"
