,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,180.0,240.0,20.0,250.0," Sourdough toast with nut butter and banana - 350 calories per portion, 1 portion, contains gluten and nuts, origin", Vegan Puffed Quinoa Bars, Greek Stuffed Grape Leaves, Moroccan Mint Tea, Mediterranean Couscous Salad
2,250.0,120.0,150.0,20.0,300.0," Shakarkandi ki chaat (Indian sweet potato salad) - 250 calories per portion, 2 portions, no allergic warnings, origin", Cucumber and dill cream cheese rolls, Vegan Banana Bread, Moroccan Mint Tea," Quinoa-stuffed mushrooms – 300 calories per portion, 4 portions, vegetarian-friendly
"
3,350.0,180.0,180.0,20.0,250.0," Pancetta and mushroom omelette (350 calories per portion, 2 portions, nut-free, Italian origin)
", Cheese and Tomato Mini Quiches, Veggie Quesadillas, Moroccan Mint Tea," Baked Cod with Lemon and Garlic - 250 calories per portion, 4 portions, no allergic warnings, Origin"
4,200.0,150.0,240.0,20.0,350.0," Oatmeal with banana and almond (200kcals per portion, 2 portions, nut allergies, origin", Berry smoothie, Chickpea and Vegetable Curry, Moroccan Mint Tea," Vegetable korma with basmati rice - 350 calories per portion, 4 portions, contains nuts (India)
"
5,250.0,300.0,100.0,20.0,350.0, Egg and Cheese Breakfast Taco, Vegan Omelette with Tofu, Watermelon Salad, Moroccan Mint Tea," Quinoa-stuffed bell peppers - 350 kcals per portion, 4 portions, vegetarian, gluten-free
"
6,400.0,150.0,180.0,20.0,350.0, Vegan Breakfast Fried Rice, Spicy Roasted Chickpeas, Grilled Halloumi Skewers, Moroccan Mint Tea," Eggplant rollatini – 350 calories per portion, 3 portions, vegetarian-friendly (origin"
7,150.0,200.0,100.0,20.0,320.0, Fruit Smoothie," Stuffed Grape Leaves (Dolma) - 200kcals per portion, 1 portion
    Origin", Guacamole Deviled Eggs, Moroccan Mint Tea," Cauliflower curry – 320 calories per portion, 4 portions, vegan-friendly
"
8,450.0,300.0,80.0,20.0,300.0, Quinoa Breakfast Bowl, Chia Pudding with Almond Milk and Mango, Vegan Carrot Cake Energy Balls, Moroccan Mint Tea, Caprese Stuffed Portobello Mushrooms
9,500.0,60.0,150.0,20.0,350.0, Turkish Gozleme, Fruit Salad - Approx," Vegan Zucchini Fritters with Vegan Sour Cream - 150 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Vegan Chili - 350 calories per portion, 4 portions, None, United States
"
10,400.0,250.0,200.0,20.0,120.0," Sausage and egg muffin - 400 calories per portion, 2 portions, contains gluten, origin", Greek Yogurt and Berry Overnight Oats, Stuffed bell peppers with quinoa and black beans, Moroccan Mint Tea, Cucumber and Tomato Salad
11,200.0,180.0,100.0,20.0,280.0, Quinoa Breakfast Burrito, Apple Cinnamon Muffins, Spinach and feta triangles, Moroccan Mint Tea, Vegan Tikka Masala
