,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,100.0,300.0,120.0,250.0, Banana and Almond Butter Toast, Watermelon Fruit Pizza, Mini Spinach and Feta Pizzas," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Mushroom Risotto
2,280.0,120.0,180.0,120.0,400.0," Baked eggs in tomato cups (280 calories per portion, 2 portions, nut-free, Italian origin)
", Bell pepper and cream cheese roll-ups, Veggie Stuffed Bell Peppers," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Lentil Biryani
3,300.0,90.0,120.0,120.0,200.0," Singaporean kaya toast - 300 calories per portion, 2 portions, contains gluten and dairy, origin", Rice Paper Rolls, Cucumber Avocado Rolls," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Cucumber, tomato, and red onion salad – 200 calories per portion, 4 portions, vegan-friendly
"
4,500.0,80.0,180.0,20.0,350.0, Vegan Breakfast Croque Madame, Kale Chips, Greek Olive Breadsticks, Moroccan Mint Tea," Quinoa and Black Bean Burritos - 350 calories/portion, 4 portions, Origin"
5,160.0,100.0,200.0,20.0,250.0," Scrambled eggs with spinach and feta (160 calories per portion, 2 portions, contains dairy, Greek origin)
"," Cinnamon Apple Chips - 100kcals per portion, 2 portions
    Origin", Cilantro Lime Shrimp Skewers, Moroccan Mint Tea, Lebanese Tabbouleh
6,300.0,120.0,120.0,20.0,300.0, Saffron Yogurt with Fruit, Tomato and Basil Bruschetta, Caprese Skewers, Moroccan Mint Tea," Mediterranean Quinoa Salad - 300 calories/portion, 4 portions, contains gluten (Greece)
"
7,550.0,120.0,180.0,20.0,350.0, Eggs Benedict, Date Balls, Baked buffalo chicken meatballs, Moroccan Mint Tea, Greek Spinach Pie (Spanakopita)
8,350.0,100.0,120.0,120.0,400.0, Greek Yogurt with Fig Compote, Cucumber and Tomato Salad, Cucumber Avocado Rolls," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Vegetarian shepherd's pie with mashed cauliflower (400 calories per portion, 3 portions, contains dairy, origin"
9,280.0,100.0,130.0,20.0,400.0," Cottage cheese and tomato on rye bread (280 calories per portion, 2 portions, contains dairy, Russian origin)
", Fresh Fruit Salad, Greek Yogurt with Cinnamon and Honey, Moroccan Mint Tea," Butternut squash ravioli with brown butter sauce - 400 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
10,400.0,100.0,440.0,100.0,300.0," Bangladeshi panta bhat (fermented rice) with fried hilsa fish - 400 calories per portion, 2 portions, contains gluten, origin", Som Tam (Papaya Salad), Vegan Gyoza, Israeli salad, Couscous Salad
