,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,380.0,80.0,250.0,300.0,200.0," Peanut butter and jelly overnight oats (380 calories per portion, 2 portions, contains nuts, American origin)
"," Baked Zucchini Chips - 80 kcals per portion, 3 portions, contains dairy (Italy)", Lentil soup," Chinese Mapo Tofu - 300 calories per portion, 4 portions, vegetarian, Chinese
"," Miso soup with tofu and seaweed – 200 calories per portion, 6 portions, vegan-friendly (origin"
2,300.0,90.0,120.0,250.0,200.0," Blueberry almond smoothie (300 calories per portion, 2 portions, contains nuts, American origin)
"," Caprese Skewers - 90 kcals per portion, 6 portions, contains dairy (Italy)", Roasted chickpeas," Quinoa Stuffed Bell Peppers (250 calories per portion, serves 4, no allergies, origin"," Cucumber, tomato, and red onion salad – 200 calories per portion, 4 portions, vegan-friendly
"
3,160.0,80.0,380.0,200.0,200.0," Cream cheese stuffed strawberries (160 calories per portion, 2 portions, contains dairy, American origin)
", Coconut macaroons, Mini chicken pot pies," Lentil Soup - 200kcals per portion, 4 portions, vegan, International
"," Cucumber, tomato, and red onion salad – 200 calories per portion, 4 portions, vegan-friendly
"
4,320.0,90.0,180.0,400.0,200.0," Yogurt pancakes with mixed berries (320 calories per portion, 2 portions, contains dairy, American origin)
"," Israeli Salad - 90 kcals per portion, 4 portions, gluten-free (Israel)"," Greek Yogurt Bark - 180 kcals per portion, 4 portions, contains dairy (Greece)"," Thai Green Curry with Chicken - 400 calories per portion, 4 portions, contains dairy and poultry, Thai
"," Cucumber, tomato, and red onion salad – 200 calories per portion, 4 portions, vegan-friendly
"
5,320.0,80.0,200.0,200.0,200.0," Tomato and mozzarella bruschetta (320 calories per portion, 2 portions, contains dairy, Italian origin)
", Veggie sticks with hummus, Bruschetta with tomato and basil," Butternut Squash Soup - 200kcals per portion, 4 portions, vegan, International
"," Miso soup with tofu and seaweed – 200 calories per portion, 6 portions, vegan-friendly (origin"
6,320.0,100.0,150.0,280.0,200.0," Sweet corn pancakes with tomato and avocado salsa (320 calories per portion, 2 portions, nut-free, American origin)
", Baked zucchini fries," Hummus with Veggies - 150 kcals per portion, 3 portions, may contain sesame (Middle East)"," Israeli Breakfast Salad - 280kcals per portion, 4 portions, lacto-vegetarian, Israel
"," Cucumber, tomato, and red onion salad – 200 calories per portion, 4 portions, vegan-friendly
"
7,350.0,80.0,160.0,350.0,200.0," Veggie sausage and hash browns (350 calories per portion, 2 portions, contains soy, American origin)
"," Rice Paper Veggie Rolls - 80 kcals per portion, 4 portions, contains soy (Vietnam)", Baked apples with cinnamon and honey, Baked zucchini boats stuffed with ground turkey," Miso soup with tofu and seaweed – 200 calories per portion, 6 portions, vegan-friendly (origin"
8,350.0,80.0,160.0,250.0,200.0," Apple cinnamon overnight French toast (350 calories per portion, 2 portions, nut-free, American origin)
"," Popcorn - 80 kcals per portion, 4 portions, gluten-free (World)"," Baked Sweet Potato Fries - 160 kcals per portion, 3 portions, may contain gluten (USA)"," Falafel Salad with Tahini Dressing (250 calories per portion, serves 4, contains gluten, origin"," Miso soup with tofu and seaweed – 200 calories per portion, 6 portions, vegan-friendly (origin"
9,350.0,100.0,200.0,350.0,200.0," Quinoa breakfast cookies with dried fruits and nuts (350 calories per portion, 2 portions, contains nuts, American origin)
"," Deviled Eggs - 100 kcals per portion, 4 portions, contains egg (USA)", Blueberry oat muffins," Falafel Salad Bowl - 350kcals per portion, 2 portions, gluten-free, Middle Eastern
"," Lentil soup with vegetables – 200 calories per portion, 6 portions, vegan-friendly (origin"
10,300.0,80.0,150.0,280.0,200.0," Banana chocolate chip muffins (300 calories per portion, 2 portions, contains dairy, American origin)
", Veggie sticks with hummus," Stuffed Mini Bell Peppers - 150 kcals per portion, 4 portions, gluten-free (Various)"," Moroccan Couscous Salad - 280kcals per portion, 3 portions, dairy-free, Morocco
"," Lentil soup with vegetables – 200 calories per portion, 6 portions, vegan-friendly (origin"
11,350.0,80.0,220.0,300.0,200.0," Quinoa breakfast bowl with fruits and seeds (350 calories per portion, 2 portions, nut-free, American origin)
"," Baked Zucchini Chips - 80 kcals per portion, 3 portions, contains dairy (Italy)", Banana bread muffins," Chinese Vegetable Lo Mein (300 calories per portion, serves 4, contains gluten, origin"," Lentil soup with vegetables – 200 calories per portion, 6 portions, vegan-friendly (origin"
12,320.0,90.0,150.0,300.0,200.0," Baked eggs with asparagus and Parmesan (320 calories per portion, 2 portions, contains dairy, Italian origin)
"," Israeli Salad - 90 kcals per portion, 4 portions, gluten-free (Israel)", Caprese bruschetta, Grilled chicken salad," Lentil soup with vegetables – 200 calories per portion, 6 portions, vegan-friendly (origin"
13,350.0,80.0,230.0,250.0,200.0," Veggie-packed breakfast casserole (350 calories per portion, 2 portions, nut-free, American origin)
"," Chocolate Dipped Strawberries - 80 kcals per portion, 4 portions, contains dairy (USA)"," Baba Ganoush with Pita Bread - 230 kcals per portion, 4 portions, contains gluten (Middle East)"," Vegetable Spring Rolls - 250 calories
    - Total portions"," Miso soup with tofu and seaweed – 200 calories per portion, 6 portions, vegan-friendly (origin"
14,350.0,80.0,140.0,400.0,200.0," Veggie-packed breakfast casserole (350 calories per portion, 2 portions, nut-free, American origin)
", Veggie sticks with hummus, Baked sweet potato fries," Mushroom Risotto - 400 calories
    - Total portions"," Lentil soup with vegetables – 200 calories per portion, 6 portions, vegan-friendly (origin"
15,320.0,90.0,210.0,400.0,200.0," Whole wheat pancakes with fresh fruit compote (320 calories per portion, 2 portions, nut-free, American origin)
"," Israeli Salad - 90 kcals per portion, 4 portions, gluten-free (Israel)"," Mini Cheese Balls - 210 kcals per portion, 4 portions, contains dairy (Various)"," Vietnamese Spring Rolls with Peanut Dipping Sauce - 400 calories
    - Total portions"," Cucumber, tomato, and red onion salad – 200 calories per portion, 4 portions, vegan-friendly
"
16,350.0,100.0,290.0,300.0,200.0," Apple cinnamon quinoa breakfast bowl (350 calories per portion, 2 portions, nut-free, American origin)
", Israeli salad," Cheese Quesadilla - 290 kcals per portion, 2 portions, contains gluten, dairy (Mexico)"," Moroccan Quinoa Pilaf with Roasted Vegetables (300 calories per portion, serves 6, contains legumes, origin"," Miso soup with tofu and seaweed – 200 calories per portion, 6 portions, vegan-friendly (origin"
17,350.0,100.0,220.0,400.0,200.0," Greek yogurt and berry parfait (350 calories per portion, 2 portions, contains dairy, Greek origin)
"," Deviled Eggs - 100 kcals per portion, 4 portions, contains egg (USA)", Ratatouille," Veggie Noodle Stir Fry - 400kcals per portion, 2 portions, vegan, International
"," Lentil soup with vegetables – 200 calories per portion, 6 portions, vegan-friendly (origin"
18,320.0,90.0,180.0,350.0,200.0," Yogurt pancakes with mixed berries (320 calories per portion, 2 portions, contains dairy, American origin)
"," Rice Paper Spring Rolls - 90 kcals per portion, 6 portions, contains soy (Vietnam)"," Greek Yogurt Bark - 180 kcals per portion, 4 portions, contains dairy (Greece)"," Thai Green Curry with Tofu (350 calories per portion, serves 4, contains soy, origin"," Miso soup with tofu and seaweed – 200 calories per portion, 6 portions, vegan-friendly (origin"
19,320.0,90.0,90.0,500.0,200.0," Artichoke and feta tart (320 calories per portion, 2 portions, contains dairy, Greek origin)
", Zucchini fritters," Baked Apple Chips - 90 kcals per portion, 4 portions, gluten-free (USA)"," Thai Pineapple Fried Rice - 500 calories
    - Total portions"," Cucumber, tomato, and red onion salad – 200 calories per portion, 4 portions, vegan-friendly
"
20,260.0,100.0,80.0,250.0,200.0," Cheese and vegetable frittata (260 calories per portion, 2 portions, contains dairy, Italian origin)
", Baked zucchini fries," Mini Vegetable Spring Rolls - 80 kcals per portion, 8 portions, contains gluten, soy (China)"," Sweet and Sour Tofu Stir-Fry (250 calories per portion, serves 4, contains soy, origin"," Miso soup with tofu and seaweed – 200 calories per portion, 6 portions, vegan-friendly (origin"
