,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,100.0,140.0,20.0,150.0," Fruit smoothie bowl topped with granola (250kcals per portion, 2 portions, nut allergies, origin", Quinoa Energy Bites, Baked Sweet Potato Chips, Moroccan Mint Tea," Caprese salad - 150 calories per portion, 4 portions, contains dairy (Italy)
"
2,50.0,60.0,150.0,20.0,200.0, Vegan Breakfast Sushi Burrito, Cucumber and tomato salad, Greek Yogurt Parfait, Moroccan Mint Tea, Vegan Ratatouille Stuffed Portobello Mushroom
3,300.0,100.0,250.0,20.0,200.0, Shakarkandi ki Chaat (Sweet Potato Chaat), Greek yogurt with berries, Pork Satay with Peanut Sauce, Moroccan Mint Tea," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
4,300.0,100.0,190.0,20.0,200.0," Nigerian moi moi (bean pudding) - 300 calories per portion, 2 portions, no allergic warnings, origin"," Cinnamon Apple Chips - 100kcals per portion, 2 portions
    Origin", Cucumber sushi rolls, Moroccan Mint Tea," Miso soup with tofu and seaweed – 200 calories per portion, 6 portions, vegan-friendly (origin"
5,200.0,100.0,180.0,20.0,150.0, Mediterranean Vegetable Omelette, Greek Salad Skewers," Blueberry Oatmeal Muffins - 180 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Greek Salad with Tofu - 150 calories/portion, 4 portions, contains soy (Greece)
"
6,320.0,100.0,220.0,20.0,210.0," Zucchini and goat cheese frittata (320 calories per portion, 2 portions, contains dairy, Italian origin)
", Stuffed Dates - Approx, Chicken Yakitori Skewers, Moroccan Mint Tea, Lentil and Vegetable Stir Fry
7,200.0,100.0,140.0,20.0,200.0, Veggie Breakfast Pizza Rolls, Cucumber and Tomato Salad," Vegan Sweet Potato Wedges - 140 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Spinach and Feta Stuffed Mushrooms - 200 calories/portion, 4 portions, Origin"
8,250.0,100.0,120.0,20.0,180.0, Vegan Blueberry Muffin Overnight Oats - 250 calories per portion | 2 portions | Contains gluten | Origin, Toasted Coconut Chips, Roasted Chickpeas, Moroccan Mint Tea, Spinach and Mushroom Frittata
9,300.0,100.0,180.0,20.0,200.0, Mexican Quinoa Breakfast Bowl, Tomato Basil Bruschetta, Turkish Pide, Moroccan Mint Tea," Vegetable Stir-Fry with Tofu - 200 calories per portion, 4 portions, no allergic warnings, Origin"
10,250.0,100.0,180.0,20.0,150.0," Pumpkin pie smoothie (250 calories per portion, 2 portions, nut-free, American origin)
", Roasted Pumpkin Seeds," Baked Falafel Salad - 180 kcals per portion, 4 portions, allergic warning (sesame), origin", Moroccan Mint Tea, Veggie Stir-Fry
11,250.0,70.0,120.0,20.0,150.0, Smoothie Bowl, Kale chips, Spiced Roasted Chickpeas, Moroccan Mint Tea, Chickpea Salad
12,200.0,80.0,120.0,20.0,180.0, Veggie Breakfast Wrap with Tofu Scramble, Fruit Salad, Caprese Skewers, Moroccan Mint Tea," Caprese Salad - 180kcals per portion, 4 portions, contains dairy (Italy)
"
13,300.0,50.0,240.0,20.0,200.0, Vegan Breakfast Tiramisu," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Veggie Sushi Rolls, Moroccan Mint Tea," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
14,300.0,100.0,280.0,20.0,150.0, Vegan Breakfast Potato Hash - 300 calories per portion | 1 portion | None | Origin, Frozen Grapes, Greek Spinach Pie, Moroccan Mint Tea, Butternut Squash Soup
15,300.0,100.0,190.0,20.0,200.0," Carrot cake oatmeal (300 calories per portion, 2 portions, nut-free, American origin)
", Fruit Smoothie Popsicles - Approx, Black Bean Dip with Tortilla Chips, Moroccan Mint Tea, Butternut Squash Soup
16,200.0,100.0,200.0,20.0,200.0, Vegan Chocolate Chia Pudding - 200 calories per portion | 2 portions | None | Origin, Frozen Grapes, Chicken and vegetable lettuce wraps, Moroccan Mint Tea, Mexican Street Corn Salad
17,320.0,100.0,200.0,20.0,200.0," Egg and cheese breakfast roll-ups (320 calories per portion, 2 portions, contains dairy, American origin)
", Fruit salad," Poppy Seed Muffins - 200 kcals per portion, 3 portions, contains gluten (Various)", Moroccan Mint Tea, Vegan Caprese Salad
18,250.0,90.0,210.0,20.0,200.0," Chia seed pudding with mixed berries (250kcals per portion, 2 portions)
", Stuffed Dates," Mini Cheese Balls - 210 kcals per portion, 4 portions, contains dairy (Various)", Moroccan Mint Tea," Butternut Squash Soup - 200 calories per portion, 4 portions, None, Various
"
19,300.0,80.0,100.0,20.0,200.0, Banana Oat Pancakes, Cheesy Popcorn, Chocolate-dipped strawberries, Moroccan Mint Tea," Greek stuffed bell peppers - 200 calories per portion, 4 portions, none (Greece)
"
20,200.0,100.0,80.0,20.0,180.0, Mini Vegetable Quiche, Caprese Skewers, Cheese and spinach stuffed mushrooms, Moroccan Mint Tea, Tofu Stir-Fry
21,300.0,100.0,60.0,20.0,200.0, Vegan Buckwheat Banana Pancakes - 300 calories per portion | 1 portion | Contains gluten | Origin, Kiwi and Strawberry Smoothie, Caprese Skewers, Moroccan Mint Tea," Vegan Tomato Soup - 200 calories per portion, 4 portions, None, Various
"
22,300.0,100.0,200.0,20.0,180.0, Vegan Breakfast Potato Hash - 300 calories per portion | 1 portion | None | Origin, Cucumber Slices with Tzatziki - Approx, Antipasto Skewers, Moroccan Mint Tea," Veggie Sushi Rolls - 180 calories per portion, 6 portions, Soy, Japan
"
23,250.0,100.0,380.0,20.0,225.0, Vegan Coconut Yogurt with Fruit - 250 calories per portion | 1 portion | None | Origin, Corn on the Cob, Mini chicken pot pies, Moroccan Mint Tea, Vegan Stuffed Mushrooms
24,250.0,100.0,150.0,20.0,200.0, Vegetable Scramble, Toasted Coconut Chips, Fruit Skewers with Yogurt Dip, Moroccan Mint Tea, Vegan Chili
25,200.0,100.0,100.0,20.0,200.0, Vegan Breakfast Quiche Lorraine, Energy Balls - Approx, Baked zucchini fries, Moroccan Mint Tea," Stuffed grape leaves (Dolmas) - 200 calories per portion, 4 portions, contains nuts (Middle East)
"
26,300.0,100.0,180.0,20.0,180.0, Saffron Yogurt with Fruit, Caprese Skewers, Greek Tzatziki with Pita Bread, Moroccan Mint Tea," Veggie Sushi Rolls - 180 calories per portion, 6 portions, Soy, Japan
"
27,300.0,100.0,200.0,20.0,200.0, Vegan Pumpkin Muffins - 300 calories per portion | 2 portions | Contains gluten | Origin, Cucumber and Tomato Salad, Mini Chicken and Vegetable Skewers, Moroccan Mint Tea, Lemon and Herb Couscous Salad
28,300.0,100.0,180.0,20.0,160.0," Banana chocolate chip muffins (300 calories per portion, 2 portions, contains dairy, American origin)
", Zesty Lime Popcorn - Approx, Guacamole and Salsa with Tortilla Chips, Moroccan Mint Tea," Vegan Mediterranean Couscous Salad - 160 calories per portion, 3 portions, may contain gluten"
29,150.0,100.0,250.0,20.0,200.0, Vegan Peanut Butter Banana Smoothie, Watermelon and feta skewers, Mixed Berry Smoothie, Moroccan Mint Tea," Greek stuffed bell peppers - 200 calories per portion, 4 portions, none (Greece)
"
30,300.0,100.0,180.0,20.0,200.0, Chia Seed Pancakes, Som Tam (Papaya Salad), Veggie spring rolls with peanut dipping sauce, Moroccan Mint Tea," Caprese Stuffed Avocado - 200 calories/portion, 4 portions, contains dairy (Italy)
"
31,250.0,100.0,220.0,20.0,210.0," Blueberry almond muffins (250 calories per portion, 2 portions, contains nuts, American origin)
", Cucumber Sandwiches, Beetroot Hummus with Pita Bread, Moroccan Mint Tea, Quinoa Stuffed Portobello Mushrooms
32,250.0,100.0,100.0,20.0,200.0," Vegan overnight oats with almond milk and berries (250kcals per portion, 2 portions, nut allergies)
", Roasted Beetroot Chips," Vegan Mushroom Soup - 100 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Greek stuffed bell peppers - 200 calories per portion, 4 portions, none (Greece)
"
33,150.0,100.0,240.0,20.0,100.0, Vegan Peanut Butter Banana Smoothie, Roasted Chickpeas, Vegan Stuffed Portobello Mushrooms, Moroccan Mint Tea," Ratatouille - 100 calories per portion, 4 portions, none (France)
"
34,250.0,100.0,90.0,20.0,200.0, Greek Yogurt Parfait Bowl, Roasted Almonds, Vegan Energy Balls, Moroccan Mint Tea, Ratatouille
35,300.0,80.0,120.0,20.0,160.0, Idli and Sambar, Fresh Squeezed Orange Juice, Peanut Butter Energy Balls, Moroccan Mint Tea," Bruschetta - 160kcals per portion, 4 portions, contains gluten (Italy)
"
36,250.0,100.0,180.0,20.0,150.0, Overnight Chia Pudding, Roasted Pumpkin Seeds, Greek Yogurt Parfait, Moroccan Mint Tea," Ratatouille - 150 calories/portion, 4 portions, contains garlic (France)
"
37,150.0,100.0,100.0,20.0,200.0, Vegan Egg Muffins - 150 calories per portion | 2 portions | None | Origin, Baked Zucchini Chips - Approx, Zucchini Tomato Bites, Moroccan Mint Tea, Veggie Miso Soup
38,300.0,100.0,140.0,20.0,200.0," Banana chocolate chip muffins (300 calories per portion, 2 portions, contains dairy, American origin)
", Cucumber Slices with Tzatziki - Approx, Greek Yogurt Bark, Moroccan Mint Tea," Spinach and feta stuffed mushrooms - 200 kcals per portion, 4 portions, vegetarian, gluten-free
"
