,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,100.0,640.0,150.0,350.0, Vegan Chocolate Banana Chia Pudding - 250 calories per portion | 2 portions | None | Origin, Baked Apple Chips, Vegan Ratatouille, Tom Yum Soup, Moroccan Vegetable Tagine
2,400.0,100.0,240.0,150.0,350.0, Vegan French Toast, Roasted Edamame, Vegan Stuffed Portobello Mushrooms, Lentil Soup, Vegan Goulash
3,300.0,100.0,100.0,150.0,150.0, Vegan Breakfast Tiramisu, Roasted Edamame," Homemade Hummus with Carrot Sticks - 100 kcals per portion, 4 portions, no allergic warnings, origin", Ratatouille, Swiss Chard and Lentil Soup
4,350.0,100.0,140.0,150.0,250.0, Vegan Breakfast Bars, Toasted Coconut Chips," Vegan Lemon Bars - 140 kcals per portion, 4 portions, no allergic warnings, origin", Tomato Basil Soup," Stuffed Portobello Mushrooms - 250 calories per portion, 4 portions, None, Various
"
5,150.0,100.0,200.0,150.0,400.0, Vegan Breakfast Fajitas, Roasted Pumpkin Seeds," Vegan Broccoli Pesto Pasta - 200 kcals per portion, 4 portions, no allergic warnings, origin", Cabbage Stir-Fry," Lentil Spinach Bolognese - 400 calories per portion, 4 portions, None, Italy
"
6,150.0,100.0,100.0,150.0,390.0, Chia Pudding - 150 calories per portion | 1 portion | None | Origin, Fresh Fruit Salad," Baked Tofu Nuggets - 100 kcals per portion, 4 portions, no allergic warnings, origin", Veggie Spring Rolls, Vegan Jambalaya
7,200.0,100.0,110.0,150.0,350.0, Vegan Matcha Chia Pudding - 200 calories per portion | 1 portion | None | Origin, Chilled Gazpacho," Oatmeal Raisin Energy Balls - 110 kcals per portion, 4 portions, no allergic warnings, origin", Tomato Basil Soup, Vegan Pizza
8,50.0,100.0,560.0,150.0,400.0, Vegan Breakfast Stuffed Tomatoes, Overnight Chia Pudding, Vegan Mediterranean Pasta Salad, Cabbage Stir-Fry," Vegan Stuffed Cabbage Rolls - 400 calories per portion, 4 portions, None, Various
"
9,300.0,100.0,260.0,150.0,300.0, Vegan Breakfast Tacos - 300 calories per portion | 2 portions | None | Origin, Roasted Almonds, Spicy Mango Salsa, Lentil Soup, Mexican Quinoa Bowl
10,250.0,100.0,120.0,150.0,159.0, Tofu Scramble - 250 calories per portion | 2 portions | None | Origin, Energy Balls," Vegan Oatmeal Raisin Cookies - 120 kcals per portion, 4 portions, no allergic warnings, origin", Tom Yum Soup, Quinoa Stuffed Mushrooms
11,200.0,100.0,170.0,150.0,180.0, Vegan Breakfast Frittata, Roasted Edamame," Vegan Mediterranean Flatbread - 170 kcals per portion, 4 portions, no allergic warnings, origin", Tom Yum Soup, Mediterranean Salad
12,500.0,100.0,760.0,150.0,350.0, Vegan Breakfast Croque Madame, Roasted Almonds, Vegan Cinnamon Rolls, Cabbage Stir-Fry, Vegan Butternut Squash Ravioli
13,400.0,100.0,280.0,150.0,250.0, Vegan Breakfast Spanakopita, Roasted Almonds, Vegan Lemon Poppy Seed Muffins, Tom Yum Soup," Greek Vegan Melitzanosalata (250 calories/portion, 4 portions) - Greece
"
14,250.0,100.0,180.0,150.0,200.0, Vegan Breakfast Bruschetta - 250 calories per portion | 2 portions | Contains gluten | Origin, Fresh Fruit Salad," Roasted Chickpea Salad - 180 kcals per portion, 4 portions, no allergic warnings, origin", Cabbage Stir-Fry, Spicy Black Bean Soup
15,150.0,100.0,150.0,150.0,250.0, Vegan Pancakes, Overnight Chia Pudding," Vegan Chocolate Avocado Mousse - 150 kcals per portion, 4 portions, allergic warning (avocado), origin", Tomato Basil Soup, Chickpea Buddha Bowl
16,100.0,80.0,120.0,150.0,150.0, Vegan Breakfast Bagel, Stuffed Dates," Chia Pudding with Fresh Berries - 120 kcals per portion, 4 portions, no allergic warnings, origin", Lentil Soup, Lentil Soup with Kale
