,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,100.0,120.0,20.0,250.0, Acai Bowl, Cucumber Rolls with Cream Cheese," Cold Cucumber Soup - 120 kcals per portion, 4 portions, gluten-free (World)", Moroccan Mint Tea," Tomato and Basil Bruschetta - 250 calories per portion, 4 portions, contains gluten (bread), Origin"
2,400.0,100.0,230.0,20.0,200.0, Turkish Borek, Caprese Skewers," Matzah Ball Soup - 230 kcals per portion, 3 portions, contains gluten (Jewish)", Moroccan Mint Tea," Spanakopita - 200 calories per portion, 6 portions, contains gluten and dairy (Greece)
"
3,350.0,80.0,800.0,100.0,250.0," Spanish tortilla with potato and onion (350kcals per portion, 2 portions, origin", Fresh Watermelon Slices - Approx, Vegan Spinach Artichoke Dip, Israeli salad," Zucchini Noodles with Marinara - 250 calories per portion, 4 portions, None, Italy
"
4,300.0,100.0,140.0,20.0,450.0, Savory Oatmeal with Vegetables, Mini Frittatas - Approx, Blueberry Oat Bars, Moroccan Mint Tea," Chicken Enchiladas - 450 calories per portion, 4 portions, contains gluten (tortillas), Origin"
5,400.0,100.0,120.0,100.0,350.0, Mediterranean Breakfast Wraps, Baked Zucchini Chips - Approx, Greek tomato and cucumber salad, Israeli salad," Chinese Vegan Dan Dan Noodles (350 calories/portion, 2 portions) - China
"
6,250.0,100.0,150.0,100.0,350.0," Peach and almond smoothie - 250 calories per portion, 1 portion, may contain nuts, origin", Rice Paper Spring Rolls, Cauliflower Buffalo Wings, Israeli salad, Vegan BBQ Sandwich
7,250.0,100.0,80.0,20.0,400.0," British eggy soldiers - 250 calories per portion, 1 portion, contains gluten, origin", Cucumber Rolls with Hummus - Approx, Baked Kale Chips, Moroccan Mint Tea," Vegan Pizza - 400 calories per portion, 4 portions, Gluten, Italy
"
8,380.0,100.0,90.0,100.0,200.0," Sweet potato and black bean breakfast skillet (380 calories per portion, 2 portions, nut-free, Mexican origin)
", Carrot Sticks with Ranch Dip, Peanut butter energy balls, Israeli salad," Cauliflower Fried Rice - 200 calories/portion, 4 portions, contains soy (China)
"
9,500.0,80.0,180.0,100.0,180.0," Malaysian nasi lemak (coconut rice with condiments) - 500 calories per portion, 2 portions, contains gluten, origin", Fresh Squeezed Orange Juice," Pineapple Salsa with Tortilla Chips - 180 kcals per portion, 3 portions, contains gluten (Various)", Israeli salad," Caprese Skewers - 180kcals per portion, 4 portions, contains dairy (Italy)
"
10,450.0,100.0,180.0,100.0,300.0," Peanut butter and banana smoothie bowl (450 calories per portion, 2 portions, contains nuts, American origin)
"," Rice Cake with Almond Butter - 100kcals per portion, 2 portions
    Origin"," Vegan Nachos with Salsa - 180 kcals per portion, 4 portions, no allergic warnings, origin", Israeli salad, Quinoa Stuffed Peppers
11,400.0,100.0,200.0,100.0,300.0," Italian caprese frittata with tomatoes, mozzarella, and basil (400kcals per portion, 2 portions, origin", Cucumber and Tomato Salad, Greek Frittata, Israeli salad," Mexican Street Corn - 300 calories per portion, 4 portions, contains dairy (cheese), Origin"
12,350.0,100.0,90.0,100.0,300.0," Vegetarian breakfast quiche with broccoli and feta (350 calories per portion, 2 portions, contains dairy, American origin)
", Caprese Skewers," Israeli Salad - 90 kcals per portion, 4 portions, gluten-free (Israel)", Israeli salad," Lemon Garlic Shrimp Scampi - 300 calories per portion, 4 portions, contains gluten (pasta), Origin"
13,250.0,100.0,180.0,100.0,350.0, Greek Yogurt Parfait Bowl, Greek yogurt with berries, Pesto and Tomato Tart, Israeli salad," Spinach and Mushroom Risotto - 350kcals per portion, 4 portions
"
14,350.0,100.0,160.0,100.0,320.0," Veggie breakfast burrito with black beans (350 calories per portion, 2 portions, nut-free, Mexican origin)
", Fruit salad," Vegan Taco Lettuce Wraps - 160 kcals per portion, 4 portions, no allergic warnings, origin", Israeli salad," Eggplant Curry - 320kcals per portion, 4 portions, contains spices (India)
"
15,350.0,100.0,160.0,20.0,380.0," Quinoa breakfast bowl with fruits and seeds (350 calories per portion, 2 portions, nut-free, American origin)
", Cucumber and Tomato Salad," Mini Pizza Bagels - 160 kcals per portion, 4 portions, contains gluten, dairy (USA)", Moroccan Mint Tea, Vegan Bibimbap
16,400.0,100.0,200.0,100.0,350.0," Israeli shakshuka with feta cheese - 400 calories per portion, 2 portions, contains dairy, origin", Kiwi and Strawberry Smoothie, Spinach and artichoke dip with tortilla chips, Israeli salad, Vegan Curry with Rice
17,400.0,100.0,220.0,100.0,450.0," Israeli shakshuka with feta cheese - 400 calories per portion, 2 portions, contains dairy, origin", Caprese Skewers, Cheese and Spinach Triangles, Israeli salad," Butternut Squash and Sage Pasta - 450 calories/portion, 4 portions, contains gluten (Italy)
"
18,400.0,70.0,720.0,20.0,150.0, Avocado and Egg Breakfast Salad, Fresh Fruit Salad, Vegan Black Bean Quesadillas, Moroccan Mint Tea," Ratatouille - 150 calories per portion, 6 portions, None, France
"
19,450.0,100.0,120.0,100.0,350.0, Lemon Poppy Seed Pancakes," Raspberry Yogurt Popsicles - 100kcals per portion, 2 portions
    Origin"," Pico de Gallo with Tortilla Chips - 120 kcals per portion, 1 portion, contains gluten (Mexico)", Israeli salad, Vietnamese Spring Rolls
20,150.0,100.0,250.0,100.0,400.0," Vegemite on toast - 150 calories per portion, 1 portion, contains gluten, origin", Toasted Coconut Chips, Mini Spinach and Ricotta Calzones, Israeli salad," Mushroom and Spinach Stroganoff - 400 calories/portion, 4 portions, Origin"
21,400.0,100.0,150.0,100.0,200.0, Veggie Breakfast Bagel Sandwich," Mediterranean Style Feta Stuffed Dates - 100kcals per portion, 2 portions
    Origin", Bruschetta with Tomato and Basil, Israeli salad," Tomato and mozzarella tart - 200 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
22,380.0,100.0,250.0,100.0,280.0," Israeli-style salad with scrambled eggs (380 calories per portion, 2 portions, nut-free, Israeli origin)
", Roasted Chickpeas, Mini Chicken Tacos, Israeli salad," Greek Zucchini Patties - 280kcals per portion, 4 portions
"
23,300.0,100.0,200.0,100.0,350.0, Saffron Yogurt with Fruit, Caprese Skewers, Cilantro Lime Shrimp Skewers, Israeli salad, Greek Phyllo Pie
24,250.0,100.0,220.0,20.0,450.0, Vegan Oatmeal Raisin Overnight Oats - 250 calories per portion | 2 portions | Contains gluten | Origin, Rice Paper Spring Rolls," Falafel with Tahini Sauce - 220 kcals per portion, 3 portions, contains sesame (Middle East)", Moroccan Mint Tea, Beef Tacos with Salsa
25,400.0,90.0,140.0,100.0,200.0," Indian dosa with coconut chutney - 400 calories per portion, 2 portions, contains gluten, origin", Stuffed Dates, Blueberry Oat Bars, Israeli salad, Vegan Goulash
