,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,200.0,180.0,200.0,350.0, Vegan Breakfast Sandwich - 350 calories per portion | 1 portion | Contains gluten | Origin, Chickpea Salad," Antipasto skewers (olives, mozzarella, salami)"," Greek Salad - 200 calories per portion, 4 portions, vegetarian, Greek
"," Spinach and Ricotta Stuffed Shells - 350 calories per portion, 4 portions, contains gluten (pasta), Origin"
2,350.0,300.0,100.0,200.0,350.0," Banana pecan pancakes (350 calories per portion, 2 portions, contains nuts, American origin)
", Baked Eggs in Avocado - Approx, Chocolate-Dipped Strawberries," Quinoa-Stuffed Mushrooms - 200kcals per portion, 2 portions, gluten-free
"," Vegan Lentil Coconut Curry - 350 calories per portion, 2 portions, may contain mustard"
3,500.0,220.0,120.0,200.0,300.0, Vegan Breakfast Vegetable Stir-Fry, Caramelized banana oatmeal," Vegan Coconut Lime Energy Balls - 120 kcals per portion, 4 portions, no allergic warnings, origin", Caprese salad, Vegan Sushi
4,350.0,150.0,200.0,150.0,250.0, Vegan Bagel with Tofu Cream Cheese - 350 calories per portion | 1 portion | Contains gluten | Origin, Chocolate Covered Strawberries," Vegan Peanut Butter Banana Smoothie - 200 kcals per portion, 4 portions, allergic warning (peanuts), origin"," Lentil Soup - 150 calories
   - Total portions"," Zucchini Noodles with Marinara - 250 calories per portion, 4 portions, None, Italy
"
5,350.0,400.0,220.0,150.0,350.0, Vegan Breakfast Bars, Chicken Shawarma Wraps - Approx, Veggie-Stuffed Pita Pockets, Spinach and ricotta stuffed tomatoes," Mushroom and spinach risotto - 350 kcals per portion, 4 portions, vegetarian, contains lactose
"
6,400.0,250.0,250.0,200.0,300.0," Huevos Rancheros with black beans (400 calories per portion, 2 portions, nut-free, Mexican origin)
", Fruit and Nut Yogurt Bowl, Spinach and Feta Rolls," Israeli Grilled Vegetable Skewers (200 calories per portion, serves 4, no allergies, origin"," Japanese Vegan Sushi Bowl (300 calories/portion, 3 portions) - Japan
"
7,400.0,200.0,100.0,150.0,300.0, Vegan Cinnamon Rolls, Greek Salad, Chocolate Covered Strawberries, Tomato Basil Soup, Lentil Biryani
8,400.0,300.0,80.0,200.0,320.0, Bagel with Cream Cheese and Smoked Salmon, Quinoa and Vegetable Stuffed Bell Peppers, Chocolate-dipped strawberries," Japanese Miso Soup with Tofu and Vegetables
Total calories per portion", Chickpea Salad Sandwich
9,200.0,100.0,250.0,200.0,350.0, Papaya Boat with Lime, Cucumber Slices with Tzatziki - Approx, Vegetable Samosas," Lentil Soup
Total calories per portion"," British Vegan Scotch Broth (350 calories/portion, 2 portions) - United Kingdom
"
10,500.0,120.0,320.0,150.0,180.0, Israeli Breakfast Salad, Carrot Sticks with Hummus, Quinoa Salad, Lentil Soup," Veggie Sushi Rolls - 180 calories per portion, 6 portions, Soy, Japan
"
11,350.0,150.0,180.0,150.0,200.0, Vegan Apricot and Almond Granola Bars - 350 calories per portion | 1 portion | Contains nuts | Origin, Berry smoothie, Bacon-Wrapped Dates, Butternut squash soup," Miso Soup - 200 calories/portion, 2 portions, Origin"
12,200.0,150.0,170.0,150.0,350.0, Blueberry Almond Baked Oatmeal, Oatmeal with Cinnamon - Approx, Tuna Salad Lettuce Wraps, Cabbage Stir-Fry, Shrimp and Avocado Salad
13,300.0,120.0,180.0,200.0,350.0, Egg Salad Sandwich, Sautéed Brussels Sprouts," Chocolate Covered Pretzels - 180 kcals per portion, 4 portions, contains gluten (USA)"," Vegan Tom Yum Soup
Total calories per portion"," Stuffed zucchini with quinoa and feta - 350 kcals per portion, 3 portions, vegetarian, gluten-free
"
14,200.0,200.0,120.0,200.0,250.0, Tofu Scramble, Chia Pudding with Almonds - Approx, Banana Oat Cookies," Vegan Moroccan Lentil Soup
Total calories per portion"," Black bean and corn salad with lime dressing – 250 calories per portion, 4 portions, vegan-friendly (origin"
15,320.0,250.0,180.0,200.0,350.0," Baked eggs with asparagus and Parmesan (320 calories per portion, 2 portions, contains dairy, Italian origin)
", Vegan Chocolate Banana Bread, Veggie Quesadillas," Baked Zucchini Fries - 200kcals per portion, 4 portions, no allergies
"," Coconut Shrimp Curry - 350 calories per portion, 4 portions, contains shellfish, Origin"
16,400.0,200.0,80.0,200.0,300.0, Vegan Breakfast Stuffed Peppers - 400 calories per portion | 1 portion | None | Origin, Tomato and cheese bruschetta, Vegetable Soup, Vegan Zucchini Bread, Caprese Stuffed Portobello Mushrooms
