,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,380.0,380.0,400.0,400.0,250.0," Baked avocado eggs with bacon (380 calories per portion, 2 portions, contains eggs, American origin)
"," Greek-style stuffed peppers with eggs (380 calories per portion, 2 portions, contains eggs, Greek origin)
"," Israeli Sabich Sandwich (400 calories per portion, serves 2, contains gluten and eggs, origin"," Israeli Sabich Sandwich (400 calories per portion, serves 2, contains gluten and eggs, origin"," Israeli Sabich Salad (250 calories per portion, serves 4, contains gluten and eggs, origin"
2,380.0,400.0,400.0,400.0,250.0," Baked avocado eggs with bacon (380 calories per portion, 2 portions, contains eggs, American origin)
"," Shakshuka with Feta Cheese (400 calories per portion, serves 4, contains dairy and eggs, origin"," Israeli Shakshuka with Labneh (400 calories per portion, serves 4, contains dairy and eggs, origin"," Israeli Shakshuka with Spinach (400 calories per portion, serves 4, contains eggs, origin"," Israeli Sabich Salad (250 calories per portion, serves 4, contains gluten and eggs, origin"
3,400.0,380.0,400.0,400.0,250.0," Mexican-style breakfast wrap with eggs and black beans (400 calories per portion, 2 portions, contains eggs, Mexican origin)
"," Sausage and egg breakfast burrito (380 calories per portion, 2 portions, contains eggs, American origin)
"," Mexican-style breakfast wrap with eggs and black beans (400 calories per portion, 2 portions, contains eggs, Mexican origin)
"," Israeli Shakshuka with Spinach (400 calories per portion, serves 4, contains eggs, origin"," Israeli Sabich Salad (250 calories per portion, serves 4, contains gluten and eggs, origin"
4,400.0,400.0,400.0,300.0,250.0," Savory oatmeal with bacon and eggs (400 calories per portion, 2 portions, contains eggs, American origin)
"," Savory oatmeal with bacon and eggs (400 calories per portion, 2 portions, contains eggs, American origin)
"," Israeli Shakshuka with Spicy Harissa (400 calories per portion, serves 4, contains eggs, origin"," Matzo Ball Soup - 300 calories per portion, 4 portions, contains eggs, Jewish
"," Israeli Sabich Salad (250 calories per portion, serves 4, contains gluten and eggs, origin"
5,380.0,300.0,400.0,500.0,250.0," Greek-style stuffed peppers with eggs (380 calories per portion, 2 portions, contains eggs, Greek origin)
"," Matzo Ball Soup - 300 calories per portion, 4 portions, contains eggs, Jewish
"," Israeli Sabich Sandwich (400 calories per portion, serves 2, contains gluten and eggs, origin"," Greek Moussaka with Eggplant and Beef (500 calories per portion, serves 2, contains dairy and eggs, origin"," Israeli Sabich Salad (250 calories per portion, serves 4, contains gluten and eggs, origin"
6,300.0,350.0,380.0,300.0,250.0," Turkish-style scrambled eggs with tomatoes (300 calories per portion, 2 portions, contains eggs, Turkish origin)
"," Israeli Sabich Sandwich - 350 calories per portion, 2 portions, contains eggs, Israeli
"," Greek-style stuffed peppers with eggs (380 calories per portion, 2 portions, contains eggs, Greek origin)
"," Israeli Egg Salad Wrap (300 calories per portion, serves 2, contains gluten and eggs, origin"," Israeli Sabich Salad (250 calories per portion, serves 4, contains gluten and eggs, origin"
7,380.0,400.0,300.0,300.0,250.0," Baked avocado eggs with bacon (380 calories per portion, 2 portions, contains eggs, American origin)
"," Israeli Shakshuka with Labneh (400 calories per portion, serves 4, contains dairy and eggs, origin"," Turkish-style scrambled eggs with tomatoes (300 calories per portion, 2 portions, contains eggs, Turkish origin)
"," Greek Lemon Chicken Soup (300 calories per portion, serves 6, contains gluten and eggs, origin"," Israeli Sabich Salad (250 calories per portion, serves 4, contains gluten and eggs, origin"
8,380.0,400.0,350.0,500.0,250.0," Baked avocado eggs with bacon (380 calories per portion, 2 portions, contains eggs, American origin)
"," Shakshuka with Feta Cheese (400 calories per portion, serves 4, contains dairy and eggs, origin"," Israeli Sabich Sandwich - 350 calories per portion, 2 portions, contains eggs, Israeli
"," Greek Moussaka with Eggplant and Beef (500 calories per portion, serves 2, contains dairy and eggs, origin"," Israeli Sabich Salad (250 calories per portion, serves 4, contains gluten and eggs, origin"
9,300.0,350.0,250.0,250.0,250.0," Turkish-style scrambled eggs with tomatoes (300 calories per portion, 2 portions, contains eggs, Turkish origin)
"," Israeli Sabich Sandwich - 350 calories per portion, 2 portions, contains eggs, Israeli
"," Israeli Sabich Salad (250 calories per portion, serves 4, contains gluten and eggs, origin"," Israeli Sabich Salad (250 calories per portion, serves 4, contains gluten and eggs, origin"," Israeli Sabich Salad (250 calories per portion, serves 4, contains gluten and eggs, origin"
10,380.0,300.0,380.0,400.0,250.0," Greek-style stuffed peppers with eggs (380 calories per portion, 2 portions, contains eggs, Greek origin)
"," Matzo Ball Soup - 300 calories per portion, 4 portions, contains eggs, Jewish
"," Baked avocado eggs with bacon (380 calories per portion, 2 portions, contains eggs, American origin)
"," Israeli Shakshuka with Spicy Harissa (400 calories per portion, serves 4, contains eggs, origin"," Israeli Sabich Salad (250 calories per portion, serves 4, contains gluten and eggs, origin"
