,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,100.0,240.0,400.0,300.0, Veggie Breakfast Pizza, Baked Apple Chips, Veggie Sushi Rolls, Greek spinach and feta pizza," Moroccan Couscous with Roasted Vegetables - 300 calories/portion, 4 portions, contains gluten (Morocco)
"
2,200.0,80.0,300.0,250.0,350.0, Spinach Tomato Feta Frittata, Mango with Chili Powder, Roasted Vegetable Wrap, Bruschetta, Mushroom Risotto
3,300.0,80.0,280.0,400.0,340.0, Overnight Cherry Almond Oats, Avocado Deviled Eggs, Veggie Bruschetta Pizza, Roasted Butternut Squash Salad," Spinach and Artichoke Stuffed Portobello Mushrooms - 340kcals per portion, 2 portions, contains dairy
"
4,250.0,100.0,200.0,300.0,250.0, Vegan Breakfast Strata, Kiwi and Strawberry Smoothie, Pumpkin Bread, Portobello mushroom burger," Greek Fava - 250kcals per portion, 4 portions
"
5,200.0,80.0,210.0,400.0,200.0, Mexican Black Bean Breakfast Wrap, Fruit Salad, Veggie Pizza Bagels, Mushroom and Spinach Quesadilla," Falafel with tahini sauce - 200 calories per portion, 4 portions, contains gluten (Middle East)
"
6,300.0,100.0,120.0,180.0,300.0, Vegan Cranberry Orange Muffins, Tomato Basil Bruschetta, Greek Yogurt with Berries, Spinach and artichoke dip," Lentil and vegetable shepherd's pie - 300 calories per portion, 4 portions, none
"
7,400.0,80.0,180.0,400.0,250.0, Veggie Bagel Sandwich, Cheesy Popcorn, Greek Olive Breadsticks," Eggplant and Zucchini Lasagna - 400kcals per portion, 2 portions, contains gluten, dairy (Italy)
"," Veggie fajitas - 250 calories per portion, 4 portions, contains gluten (Mexico)
"
8,350.0,100.0,280.0,300.0,250.0, Apple Cinnamon Muffins, Caprese Skewers, Veggie Flatbread Pizza," Lentil Bolognese - 300kcals per portion, 4 portions, no allergies, Origin"," Caprese Stuffed Zucchini - 250 calories/portion, 4 portions, Origin"
9,250.0,100.0,280.0,260.0,350.0, Vegan Cinnamon Rolls, Kiwi and Strawberry Smoothie, Greek Spinach Pie," Egg Salad - 260kcals per portion, 2 portions, contains eggs
"," Vegetable curry with basmati rice - 350 calories per portion, 4 portions, contains nuts (India)
"
10,400.0,100.0,100.0,390.0,350.0, Almond Croissant, Roasted Chickpeas, Tomato Basil Bruschetta with Feta," Mexican Quinoa Salad - 390kcals per portion, 2 portions, contains gluten
"," Vegetable korma with basmati rice - 350 calories per portion, 4 portions, contains nuts (India)
"
11,300.0,80.0,150.0,300.0,350.0, Vegetable Upma, Kale Chips, Mini Quiche, Vegetable Frittata," Chickpea Salad - 350 calories/portion, 4 portions, Origin"
12,200.0,100.0,200.0,300.0,300.0, Quinoa Breakfast Skillet, Guacamole Stuffed Cherry Tomatoes, Veggie Sushi Burrito," Chickpea Curry - 300kcals per portion, 4 portions, no allergies, Origin"," Broccoli and Cheddar Stuffed Potatoes - 300 calories/portion, 4 portions, Origin"
13,350.0,100.0,220.0,220.0,250.0, Banana Nut Muffins, Fruit Salad, Caprese Bruschetta, Greek lemon rice soup (Avgolemono)," Ratatouille tart - 250 calories per portion, 6 portions, contains gluten (France)
"
14,250.0,100.0,280.0,350.0,300.0, Vegan Breakfast Sushi, Quinoa Energy Bites, Vegan Nachos," Falafel Salad - 350kcals per portion, 2 portions, contains gluten, legumes (Middle East)
"," Butternut Squash Risotto - 300 calories/portion, 4 portions, Origin"
15,250.0,90.0,140.0,350.0,350.0, Ragi (Finger Millet) Pancakes, Fruit Salad, Baked Sweet Potato Chips, Falafel Wrap," Sweet Potato Curry - 350 calories/portion, 4 portions, Origin"
16,400.0,90.0,120.0,500.0,180.0, Veggie Biscuits and Gravy, Vegetarian Spring Rolls, Cucumber Sandwiches, Ratatouille Tart," Caprese Skewers - 180kcals per portion, 4 portions, contains dairy (Italy)
"
17,400.0,80.0,120.0,400.0,150.0, Veggie Sausage Breakfast Sandwich, Hard-Boiled Eggs, Pita Chips with Homemade Salsa," Greek Pita Sandwich - 400kcals per portion, 2 portions, contains dairy, Origin", Spinach and Feta Stuffed Mushrooms
18,400.0,100.0,80.0,400.0,350.0, Veggie English Breakfast, Cucumber and Tomato Salad, Baked Kale Chips," Caprese Panini - 400kcals per portion, 2 portions, contains dairy
"," Mexican Stuffed Bell Peppers - 350 calories/portion, 4 portions, Origin"
19,250.0,100.0,160.0,250.0,300.0, Buckwheat Porridge, Rice Cake with Hummus and Cucumber, Spinach and Feta Stuffed Mushrooms, Lentil and Vegetable Soup," Greek Stuffed Peppers - 300 calories/portion, 4 portions, contains feta cheese (Greece)
"
20,200.0,100.0,80.0,200.0,320.0, Mini Vegetable Quiche, Cucumber and Tomato Salad, Vegetable Soup, Spinach and cheese stuffed portobello mushrooms," Quinoa-Stuffed Mushrooms - 320kcals per portion, 4 portions
"
21,300.0,100.0,80.0,400.0,200.0, Avocado Toast, Baked Apple Chips, Fresh Fruit Salad," Greek Style Spinach and Feta Stuffed Mushrooms - 400kcals per portion, 2 portions, contains dairy
"," Eggplant and Tomato Gratin - 200 calories/portion, 2 portions, Origin"
22,400.0,100.0,150.0,250.0,300.0, Veggie English Breakfast, Cucumber and Tomato Salad, Veggie Sushi Rolls, Lentil and vegetable curry, Caprese Stuffed Portobello Mushrooms
