,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,500.0,100.0,180.0,20.0,300.0," Hawaiian loco moco with beef patty, rice, and egg (500kcals per portion, 2 portions, origin", Caprese Skewers, Strawberry and banana smoothie, Moroccan Mint Tea, Teriyaki Tofu Bowl
2,280.0,140.0,280.0,20.0,180.0," Cottage cheese and tomato on rye bread (280 calories per portion, 2 portions, contains dairy, Russian origin)
", Stuffed Jalapeno Poppers, Veggie Pita Pockets, Moroccan Mint Tea," Caprese Salad - 180kcals per portion, 4 portions, contains dairy (Italy)
"
3,300.0,200.0,100.0,20.0,300.0," Nigerian moi moi (bean pudding) - 300 calories per portion, 2 portions, no allergic warnings, origin", Egg Salad Lettuce Wraps, Apple Chips, Moroccan Mint Tea, Vegan Gyros
4,400.0,80.0,160.0,20.0,250.0," Shakshuka with bell peppers and tomatoes (400kcals per portion, 2 portions, origin", Fruit Salad," Sweet Potato and Black Bean Quesadillas - 160 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Baked Cod with Lemon and Garlic - 250 calories per portion, 4 portions, no allergic warnings, Origin"
5,300.0,180.0,140.0,20.0,250.0," Egyptian foul medames (fava bean stew) - 300 calories per portion, 2 portions, no allergic warnings, origin", Pita Bread with Baba Ganoush, Greek Yogurt Bark, Moroccan Mint Tea, Ratatouille-Stuffed Tomatoes
6,350.0,220.0,80.0,20.0,220.0," Ethiopian injera (sourdough flatbread) with lentil stew (350kcals per portion, 2 portions, origin", Overnight Chia Pudding, Tomato and cucumber salad, Moroccan Mint Tea, Chickpea and Vegetable Stir Fry
7,350.0,220.0,300.0,20.0,300.0," Apple cinnamon overnight French toast (350 calories per portion, 2 portions, nut-free, American origin)
", Guacamole with Tortilla Chips, Sweet Potato and Black Bean Stuffed Peppers, Moroccan Mint Tea, Couscous Salad
8,300.0,180.0,200.0,20.0,180.0, Berry Quinoa Breakfast Bowl - 300 calories per portion | 1 portion | Contains nuts | Origin, Mediterranean Stuffed Tomatoes, Baked Zucchini Fries, Moroccan Mint Tea," Caprese Skewers - 180kcals per portion, 4 portions, contains dairy (Italy)
"
9,250.0,200.0,160.0,20.0,289.0, Blueberry Oatmeal Breakfast Bars, Mixed Berry Oat Bars, Cucumber and Cream Cheese Bites, Moroccan Mint Tea, Chickpea and Spinach Stew
10,500.0,300.0,160.0,20.0,200.0, Blueberry Pancakes, Vegan Breakfast Wraps, Sliced Apples with Peanut Butter, Moroccan Mint Tea," Spinach and feta stuffed mushrooms - 200 kcals per portion, 4 portions, vegetarian, gluten-free
"
11,300.0,150.0,170.0,20.0,300.0, Vegan Blueberry Muffins, Greek Yogurt with Honey - Approx," Egg Salad Lettuce Wraps - 170 kcals per portion, 3 portions, contains egg (USA)", Moroccan Mint Tea," Vegetarian chili - 300 calories per portion, 4 portions, none (Mexico)
"
12,250.0,250.0,120.0,20.0,250.0, Raw Vegan Breakfast Bars - 250 calories per portion | 2 portions | Contains nuts | Origin, Oatmeal pancakes with blueberries, Banana Oat Cookies, Moroccan Mint Tea," Quinoa salad with roasted butternut squash – 250 calories per portion, 4 portions, gluten-free, vegan-friendly
"
13,400.0,200.0,150.0,20.0,210.0," Quinoa porridge with coconut milk - 400 calories per portion, 2 portions, no allergic warnings, origin", Roasted Butternut Squash and Sweet Potato Fries, Veggie Chips, Moroccan Mint Tea, Lentil and Vegetable Stir Fry
14,350.0,250.0,240.0,20.0,200.0, Vegan Breakfast Pizza - 350 calories per portion | 1 portion | Contains gluten | Origin, Stuffed Mushrooms with Sundried Tomato and Spinach," Matzah with Cream Cheese - 240 kcals per portion, 3 portions, contains dairy (Jewish)", Moroccan Mint Tea," Avocado and Tomato Salad - 200 calories/portion, 2 portions, Origin"
15,400.0,240.0,190.0,20.0,300.0," Jamaican ackee and saltfish with fried plantains (400kcals per portion, 2 portions, origin", Vegan Raspberry Muffins, Greek Yogurt with Honey and Nuts, Moroccan Mint Tea, Eggplant Rollatini
16,400.0,200.0,200.0,20.0,250.0, Mexican Sopes," Raspberry Oat Bars - 200kcals per portion, 1 portion
    Origin", Mediterranean Nachos, Moroccan Mint Tea, Black Bean Tacos
17,400.0,150.0,120.0,20.0,300.0, Vegan Cinnamon Rolls," Assorted Mini Muffins - 150kcals per portion, 2 portions
    Origin", Cheese and Spinach Stuffed Mushrooms, Moroccan Mint Tea," Mexican Quinoa Bowl - 300 calories/portion, 4 portions, contains cilantro (Mexico)
"
18,450.0,300.0,180.0,20.0,300.0, Vegan Breakfast Muffins, Creamy Avocado and White Bean Wrap, Spinach and Feta Pastry Triangles, Moroccan Mint Tea, Greek Spanakopita Triangles
19,350.0,200.0,150.0,20.0,289.0," Mediterranean-style omelette with tomatoes and feta (350 calories per portion, 2 portions, contains dairy, Greek origin)
"," Mexican Street Corn Cups - 200kcals per portion, 1 portion
    Origin", Mini crustless quiche with spinach and feta, Moroccan Mint Tea, Chickpea and Spinach Stew
20,200.0,200.0,720.0,20.0,300.0, Roasted Vegetable Breakfast Tacos," Scrambled Eggs on Toast - 200kcals per portion, 1 portion
   Origin", Vegan Lemon Bars, Moroccan Mint Tea," Vegetarian Chili - 300 calories per portion, 6 portions, no allergic warnings, Origin"
21,400.0,300.0,180.0,20.0,250.0," Cheese and beef sausage omelet (400kcals per portion, 2 portions, dairy allergies, origin", Pancake Skewers, Cheesy Garlic Breadsticks, Moroccan Mint Tea," Stuffed Butternut Squash - 250 calories/portion, 4 portions, Origin"
22,400.0,250.0,130.0,20.0,300.0, Mushroom Breakfast Burrito, Greek Yogurt and Berry Overnight Oats," Stuffed Mini Portobello Mushrooms - 130 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Butternut Squash Risotto - 300 calories/portion, 4 portions, Origin"
23,300.0,200.0,220.0,20.0,250.0, Mushroom and Tomato Omelette, Tofu Scramble with Veggies, Vegan Banana Pancakes, Moroccan Mint Tea," Black Bean Tacos - 250 calories/portion, 4 portions, Origin"
24,450.0,210.0,100.0,20.0,200.0," Turkish simit (sesame bread) with cream cheese and olives (450kcals per portion, 1 portion, dairy allergies, origin", Spinach and Cheese Pastries," Vegan Mushroom Soup - 100 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Lentil curry - 200 calories per portion, 6 portions, contains gluten (India)
"
25,350.0,250.0,180.0,20.0,159.0," Haitian pain patate (sweet potato bread) - 350 calories per portion, 2 portions, contains gluten, origin", Stuffed Mushrooms with Sundried Tomato and Spinach, Beetroot and Feta Cheese Salad, Moroccan Mint Tea, Quinoa Stuffed Mushrooms
26,350.0,250.0,180.0,20.0,220.0, Quinoa Porridge - 350 calories per portion | 1 portion | Contains nuts | Origin, Veggie Stuffed Mushrooms, Grilled Halloumi Skewers, Moroccan Mint Tea, Chickpea and Vegetable Stir Fry
27,500.0,160.0,300.0,20.0,280.0," American biscuits and gravy with sausage (500kcals per portion, 2 portions, pork allergies, origin", Zucchini Chips, Chicken Gyro Wraps, Moroccan Mint Tea, Vegan Quiche
28,350.0,250.0,520.0,20.0,210.0," Middle Eastern labneh with za'atar and bread - 350 calories per portion, 2 portions, contains gluten and dairy, origin", Vegan Protein Brownies, Vegan Thai Coconut Curry Soup, Moroccan Mint Tea, Quinoa Stuffed Portobello Mushrooms
