,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,300.0,400.0,300.0,400.0," Turkish-style scrambled eggs with tomatoes (300 calories per portion, 2 portions, contains eggs, Turkish origin)
"," Greek Lemon Chicken Soup (300 calories per portion, serves 6, contains gluten and eggs, origin"," Savory oatmeal with bacon and eggs (400 calories per portion, 2 portions, contains eggs, American origin)
"," Israeli Egg Salad Wrap (300 calories per portion, serves 2, contains gluten and eggs, origin"," Israeli Shakshuka with Spinach (400 calories per portion, serves 4, contains eggs, origin"
2,300.0,400.0,380.0,250.0,400.0," Turkish-style scrambled eggs with tomatoes (300 calories per portion, 2 portions, contains eggs, Turkish origin)
"," Mexican-style breakfast wrap with eggs and black beans (400 calories per portion, 2 portions, contains eggs, Mexican origin)
"," Greek-style stuffed peppers with eggs (380 calories per portion, 2 portions, contains eggs, Greek origin)
"," Israeli Sabich Salad (250 calories per portion, serves 4, contains gluten and eggs, origin"," Israeli Shakshuka with Spinach (400 calories per portion, serves 4, contains eggs, origin"
3,300.0,400.0,400.0,250.0,380.0," Turkish-style scrambled eggs with tomatoes (300 calories per portion, 2 portions, contains eggs, Turkish origin)
"," Israeli Shakshuka with Spicy Harissa (400 calories per portion, serves 4, contains eggs, origin"," Israeli Shakshuka with Spicy Harissa (400 calories per portion, serves 4, contains eggs, origin"," Israeli Sabich Salad (250 calories per portion, serves 4, contains gluten and eggs, origin"," Sausage and egg breakfast burrito (380 calories per portion, 2 portions, contains eggs, American origin)
"
4,300.0,300.0,300.0,250.0,350.0," Turkish-style scrambled eggs with tomatoes (300 calories per portion, 2 portions, contains eggs, Turkish origin)
"," Matzo Ball Soup - 300 calories per portion, 4 portions, contains eggs, Jewish
"," Israeli Egg Salad Wrap (300 calories per portion, serves 2, contains gluten and eggs, origin"," Israeli Sabich Salad (250 calories per portion, serves 4, contains gluten and eggs, origin"," Israeli Sabich Sandwich - 350 calories per portion, 2 portions, contains eggs, Israeli
"
5,300.0,400.0,400.0,300.0,300.0," Turkish-style scrambled eggs with tomatoes (300 calories per portion, 2 portions, contains eggs, Turkish origin)
"," Israeli Sabich Sandwich (400 calories per portion, serves 2, contains gluten and eggs, origin"," Shakshuka with crusty bread (400 calories per portion, 2 portions, contains eggs, Israeli origin)
"," Israeli Egg Salad Wrap (300 calories per portion, serves 2, contains gluten and eggs, origin"," Turkish-style scrambled eggs with tomatoes (300 calories per portion, 2 portions, contains eggs, Turkish origin)
"
6,300.0,500.0,300.0,300.0,300.0," Turkish-style scrambled eggs with tomatoes (300 calories per portion, 2 portions, contains eggs, Turkish origin)
"," Greek Moussaka with Eggplant and Beef (500 calories per portion, serves 2, contains dairy and eggs, origin"," Israeli Egg Salad Wrap (300 calories per portion, serves 2, contains gluten and eggs, origin"," Greek Lemon Chicken Soup (300 calories per portion, serves 6, contains gluten and eggs, origin"," Turkish-style scrambled eggs with tomatoes (300 calories per portion, 2 portions, contains eggs, Turkish origin)
"
7,300.0,380.0,400.0,500.0,350.0," Turkish-style scrambled eggs with tomatoes (300 calories per portion, 2 portions, contains eggs, Turkish origin)
"," Greek-style stuffed peppers with eggs (380 calories per portion, 2 portions, contains eggs, Greek origin)
"," Israeli Shakshuka with Labneh (400 calories per portion, serves 4, contains dairy and eggs, origin"," Greek Moussaka with Eggplant and Beef (500 calories per portion, serves 2, contains dairy and eggs, origin"," Israeli Sabich Sandwich - 350 calories per portion, 2 portions, contains eggs, Israeli
"
8,300.0,350.0,300.0,400.0,400.0," Turkish-style scrambled eggs with tomatoes (300 calories per portion, 2 portions, contains eggs, Turkish origin)
"," Israeli Sabich Sandwich - 350 calories per portion, 2 portions, contains eggs, Israeli
"," Israeli Egg Salad Wrap (300 calories per portion, serves 2, contains gluten and eggs, origin"," Israeli Shakshuka with Spicy Harissa (400 calories per portion, serves 4, contains eggs, origin"," Shakshuka with Feta Cheese (400 calories per portion, serves 4, contains dairy and eggs, origin"
9,300.0,380.0,380.0,250.0,400.0," Turkish-style scrambled eggs with tomatoes (300 calories per portion, 2 portions, contains eggs, Turkish origin)
"," Sausage and egg breakfast burrito (380 calories per portion, 2 portions, contains eggs, American origin)
"," Greek-style stuffed peppers with eggs (380 calories per portion, 2 portions, contains eggs, Greek origin)
"," Israeli Sabich Salad (250 calories per portion, serves 4, contains gluten and eggs, origin"," Shakshuka with Feta Cheese (400 calories per portion, serves 4, contains dairy and eggs, origin"
10,300.0,400.0,400.0,400.0,400.0," Turkish-style scrambled eggs with tomatoes (300 calories per portion, 2 portions, contains eggs, Turkish origin)
"," Savory oatmeal with bacon and eggs (400 calories per portion, 2 portions, contains eggs, American origin)
"," Savory oatmeal with bacon and eggs (400 calories per portion, 2 portions, contains eggs, American origin)
"," Israeli Shakshuka with Labneh (400 calories per portion, serves 4, contains dairy and eggs, origin"," Savory oatmeal with bacon and eggs (400 calories per portion, 2 portions, contains eggs, American origin)
"
11,300.0,500.0,400.0,400.0,380.0," Turkish-style scrambled eggs with tomatoes (300 calories per portion, 2 portions, contains eggs, Turkish origin)
"," Greek Moussaka with Eggplant and Beef (500 calories per portion, serves 2, contains dairy and eggs, origin"," Israeli Sabich Sandwich (400 calories per portion, serves 2, contains gluten and eggs, origin"," Israeli Sabich Sandwich (400 calories per portion, serves 2, contains gluten and eggs, origin"," Sausage and egg breakfast burrito (380 calories per portion, 2 portions, contains eggs, American origin)
"
