,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,80.0,300.0,20.0,300.0, Vegan Breakfast Tacos - 300 calories per portion | 2 portions | None | Origin, Fruit Salad, Caprese stuffed avocado, Moroccan Mint Tea, Sweet Potato and Black Bean Enchiladas
2,350.0,80.0,160.0,120.0,250.0, Quinoa Porridge with Caramelized Bananas, Apple with Cinnamon, Baked Tofu Fingers," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Bulgur Salad
3,300.0,50.0,230.0,120.0,300.0, Greek Yogurt Parfait," Fruit Salad - 50kcals per portion, 2 portions
   Origin"," Matzah Ball Soup - 230 kcals per portion, 3 portions, contains gluten (Jewish)"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Vegetable Sushi Rolls - 300 calories/portion, 4 portions, contains soy (Japan)

"
4,250.0,80.0,120.0,120.0,200.0, Vegan Banana Bread - 250 calories per portion | 2 portions | Contains gluten | Origin, Mango with Chili Powder, Roasted Cauliflower Popcorn," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Chinese Vegan Hot and Sour Soup (200 calories/portion, 4 portions) - China

"
5,250.0,50.0,180.0,120.0,300.0, Egg and Cheese Breakfast Taco," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Sweet and Spicy Roasted Almonds," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Spinach and Feta Stuffed Chicken Breast - 300 calories per portion, 4 portions, contains dairy (cheese), Origin"
6,300.0,80.0,200.0,100.0,220.0, Vegan Cranberry Orange Muffins, Mango with Chili Powder, Bruschetta with Mozzarella and Basil, Israeli salad, Chickpea and Vegetable Stir Fry
7,320.0,80.0,110.0,100.0,300.0," Ricotta and berry-stuffed crepes (320 calories per portion, 2 portions, contains dairy, French origin)
", Fruit Salad," Oatmeal Raisin Energy Balls - 110 kcals per portion, 4 portions, no allergic warnings, origin", Israeli salad," Spinach and feta phyllo triangles - 300 calories per portion, 4 portions, contains gluten and dairy (Greece)
"
8,400.0,50.0,220.0,120.0,200.0, Vegan Chocolate Waffles," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Greek tzatziki with pita chips," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Vegan Chili
9,350.0,50.0,150.0,20.0,300.0, Vegan Breakfast Burrito," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Bruschetta with Tomato and Basil, Moroccan Mint Tea," Broccoli and Cheddar Stuffed Potatoes - 300 calories/portion, 4 portions, Origin"
10,100.0,80.0,110.0,120.0,200.0, Healthy Fruit Salad, Apple with Cinnamon," Watermelon Gazpacho - 110 kcals per portion, 4 portions, gluten-free (Spain)"," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Cucumber, tomato, and red onion salad – 200 calories per portion, 4 portions, vegan-friendly
"
