,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,180.0,200.0,400.0,350.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Cilantro Lime Shrimp Skewers, Vietnamese Caramelized Pork, Baked Cod with Lemon Dijon Sauce
2,350.0,250.0,220.0,400.0,600.0, Scrambled Eggs with Smoked Salmon, Rice cakes with cream cheese and smoked salmon, Coconut Shrimp with Sweet Chili Sauce, Vietnamese Caramelized Pork," Lemon garlic shrimp with angel hair pasta (600 calories per portion, 2 portions, contains shellfish, origin"
3,350.0,350.0,120.0,300.0,500.0, Scrambled Eggs with Smoked Salmon, Smoked salmon and cream cheese bagel, Rice Paper Rolls with Shrimp, Baked Salmon with Lemon," Honey lime grilled shrimp with quinoa and roasted vegetables (500 calories per portion, 2 portions, contains shellfish, origin"
4,350.0,350.0,200.0,300.0,400.0, Scrambled Eggs with Smoked Salmon, Smoked salmon and cream cheese bagel, Cucumber Cups with Tuna Salad, Baked Salmon with Lemon, Teriyaki Salmon Bowl
5,350.0,180.0,200.0,400.0,700.0, Scrambled Eggs with Smoked Salmon, Shrimp and avocado salad, Cucumber Cups with Tuna Salad, Vietnamese Caramelized Pork," Thai coconut curry with chicken and rice (700 calories per portion, 2 portions, contains fish, origin"
6,350.0,180.0,200.0,300.0,700.0, Scrambled Eggs with Smoked Salmon, Shrimp and avocado salad, Cilantro Lime Shrimp Skewers, Baked Salmon with Lemon," Thai pineapple fried rice with chicken and shrimp (700 calories per portion, 2 portions, contains shellfish, origin"
7,350.0,350.0,220.0,300.0,400.0, Scrambled Eggs with Smoked Salmon, Smoked salmon and cream cheese bagel, Coconut Shrimp with Sweet Chili Sauce, Baked Salmon with Lemon, Greek Shrimp Saganaki
8,350.0,350.0,200.0,400.0,500.0, Scrambled Eggs with Smoked Salmon, Smoked salmon and cream cheese bagel, Cilantro Lime Shrimp Skewers, Vietnamese Caramelized Pork," Lemon herb grilled shrimp with orzo and roasted vegetables (500 calories per portion, 2 portions, contains shellfish, origin"
9,350.0,180.0,120.0,300.0,600.0, Scrambled Eggs with Smoked Salmon, Shrimp and avocado salad, Rice Paper Rolls with Shrimp, Baked Salmon with Lemon," Sweet and sour shrimp with steamed rice (600 calories per portion, 2 portions, contains shellfish, origin"
10,350.0,180.0,200.0,400.0,600.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Cucumber Cups with Tuna Salad, Vietnamese Caramelized Pork," Lemon garlic shrimp with angel hair pasta (600 calories per portion, 2 portions, contains shellfish, origin"
11,350.0,250.0,180.0,400.0,600.0, Scrambled Eggs with Smoked Salmon, Rice cakes with cream cheese and smoked salmon, Baked Coconut Shrimp, Vietnamese Caramelized Pork," Shrimp pasta alfredo (600 calories per portion, 2 portions, contains shellfish and dairy, origin"
12,350.0,180.0,200.0,400.0,700.0, Scrambled Eggs with Smoked Salmon, Shrimp and avocado salad, Cucumber Cups with Tuna Salad, Vietnamese Caramelized Pork," Thai pineapple fried rice with chicken and shrimp (700 calories per portion, 2 portions, contains shellfish, origin"
13,350.0,180.0,120.0,400.0,400.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Rice Paper Rolls with Shrimp, Vietnamese Caramelized Pork, Teriyaki Salmon
14,350.0,250.0,200.0,300.0,350.0, Scrambled Eggs with Smoked Salmon, Rice cakes with cream cheese and smoked salmon, Cucumber Cups with Tuna Salad, Baked Salmon with Lemon, Baked Cod with Lemon Dijon Sauce
15,350.0,180.0,170.0,300.0,350.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Tuna Salad Lettuce Wraps, Baked Salmon with Lemon, Sweet and Sour Shrimp
16,350.0,180.0,180.0,300.0,400.0, Scrambled Eggs with Smoked Salmon, Shrimp and avocado salad, Baked Coconut Shrimp, Baked Salmon with Lemon," Grilled salmon with lemon and dill (400 calories per portion, 2 portions, contains fish, origin"
17,350.0,350.0,220.0,400.0,450.0, Scrambled Eggs with Smoked Salmon, Smoked salmon and cream cheese bagel, Coconut Shrimp with Sweet Chili Sauce, Vietnamese Caramelized Pork, Lemon Garlic Shrimp Pasta
18,350.0,250.0,170.0,400.0,700.0, Scrambled Eggs with Smoked Salmon, Rice cakes with cream cheese and smoked salmon, Tuna Salad Lettuce Wraps, Vietnamese Caramelized Pork," Pad Thai with shrimp and peanuts (700 calories per portion, 2 portions, contains shellfish and peanuts, origin"
19,350.0,350.0,180.0,400.0,450.0, Scrambled Eggs with Smoked Salmon, Smoked salmon and cream cheese bagel, Baked Coconut Shrimp, Vietnamese Caramelized Pork, Lemon Garlic Shrimp Pasta
20,350.0,180.0,220.0,400.0,400.0, Scrambled Eggs with Smoked Salmon, Shrimp and avocado salad, Coconut Shrimp with Sweet Chili Sauce, Vietnamese Caramelized Pork, Greek Shrimp Saganaki
21,350.0,250.0,180.0,300.0,400.0, Scrambled Eggs with Smoked Salmon, Rice cakes with cream cheese and smoked salmon, Baked Coconut Shrimp, Baked Salmon with Lemon, Hawaiian Grilled Shrimp Skewers
22,350.0,350.0,180.0,400.0,400.0, Scrambled Eggs with Smoked Salmon, Smoked salmon and cream cheese bagel, Baked Coconut Shrimp, Vietnamese Caramelized Pork, Teriyaki Salmon
23,350.0,180.0,200.0,400.0,500.0, Scrambled Eggs with Smoked Salmon, Shrimp and avocado salad, Cucumber Cups with Tuna Salad, Vietnamese Caramelized Pork," Honey sriracha glazed salmon with roasted vegetables (500 calories per portion, 2 portions, contains fish, origin"
24,350.0,350.0,200.0,300.0,500.0, Scrambled Eggs with Smoked Salmon, Smoked salmon and cream cheese bagel, Cilantro Lime Shrimp Skewers, Baked Salmon with Lemon," Herb-roasted salmon with roasted potatoes and green beans (500 calories per portion, 2 portions, contains fish, origin"
25,350.0,180.0,120.0,400.0,400.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Rice Paper Rolls with Shrimp, Vietnamese Caramelized Pork," Grilled salmon with lemon and dill (400 calories per portion, 2 portions, contains fish, origin"
26,350.0,350.0,200.0,400.0,400.0, Scrambled Eggs with Smoked Salmon, Smoked salmon and cream cheese bagel, Cucumber Cups with Tuna Salad, Vietnamese Caramelized Pork," Grilled shrimp skewers with vegetable couscous (400 calories per portion, 2 portions, contains shellfish, origin"
27,350.0,180.0,180.0,300.0,350.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Baked Coconut Shrimp, Baked Salmon with Lemon, Baked Cod with Lemon Dijon Sauce
28,350.0,350.0,220.0,400.0,350.0, Scrambled Eggs with Smoked Salmon, Smoked salmon and cream cheese bagel, Coconut Shrimp with Sweet Chili Sauce, Vietnamese Caramelized Pork, Thai Coconut Curry with Shrimp
29,350.0,250.0,170.0,300.0,500.0, Scrambled Eggs with Smoked Salmon, Rice cakes with cream cheese and smoked salmon, Tuna Salad Lettuce Wraps, Baked Salmon with Lemon," Balsamic glazed salmon with roasted vegetables and quinoa (500 calories per portion, 2 portions, contains fish, origin"
30,350.0,180.0,180.0,300.0,500.0, Scrambled Eggs with Smoked Salmon, Shrimp and avocado salad, Baked Coconut Shrimp, Baked Salmon with Lemon," Honey lime grilled shrimp with quinoa and roasted vegetables (500 calories per portion, 2 portions, contains shellfish, origin"
31,350.0,180.0,120.0,400.0,500.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Rice Paper Rolls with Shrimp, Vietnamese Caramelized Pork," Lemon herb grilled shrimp with orzo and roasted vegetables (500 calories per portion, 2 portions, contains shellfish, origin"
32,350.0,180.0,180.0,400.0,500.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Baked Coconut Shrimp, Vietnamese Caramelized Pork," Herb-roasted salmon with roasted potatoes and green beans (500 calories per portion, 2 portions, contains fish, origin"
33,350.0,180.0,200.0,300.0,700.0, Scrambled Eggs with Smoked Salmon, Shrimp and avocado salad, Cucumber Cups with Tuna Salad, Baked Salmon with Lemon," Pad Thai with shrimp and peanuts (700 calories per portion, 2 portions, contains shellfish and peanuts, origin"
34,350.0,350.0,220.0,300.0,600.0, Scrambled Eggs with Smoked Salmon, Smoked salmon and cream cheese bagel, Coconut Shrimp with Sweet Chili Sauce, Baked Salmon with Lemon," Shrimp pasta alfredo (600 calories per portion, 2 portions, contains shellfish and dairy, origin"
35,350.0,350.0,200.0,300.0,400.0, Scrambled Eggs with Smoked Salmon, Smoked salmon and cream cheese bagel, Cilantro Lime Shrimp Skewers, Baked Salmon with Lemon, Teriyaki Salmon
36,350.0,180.0,120.0,300.0,600.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Rice Paper Rolls with Shrimp, Baked Salmon with Lemon," Lemon garlic shrimp with angel hair pasta (600 calories per portion, 2 portions, contains shellfish, origin"
37,350.0,180.0,200.0,300.0,600.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Cucumber Cups with Tuna Salad, Baked Salmon with Lemon," Teriyaki salmon with broccoli and jasmine rice (600 calories per portion, 2 portions, contains fish, origin"
38,350.0,350.0,200.0,300.0,400.0, Scrambled Eggs with Smoked Salmon, Smoked salmon and cream cheese bagel, Cilantro Lime Shrimp Skewers, Baked Salmon with Lemon," Grilled salmon with lemon and dill (400 calories per portion, 2 portions, contains fish, origin"
39,350.0,350.0,200.0,300.0,350.0, Scrambled Eggs with Smoked Salmon, Smoked salmon and cream cheese bagel, Cucumber Cups with Tuna Salad, Baked Salmon with Lemon, Sweet and Sour Shrimp
40,350.0,250.0,220.0,400.0,700.0, Scrambled Eggs with Smoked Salmon, Rice cakes with cream cheese and smoked salmon, Coconut Shrimp with Sweet Chili Sauce, Vietnamese Caramelized Pork," Pad Thai with shrimp and peanuts (700 calories per portion, 2 portions, contains shellfish and peanuts, origin"
41,350.0,180.0,200.0,400.0,500.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Cilantro Lime Shrimp Skewers, Vietnamese Caramelized Pork," Honey lime grilled shrimp with quinoa and roasted vegetables (500 calories per portion, 2 portions, contains shellfish, origin"
42,350.0,180.0,200.0,400.0,700.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Cucumber Cups with Tuna Salad, Vietnamese Caramelized Pork," Thai coconut curry with chicken and rice (700 calories per portion, 2 portions, contains fish, origin"
43,350.0,250.0,170.0,400.0,400.0, Scrambled Eggs with Smoked Salmon, Rice cakes with cream cheese and smoked salmon, Tuna Salad Lettuce Wraps, Vietnamese Caramelized Pork, Hawaiian Grilled Shrimp Skewers
44,350.0,250.0,200.0,300.0,500.0, Scrambled Eggs with Smoked Salmon, Rice cakes with cream cheese and smoked salmon, Cucumber Cups with Tuna Salad, Baked Salmon with Lemon," Honey sriracha glazed salmon with roasted vegetables (500 calories per portion, 2 portions, contains fish, origin"
45,350.0,180.0,170.0,400.0,700.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Tuna Salad Lettuce Wraps, Vietnamese Caramelized Pork," Thai red curry with chicken and jasmine rice (700 calories per portion, 2 portions, contains fish, origin"
46,350.0,350.0,120.0,300.0,600.0, Scrambled Eggs with Smoked Salmon, Smoked salmon and cream cheese bagel, Rice Paper Rolls with Shrimp, Baked Salmon with Lemon," Sweet and sour shrimp with steamed rice (600 calories per portion, 2 portions, contains shellfish, origin"
47,350.0,250.0,220.0,400.0,700.0, Scrambled Eggs with Smoked Salmon, Rice cakes with cream cheese and smoked salmon, Coconut Shrimp with Sweet Chili Sauce, Vietnamese Caramelized Pork," Thai red curry with chicken and jasmine rice (700 calories per portion, 2 portions, contains fish, origin"
48,350.0,250.0,220.0,400.0,400.0, Scrambled Eggs with Smoked Salmon, Rice cakes with cream cheese and smoked salmon, Coconut Shrimp with Sweet Chili Sauce, Vietnamese Caramelized Pork, Teriyaki Salmon
49,350.0,180.0,180.0,300.0,700.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Baked Coconut Shrimp, Baked Salmon with Lemon," Pad Thai with shrimp and peanuts (700 calories per portion, 2 portions, contains shellfish and peanuts, origin"
50,350.0,180.0,200.0,300.0,350.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Cucumber Cups with Tuna Salad, Baked Salmon with Lemon, Grilled Salmon with Mango Salsa
51,350.0,180.0,200.0,400.0,700.0, Scrambled Eggs with Smoked Salmon, Shrimp and avocado salad, Cucumber Cups with Tuna Salad, Vietnamese Caramelized Pork," Thai coconut curry with chicken and rice (700 calories per portion, 2 portions, contains fish, origin"
52,350.0,250.0,120.0,400.0,350.0, Scrambled Eggs with Smoked Salmon, Rice cakes with cream cheese and smoked salmon, Rice Paper Rolls with Shrimp, Vietnamese Caramelized Pork, Thai Coconut Curry with Shrimp
53,350.0,180.0,220.0,300.0,700.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Coconut Shrimp with Sweet Chili Sauce, Baked Salmon with Lemon," Thai coconut curry with chicken and rice (700 calories per portion, 2 portions, contains fish, origin"
54,350.0,180.0,170.0,300.0,400.0, Scrambled Eggs with Smoked Salmon, Shrimp and avocado salad, Tuna Salad Lettuce Wraps, Baked Salmon with Lemon, Teriyaki Salmon
55,350.0,350.0,120.0,300.0,700.0, Scrambled Eggs with Smoked Salmon, Smoked salmon and cream cheese bagel, Rice Paper Rolls with Shrimp, Baked Salmon with Lemon," Pad Thai with shrimp and peanuts (700 calories per portion, 2 portions, contains shellfish and peanuts, origin"
56,350.0,180.0,120.0,400.0,400.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Rice Paper Rolls with Shrimp, Vietnamese Caramelized Pork," Grilled salmon with lemon and dill (400 calories per portion, 2 portions, contains fish, origin"
57,350.0,180.0,170.0,400.0,400.0, Scrambled Eggs with Smoked Salmon, Shrimp and avocado salad, Tuna Salad Lettuce Wraps, Vietnamese Caramelized Pork," Grilled shrimp skewers with vegetable couscous (400 calories per portion, 2 portions, contains shellfish, origin"
58,350.0,180.0,200.0,300.0,500.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Cucumber Cups with Tuna Salad, Baked Salmon with Lemon," Lemon herb grilled shrimp with orzo and roasted vegetables (500 calories per portion, 2 portions, contains shellfish, origin"
59,350.0,180.0,220.0,300.0,500.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Coconut Shrimp with Sweet Chili Sauce, Baked Salmon with Lemon," Herb-roasted salmon with roasted potatoes and green beans (500 calories per portion, 2 portions, contains fish, origin"
60,350.0,250.0,170.0,300.0,600.0, Scrambled Eggs with Smoked Salmon, Rice cakes with cream cheese and smoked salmon, Tuna Salad Lettuce Wraps, Baked Salmon with Lemon," Sweet and sour shrimp with steamed rice (600 calories per portion, 2 portions, contains shellfish, origin"
61,350.0,180.0,200.0,300.0,500.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Cucumber Cups with Tuna Salad, Baked Salmon with Lemon," Lemon herb grilled shrimp with orzo and roasted vegetables (500 calories per portion, 2 portions, contains shellfish, origin"
62,350.0,180.0,200.0,300.0,400.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Cucumber Cups with Tuna Salad, Baked Salmon with Lemon, Teriyaki Salmon Bowl
63,350.0,250.0,200.0,300.0,400.0, Scrambled Eggs with Smoked Salmon, Rice cakes with cream cheese and smoked salmon, Cucumber Cups with Tuna Salad, Baked Salmon with Lemon," Grilled salmon with lemon and dill (400 calories per portion, 2 portions, contains fish, origin"
64,350.0,180.0,120.0,300.0,400.0, Scrambled Eggs with Smoked Salmon, Shrimp and avocado salad, Rice Paper Rolls with Shrimp, Baked Salmon with Lemon, Teriyaki Salmon
65,350.0,350.0,200.0,300.0,600.0, Scrambled Eggs with Smoked Salmon, Smoked salmon and cream cheese bagel, Cucumber Cups with Tuna Salad, Baked Salmon with Lemon," Lemon garlic shrimp with angel hair pasta (600 calories per portion, 2 portions, contains shellfish, origin"
66,350.0,180.0,170.0,300.0,600.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Tuna Salad Lettuce Wraps, Baked Salmon with Lemon," Shrimp pasta alfredo (600 calories per portion, 2 portions, contains shellfish and dairy, origin"
67,350.0,350.0,200.0,400.0,500.0, Scrambled Eggs with Smoked Salmon, Smoked salmon and cream cheese bagel, Cucumber Cups with Tuna Salad, Vietnamese Caramelized Pork," Balsamic glazed salmon with roasted vegetables and quinoa (500 calories per portion, 2 portions, contains fish, origin"
68,350.0,180.0,180.0,300.0,600.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Baked Coconut Shrimp, Baked Salmon with Lemon," Lemon garlic shrimp with angel hair pasta (600 calories per portion, 2 portions, contains shellfish, origin"
69,350.0,180.0,180.0,400.0,700.0, Scrambled Eggs with Smoked Salmon, Shrimp and avocado salad, Baked Coconut Shrimp, Vietnamese Caramelized Pork," Thai pineapple fried rice with chicken and shrimp (700 calories per portion, 2 portions, contains shellfish, origin"
70,350.0,180.0,120.0,400.0,350.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Rice Paper Rolls with Shrimp, Vietnamese Caramelized Pork, Shrimp Scampi
71,350.0,250.0,200.0,400.0,350.0, Scrambled Eggs with Smoked Salmon, Rice cakes with cream cheese and smoked salmon, Cucumber Cups with Tuna Salad, Vietnamese Caramelized Pork, Shrimp Scampi
72,350.0,180.0,120.0,300.0,350.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Rice Paper Rolls with Shrimp, Baked Salmon with Lemon, Baked Cod with Lemon Dijon Sauce
73,350.0,180.0,170.0,400.0,400.0, Scrambled Eggs with Smoked Salmon, Shrimp and avocado salad, Tuna Salad Lettuce Wraps, Vietnamese Caramelized Pork," Grilled salmon with lemon and dill (400 calories per portion, 2 portions, contains fish, origin"
74,350.0,180.0,200.0,400.0,700.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Cilantro Lime Shrimp Skewers, Vietnamese Caramelized Pork," Thai pineapple fried rice with chicken and shrimp (700 calories per portion, 2 portions, contains shellfish, origin"
75,350.0,180.0,200.0,300.0,500.0, Scrambled Eggs with Smoked Salmon, Shrimp and avocado salad, Cucumber Cups with Tuna Salad, Baked Salmon with Lemon," Honey sriracha glazed salmon with roasted vegetables (500 calories per portion, 2 portions, contains fish, origin"
76,350.0,180.0,170.0,300.0,700.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Tuna Salad Lettuce Wraps, Baked Salmon with Lemon," Thai pineapple fried rice with chicken and shrimp (700 calories per portion, 2 portions, contains shellfish, origin"
77,350.0,350.0,220.0,400.0,350.0, Scrambled Eggs with Smoked Salmon, Smoked salmon and cream cheese bagel, Coconut Shrimp with Sweet Chili Sauce, Vietnamese Caramelized Pork, Shrimp Scampi
78,350.0,180.0,200.0,300.0,600.0, Scrambled Eggs with Smoked Salmon, Shrimp and avocado salad, Cilantro Lime Shrimp Skewers, Baked Salmon with Lemon," Lemon garlic shrimp with angel hair pasta (600 calories per portion, 2 portions, contains shellfish, origin"
79,350.0,180.0,220.0,400.0,400.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Coconut Shrimp with Sweet Chili Sauce, Vietnamese Caramelized Pork, Greek Shrimp Saganaki
80,350.0,180.0,220.0,400.0,600.0, Scrambled Eggs with Smoked Salmon, Shrimp and avocado salad, Coconut Shrimp with Sweet Chili Sauce, Vietnamese Caramelized Pork," Lemon garlic shrimp with angel hair pasta (600 calories per portion, 2 portions, contains shellfish, origin"
