,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,70.0,180.0,100.0,300.0, Vegan Pumpkin Spice Pancakes - 300 calories per portion | 1 portion | Contains gluten | Origin, Fresh Fruit Salad, Baked Falafel with Yogurt Sauce, Israeli salad," Greek Spanakopita - 300 calories/portion, 4 portions, contains gluten and dairy (Greece)
"
2,200.0,50.0,200.0,20.0,300.0, Overnight Chia Pudding," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Stuffed bell peppers with quinoa and black beans, Moroccan Mint Tea," Chinese Vegan Eggplant with Garlic Sauce (300 calories/portion, 3 portions) - China
"
3,550.0,50.0,300.0,150.0,300.0, Quiche Lorraine, Baked Apple Chips - Approx, Nachos with Salsa and Cheese, Greek Tzatziki Dip with Pita, Lentil Biryani
4,400.0,60.0,150.0,160.0,220.0, Veggie English Breakfast, Fruit Salad - Approx, Guacamole with tortilla chips," Caprese Skewers - 160kcals per portion, 2 portions, contains dairy (Italy)
", Chickpea and Vegetable Stir Fry
5,400.0,70.0,480.0,150.0,180.0," Corned beef hash - 400 calories per portion, 2 portions, no allergic warnings, origin", Kale chips, Vegan Lentil Burgers," Potato Latkes - 150 calories
   - Total portions", Rainbow Salad
6,500.0,60.0,200.0,150.0,286.0," Hawaiian loco moco with beef patty, rice, and egg (500kcals per portion, 2 portions, origin", Fruit Salad - Approx, Baked falafel with tahini sauce, Lentil and vegetable frittata, Quinoa and Black Bean Stuffed Peppers
7,350.0,70.0,220.0,150.0,150.0," Veggie fajita scramble with tofu (350 calories per portion, 2 portions, nut-free, Mexican origin)
", Fresh Fruit Salad, Caramelized Onion Tart, Spinach and feta stuffed bell peppers," Caprese salad - 150 calories per portion, 4 portions, contains dairy (Italy)
"
8,300.0,60.0,140.0,150.0,300.0, Chia Seed Smoothie, Cucumber and tomato salad," Vegan Greek Salad - 140 kcals per portion, 4 portions, no allergic warnings, origin", Gazpacho Soup," Sesame Ginger Stir-Fry - 300 calories per portion, 4 portions, Soy, China
"
9,320.0,50.0,100.0,150.0,320.0," Tomato and mozzarella bruschetta (320 calories per portion, 2 portions, contains dairy, Italian origin)
"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Chocolate-Dipped Strawberries, Ratatouille," Beef stir-fry with broccoli and bell peppers - 320 kcals per portion, 4 portions, contains soy
"
10,250.0,60.0,200.0,150.0,250.0, Sourdough Toast with Almond Butter, Fruit Salad - Approx, Baked Falafel, Butternut squash soup, Vegan Fettuccine Alfredo
11,350.0,50.0,150.0,150.0,250.0, Cranberry Orange Muffins," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Caprese Skewers, Greek Tzatziki Dip with Pita, Caprese Salad
12,400.0,60.0,150.0,150.0,280.0," Huevos Rancheros with refried beans and salsa (400kcals per portion, 2 portions, origin", Cucumber and tomato salad, Caprese Skewers, Lentil and vegetable soup, Vegan Quiche
13,350.0,50.0,180.0,150.0,250.0," Mediterranean-style omelette with tomatoes and feta (350 calories per portion, 2 portions, contains dairy, Greek origin)
"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Greek Tzatziki with Pita Bread," Potato Latkes - 150 calories
   - Total portions"," Greek Vegan Gigantes (250 calories/portion, 4 portions) - Greece
"
14,200.0,50.0,120.0,150.0,180.0, Spinach Tomato Feta Frittata," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Greek Yogurt Dip with Veggies, Caprese Salad," Moroccan Lentil Soup - 180 calories per portion, 6 portions, no allergic warnings, Origin"
15,400.0,70.0,200.0,150.0,250.0, Chorizo Breakfast Burrito, Kale chips, Mini Quiche, Tomato Basil Soup," Lentil Spinach Curry - 250 calories per portion, 4 portions, None, India
"
16,200.0,60.0,150.0,150.0,300.0, Mexican Black Bean Breakfast Wrap, Fruit Salad - Approx, Edamame Salad," Grilled Vegetable Skewers - 150kcals per portion, 4 portions", Quinoa Stuffed Bell Peppers
17,300.0,50.0,280.0,150.0,220.0, Vegan Sweet Potato Pancakes - 300 calories per portion | 1 portion | Contains gluten | Origin," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Veggie and Cream Cheese Roll-ups, Lentil and vegetable frittata," Greek Salad - 220kcals per portion, 4 portions, contains dairy
"
18,400.0,70.0,100.0,150.0,250.0," Savory oatmeal with bacon and eggs (400 calories per portion, 2 portions, contains eggs, American origin)
", Fresh Fruit Salad, Zucchini Tomato Bites, Spinach and ricotta stuffed tomatoes," Stuffed Zucchini Boats - 250 calories/portion, 4 portions, contains dairy (Italy)
"
19,400.0,70.0,160.0,150.0,250.0," Spinach and mushroom breakfast burrito (400 calories per portion, 2 portions, nut-free, Mexican origin)
", Kale chips, Spinach and Feta Stuffed Mushrooms," Grilled Vegetable Skewers - 150kcals per portion, 4 portions"," Borscht with sour cream – 250 calories per portion, 6 portions, contains dairy (origin"
20,300.0,50.0,200.0,150.0,300.0, Blueberry Coconut Overnight Oats," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Mini Chicken Teriyaki Skewers, Veggie Spring Rolls," Zucchini noodles with pesto - 300 calories per portion, 4 portions, contains nuts (Italy)
"
21,250.0,60.0,180.0,150.0,180.0," Smoothie bowl - 250 calories per portion, 1 portion, may contain nuts, origin", Fruit Salad - Approx, Veggie Sushi Rolls," Lentil Soup - 150 calories
   - Total portions"," Greek Roasted Vegetables - 180kcals per portion, 4 portions
"
22,320.0,60.0,180.0,150.0,300.0," Apple cinnamon quinoa pancakes (320 calories per portion, 2 portions, nut-free, American origin)
", Fruit Salad - Approx," Roasted Red Pepper and Feta Dip - 180 kcals per portion, 3 portions, contains dairy (Various)"," Grilled Vegetable Skewers - 150kcals per portion, 4 portions", Quinoa Stuffed Bell Peppers
23,150.0,50.0,280.0,150.0,300.0, Fruit Smoothie," Fruit Salad - 50kcals per portion, 2 portions
   Origin"," Mujadara - 280 kcals per portion, 3 portions, contains gluten (Lebanon)", Spinach and mushroom omelet," Cauliflower Tikka Masala - 300 calories per portion, 4 portions, None, India

"
24,250.0,70.0,100.0,20.0,280.0, Vegan Banana Bread - 250 calories per portion | 2 portions | Contains gluten | Origin, Fresh Fruit Salad, Chocolate-Dipped Strawberries, Moroccan Mint Tea, Vegan Tikka Masala
25,500.0,60.0,140.0,150.0,250.0," Mexican churros with hot chocolate dipping sauce - 500 calories per portion, 2 portions, contains gluten, origin", Cucumber and tomato salad," Maple Roasted Nuts - 140 kcals per portion, 4 portions, no allergic warnings, origin", Spinach and feta stuffed mushrooms, Vegetable Stir-Fry
26,300.0,50.0,120.0,150.0,221.0," Scottish porridge with honey and berries - 300 calories per portion, 2 portions, no allergic warnings, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Caprese salad skewers (cherry tomatoes, mozzarella, basil)"," Cucumber Avocado Salad - 150kcals per portion, 2 portions, nut-free, International
", Zucchini Noodles with Pesto
27,400.0,50.0,170.0,150.0,260.0, Vegan Breakfast Quesadilla - 400 calories per portion | 1 portion | Contains gluten | Origin, Baked Apple Chips - Approx, Tuna Salad Lettuce Wraps, Ratatouille, Mexican Stuffed Zucchini
28,300.0,50.0,180.0,150.0,300.0," Egyptian ful medames (fava bean dish) with olive oil and lemon (300kcals per portion, 2 portions, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Stuffed Bell Peppers with Quinoa and Black Beans, Greek Taramasalata," Vegan Thai Green Curry - 300 calories per portion, 2 portions, may contain tofu"
29,450.0,60.0,180.0,150.0,200.0, Spinach and Feta Breakfast Wrap, Fruit Salad - Approx, Baked Jalapeno Poppers, Lentil and vegetable soup," Tofu Stir-Fry - 200 calories per portion, 4 portions, Soy, China
"
30,250.0,70.0,100.0,150.0,210.0, Vegan Breakfast Bruschetta, Kale chips," Stuffed Mini Peppers with Vegan Cream Cheese - 100 kcals per portion, 4 portions, no allergic warnings, origin", Lentil and vegetable soup, Quinoa and Kale Salad
31,400.0,60.0,220.0,150.0,292.0," Venezuelan arepas with cheese and avocado - 400 calories per portion, 1 portion, contains gluten and dairy, origin", Fruit Salad - Approx, Chicken Tikka Skewers," Greek Salad - 150kcals per portion, 2 portions", Lentil Loaf
32,250.0,50.0,180.0,150.0,300.0, Vegan Breakfast Bruschetta," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Mini Pizza Bagels, Greek Tzatziki Dip with Pita," Chana masala - 300 calories per portion, 4 portions, contains nuts (India)
"
33,450.0,60.0,100.0,150.0,300.0, Chinese Egg Fried Rice, Fruit Salad - Approx, Chocolate Covered Strawberries, Tomato and Basil Bruschetta, Vegan Sloppy Joes
34,200.0,50.0,180.0,150.0,250.0, Vegan Breakfast Quinoa Salad," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Veggie spring rolls with peanut dipping sauce, Caprese Salad," Vegan Tomato and Vegetable Paella - 250 calories per portion, 3 portions, may contain gluten"
35,400.0,50.0,120.0,150.0,250.0," Scrambled tofu with turmeric and veggies (400 calories per portion, 2 portions, nut-free, American origin)
"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Roasted Garlic and White Bean Dip with Pita Chips, Lentil and Vegetable Soup, Vegan Kung Pao Tofu
36,400.0,70.0,280.0,150.0,221.0, Breakfast Tacos with Chorizo, Fresh Fruit Salad, Vegan Lemon Poppy Seed Muffins, Tom Yum Soup, Zucchini Noodles with Pesto
37,250.0,50.0,460.0,120.0,160.0, Vegan Maple Pecan Overnight Oats - 250 calories per portion | 2 portions | Contains nuts | Origin, Baked Apple Chips - Approx, Veggie Tacos," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Vegan Tofu Scramble - 160 calories per portion, 1 portion, may contain soy"
38,380.0,60.0,200.0,150.0,250.0," Veggie-packed breakfast skillet with sweet potatoes (380 calories per portion, 2 portions, nut-free, American origin)
", Cucumber and tomato salad, Sweet Potato Fries, Grilled Chicken Salad, Moroccan Chickpea Stew
39,400.0,50.0,200.0,150.0,320.0," Lebanese fatteh (pita chips soaked in yogurt and topped with nuts) - 400 calories per portion, 2 portions, contains gluten and dairy, origin", Baked Apple Chips - Approx, Coconut Chia Pudding, Spinach and feta stuffed mushrooms, Vegan Lentil Meatballs
40,250.0,60.0,180.0,150.0,200.0, Vegan Breakfast Sushi Rolls, Cucumber and tomato salad, Veggie Snack Wrap, Greek Taramasalata, Butternut Squash Soup
41,300.0,70.0,180.0,150.0,188.0, Vegan Cinnamon Rolls - 300 calories per portion | 1 portion | Contains gluten | Origin, Kale chips," Vegan Strawberry Shortcake - 180 kcals per portion, 4 portions, no allergic warnings, origin", Spinach and ricotta stuffed tomatoes, Lentil and Vegetable Stir Fry
42,400.0,60.0,180.0,120.0,250.0, Vegan Tofu Benedict - 400 calories per portion | 1 portion | Contains soy | Origin, Fruit Salad - Approx, Spinach and Feta Pinwheels," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Vegan Soba Noodle Salad - 250 calories per portion, 4 portions, None, Japan
"
43,550.0,50.0,180.0,150.0,250.0, Breakfast Pizza," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Spinach and cheese stuffed mushrooms, Greek Taramasalata, Cauliflower Buffalo Wings
44,400.0,60.0,160.0,150.0,300.0," Turkish sesame bagel with cream cheese and olives (400kcals per portion, 1 portion, dairy allergies, origin", Cucumber and tomato salad," Grilled Portobello Mushroom Burger - 160 kcals per portion, 4 portions, no allergic warnings, origin", Lentil Soup, Vegan Tikka Masala
45,450.0,60.0,250.0,150.0,250.0," Lebanese markouk bread with za'atar and olive oil (450kcals per portion, 2 portions, origin", Cucumber and tomato salad, Mini Chicken Tacos," Lentil Soup - 150kcals per portion, 6 portions"," Spinach and Feta Stuffed Mushrooms - 250 calories/portion, 4 portions, contains dairy (Greece)
"
46,350.0,50.0,320.0,150.0,300.0, Vegan Breakfast Baked Potato - 350 calories per portion | 1 portion | None | Origin," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Vegan Mediterranean Flatbread Pizza, Ratatouille," Greek lemon chicken soup with orzo (300 calories per portion, 4 portions, contains gluten, origin"
47,300.0,60.0,130.0,150.0,120.0, Vegan Coconut Chia Pancakes - 300 calories per portion | 1 portion | Contains gluten | Origin, Cucumber and tomato salad, Veggie Taco Cups," Cucumber Avocado Salad - 150kcals per portion, 2 portions, nut-free, International
", Cucumber and Tomato Salad
48,400.0,50.0,100.0,150.0,250.0," Açai bowl topped with fruits and coconut flakes (400kcals per portion, 1 portion, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Cinnamon Sugar Popcorn, Cabbage Stir-Fry," Spinach and feta stuffed phyllo rolls - 250 calories per portion, 4 portions, contains gluten and dairy (Greece)
"
