,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,100.0,200.0,120.0,150.0, Quinoa Porridge - 350 calories per portion | 1 portion | Contains nuts | Origin, Mini Frittatas - Approx, Guacamole with Tortilla Chips," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Grilled Vegetable Skewers - 150 calories/portion, 4 portions, contains garlic (Various)
"
2,350.0,120.0,280.0,120.0,332.0," Veggie-packed breakfast casserole (350 calories per portion, 2 portions, nut-free, American origin)
", Yogurt with Berries - Approx, Apple and Cinnamon Muffins," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Vegan Bolognese
3,350.0,70.0,120.0,120.0,250.0," Japanese tamagoyaki (rolled omelette) with rice - 350 calories per portion, 2 portions, no allergic warnings, origin", Fresh Fruit Salad, Miso Soup with Tofu," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Tofu Tikka Masala
4,400.0,60.0,180.0,120.0,300.0, Vegan Breakfast Spanakopita, Fruit Salad - Approx, Fruit and Yogurt Parfait," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Mediterranean Orzo Salad - 300 calories per portion, 4 portions, contains gluten (pasta), Origin"
5,300.0,120.0,250.0,100.0,200.0," Chia pudding with mixed berries - 300 calories per portion, 2 portions, no allergic warnings, origin", Baked Cheese Twists, Mini Cheesecakes, Israeli salad, Greek Salad
6,400.0,60.0,80.0,20.0,300.0," Algerian msemen (pan fried dough) with honey - 400 calories per portion, 2 portions, contains gluten, origin", Fruit Salad - Approx," Baked Kale Chips - 80 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Lemon Herb Grilled Shrimp - 300 calories per portion, 4 portions, contains shellfish, Origin"
7,550.0,130.0,220.0,20.0,300.0, Sausage and Cheese Quiche, Almond Butter Stuffed Dates, Greek tzatziki with pita chips, Moroccan Mint Tea, Greek Lemon Chicken Soup
8,350.0,70.0,180.0,20.0,300.0," Mexican sopes with refried beans and salsa (350kcals per portion, 2 portions, origin", Fresh Fruit Salad, Baked Falafel with Yogurt Sauce, Moroccan Mint Tea, Lentil Biryani
9,350.0,100.0,120.0,120.0,280.0," Quinoa breakfast cookies with dried fruits and nuts (350 calories per portion, 2 portions, contains nuts, American origin)
", Caprese Skewers, Banana Oat Cookies," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Lentil Bolognese
10,300.0,100.0,180.0,20.0,150.0," Avocado toast - 300 calories per portion, 2 portions, may contain gluten, origin", Fruit Smoothie Popsicles - Approx, Smashed avocado and tomato toast, Moroccan Mint Tea, Butternut Squash Soup
11,350.0,100.0,180.0,120.0,200.0," Syrian cheese and za'atar flatbread (350kcals per portion, 2 portions, origin", Cucumber Sandwich, Mango Salsa with Tortilla Chips," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Greek Salad
12,350.0,120.0,180.0,120.0,250.0," Fruit and yogurt parfait with granola (350 calories per portion, 2 portions, contains dairy, American origin)
", Carrot Sticks with Hummus," Vegan Pumpkin Muffins - 180 kcals per portion, 4 portions, no allergic warnings, origin"," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Vegan Sushi Bowl
13,200.0,100.0,150.0,20.0,250.0," Miso soup with tofu and seaweed (200kcals per portion, 2 portions, soy allergies, Japan)
", Greek yogurt with berries, Veggie Chips, Moroccan Mint Tea," Indian Baingan Bharta (250 calories/portion, 3 portions) - India
"
14,400.0,80.0,120.0,20.0,230.0, Spinach and Feta Quiche, Hard-Boiled Eggs," Stuffed Mushrooms with Quinoa - 120 kcals per portion, 3 portions, gluten-free (Various)", Moroccan Mint Tea," Quinoa-Stuffed Bell Peppers - 230kcals per portion, 4 portions, gluten-free
"
15,350.0,100.0,160.0,120.0,300.0," Middle Eastern labneh with za'atar and bread - 350 calories per portion, 2 portions, contains gluten and dairy, origin", Carrot Sticks with Ranch Dip, Pita Bread and Hummus," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Quinoa Salad
16,300.0,100.0,220.0,100.0,250.0, Egg Salad Sandwich, Greek yogurt with berries, Cauliflower and Chickpea Salad, Israeli salad, Lebanese Tabbouleh
17,350.0,80.0,90.0,120.0,200.0, Bread Upma, Fresh Squeezed Orange Juice, Buffalo cauliflower dip with celery sticks," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Quinoa Salad - 200 calories per portion, 2 portions, may contain nuts"
18,450.0,120.0,120.0,120.0,250.0, Waffle Breakfast Sandwich, Sautéed Brussels Sprouts, Veggie spring rolls with peanut sauce," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Italian Wedding Soup - 250 calories per portion, 6 portions, contains gluten (pasta), Origin"
19,500.0,100.0,180.0,120.0,240.0," Filipino longganisa sausage with garlic rice and fried egg (500kcals per portion, 2 portions, origin", Kiwi and Strawberry Smoothie, Cucumber and Cream Cheese Sandwiches," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Vegetable Fried Rice
20,100.0,100.0,200.0,120.0,200.0, Vegan Breakfast Rice Pudding, Roasted Pumpkin Seeds, Baked pita chips with tzatziki," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Ratatouille - 200 calories per portion, 6 portions, no allergic warnings, Origin"
21,300.0,100.0,200.0,120.0,160.0," Poha (Indian flattened rice dish) - 300 calories per portion, 2 portions, no allergic warnings, origin", Fruit Smoothie Popsicles - Approx, Roasted Red Pepper Hummus," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Vegan Quinoa and Kale Salad - 160 calories per portion, 2 portions, may contain gluten"
22,300.0,120.0,160.0,120.0,270.0, Vegan Breakfast Tostadas, Sautéed Brussels Sprouts, Roasted Chickpeas," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Greek Briam with Feta Cheese - 270kcals per portion, 4 portions, contains dairy
"
23,200.0,100.0,180.0,100.0,180.0," Miso soup with tofu and seaweed (200kcals per portion, 2 portions, soy allergies, Japan)
", Watermelon Fruit Pizza, Zucchini Pizza Bites, Israeli salad, Ratatouille
24,150.0,100.0,300.0,120.0,300.0, Chia Pudding, Watermelon Fruit Pizza, Veggie Quesadillas," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Quinoa Stuffed Bell Peppers
25,400.0,100.0,200.0,120.0,200.0, Breakfast Tacos with Avocado Salsa, Watermelon Fruit Pizza, Greek Frittata," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Lentil Spinach Soup - 200 calories per portion, 4 portions, None, Various
"
26,300.0,90.0,220.0,120.0,300.0, Tofu Scramble Breakfast Burrito, Rice Paper Rolls, Chicken Yakitori Skewers," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Quinoa-Stuffed Bell Peppers
27,400.0,90.0,190.0,20.0,320.0, Turkish Poached Eggs with Yogurt, Fruit Salad, Black Bean Dip with Tortilla Chips, Moroccan Mint Tea, Vegan Kung Pao Tofu
28,300.0,100.0,440.0,120.0,320.0, Mediterranean Chickpea Scramble, Cucumber Rolls with Hummus - Approx, Vegan Roasted Red Pepper Dip," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Mediterranean Pasta Salad
29,400.0,90.0,80.0,120.0,260.0," Breakfast quesadilla - 400 calories per portion, 1 portion, contains gluten and dairy, origin", Quinoa Energy Bites, Caprese Skewers with Balsamic Glaze," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Greek Spanakopita - 260kcals per portion, 4 portions, contains dairy (Greece)
"
30,200.0,100.0,190.0,100.0,250.0, Avocado Toast, Roasted Almonds, Greek Yogurt with Honey and Nuts, Israeli salad, Roasted Vegetable Salad
31,400.0,120.0,340.0,120.0,300.0, Vegan Breakfast Tostadas - 400 calories per portion | 1 portion | Contains soy | Origin, Cottage Cheese with Sliced Tomato, Greek Feta and Olive Bread," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Vegan Lentil Tacos
32,400.0,100.0,90.0,120.0,300.0, French Toast, Corn on the Cob, Raspberry almond thumbprint cookies," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Moroccan Vegetable Couscous
33,250.0,120.0,180.0,20.0,300.0, Vegan Breakfast Sushi Rolls, Cinnamon Sugar Pretzels, Veggie Fritters, Moroccan Mint Tea," Japanese Vegan Sushi Bowl (300 calories/portion, 3 portions) - Japan
"
34,300.0,50.0,200.0,100.0,290.0, Tofu Scramble Breakfast Burrito," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Veggie burger sliders, Israeli salad," Black Bean Soup - 290kcals per portion, 4 portions, contains legumes (Various)

"
35,550.0,120.0,120.0,100.0,300.0, Nutella Stuffed French Toast, Roasted Chickpeas, Ricotta Stuffed Cherry Tomatoes, Israeli salad," Vegetable and tofu stir-fry - 300 calories per portion, 4 portions, contains soy
"
36,350.0,100.0,180.0,120.0,300.0," Mediterranean-style omelette with tomatoes and feta (350 calories per portion, 2 portions, contains dairy, Greek origin)
", Overnight Chia Pudding, Greek Spanakopita," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Quinoa and Vegetable Stir-Fry - 300 calories per portion, 4 portions, no allergic warnings, Origin"
37,400.0,100.0,170.0,120.0,300.0," Huevos divorciados (Mexican-style eggs with red and green salsa) (400 calories per portion, 2 portions, nut-free, Mexican origin)
", Cucumber Sandwich, Sweet Corn Fritters," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Lentil Walnut Tacos - 300 calories per portion, 4 portions, Nuts, Mexico
"
38,500.0,120.0,190.0,120.0,200.0, Vegan Breakfast Burrito, Banana Smoothie, Cucumber and Avocado Gazpacho," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Greek Salad
39,400.0,100.0,100.0,100.0,250.0, Tomato Basil Quiche, Cucumber Rolls with Hummus - Approx," Vegan Spinach and Artichoke Dip - 100 kcals per portion, 4 portions, no allergic warnings, origin", Israeli salad," Quinoa salad with roasted butternut squash – 250 calories per portion, 4 portions, gluten-free, vegan-friendly
"
40,550.0,100.0,150.0,120.0,250.0, Sausage Gravy and Biscuits, Cucumber and Tomato Salad, Mini Meatballs," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Ratatouille tart - 250 calories per portion, 6 portions, contains gluten (France)
"
41,400.0,120.0,170.0,100.0,220.0, Vegetarian Breakfast Strata, Cucumber and dill cream cheese rolls, Roasted Beetroot and Goat Cheese Crostini, Israeli salad, Lentil and Vegetable Stir Fry
42,400.0,100.0,200.0,20.0,300.0," American pancakes with maple syrup - 400 calories per portion, 2 portions, contains gluten and dairy, origin", Cucumber and Tomato Salad, Vegan Chocolate Covered Strawberries, Moroccan Mint Tea," Zucchini Noodles with Pesto - 300 calories/portion, 4 portions, Origin"
43,150.0,100.0,160.0,120.0,320.0, Vegan Peanut Butter Banana Smoothie, Fresh Fruit Salad, Roasted Sweet Potato Slices," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Thai Noodle Salad
44,400.0,100.0,250.0,100.0,300.0, Veggie English Breakfast, Rice Cake with Hummus and Cucumber, Sweet Potato and Black Bean Wraps, Israeli salad, Beetroot Burger
45,400.0,120.0,220.0,20.0,300.0," Sri Lankan hoppers with coconut sambol - 400 calories per portion, 2 portions, contains gluten, origin", Almond Biscotti," Baba Ghanoush Stuffed Pita Pockets - 220 kcals per portion, 3 portions, contains gluten (Middle East)", Moroccan Mint Tea," Lemon Herb Grilled Shrimp - 300 calories per portion, 4 portions, contains shellfish, Origin"
46,450.0,100.0,80.0,20.0,305.0," Egyptian hawawshi (meat-stuffed pita) with ground beef and spices (450kcals per portion, 2 portions, origin", Overnight Chia Pudding, Caprese Skewers with Balsamic Glaze, Moroccan Mint Tea, Sweet Potato and Black Bean Enchiladas
47,300.0,100.0,150.0,120.0,200.0, Cheesy Grits, Fruit Salad, Roasted chickpeas," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Baked Falafel - 200 calories/portion, 4 portions, Origin"
48,100.0,120.0,150.0,120.0,150.0, Vegan Breakfast Rice Pudding, Cucumber and hummus rolls, Olive Tapenade Crostini," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Caprese Salad
49,320.0,120.0,180.0,120.0,300.0," Mushroom and goat cheese frittata (320 calories per portion, 2 portions, contains dairy, French origin)
", Granola Bar, Fruit and Yogurt Parfait," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Mexican Quinoa Bowl
50,500.0,120.0,250.0,120.0,300.0, Cheesy Egg and Bacon Casserole, Sautéed Brussels Sprouts, Mini chicken quesadilla," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Vegan General Tso's Tofu
51,350.0,100.0,160.0,120.0,300.0, Vegan Vegetable Frittata - 350 calories per portion | 1 portion | None | Origin, Caprese Skewers, Greek Yogurt with Honey and Nuts," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Mediterranean Veggie Pizza
52,350.0,60.0,140.0,120.0,300.0, Vegan Protein Pancakes - 350 calories per portion | 1 portion | Contains gluten | Origin, Cucumber and tomato salad," Vegan Sweet Potato Wedges - 140 kcals per portion, 4 portions, no allergic warnings, origin"," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Vegan Spaghetti Carbonara
53,320.0,100.0,80.0,20.0,260.0," Sweet corn pancakes with tomato and avocado salsa (320 calories per portion, 2 portions, nut-free, American origin)
", Quinoa Energy Bites, Veggie Noodle Salad, Moroccan Mint Tea," Greek Spanakopita - 260kcals per portion, 4 portions, contains dairy (Greece)
"
54,550.0,120.0,220.0,100.0,180.0, Breakfast Pizza, Beetroot Hummus," Poppy Seed Cake - 220 kcals per portion, 3 portions, contains gluten (Various)", Israeli salad, Spinach and Mushroom Frittata
55,350.0,90.0,140.0,100.0,320.0, Zucchini Fritters with Yogurt Sauce, Vegetarian Spring Rolls, Crispy Baked Potato Skins, Israeli salad," Mushroom and black bean tacos – 320 calories per portion, 4 portions, vegetarian-friendly
"
56,400.0,100.0,250.0,20.0,250.0, Vegan Breakfast Hand Pies," Apple Slices with Caramel Dip - 100kcals per portion, 2 portions
    Origin", Eggplant and feta bruschetta, Moroccan Mint Tea, Black Bean Tacos
57,450.0,100.0,150.0,120.0,250.0, Vegan Blueberry Muffins, Overnight Chia Pudding, Caprese skewers," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Mushroom Risotto
58,400.0,120.0,150.0,120.0,250.0, Vegan Breakfast Spanakopita, Granola Bar, Tomato and Mozzarella Bruschetta," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Cucumber Avocado Sushi Rolls
59,550.0,120.0,120.0,120.0,200.0, Belgian Liege Waffles, Kale Chips, Mediterranean Salad," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Tofu Stir-Fry - 200 calories per portion, 4 portions, Soy, China
"
60,200.0,120.0,100.0,120.0,325.0," Miso soup with tofu and seaweed (200kcals per portion, 2 portions, soy allergies, Japan)
", Toasted Coconut Chips, Baked Zucchini Fries," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Vegan Burritos
61,50.0,100.0,180.0,120.0,340.0, Vegan Breakfast Sushi Burrito, Cucumber Rolls with Cream Cheese, Avocado Cucumber Sushi Rolls," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Quinoa-Stuffed Mushrooms with Spinach and Feta - 340kcals per portion, 4 portions, contains dairy

Please note that the portion sizes and calorie counts are approximate and can vary based on specific ingredients and preparation methods"
62,150.0,120.0,130.0,120.0,250.0, Fruit Smoothie, Veggie Fritters," Oven-Baked Sweet Potato Fries - 130 kcals per portion, 4 portions, no allergic warnings, origin"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Black Bean Tacos
63,300.0,120.0,200.0,120.0,300.0," Chocolate avocado smoothie (300 calories per portion, 2 portions, nut-free, American origin)
", Greek Stuffed Grape Leaves, Chicken lettuce cups with peanut sauce," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Quinoa Stuffed Zucchini Boats
64,450.0,50.0,140.0,100.0,221.0," Breakfast tacos - 450 calories per portion, 2 portions, contains gluten, origin"," Fruit Salad - 50kcals per portion, 2 portions
   Origin"," Stuffed Dates - 140 kcals per portion, 4 portions, contains nuts (Middle East)", Israeli salad, Zucchini Noodles with Pesto
