,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,140.0,240.0,250.0,200.0, Overnight Cherry Almond Oats, Stuffed Jalapeno Poppers, Veggie Sushi Rolls, Indian vegetable korma, Greek Salad
2,400.0,100.0,220.0,200.0,350.0, Veggie Bagel Sandwich, Corn on the Cob, Strawberry Banana Smoothie, Vegetable and lentil samosas," Lemon Asparagus Pasta - 350 calories/portion, 2 portions, Origin"
3,300.0,300.0,200.0,250.0,340.0, Mushroom and Tomato Omelette, Peanut Butter and Banana Smoothie, Egg Salad Lettuce Wraps," Quinoa and Roasted Vegetable Salad - 250kcals per portion, 2 portions, no allergies
"," Spinach and Mushroom Quiche - 340kcals per portion, 4 portions, contains dairy
"
4,250.0,190.0,80.0,400.0,300.0, Vegan Banana Muffins, Rice Cakes with Avocado, Vegetable Soup," Caprese Stuffed Portobello Burgers - 400kcals per portion, 2 portions, contains dairy

Please note that the calorie counts provided are approximate and may vary depending on specific ingredients and preparation methods"," Ratatouille - 300 calories/portion, 4 portions, Origin"
5,350.0,220.0,200.0,400.0,300.0, Greek Yogurt with Fig Compote, Pita Pizza, Hummus and Veggie Wrap, Argentinian empanadas," Mediterranean Stuffed Eggplant - 300 calories/portion, 2 portions, Origin"
6,250.0,300.0,280.0,190.0,400.0, Vegetable Scramble, Lentil Soup with Crusty Bread, Veggie Sausage Rolls," Tomato and Basil Bruschetta - 190kcals per portion, 2 portions, contains gluten (Italy)
", Spinach and Ricotta Stuffed Pasta Shells
7,250.0,250.0,240.0,600.0,350.0, Vegan Tofu Benedict, Chocolate Peanut Butter Protein Smoothie, Spinach and Artichoke Dip, Veggie Paella," Stuffed Bell Peppers with Quinoa and Corn - 350 calories/portion, 4 portions, Origin"
8,400.0,250.0,220.0,380.0,450.0, Strawberry Banana Pancakes, Pumpkin Muffins, Caprese Bruschetta," Greek Spinach Pie (Spanakopita) - 380kcals per portion, 2 portions, contains gluten, dairy (Greece)
", Vegetable Korma
9,300.0,150.0,180.0,350.0,350.0, Tropical Mango Chia Pudding, Granola Bar with Dark Chocolate Chips, Mango Salsa with Tortilla Chips," Vegetarian Paella - 350kcals per portion, 3 portions, no allergies, Origin"," Caprese Pasta Salad - 350 calories/portion, 4 portions, contains gluten (Italy)
"
10,300.0,100.0,180.0,280.0,350.0, Mediterranean Chickpea Scramble, Caprese Skewers, Veggie Pancakes with Yogurt Dip," Greek Stuffed Tomatoes - 280kcals per portion, 4 portions, no allergies, Origin"," Veggie enchiladas - 350 calories per portion, 4 portions, contains gluten (Mexico)
"
11,400.0,350.0,150.0,300.0,220.0, Vegan Chocolate Waffles, Veggie Quesadilla, Greek Salad Skewers, Black bean and vegetable enchiladas," Greek Salad - 220kcals per portion, 4 portions, contains dairy
"
12,200.0,80.0,100.0,400.0,300.0, Tofu Scramble, Hard-Boiled Eggs, Baked Buffalo Cauliflower Bites, Quinoa Salad," Greek Spanakopita - 300 calories/portion, 4 portions, contains gluten and dairy (Greece)
"
13,350.0,220.0,250.0,400.0,350.0, Veggie Breakfast Wrap, Blueberry Muffins, Greek Yogurt with Granola, Vegan Caesar Salad," Spinach and mushroom quesadillas - 350 calories per portion, 4 portions, contains dairy and gluten (Mexico)
"
14,300.0,220.0,150.0,300.0,350.0, Chia Seed Pancakes, Greek Stuffed Grape Leaves, Black Bean and Corn Salsa, Chickpea and vegetable tagine," Sweet Potato Curry - 350 calories/portion, 4 portions, Origin"
15,180.0,350.0,120.0,450.0,320.0, Overnight Chia Pudding, Peanut Butter and Banana Smoothie, Fruit Salad, Greek Orzo Salad," Eggplant Curry - 320kcals per portion, 4 portions, contains spices (India)
"
16,300.0,280.0,210.0,500.0,400.0, Quinoa Breakfast Bowl, Spinach Quiche, Greek Feta and Olive Tapenade Crostini, Vegetarian Taco Salad," Vegetable Lo Mein - 400 calories/portion, 4 portions, contains gluten and soy (China)
"
17,300.0,80.0,120.0,400.0,400.0, Tomato Basil Avocado Toast, Cheesy Popcorn, Zucchini Fritters," Mushroom and Spinach Lasagna - 400kcals per portion, 2 portions, contains gluten, dairy (Italy)
"," Caprese Quinoa Bowl - 400 calories/portion, 4 portions, contains dairy (Italy)
"
18,300.0,150.0,100.0,450.0,380.0, Veggie Breakfast Quesadilla, Green Smoothie, Stuffed Dates, Greek Spinach Pie (Spanakopita)," Eggplant Parmesan - 380kcals per portion, 4 portions, contains dairy (Italy)
"
19,350.0,100.0,100.0,600.0,200.0, Vegan Breakfast Tacos, Som Tam (Papaya Salad), Guacamole Deviled Eggs, Spinach and Mushroom Quiche," Greek stuffed bell peppers - 200 calories per portion, 4 portions, none (Greece)
"
20,300.0,150.0,120.0,500.0,400.0, Quinoa Porridge, Tomato Bruschetta, Greek Yogurt Dip with Veggies, Ratatouille, Veggie Sushi Rolls
