,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,400.0,120.0,400.0,350.0," Bagel with lox and cream cheese (400 calories per portion, 2 portions, contains fish, American origin)
"," Bagel with lox and cream cheese (400 calories per portion, 2 portions, contains fish, American origin)
"," Ceviche - 120 kcals per portion, 2 portions, contains fish (Peru)"," Thai Green Curry with Chicken (400 calories per portion, serves 4, contains shellfish, origin"," Baked salmon with roasted vegetables – 350 calories per portion, 4 portions, contains fish
"
2,400.0,400.0,180.0,450.0,350.0," Bagel with lox and cream cheese (400 calories per portion, 2 portions, contains fish, American origin)
"," Smoked salmon and cream cheese bagel (400 calories per portion, 2 portions, contains fish, American origin)
"," Tuna Salad Lettuce Wraps - 180 kcals per portion, 2 portions, contains fish (USA)"," Grilled Salmon with Roasted Vegetables (450 calories per portion, serves 2, contains fish, origin"," Baked salmon with roasted vegetables – 350 calories per portion, 4 portions, contains fish
"
3,280.0,450.0,120.0,450.0,350.0," Avocado toast with smoked salmon (280 calories per portion, 2 portions, contains fish, American origin)
"," Lemon herb grilled salmon with quinoa and roasted vegetables – 450 calories per portion, 2 portions, contains fish
"," Ceviche - 120 kcals per portion, 2 portions, contains fish (Peru)"," Thai Pineapple Fried Rice with Shrimp (450 calories per portion, serves 2, contains shellfish, origin"," Baked salmon with roasted vegetables – 350 calories per portion, 4 portions, contains fish
"
4,400.0,400.0,180.0,350.0,350.0," Bagel with lox and cream cheese (400 calories per portion, 2 portions, contains fish, American origin)
"," Bagel with lox and cream cheese (400 calories per portion, 2 portions, contains fish, American origin)
"," Tuna Salad Lettuce Wraps - 180 kcals per portion, 2 portions, contains fish (USA)"," Mexican Shrimp Tacos - 350 calories per portion, 4 portions, contains dairy and shellfish, Mexican
"," Baked salmon with roasted vegetables – 350 calories per portion, 4 portions, contains fish
"
5,280.0,400.0,250.0,350.0,350.0," Avocado toast with smoked salmon (280 calories per portion, 2 portions, contains fish, American origin)
"," Herb-crusted baked fish with roasted vegetables – 400 calories per portion, 2 portions, contains fish
"," Sushi - 250 kcals per portion, 2 portions, contains fish, soy (Japan)"," Sushi Bowl with Smoked Salmon (350 calories per portion, serves 2, contains fish and gluten, origin"," Baked salmon with roasted vegetables – 350 calories per portion, 4 portions, contains fish
"
6,400.0,400.0,250.0,350.0,350.0," Smoked salmon and cream cheese bagel (400 calories per portion, 2 portions, contains fish, American origin)
"," Greek salad with grilled shrimp – 400 calories per portion, 3 portions, contains shellfish (origin"," Sushi - 250 kcals per portion, 2 portions, contains fish, soy (Japan)"," Japanese Sushi Rolls - 350 calories per portion, 6 pieces, contains fish, Japanese

"," Baked salmon with roasted vegetables – 350 calories per portion, 4 portions, contains fish
"
7,400.0,350.0,120.0,300.0,350.0," Bagel with lox and cream cheese (400 calories per portion, 2 portions, contains fish, American origin)
"," Baked salmon with roasted vegetables – 350 calories per portion, 4 portions, contains fish
"," Ceviche - 120 kcals per portion, 2 portions, contains fish (Peru)"," Thai Green Papaya Salad (300 calories per portion, serves 4, contains peanuts and fish sauce, origin"," Baked salmon with roasted vegetables – 350 calories per portion, 4 portions, contains fish
"
8,400.0,500.0,120.0,450.0,350.0," Smoked salmon and cream cheese bagel (400 calories per portion, 2 portions, contains fish, American origin)
"," Shrimp scampi with linguine – 500 calories per portion, 2 portions, contains shellfish (origin"," Ceviche - 120 kcals per portion, 2 portions, contains fish (Peru)"," Grilled Salmon with Roasted Vegetables (450 calories per portion, serves 2, contains fish, origin"," Baked salmon with roasted vegetables – 350 calories per portion, 4 portions, contains fish
"
9,400.0,250.0,120.0,450.0,350.0," Bagel with lox and cream cheese (400 calories per portion, 2 portions, contains fish, American origin)
"," Sushi - 250 kcals per portion, 2 portions, contains fish, soy (Japan)"," Ceviche - 120 kcals per portion, 2 portions, contains fish (Peru)"," Thai Red Curry with Shrimp (450 calories per portion, serves 2, contains shellfish, origin"," Baked salmon with roasted vegetables – 350 calories per portion, 4 portions, contains fish
"
10,400.0,450.0,120.0,350.0,350.0," Smoked salmon and cream cheese bagel (400 calories per portion, 2 portions, contains fish, American origin)
"," Thai Yellow Curry with Shrimp (450 calories per portion, serves 2, contains shellfish, origin"," Ceviche - 120 kcals per portion, 2 portions, contains fish (Peru)"," Sushi Bowl with Smoked Salmon (350 calories per portion, serves 2, contains fish and gluten, origin"," Baked salmon with roasted vegetables – 350 calories per portion, 4 portions, contains fish
"
