,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,150.0,250.0,700.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Peanut Noodles, Vegan Pad Thai, Vegan Pad Thai, Vegan Kung Pao Tofu
2,150.0,400.0,700.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Curry Laksa, Vegan Pad Thai, Vegan Curry Laksa, Vegan Kung Pao Tofu
3,150.0,400.0,700.0,250.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Pad Thai, Thai Peanut Noodles, Thai Peanut Noodles
4,150.0,350.0,200.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Coconut Curry, Vegan Thai Papaya Salad, Thai Red Curry, Thai Peanut Noodles
5,150.0,700.0,200.0,700.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Thai Papaya Salad, Vegan Pad Thai, Vegan Kung Pao Tofu
6,150.0,350.0,200.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Coconut Curry, Vegan Thai Papaya Salad, Vegan Pad Thai, Thai Peanut Noodles
7,150.0,250.0,700.0,700.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Peanut Noodles, Vegan Pad Thai, Vegan Pad Thai, Thai Peanut Noodles
8,150.0,150.0,700.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Thai Red Curry, Vegan Kung Pao Tofu
9,150.0,150.0,200.0,150.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Peanut Butter Banana Smoothie, Vegan Thai Papaya Salad, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu
10,150.0,400.0,200.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Curry Laksa, Vegan Thai Papaya Salad, Vegan Pad Thai, Thai Peanut Noodles
11,150.0,400.0,700.0,250.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Red Curry, Vegan Pad Thai, Vegan Kung Pao Tofu, Vegan Kung Pao Tofu
12,150.0,250.0,200.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu, Vegan Thai Papaya Salad, Vegan Pad Thai, Thai Peanut Noodles
13,150.0,350.0,700.0,200.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Coconut Curry, Vegan Pad Thai, Vegan Thai Papaya Salad, Vegan Kung Pao Tofu
14,150.0,400.0,200.0,250.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Thai Papaya Salad, Vegan Kung Pao Tofu, Thai Peanut Noodles
15,150.0,250.0,700.0,150.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Peanut Noodles, Vegan Pad Thai, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu
16,150.0,200.0,700.0,150.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Thai Papaya Salad, Vegan Pad Thai, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu
17,150.0,200.0,200.0,250.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Thai Papaya Salad, Vegan Thai Papaya Salad, Thai Peanut Noodles, Vegan Kung Pao Tofu
18,150.0,150.0,700.0,200.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Thai Papaya Salad, Vegan Kung Pao Tofu
19,150.0,400.0,200.0,200.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Red Curry, Vegan Thai Papaya Salad, Vegan Thai Papaya Salad, Thai Peanut Noodles
20,150.0,400.0,200.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Thai Papaya Salad, Vegan Pad Thai, Vegan Kung Pao Tofu
21,150.0,400.0,200.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Red Curry, Vegan Thai Papaya Salad, Vegan Curry Laksa, Vegan Kung Pao Tofu
22,150.0,250.0,700.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Peanut Noodles, Vegan Pad Thai, Vegan Curry Laksa, Vegan Kung Pao Tofu
23,150.0,150.0,700.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Curry Laksa, Thai Peanut Noodles
24,150.0,400.0,200.0,350.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Curry Laksa, Vegan Thai Papaya Salad, Thai Coconut Curry, Vegan Kung Pao Tofu
25,150.0,400.0,700.0,250.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Curry Laksa, Vegan Pad Thai, Vegan Kung Pao Tofu, Vegan Kung Pao Tofu
26,150.0,400.0,700.0,250.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Red Curry, Vegan Pad Thai, Thai Peanut Noodles, Thai Peanut Noodles
27,150.0,400.0,200.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Thai Papaya Salad, Vegan Curry Laksa, Vegan Kung Pao Tofu
28,150.0,350.0,700.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Coconut Curry, Vegan Pad Thai, Vegan Curry Laksa, Thai Peanut Noodles
29,150.0,400.0,700.0,350.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Curry Laksa, Vegan Pad Thai, Thai Coconut Curry, Vegan Kung Pao Tofu
30,150.0,700.0,700.0,200.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Pad Thai, Vegan Thai Papaya Salad, Thai Peanut Noodles
31,150.0,400.0,700.0,150.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Red Curry, Vegan Pad Thai, Vegan Peanut Butter Banana Smoothie, Thai Peanut Noodles
32,150.0,200.0,200.0,350.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Thai Papaya Salad, Vegan Thai Papaya Salad, Thai Coconut Curry, Thai Peanut Noodles
33,150.0,250.0,700.0,250.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Peanut Noodles, Vegan Pad Thai, Thai Peanut Noodles, Vegan Kung Pao Tofu
34,150.0,150.0,200.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Peanut Butter Banana Smoothie, Vegan Thai Papaya Salad, Vegan Pad Thai, Thai Peanut Noodles
35,150.0,250.0,700.0,350.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu, Vegan Pad Thai, Thai Coconut Curry, Thai Peanut Noodles
36,150.0,250.0,700.0,350.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu, Vegan Pad Thai, Thai Coconut Curry, Thai Peanut Noodles
37,150.0,400.0,200.0,350.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Curry Laksa, Vegan Thai Papaya Salad, Thai Coconut Curry, Thai Peanut Noodles
38,150.0,250.0,200.0,250.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu, Vegan Thai Papaya Salad, Thai Peanut Noodles, Vegan Kung Pao Tofu
39,150.0,400.0,700.0,250.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Red Curry, Vegan Pad Thai, Vegan Kung Pao Tofu, Vegan Kung Pao Tofu
40,150.0,250.0,200.0,200.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu, Vegan Thai Papaya Salad, Vegan Thai Papaya Salad, Thai Peanut Noodles
41,150.0,350.0,200.0,200.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Coconut Curry, Vegan Thai Papaya Salad, Vegan Thai Papaya Salad, Thai Peanut Noodles
42,150.0,400.0,200.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Red Curry, Vegan Thai Papaya Salad, Vegan Pad Thai, Thai Peanut Noodles
43,150.0,350.0,700.0,250.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Coconut Curry, Vegan Pad Thai, Vegan Kung Pao Tofu, Vegan Kung Pao Tofu
44,150.0,700.0,700.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Pad Thai, Thai Red Curry, Vegan Kung Pao Tofu
45,150.0,700.0,700.0,150.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Pad Thai, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu
46,150.0,250.0,700.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu, Vegan Pad Thai, Vegan Pad Thai, Vegan Kung Pao Tofu
47,150.0,200.0,200.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Thai Papaya Salad, Vegan Thai Papaya Salad, Thai Red Curry, Thai Peanut Noodles
48,150.0,700.0,700.0,250.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Pad Thai, Vegan Kung Pao Tofu, Thai Peanut Noodles
49,150.0,400.0,200.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Curry Laksa, Vegan Thai Papaya Salad, Vegan Curry Laksa, Vegan Kung Pao Tofu
50,150.0,350.0,700.0,250.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Coconut Curry, Vegan Pad Thai, Thai Peanut Noodles, Thai Peanut Noodles
51,150.0,400.0,200.0,350.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Thai Papaya Salad, Thai Coconut Curry, Vegan Kung Pao Tofu
52,150.0,400.0,700.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Red Curry, Vegan Pad Thai, Thai Red Curry, Vegan Kung Pao Tofu
53,150.0,250.0,200.0,200.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu, Vegan Thai Papaya Salad, Vegan Thai Papaya Salad, Thai Peanut Noodles
54,150.0,250.0,200.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Peanut Noodles, Vegan Thai Papaya Salad, Vegan Pad Thai, Thai Peanut Noodles
55,150.0,250.0,700.0,200.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Peanut Noodles, Vegan Pad Thai, Vegan Thai Papaya Salad, Thai Peanut Noodles
56,150.0,400.0,200.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Thai Papaya Salad, Vegan Curry Laksa, Vegan Kung Pao Tofu
57,150.0,350.0,700.0,250.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Coconut Curry, Vegan Pad Thai, Thai Peanut Noodles, Thai Peanut Noodles
58,150.0,700.0,200.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Thai Papaya Salad, Vegan Curry Laksa, Thai Peanut Noodles
59,150.0,350.0,700.0,250.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Coconut Curry, Vegan Pad Thai, Thai Peanut Noodles, Vegan Kung Pao Tofu
60,150.0,150.0,200.0,250.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Peanut Butter Banana Smoothie, Vegan Thai Papaya Salad, Thai Peanut Noodles, Thai Peanut Noodles
61,150.0,200.0,700.0,150.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Thai Papaya Salad, Vegan Pad Thai, Vegan Peanut Butter Banana Smoothie, Thai Peanut Noodles
62,150.0,250.0,200.0,250.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu, Vegan Thai Papaya Salad, Vegan Kung Pao Tofu, Thai Peanut Noodles
63,150.0,700.0,200.0,150.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Thai Papaya Salad, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu
64,150.0,150.0,700.0,150.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu
65,150.0,200.0,700.0,350.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Thai Papaya Salad, Vegan Pad Thai, Thai Coconut Curry, Vegan Kung Pao Tofu
66,150.0,400.0,200.0,250.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Curry Laksa, Vegan Thai Papaya Salad, Thai Peanut Noodles, Thai Peanut Noodles
67,150.0,700.0,200.0,250.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Thai Papaya Salad, Thai Peanut Noodles, Vegan Kung Pao Tofu
68,150.0,350.0,200.0,350.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Coconut Curry, Vegan Thai Papaya Salad, Thai Coconut Curry, Thai Peanut Noodles
69,150.0,250.0,700.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu, Vegan Pad Thai, Thai Red Curry, Thai Peanut Noodles
70,150.0,200.0,700.0,700.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Thai Papaya Salad, Vegan Pad Thai, Vegan Pad Thai, Thai Peanut Noodles
71,150.0,350.0,700.0,700.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Coconut Curry, Vegan Pad Thai, Vegan Pad Thai, Vegan Kung Pao Tofu
72,150.0,350.0,200.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Coconut Curry, Vegan Thai Papaya Salad, Vegan Pad Thai, Vegan Kung Pao Tofu
73,150.0,400.0,700.0,350.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Curry Laksa, Vegan Pad Thai, Thai Coconut Curry, Vegan Kung Pao Tofu
74,150.0,200.0,200.0,350.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Thai Papaya Salad, Vegan Thai Papaya Salad, Thai Coconut Curry, Thai Peanut Noodles
75,150.0,400.0,700.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Curry Laksa, Vegan Pad Thai, Vegan Pad Thai, Thai Peanut Noodles
76,150.0,400.0,200.0,350.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Curry Laksa, Vegan Thai Papaya Salad, Thai Coconut Curry, Vegan Kung Pao Tofu
77,150.0,350.0,200.0,250.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Coconut Curry, Vegan Thai Papaya Salad, Thai Peanut Noodles, Vegan Kung Pao Tofu
78,150.0,700.0,700.0,350.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Pad Thai, Thai Coconut Curry, Thai Peanut Noodles
79,150.0,250.0,200.0,250.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Peanut Noodles, Vegan Thai Papaya Salad, Thai Peanut Noodles, Thai Peanut Noodles
80,150.0,200.0,200.0,150.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Thai Papaya Salad, Vegan Thai Papaya Salad, Vegan Peanut Butter Banana Smoothie, Thai Peanut Noodles
81,150.0,250.0,200.0,250.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu, Vegan Thai Papaya Salad, Vegan Kung Pao Tofu, Thai Peanut Noodles
82,150.0,200.0,700.0,700.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Thai Papaya Salad, Vegan Pad Thai, Vegan Pad Thai, Thai Peanut Noodles
83,150.0,400.0,700.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Curry Laksa, Vegan Pad Thai, Thai Red Curry, Thai Peanut Noodles
84,150.0,400.0,700.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Curry Laksa, Vegan Pad Thai, Vegan Curry Laksa, Vegan Kung Pao Tofu
85,150.0,700.0,700.0,700.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Pad Thai, Vegan Pad Thai, Vegan Kung Pao Tofu
86,150.0,400.0,700.0,250.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Curry Laksa, Vegan Pad Thai, Thai Peanut Noodles, Vegan Kung Pao Tofu
87,150.0,150.0,200.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Peanut Butter Banana Smoothie, Vegan Thai Papaya Salad, Thai Red Curry, Vegan Kung Pao Tofu
88,150.0,400.0,700.0,350.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Curry Laksa, Vegan Pad Thai, Thai Coconut Curry, Vegan Kung Pao Tofu
89,150.0,700.0,700.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Pad Thai, Vegan Pad Thai, Thai Peanut Noodles
90,150.0,250.0,200.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Peanut Noodles, Vegan Thai Papaya Salad, Vegan Pad Thai, Vegan Kung Pao Tofu
91,150.0,200.0,700.0,250.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Thai Papaya Salad, Vegan Pad Thai, Thai Peanut Noodles, Thai Peanut Noodles
92,150.0,250.0,700.0,250.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Peanut Noodles, Vegan Pad Thai, Vegan Kung Pao Tofu, Vegan Kung Pao Tofu
93,150.0,150.0,200.0,700.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Peanut Butter Banana Smoothie, Vegan Thai Papaya Salad, Vegan Pad Thai, Thai Peanut Noodles
94,150.0,400.0,200.0,150.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Thai Papaya Salad, Vegan Peanut Butter Banana Smoothie, Thai Peanut Noodles
95,150.0,200.0,700.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Thai Papaya Salad, Vegan Pad Thai, Thai Red Curry, Vegan Kung Pao Tofu
96,150.0,400.0,200.0,700.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Curry Laksa, Vegan Thai Papaya Salad, Vegan Pad Thai, Thai Peanut Noodles
97,150.0,150.0,700.0,200.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Thai Papaya Salad, Vegan Kung Pao Tofu
98,150.0,400.0,700.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Red Curry, Vegan Pad Thai, Vegan Pad Thai, Thai Peanut Noodles
99,150.0,400.0,200.0,150.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Curry Laksa, Vegan Thai Papaya Salad, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu
100,150.0,400.0,200.0,200.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Curry Laksa, Vegan Thai Papaya Salad, Vegan Thai Papaya Salad, Vegan Kung Pao Tofu
101,150.0,400.0,700.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Curry Laksa, Vegan Pad Thai, Thai Red Curry, Thai Peanut Noodles
102,150.0,200.0,700.0,200.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Thai Papaya Salad, Vegan Pad Thai, Vegan Thai Papaya Salad, Thai Peanut Noodles
103,150.0,250.0,200.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu, Vegan Thai Papaya Salad, Thai Red Curry, Thai Peanut Noodles
104,150.0,400.0,200.0,350.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Red Curry, Vegan Thai Papaya Salad, Thai Coconut Curry, Thai Peanut Noodles
105,150.0,250.0,200.0,200.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu, Vegan Thai Papaya Salad, Vegan Thai Papaya Salad, Vegan Kung Pao Tofu
106,150.0,700.0,200.0,250.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Thai Papaya Salad, Thai Peanut Noodles, Thai Peanut Noodles
