,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,450.0,100.0,120.0,350.0,180.0, Veggie Breakfast Burritos, Chilled Gazpacho, Yogurt Covered Strawberries, Mexican Chicken Quesadilla," Caprese Skewers - 180kcals per portion, 4 portions, contains dairy (Italy)
"
2,200.0,80.0,220.0,400.0,250.0, Tofu Scramble," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Beetroot Hummus with Pita Bread, Vegan Bibimbap," Spicy Eggplant Curry - 250 calories per portion, 4 portions, None, India
"
3,250.0,80.0,300.0,250.0,200.0, Vegan Chocolate Chia Seed Pudding - 250 calories per portion | 2 portions | None | Origin, Stuffed Dates, Vegetable Fajitas, Bruschetta, Spaghetti Aglio e Olio
4,350.0,100.0,160.0,300.0,200.0, Veggie Omelette, Fruit Salad, Mini Chicken Satay Skewers," Couscous Salad - 300kcals per portion, 4 portions"," Stuffed grape leaves (Dolmas) - 200 calories per portion, 4 portions, contains nuts (Middle East)
"
5,400.0,80.0,180.0,350.0,180.0," Brazilian tapioca pancake filled with cheese - 400 calories per portion, 2 portions, contains gluten and dairy, origin", Cheesy Popcorn, Thai Fresh Spring Rolls, Veggie Curry Noodles," Cauliflower Shawarma - 180 calories per portion, 6 portions, None, Middle East
"
6,500.0,100.0,120.0,600.0,246.0, Turkish Gozleme, Energy Balls - Approx, Roasted Chickpeas," Greek Lamb Gyro - 600kcals per portion, 4 portions", Vegan Teriyaki Tofu
7,400.0,100.0,240.0,350.0,250.0, Breakfast Tacos with Chorizo, Berry Chia Detox Water, Peanut butter and banana sushi rolls," Roasted Vegetable Quinoa Bowl - 350kcals per portion, 2 portions, no allergies
"," Quinoa Stuffed Mushrooms - 250 calories per portion, 4 portions, no allergic warnings, Origin"
8,450.0,100.0,120.0,300.0,150.0, Vegan Biscuits and Gravy - 450 calories per portion | 1 portion | Contains gluten | Origin, Chilled Gazpacho Soup - Approx, Watermelon and feta skewers," Vegan Sushi Rolls
Total calories per portion"," Ratatouille - 150 calories/portion, 4 portions, contains garlic (France)
"
9,100.0,100.0,120.0,400.0,250.0, Vegan Breakfast Bagel, Fruit Smoothie Popsicles - Approx, Frozen yogurt bark with berries," Vegan Stuffed Cabbage Rolls - 400kcals per portion, 2 portions, vegan, International
"," Greek Spinach Pie (Spanakopita) - 250 calories/portion, 6 portions, Origin"
10,300.0,100.0,200.0,200.0,220.0, Vegan Buckwheat Banana Pancakes - 300 calories per portion | 1 portion | Contains gluten | Origin, Cucumber and Hummus Rolls," Poppy Seed Muffins - 200 kcals per portion, 3 portions, contains gluten (Various)", Mushroom and spinach omelette, Quinoa and Vegetable Stir Fry
11,300.0,80.0,120.0,300.0,250.0, Vegan Breakfast Tiramisu, Baked Apple Chips, Spinach Balls," Lentil and Sweet Potato Chili - 300kcals per portion, 2 portions"," Ratatouille - 250 calories per portion, 3 portions, may contain onions and garlic"
12,350.0,100.0,150.0,400.0,250.0, Vegan Protein Pancakes," Raspberry Yogurt Popsicles - 100kcals per portion, 2 portions
    Origin", Baked Buffalo Cauliflower Bites, Greek-style stuffed zucchini with ground turkey and feta," Greek Vegan Gigantes (250 calories/portion, 4 portions) - Greece
"
13,350.0,80.0,220.0,200.0,200.0," Moroccan baghrir (semolina pancakes) with honey and melted butter (350kcals per portion, 2 portions, origin", Fruit Salad, Mango Coconut Chia Pudding," Tomato Basil Soup - 200kcals per portion, 4 portions, gluten-free, International
"," Vegetable Stir-Fry - 200kcals per portion, 4 portions
"
14,250.0,100.0,120.0,550.0,200.0, Muesli with Almond Milk, Watermelon Fruit Pizza," Vegan Spinach and Mushroom Frittata - 120 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Mushroom Risotto
Total calories per portion", Vegan Chili
15,350.0,80.0,200.0,280.0,260.0, Moroccan Shakshuka, Baked Apple Chips, Greek salad," Vegetable Curry - 280kcals per portion, 4 portions, gluten-free, International
", Mexican Stuffed Zucchini
16,350.0,100.0,180.0,400.0,250.0, Vegan Breakfast Quinoa Bowl - 350 calories per portion | 1 portion | Contains nuts | Origin, Cucumber Rolls with Hummus - Approx, Veggie Snack Wrap, Greek-style baked fish with lemon and herbs," Quinoa salad with roasted butternut squash – 250 calories per portion, 4 portions, gluten-free, vegan-friendly
"
17,400.0,100.0,100.0,400.0,250.0," Chinese congee with chicken and ginger (400kcals per portion, 2 portions, origin", Roasted Pumpkin Seeds," Vegan Mushroom Soup - 100 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Goulash with Seitan
Total calories per portion", Vegan Sushi Bowl
18,250.0,100.0,120.0,300.0,250.0, Blueberry Oatmeal Breakfast Bars, Roasted Almonds," Vegan Coconut Lime Energy Balls - 120 kcals per portion, 4 portions, no allergic warnings, origin", Mexican Chicken Tortilla Soup," Veggie Noodle Stir Fry - 250 calories/portion, 4 portions, Origin"
19,450.0,80.0,190.0,350.0,220.0, Breakfast Frittata, Apple with Cinnamon, Black Bean Dip with Tortilla Chips, Pesto pasta with cherry tomatoes, Chickpea and Vegetable Stir Fry
20,350.0,80.0,280.0,250.0,250.0, Vegan Spinach and Mushroom Quiche - 350 calories per portion | 1 portion | Contains gluten | Origin, Avocado Deviled Eggs, Veggie and Cream Cheese Roll-ups," Lentil and Spinach Quesadilla - 250kcals per portion, 2 portions"," Quinoa Stuffed Mushrooms - 250 calories per portion, 4 portions, no allergic warnings, Origin"
21,280.0,80.0,200.0,320.0,150.0," Baked eggs in tomato cups (280 calories per portion, 2 portions, nut-free, Italian origin)
", Mango with Chili Powder, Mini Quiches," Quinoa and Black Bean Salad - 320kcals per portion, 2 portions, contains legumes
", Butternut Squash Soup
22,350.0,80.0,90.0,400.0,250.0," Jamaican cornmeal porridge with cinnamon and nutmeg (350kcals per portion, 2 portions, origin", Fresh Squeezed Orange Juice, Peanut butter energy balls, Chicken Satay with Peanut Sauce," Baked Cod with Lemon and Garlic - 250 calories per portion, 4 portions, no allergic warnings, Origin"
23,400.0,100.0,320.0,400.0,250.0, Shakshuka with Halloumi Cheese, Carrot Sticks with Ranch Dip, Avocado toast, Mexican vegetable tamales, Vegan Soba Noodle Salad
24,450.0,50.0,180.0,400.0,250.0," Persian barbari bread with feta and cucumber (450kcals per portion, 2 portions, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Granola Bars, Indian Chicken Biryani, Thai Peanut Noodles
25,250.0,100.0,150.0,400.0,200.0," British eggy soldiers - 250 calories per portion, 1 portion, contains gluten, origin", Boiled chickpeas," Vegan Zucchini Bread - 150 kcals per portion, 4 portions, no allergic warnings, origin", Vietnamese Caramelized Pork," Lentil Spinach Salad - 200 calories per portion, 4 portions, None, Various
"
26,400.0,100.0,250.0,400.0,250.0, Veggie Breakfast Pizza, Greek yogurt with berries, Quinoa Salad," Quinoa Stuffed Cabbage Rolls - 400kcals per portion, 4 portions", Stuffed Bell Peppers
27,200.0,100.0,180.0,250.0,213.0, Vegan Scones - 200 calories per portion | 2 portions | Contains gluten | Origin, Cucumber Rolls with Hummus - Approx, Avocado Cucumber Sushi Rolls, Caprese Salad, Lentil Soup
28,350.0,80.0,150.0,200.0,240.0, Coconut Milk Rice Pudding, Fruit Salad," Caponata Bruschetta - 150 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Mushroom and Lentil Soup
Total calories per portion", Vegan Lentil Soup
29,300.0,100.0,300.0,300.0,150.0, Veggie Breakfast Burrito Bowl, Cucumber Rolls with Hummus - Approx, Mini Pita Pizzas, Lebanese Chicken Manakish, Greek Salad
30,400.0,100.0,160.0,150.0,250.0," Thai mango sticky rice (400kcals per portion, 2 portions, origin", Cucumber and Tomato Salad," Vegan Samosas - 160 kcals per portion, 4 portions, no allergic warnings, origin", Tomato Basil Soup," Spinach and Ricotta Stuffed Mushrooms - 250 calories/portion, 4 portions, Origin"
31,350.0,100.0,100.0,500.0,200.0," Middle Eastern labneh with za'atar and bread - 350 calories per portion, 2 portions, contains gluten and dairy, origin", Berry Chia Detox Water, Caprese Skewers," Chicken and Rice Pilaf - 500kcals per portion, 2 portions", Mediterranean Quinoa Bowl
32,400.0,100.0,220.0,400.0,210.0, Nutella Banana Croissant," Mint Yogurt Dip with Vegetable Sticks - 100kcals per portion, 2 portions
    Origin", Nutella Stuffed French Toast," Mexican Chicken Quesadilla (400 calories per portion, serves 2, contains gluten and dairy, origin", Lentil and Vegetable Stir Fry
33,300.0,100.0,210.0,300.0,200.0, Tofu Scramble, Kiwi and Strawberry Smoothie, Greek Feta and Olive Tapenade Crostini, Lebanese Chicken Rice, Butternut Squash Soup
34,500.0,100.0,90.0,350.0,250.0," Vietnamese bánh cuốn (steamed rice rolls) with ground pork and mushrooms (500kcals per portion, 2 portions, origin", Edamame, Mini Quiche, Vegetable and tofu noodle bowl, Greek Lemon Potatoes
35,450.0,60.0,150.0,350.0,250.0, Vegan Breakfast Lassi, Fruit Salad - Approx, Mini quinoa sliders," Vegan Sweet and Sour Tofu
Total calories per portion"," Veggie Pho with Tofu - 250 calories/portion, 4 portions, Origin"
36,400.0,100.0,120.0,200.0,150.0, Mexican Sopes, Cucumber Sandwich, Baked Parmesan Zucchini Chips," Cauliflower Fried Rice - 200kcals per portion, 3 portions"," Caprese salad - 150 calories per portion, 4 portions, contains dairy (Italy)
"
37,350.0,100.0,120.0,150.0,180.0, Scrambled Eggs with Smoked Salmon, Baked Apple Chips," Cold Cucumber Soup - 120 kcals per portion, 4 portions, gluten-free (World)", Tomato and Basil Bruschetta," Caprese stuffed portobello mushrooms - 180 calories per portion, 4 portions, contains dairy (Italy)
"
38,150.0,100.0,100.0,400.0,250.0, Vegan Energy Balls - 150 calories per portion | 2 portions | Contains nuts | Origin, Fruit salad, Tzatziki with Pita Bread," Greek Spanakopita - 400 calories per portion, 2 portions, contains dairy, Greek
", Ratatouille
