,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,300.0,180.0,150.0,180.0," Fruit smoothie bowl topped with granola (250kcals per portion, 2 portions, nut allergies, origin", Stuffed Bell Peppers, Baked Jalapeno Poppers," Lentil Soup - 150 calories
   - Total portions"," Greek Roasted Vegetables - 180kcals per portion, 4 portions
"
2,200.0,200.0,240.0,150.0,150.0, Spanish Tortilla, Baked Sweet Potato Fries, Thai Vegetable Spring Rolls," Potato Latkes - 150 calories
   - Total portions"," Ratatouille - 150 calories per portion, 6 portions, None, France
"
3,300.0,180.0,230.0,150.0,170.0, Vegan Protein Smoothie, Veggie Sushi Rolls, Roasted red pepper hummus with pita chips," Grilled Vegetable Skewers - 150kcals per portion, 4 portions", Miso Soup with Tofu and Vegetables
4,250.0,220.0,250.0,150.0,180.0," Coconut chia pudding with mango (250kcals per portion, 2 portions)
", Greek Stuffed Grape Leaves, Guacamole with Tortilla Chips," Greek Salad - 150 calories
   - Total portions"," Moroccan Lentil Soup - 180 calories per portion, 6 portions, no allergic warnings, Origin"
5,250.0,250.0,250.0,150.0,200.0, Stuffed French Toast, Apple Slices with Almond Butter, Stuffed Avocado with Quinoa, Tomato and Basil Bruschetta," Vegan Buffalo Cauliflower Wings - 200 calories per portion, 4 portions, None, United States
"
6,200.0,160.0,300.0,150.0,200.0, Spinach and Feta Stuffed Portobello Mushrooms, Cheese and Spinach Rolls, Sweet Potato and Black Bean Stuffed Peppers, Cabbage Stir-Fry," Vegan Miso Soup - 200 calories per portion, 4 portions, Soy, Japan
"
7,200.0,300.0,80.0,150.0,180.0, Veggie Breakfast Couscous, Bagel Chips," Chocolate Dipped Strawberries - 80 kcals per portion, 4 portions, contains dairy (USA)", Tomato Basil Soup," Caprese Salad - 180kcals per portion, 4 portions, contains dairy (Italy)
"
8,200.0,150.0,60.0,150.0,200.0, Vegan Blueberry Pancakes, Veggie Sushi Rolls," Sliced Apples with Cinnamon - 60 kcals per portion, 4 portions, no allergic warnings, origin"," Potato Latkes - 150 calories
   - Total portions"," Cauliflower Fried Rice - 200 calories/portion, 4 portions, contains soy (China)
"
9,250.0,200.0,150.0,150.0,200.0, Overnight Chia Pudding, Spinach and Cheese Empanadas, Greek Salad Skewers, Spinach and cheese stuffed tomatoes, Ratatouille
10,300.0,80.0,190.0,120.0,120.0, Aloo Paratha, Apple with Cinnamon, Black Bean Dip with Tortilla Chips," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Cucumber and Tomato Salad
11,300.0,200.0,220.0,150.0,180.0, Hash Brown Casserole, Tomato and Mozzarella Skewers, Quinoa and Black Bean Salad," Lentil Soup - 150kcals per portion, 6 portions"," Greek salad - 180 calories per portion, 4 portions, contains dairy (Greece)
"
12,300.0,150.0,160.0,150.0,200.0," Spinach and feta pastry turnovers (300kcals per portion, 2 portions, dairy allergies)
", Hawaiian Fruit Skewers - Approx, Mini Quiches," Vegetable Stir-Fry - 150kcals per portion, 3 portions"," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
13,200.0,150.0,180.0,20.0,182.0, Banana Pancakes, Rainbow Veggie Skewers, Grilled Halloumi Skewers, Moroccan Mint Tea, Carrot and Ginger Soup
14,300.0,100.0,120.0,150.0,200.0, Vegan Berry Protein Smoothie Bowl, Cucumber Slices with Tzatziki - Approx," Vegan Cucumber Sushi Rolls - 120 kcals per portion, 4 portions, no allergic warnings, origin"," Lentil Soup - 150 calories
   - Total portions"," Tomato and Mozzarella Stuffed Portobello Mushrooms - 200 calories/portion, 2 portions, Origin"
15,250.0,250.0,100.0,150.0,180.0, Vegetable Scramble, Smoothie Bowl, Deviled Eggs, Spinach and ricotta stuffed tomatoes, Rainbow Salad
16,300.0,200.0,120.0,150.0,200.0, Veggie Bagel Sandwich, Chocolate Chia Pudding, No-Bake Energy Bars, Tom Yum Soup," Minestrone soup - 200 calories per portion, 6 portions, contains gluten (Italy)
"
17,200.0,150.0,120.0,150.0,200.0, Mexican Black Bean Breakfast Wrap, Mixed Berry Smoothie," Chia Pudding with Fresh Berries - 120 kcals per portion, 4 portions, no allergic warnings, origin", Spinach and feta stuffed mushrooms, Lentil Spinach Soup
18,300.0,300.0,170.0,150.0,200.0, Chocolate Chia Protein Pudding, Vegetarian Scotch Eggs, Corn tortilla chips with salsa, Spinach and cheese stuffed tomatoes, Mediterranean Stuffed Eggplant
19,300.0,180.0,320.0,150.0,200.0, Mushroom and Tomato Omelette, Muesli, Mini bagel pizzas," Japanese Miso Soup with Tofu - 150 calories
    - Total portions"," Spinach and Feta Stuffed Mushrooms - 200 calories/portion, 4 portions, Origin"
20,260.0,250.0,80.0,150.0,200.0," Cheese and vegetable frittata (260 calories per portion, 2 portions, contains dairy, Italian origin)
", Quinoa Salad with Veggies, Energy Balls, Tomato and Basil Bruschetta, Greek Salad
21,200.0,150.0,200.0,150.0,200.0, Vegetarian Quiche, Almond Butter Energy Bites - Approx," Vegan Mango Smoothie Bowl - 200 kcals per portion, 4 portions, no allergic warnings, origin"," Japanese Miso Soup with Tofu - 150 calories
    - Total portions"," Lentil Spinach Salad - 200 calories per portion, 4 portions, None, Various
"
22,300.0,80.0,180.0,150.0,200.0, Vegan Breakfast Stromboli, Avocado Deviled Eggs, Tabbouleh," Cucumber Avocado Salad - 150kcals per portion, 2 portions, nut-free, International
"," Greek stuffed bell peppers - 200 calories per portion, 4 portions, none (Greece)
"
23,250.0,200.0,120.0,150.0,200.0, Muesli with Almond Milk, Baked Falafel," Vegan Pumpkin Spice Energy Balls - 120 kcals per portion, 4 portions, no allergic warnings, origin"," Lentil Soup - 150kcals per portion, 6 portions", Quinoa Salad
24,250.0,200.0,300.0,150.0,200.0, Raw Vegan Breakfast Bars - 250 calories per portion | 2 portions | Contains nuts | Origin, Berry Parfait, Chicken Fried Rice, Caprese Salad, Greek Salad
25,300.0,300.0,250.0,150.0,100.0, Breakfast Couscous with Fresh Fruit, Cheese and Vegetable Quesadilla, Zucchini and ricotta crostini, Spinach and cheese stuffed tomatoes," Ratatouille - 100 calories per portion, 4 portions, none (France)
"
26,250.0,100.0,250.0,150.0,200.0, Vegetable Scramble, Chilled Gazpacho Soup - Approx, Chicken Caesar Lettuce Wraps, Tomato Basil Soup," Lentil Spinach Soup - 200 calories per portion, 4 portions, None, Various
"
27,200.0,100.0,300.0,150.0,180.0, Oatmeal with Berries, Cucumber Slices with Tzatziki - Approx, Veggie Nachos, Caprese Salad," Ratatouille - 180kcals per portion, 4 portions, vegan (France)
"
