,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,170.0,90.0,20.0,300.0, Vegan Breakfast Strata, Banana Chia Pudding, Peanut butter energy balls, Moroccan Mint Tea," Quinoa-stuffed mushrooms – 300 calories per portion, 4 portions, vegetarian-friendly
"
2,200.0,180.0,200.0,20.0,300.0, Vegan Breakfast Quiche Lorraine, Carrot and raisin muffins, Greek Tiropita, Moroccan Mint Tea, Vegan Tikka Masala
3,300.0,200.0,180.0,20.0,200.0, Vegan Blueberry Muffins - 300 calories per portion | 1 portion | Contains gluten | Origin, Vegan Breakfast Cookies, Banana-nut muffins, Moroccan Mint Tea," Minestrone soup - 200 calories per portion, 6 portions, contains gluten (Italy)
"
4,250.0,100.0,100.0,20.0,300.0, Vegan Banana Bread - 250 calories per portion | 2 portions | Contains gluten | Origin, Baked Apple Chips, Caprese Skewers, Moroccan Mint Tea, Vegan Lentil Tacos
5,300.0,150.0,200.0,20.0,300.0," Scrambled eggs with spinach and feta cheese (300kcals per portion, 2 portions, dairy allergies, origin", Green Smoothie, Stuffed Bell Peppers, Moroccan Mint Tea, Lentil and Vegetable Stir-Fry
6,250.0,200.0,280.0,20.0,200.0, Sweet Potato Toast - 250 calories per portion | 1 portion | None | Origin, Chocolate Protein Balls," Mini Cheesecakes - 280 kcals per portion, 3 portions, contains dairy (USA)", Moroccan Mint Tea," Mexican Stuffed Portobello Mushrooms - 200 calories/portion, 4 portions, contains gluten (Mexico)
"
7,250.0,200.0,200.0,20.0,300.0, Vegan Chocolate Banana Smoothie," Coconut Chia Seed Pudding - 200kcals per portion, 1 portion
    Origin", Mini Ricotta and Spinach Pastries, Moroccan Mint Tea," Veggie Burger with Sweet Potato Fries - 300 calories/portion, 4 portions, Origin"
8,300.0,180.0,120.0,20.0,250.0," Yogurt and fruit smoothie with almond milk (300kcals per portion, 1 portion, nut allergies)
", Mango Chia Pudding, Spinach and Feta Stuffed Mushrooms, Moroccan Mint Tea," Red Lentil Dal - 250 calories per portion, 4 portions, None, India
"
9,250.0,80.0,120.0,20.0,300.0," Almond joy smoothie (250 calories per portion, 2 portions, contains nuts, American origin)
", Apple with Cinnamon, Yogurt Covered Strawberries, Moroccan Mint Tea, Grilled Tofu with Teriyaki Sauce
10,300.0,90.0,200.0,20.0,200.0, Tomato and Basil Omelette, Stuffed Dates, Avocado and black bean salsa, Moroccan Mint Tea," Tofu Stir-Fry - 200 calories per portion, 4 portions, Soy, China
"
11,200.0,150.0,200.0,20.0,180.0, Vegetarian Quiche, Spinach and ricotta puff pastry swirls, Greek yogurt and honey with walnuts, Moroccan Mint Tea," Caprese Salad - 180kcals per portion, 4 portions, contains dairy (Italy)
"
12,250.0,200.0,200.0,20.0,300.0, Middle Eastern Shakshuka, Pumpkin Pie Smoothie," Vegan Pumpkin Pancakes - 200 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Moroccan lentil soup with crusty bread (300 calories per portion, 4 portions, vegan-friendly, origin"
13,250.0,200.0,180.0,20.0,160.0, Vegan Breakfast Quesadilla, Veggie Nuggets, Quinoa Salad with Chickpeas, Moroccan Mint Tea," Vegan Lentil and Vegetable Shepherd's Pie - 160 calories per portion, 4 portions, may contain gluten"
14,200.0,200.0,200.0,20.0,200.0, Poha (Flattened Rice), Chickpea Salad," Vegan Strawberry Banana Smoothie - 200 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Ratatouille Stuffed Zucchini - 200 calories/portion, 4 portions, Origin"
15,250.0,150.0,250.0,20.0,119.0, Tofu Scramble - 250 calories per portion | 2 portions | None | Origin," Cream Cheese and Cucumber Tea Sandwiches - 150kcals per portion, 2 portions
    Origin", Mini chicken pot pies, Moroccan Mint Tea, Vegan Gazpacho
16,300.0,150.0,70.0,20.0,285.0, Savory Oatmeal with Vegetables, Chocolate Covered Strawberries, Stuffed Cucumbers, Moroccan Mint Tea, Stuffed Bell Peppers
17,300.0,150.0,230.0,20.0,150.0, Aloo Tikki, Baked Sweet Potato Fries, Roasted red pepper hummus with pita chips, Moroccan Mint Tea, Swiss Chard and Lentil Soup
18,300.0,80.0,180.0,20.0,250.0, Vegan Cranberry Orange Muffins, Baked Apple Chips, Tuna Salad Lettuce Wraps, Moroccan Mint Tea," Greek Spinach Pie (Spanakopita) - 250 calories/portion, 6 portions, Origin"
19,220.0,120.0,80.0,20.0,200.0," Scrambled eggs with toast - 220 calories per portion, 2 portions, no allergic warnings, origin", Greek Stuffed Grape Leaves, Fresh Fruit Salad, Moroccan Mint Tea," Caprese Stuffed Avocado - 200 calories/portion, 4 portions, contains dairy (Italy)
"
20,300.0,100.0,90.0,20.0,300.0, Veggie Breakfast Quesadilla," Raspberry Yogurt Popsicles - 100kcals per portion, 2 portions
    Origin"," Miso Soup - 90 kcals per portion, 4 portions, contains soy (Japan)", Moroccan Mint Tea," Zucchini noodles with tomato sauce and Parmesan – 300 calories per portion, 4 portions, vegetarian-friendly
"
