,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,100.0,220.0,100.0,300.0," Turkish sesame bagel with cream cheese and olives (400kcals per portion, 1 portion, dairy allergies, origin", Fruit Salad," Greek Yogurt Parfait - 220 kcals per portion, 2 portions, contains dairy (Greece)", Israeli salad," Chinese Sesame Noodles (300 calories/portion, 4 portions) - China
"
2,300.0,100.0,180.0,20.0,180.0, Cheesy Grits, Energy Balls - Approx, Antipasto Skewers, Moroccan Mint Tea, Tofu Stir-Fry
3,400.0,100.0,140.0,100.0,301.0," Shakshuka with bell peppers and tomatoes (400kcals per portion, 2 portions, origin"," Raspberry Yogurt Popsicles - 100kcals per portion, 2 portions
    Origin"," Cheese and Garlic Crackers - 140 kcals per portion, 3 portions, contains gluten, dairy (USA)", Israeli salad, Vegan Gnocchi
4,350.0,90.0,160.0,20.0,320.0," Italian ciambella (simple breakfast cake) with coffee (350kcals per portion, 2 portions, origin", Rice Paper Rolls, Spinach and Feta Triangles, Moroccan Mint Tea," Cauliflower curry – 320 calories per portion, 4 portions, vegan-friendly
"
5,400.0,100.0,120.0,20.0,300.0, Turkish Poached Eggs with Yogurt, Baked Apple Chips, Granola Bar, Moroccan Mint Tea, Moroccan Vegetable Tagine with Couscous
6,200.0,100.0,160.0,120.0,200.0," Oatmeal with banana and almond (200kcals per portion, 2 portions, nut allergies, origin", Roasted Almonds," Chia Seed Pudding - 160 kcals per portion, 4 portions, gluten-free (Various)"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Quinoa Salad - 200 calories per portion, 2 portions, may contain nuts"
7,400.0,100.0,180.0,120.0,300.0," Bangladeshi panta bhat (fermented rice) with fried hilsa fish - 400 calories per portion, 2 portions, contains gluten, origin", Chilled Gazpacho, Vegetable sushi rolls," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Vegetable Biryani - 300 calories/portion, 4 portions, Origin"
8,250.0,80.0,150.0,120.0,250.0, Egg and Cheese Breakfast Taco, Fruit Salad, Veggie Sushi Rolls," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Vegan Sushi Rolls (250 calories/portion, 4 portions) - Japan
"
9,400.0,100.0,200.0,120.0,300.0, English Muffin Breakfast Pizza, Roasted Almonds, Mini Vegetable Quiches," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Sweet Potato and Black Bean Enchiladas
10,300.0,80.0,180.0,20.0,170.0, Tofu Scramble Breakfast Burrito," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Granola Bars, Moroccan Mint Tea, Miso Soup with Tofu and Vegetables
11,250.0,100.0,180.0,120.0,300.0, Vegan Breakfast Sushi Rolls, Caprese Skewers," Roasted Chickpea Salad - 180 kcals per portion, 4 portions, no allergic warnings, origin"," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Lentil Biryani
12,300.0,100.0,160.0,20.0,250.0, Shakshuka, Tomato Basil Bruschetta," Baked Sweet Potato Fries - 160 kcals per portion, 3 portions, may contain gluten (USA)", Moroccan Mint Tea, Mushroom Risotto
13,350.0,100.0,150.0,120.0,300.0, Tofu Scramble, Cucumber and Tomato Salad, Baked Parmesan Zucchini Fries," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Vegan Italian Wedding Soup - 300 calories per portion, 4 portions, Gluten, Italy
"
14,400.0,100.0,150.0,20.0,320.0, Vegan Breakfast Tostadas - 400 calories per portion | 1 portion | Contains soy | Origin, Energy Balls - Approx, Blueberry Oat Muffins, Moroccan Mint Tea," Greek Gigantes Plaki - 320kcals per portion, 4 portions
"
15,250.0,80.0,120.0,20.0,300.0, Overnight Oats, Baked Apple Chips, Roasted Garlic and White Bean Dip with Pita Chips, Moroccan Mint Tea, Quinoa-Stuffed Bell Peppers
16,400.0,100.0,120.0,120.0,286.0," Turkish breakfast (tomato, cucumber, olives, cheese, bread) - 400 calories per portion, 2 portions, contains gluten and dairy, origin", Watermelon and feta skewers, Roasted Garlic and White Bean Dip with Pita Chips," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Quinoa and Black Bean Stuffed Peppers
17,250.0,100.0,150.0,120.0,320.0, Overnight Chia Pudding, Cucumber and Tomato Salad, Bruschetta with Mozzarella," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Cauliflower curry – 320 calories per portion, 4 portions, vegan-friendly
"
18,450.0,100.0,200.0,100.0,200.0," Turkish simit (sesame bread) with cream cheese and olives (450kcals per portion, 1 portion, dairy allergies, origin"," Raspberry Yogurt Popsicles - 100kcals per portion, 2 portions
    Origin", Chicken and Vegetable Potstickers, Israeli salad," Tomato and mozzarella tart - 200 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
19,300.0,100.0,100.0,120.0,200.0, Vegan Chocolate Chip Pancakes, Mini Frittatas - Approx, Asian cucumber salad," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Stuffed grape leaves (Dolmas) - 200 calories per portion, 4 portions, contains nuts (Middle East)
"
20,200.0,100.0,180.0,120.0,250.0," Spinach and feta stuffed mushrooms - 200 calories per portion, 2 portions, contains dairy, origin", Roasted Edamame, Bacon-Wrapped Dates," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Mushroom and Spinach Quesadillas - 250 calories/portion, 4 portions, Origin"
21,250.0,100.0,160.0,120.0,290.0, Blueberry Oatmeal Breakfast Bars, Quinoa Energy Bites," Spinach Stuffed Mushrooms - 160 kcals per portion, 3 portions, contains dairy (USA)"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Moroccan Lentil Salad
22,300.0,70.0,80.0,20.0,200.0," Yogurt parfait with granola and fruit - 300 calories per portion, 1 portion, may contain gluten, origin", Fresh Fruit Salad, Cucumber Bites, Moroccan Mint Tea," Ratatouille - 200 calories per portion, 6 portions, no allergic warnings, Origin"
23,320.0,90.0,70.0,20.0,300.0," Caramelized onion and goat cheese tart (320 calories per portion, 2 portions, contains dairy, French origin)
", Quinoa Energy Bites, Greek Cucumber Cups, Moroccan Mint Tea, Vegan Moroccan Tagine
24,150.0,100.0,180.0,120.0,290.0, Chia Pudding, Chilled Gazpacho Soup - Approx, Mini Crab Cakes," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Spinach and Ricotta Stuffed Tomatoes - 290kcals per portion, 4 portions, contains dairy
"
25,320.0,80.0,160.0,120.0,340.0," Mushroom and goat cheese frittata (320 calories per portion, 2 portions, contains dairy, French origin)
", Fresh Watermelon Slices - Approx," Mini Spinach and Feta Quiches - 160 kcals per portion, 4 portions, contains dairy (Greece)"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Caprese Couscous Salad - 340kcals per portion, 4 portions, contains dairy (Italy)
"
26,200.0,100.0,200.0,100.0,213.0, Vegan Matcha Chia Pudding - 200 calories per portion | 1 portion | None | Origin, Cucumber Slices with Tzatziki - Approx," Berry Smoothie Bowl - 200 kcals per portion, 2 portions, contains dairy (USA)", Israeli salad, Lentil Soup
27,200.0,90.0,80.0,100.0,300.0," Miso soup with tofu and seaweed (200kcals per portion, 2 portions, soy allergies, Japan)
", Turkish-style boiled eggs," Chocolate Dipped Strawberries - 80 kcals per portion, 4 portions, contains dairy (USA)", Israeli salad," Greek Stuffed Tomatoes - 300 calories/portion, 4 portions, Origin"
28,200.0,100.0,260.0,20.0,250.0," Spinach and feta stuffed mushrooms - 200 calories per portion, 2 portions, contains dairy, origin", Caprese Skewers, Black Bean Nachos, Moroccan Mint Tea," Red Lentil Dal - 250 calories per portion, 4 portions, None, India
"
29,350.0,100.0,200.0,120.0,280.0," Lebanese manakish (flatbread) with za'atar and olive oil (350kcals per portion, 2 portions, origin", Fruit Smoothie Popsicles - Approx, Mini Raspberry Tarts," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Lentil Salad - 280kcals per portion, 4 portions
"
30,400.0,100.0,100.0,20.0,300.0," Savory oatmeal with bacon and eggs (400 calories per portion, 2 portions, contains eggs, American origin)
", Fresh Juice - Approx, Chocolate-Dipped Strawberries, Moroccan Mint Tea, Vegan General Tso's Tofu
31,400.0,100.0,150.0,100.0,250.0," South African boerewors sausage with tomato chutney (400kcals per portion, 2 portions, origin", Caprese Skewers, Strawberry Bruschetta, Israeli salad," Indian Aloo Gobi (250 calories/portion, 4 portions) - India
"
32,380.0,100.0,150.0,100.0,250.0," Pancake roll-ups filled with peanut butter and bananas (380 calories per portion, 2 portions, contains nuts, American origin)
", Watermelon and feta skewers, Caprese Salad, Israeli salad, Caprese Salad
33,400.0,100.0,200.0,120.0,300.0, Vegan Breakfast Tater Tots - 400 calories per portion | 1 portion | Contains gluten | Origin, Guacamole Stuffed Cherry Tomatoes, Banana Bread," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Quinoa Stuffed Bell Peppers - 300 calories per portion, 4 portions, no allergic warnings, Origin"
34,300.0,90.0,180.0,120.0,300.0," Scrambled eggs with spinach and feta cheese (300kcals per portion, 2 portions, dairy allergies, origin", Fruit Salad," Roasted Red Pepper and Feta Dip - 180 kcals per portion, 3 portions, contains dairy (Various)"," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Eggplant Rollatini
