,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,220.0,220.0,150.0,400.0, Veggie Bagel Sandwich, Carrot Cake Overnight Oats, Tomato and Mozzarella Stuffed Portobello Mushrooms, Spinach and cheese stuffed tomatoes," Mexican Quinoa Stuffed Zucchini - 400 calories/portion, 4 portions, Origin"
2,200.0,250.0,250.0,150.0,200.0, Mexican Black Bean Breakfast Wrap, Cheesy Quesadillas, Veggie Quesadillas, Spinach and mushroom omelet," Miso Soup - 200 calories/portion, 2 portions, Origin"
3,250.0,200.0,180.0,150.0,250.0, Vegan Pancake Skewers, Vegetable Samosas, Spinach and Feta Pastry Triangles," Caponata - 150kcals per portion, 4 portions, no allergies, Origin"," Moroccan Lentil Salad - 250 calories/portion, 4 portions, contains nuts (Morocco)
"
4,350.0,120.0,300.0,160.0,180.0, Apple Cinnamon Muffins, Vegetable Samosas, Veggie Sushi Bowls," Caprese Skewers - 160kcals per portion, 2 portions, contains dairy (Italy)
"," Caprese stuffed portobello mushrooms - 180 calories per portion, 4 portions, contains dairy (Italy)
"
5,300.0,250.0,180.0,150.0,400.0, Mushroom and Tomato Omelette, Spinach and Feta Stuffed Mushrooms, Apple with Peanut Butter, Caprese Salad," Vegetable Pad Thai - 400 calories/portion, 4 portions, contains peanuts (Thailand)
"
6,350.0,300.0,280.0,150.0,400.0, Acai Bowl, Stuffed Tomatoes with Quinoa and Feta, Veggie Bruschetta Pizza, Spinach and mushroom omelet, Greek Moussaka
7,300.0,200.0,200.0,160.0,300.0, Quinoa Breakfast Bowl, Greek Salad Skewers, Quinoa Salad," Caprese Skewers - 160kcals per portion, 2 portions, contains dairy (Italy)
", Mediterranean Veggie Pizza
8,300.0,300.0,70.0,150.0,300.0, Blueberry Coconut Overnight Oats, Chocolate Chia Seed Pudding, Stuffed Cherry Tomatoes, Caprese Salad," Mediterranean Stuffed Eggplant - 300 calories/portion, 2 portions, Origin"
9,300.0,200.0,140.0,150.0,350.0, Mushroom and Tomato Omelette, Baked Eggplant Fries, Blueberry Oat Bars, Lentil and vegetable soup," Sweet Potato, Black Bean, and Spinach Quesadillas - 350 calories/portion, 4 portions, contains gluten (Mexico)
"
10,350.0,300.0,150.0,150.0,300.0, Ricotta Pancakes, Apple and Cinnamon Overnight Oats, Roasted Chickpeas, Spinach and feta stuffed bell peppers, Mexican Quinoa Salad
11,300.0,200.0,180.0,150.0,150.0, Banana Oat Pancakes, Oatmeal with Berries, Veggie Pancakes with Yogurt Dip, Caprese Salad," Feta and spinach stuffed tomatoes - 150 calories per portion, 6 portions, contains dairy (Greece)
"
12,400.0,200.0,80.0,150.0,350.0, Aloo Paratha (Potato Stuffed Flatbread), Berry Smoothie Bowl, Cucumber Bites, Lentil and vegetable frittata," Pasta Primavera - 350 calories/portion, 4 portions, Origin"
13,250.0,300.0,180.0,150.0,350.0, Middle Eastern Shakshuka, Stuffed Bell Peppers, Roasted Cauliflower Bites, Spinach and ricotta stuffed tomatoes, Mexican Quinoa Stuffed Bell Peppers
14,250.0,250.0,100.0,165.0,400.0, Spinach and Mushroom Oatmeal, Cucumber and Hummus Sandwich, Stuffed Dates," Caprese Salad - 165kcals per portion, 4 portions, no allergies, Origin"," Quinoa and black bean burgers - 400 calories per portion, 4 portions, contains gluten
"
15,350.0,250.0,220.0,150.0,200.0, Coconut Milk Rice Pudding, Spinach and Ricotta Stuffed Shells, Veggie Mediterranean Flatbread, Spinach and feta stuffed bell peppers," Lentil Soup - 200 calories/portion, 6 portions, Origin"
16,350.0,160.0,210.0,150.0,350.0, Mushroom and Spinach Breakfast Quesadilla, Mango Lassi, Tomato and Mozzarella Bruschetta, Spinach and ricotta stuffed tomatoes," Mexican Stuffed Bell Peppers - 350 calories/portion, 4 portions, Origin"
17,150.0,200.0,120.0,150.0,300.0, Fruit Salad, Chocolate Covered Strawberries, Greek Yogurt Fruit Dip, Spinach and feta stuffed mushrooms," Chana masala - 300 calories per portion, 4 portions, contains nuts (India)
"
18,200.0,220.0,180.0,150.0,300.0, Vegan Pumpkin Pancakes, Sweet Potato Toast, Mango Salsa with Tortilla Chips, Gazpacho Soup, Falafel with Tzatziki Sauce
19,200.0,300.0,220.0,150.0,340.0, Papaya Boat with Lime, Lemon Poppy Seed Muffins, Sesame Ginger Edamame, Butternut squash soup," Quinoa-Stuffed Mushrooms with Spinach and Feta - 340kcals per portion, 4 portions, contains dairy

Please note that the portion sizes and calorie counts are approximate and can vary based on specific ingredients and preparation methods"
20,350.0,400.0,150.0,150.0,300.0, Banana Walnut Bread, Breakfast Burrito Bowl, Veggie Chips, Spinach and mushroom frittata, Caprese Quiche
21,300.0,350.0,100.0,150.0,330.0, Vegan Berry Protein Smoothie Bowl, Veggie Spring Rolls, Caprese Skewers, Spinach and ricotta stuffed tomatoes," Lentil Burgers - 330kcals per portion, 4 portions, contains legumes
"
22,250.0,150.0,250.0,150.0,320.0, Greek Yogurt with Honey and Nuts, Mango Coconut Chia Popsicles, Stuffed Bell Peppers with Quinoa, Gazpacho Soup," Lentil and Vegetable Soup - 320kcals per portion, 4 portions, gluten-free
"
23,300.0,250.0,240.0,150.0,120.0, Veggie Breakfast Quesadilla, Veggie Fajitas, Veggie Sushi Rolls, Lentil and vegetable soup," Grilled vegetable skewers - 120 calories per portion, 4 portions, none
"
24,300.0,180.0,200.0,150.0,320.0, Vegan Cranberry Orange Muffins, Whole Wheat Pancakes, Baked Zucchini Fries, Spinach and cheese stuffed tomatoes," Quinoa-Stuffed Mushrooms - 320kcals per portion, 4 portions
"
25,300.0,200.0,70.0,150.0,300.0, Feta and Spinach Muffins, Vegan Protein Bars, Veggie Spring Rolls, Spinach and ricotta stuffed tomatoes," Caprese Quinoa Bowls - 300 calories/portion, 4 portions, Origin"
