,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,280.0,90.0,220.0,150.0,380.0," Cottage cheese and tomato on rye bread (280 calories per portion, 2 portions, contains dairy, Russian origin)
", Zucchini fritters, Cucumber and cream cheese sandwiches," Potato Latkes - 150 calories
   - Total portions"," Teriyaki tofu with jasmine rice – 380 calories per portion, 3 portions, vegan-friendly (origin"
2,350.0,350.0,160.0,120.0,250.0," Banana pecan pancakes (350 calories per portion, 2 portions, contains nuts, American origin)
", Quinoa-stuffed zucchini with tomato sauce," Chia Seed Pudding - 160 kcals per portion, 4 portions, gluten-free (Various)"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Borscht with sour cream – 250 calories per portion, 6 portions, contains dairy (origin"
3,380.0,350.0,180.0,150.0,350.0," Sweet potato and black bean breakfast skillet (380 calories per portion, 2 portions, nut-free, Mexican origin)
"," Vietnamese Bánh Mì Sandwich - 350 calories per portion, 2 portions, vegetarian option available, Vietnamese
"," Berry Parfait - 180 kcals per portion, 2 portions, contains dairy (Various)"," Lentil Soup - 150 calories
   - Total portions"," Eggplant and tomato pasta – 350 calories per portion, 3 portions, vegetarian-friendly (origin"
4,200.0,380.0,200.0,150.0,320.0," Greek yogurt with honey and walnuts (200 calories per portion, 2 portions, contains dairy and nuts, Greek origin)
"," Baked avocado eggs with bacon (380 calories per portion, 2 portions, contains eggs, American origin)
"," Apple Cinnamon Muffins - 200 kcals per portion, 3 portions, contains gluten (USA)", Butternut squash soup," Ratatouille with crusty bread – 320 calories per portion, 4 portions, vegan-friendly (origin"
5,400.0,90.0,180.0,150.0,280.0," Smoked salmon and cream cheese bagel (400 calories per portion, 2 portions, contains fish, American origin)
"," Fresh Fruit Salad - 90 kcals per portion, 4 portions, gluten-free (Various)", Broccoli and cheese bites," Japanese Miso Soup with Tofu - 150 calories
    - Total portions"," Baked falafel with tahini sauce – 280 calories per portion, 6 portions, vegetarian-friendly (origin"
6,350.0,250.0,230.0,120.0,350.0," Veggie breakfast burrito with black beans (350 calories per portion, 2 portions, nut-free, Mexican origin)
"," Quinoa and Vegetable Stir-Fry - 250 calories per portion, 4 portions, vegetarian, International
"," Smoked Salmon Canapés - 230 kcals per portion, 4 portions, contains gluten, fish (Various)"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Eggplant rollatini – 350 calories per portion, 3 portions, vegetarian-friendly (origin"
7,320.0,250.0,220.0,150.0,320.0," Tomato and mozzarella bruschetta (320 calories per portion, 2 portions, contains dairy, Italian origin)
"," Sushi - 250 kcals per portion, 2 portions, contains fish, soy (Japan)", Vegetarian sushi rolls," Potato Latkes - 150 calories
   - Total portions"," Mushroom and black bean tacos – 320 calories per portion, 4 portions, vegetarian-friendly
"
8,380.0,180.0,180.0,150.0,320.0," Cabbage and sausage breakfast skillet (380 calories per portion, 2 portions, contains dairy, German origin)
", Kale smoothie with pineapple and coconut water, Broccoli and cheese bites," Cucumber Avocado Salad - 150kcals per portion, 2 portions, nut-free, International
"," Cauliflower fried rice with tofu – 320 calories per portion, 3 portions, vegan-friendly
"
9,280.0,400.0,230.0,100.0,280.0," Baked eggs in tomato cups (280 calories per portion, 2 portions, nut-free, Italian origin)
", Stuffed bell peppers with ground turkey and quinoa, Tomato and mozzarella bruschetta, Israeli salad," Stuffed portobello mushrooms with spinach and feta – 280 calories per portion, 3 portions, vegetarian-friendly
"
10,320.0,80.0,180.0,150.0,280.0," Egg and cheese breakfast roll-ups (320 calories per portion, 2 portions, contains dairy, American origin)
", Tomato and cucumber salad," Tuna Salad Lettuce Wraps - 180 kcals per portion, 2 portions, contains fish (USA)"," Japanese Miso Soup with Tofu - 150 calories
    - Total portions"," Herb-crusted baked tofu with roasted vegetables – 280 calories per portion, 3 portions, vegan-friendly
"
11,350.0,350.0,180.0,150.0,250.0," Veggie fajita scramble with tofu (350 calories per portion, 2 portions, nut-free, Mexican origin)
"," Vegetarian breakfast quiche with broccoli and feta (350 calories per portion, 2 portions, contains dairy, American origin)
", Broccoli and cheese bites," Cucumber Avocado Salad - 150kcals per portion, 2 portions, nut-free, International
"," Quinoa salad with roasted butternut squash – 250 calories per portion, 4 portions, gluten-free, vegan-friendly
"
12,350.0,380.0,180.0,150.0,320.0," Cauliflower and feta frittata (350 calories per portion, 2 portions, contains dairy, Italian origin)
"," Sweet and sour tofu with jasmine rice – 380 calories per portion, 3 portions, vegan-friendly (origin"," Tuna Salad Lettuce Wraps - 180 kcals per portion, 2 portions, contains fish (USA)", Butternut squash soup," Ratatouille with crusty bread – 320 calories per portion, 4 portions, vegan-friendly (origin"
13,400.0,250.0,160.0,150.0,350.0," Caprese breakfast sandwich with avocado (400 calories per portion, 2 portions, contains dairy, Italian origin)
"," Almond joy smoothie (250 calories per portion, 2 portions, contains nuts, American origin)
"," Chia Seed Pudding - 160 kcals per portion, 4 portions, gluten-free (Various)", Butternut squash soup," Sweet potato and black bean enchiladas – 350 calories per portion, 4 portions, vegetarian-friendly (origin"
14,250.0,200.0,140.0,150.0,350.0," Almond joy smoothie (250 calories per portion, 2 portions, contains nuts, American origin)
"," Butternut Squash Soup - 200kcals per portion, 4 portions, vegan, International
", Baked sweet potato fries," Potato Latkes - 150 calories
   - Total portions"," Three-bean chili with cornbread – 350 calories per portion, 4 portions, vegan-friendly
"
