,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,50.0,640.0,100.0,250.0, Overnight Apple Pie Chia Pudding, Baked Apple Chips - Approx, Vegan Tofu Scramble, Israeli salad, Vegan Sushi Bowl
2,500.0,50.0,100.0,100.0,250.0, Breakfast Burrito," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Chocolate Covered Strawberries, Israeli salad, Vegetable Stir-Fry
3,200.0,50.0,140.0,20.0,200.0, Zucchini Bread," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Mini Vegetable Quinoa Cups - 140 kcals per portion, 4 portions, gluten-free (Various)", Moroccan Mint Tea, Lentil and Vegetable Bolognese
4,450.0,60.0,180.0,20.0,220.0," Smoked turkey and cheese sandwich (450kcals per portion, 1 portion, turkey allergies, origin", Fruit Salad - Approx, Zucchini Pizza Bites, Moroccan Mint Tea, Quinoa and Vegetable Stir Fry
5,350.0,50.0,120.0,20.0,380.0, Veggie Omelette, Baked Apple Chips - Approx, Spinach and Ricotta Stuffed Mushrooms, Moroccan Mint Tea," Vegetarian enchilada casserole with black beans and cheese - 380 kcals per portion, 4 portions, vegetarian, contains gluten
"
6,500.0,50.0,200.0,100.0,200.0," Breakfast pizza - 500 calories per portion, 1 portion, contains gluten, origin"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Mini Apple Hand Pies, Israeli salad," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
7,400.0,60.0,150.0,20.0,350.0, Veggie Breakfast Bagel Sandwich, Fruit Salad - Approx, Stuffed Bell Peppers, Moroccan Mint Tea, Falafel Wrap
8,250.0,50.0,80.0,20.0,250.0, Cucumber Sandwich," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Tomato and cucumber salad, Moroccan Mint Tea," Caprese Stuffed Zucchini - 250 calories/portion, 4 portions, Origin"
9,250.0,60.0,80.0,100.0,300.0, Vegan Matcha Overnight Oats - 250 calories per portion | 2 portions | None | Origin, Cucumber and tomato salad, Cucumber cream cheese roll-ups, Israeli salad," Thai Curry Noodle Soup - 300 calories per portion, 4 portions, None, Thailand
"
10,320.0,60.0,170.0,20.0,250.0," Egg and cheese breakfast roll-ups (320 calories per portion, 2 portions, contains dairy, American origin)
", Fruit Salad - Approx, Vegetable Sushi Rolls, Moroccan Mint Tea, Ratatouille-Stuffed Tomatoes
11,450.0,50.0,150.0,20.0,420.0, Dutch Baby Pancake," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Cauliflower Buffalo Wings, Moroccan Mint Tea," Spaghetti Aglio e Olio - 420kcals per portion, 2 portions, contains gluten (Italy)
"
12,400.0,60.0,260.0,20.0,300.0, Vegan Breakfast Tamales - 400 calories per portion | 1 portion | Contains gluten | Origin, Cucumber and tomato salad, Black Bean Nachos, Moroccan Mint Tea," Spinach and feta phyllo triangles - 300 calories per portion, 4 portions, contains gluten and dairy (Greece)
"
13,450.0,50.0,120.0,100.0,300.0," Quiche Lorraine - 450 calories per portion, 4 portions, contains gluten and dairy, origin"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Spinach and Feta Stuffed Mushrooms, Israeli salad," Vegetable curry with basmati rice - 300 kcals per portion, 4 portions, vegetarian, contains gluten
"
14,250.0,50.0,180.0,100.0,300.0," Vegan overnight oats with almond milk and berries (250kcals per portion, 2 portions, nut allergies)
"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Guacamole with vegetable sticks, Israeli salad, Lentil and Vegetable Soup
15,300.0,50.0,300.0,20.0,400.0, Vegan Cranberry Orange Muffins, Baked Apple Chips - Approx, Cheese and Crackers, Moroccan Mint Tea, Vegan Sausage and Peppers
16,400.0,60.0,200.0,20.0,220.0, Vegan Quinoa Breakfast Skillet - 400 calories per portion | 1 portion | None | Origin, Cucumber and tomato salad, Chicken lettuce wraps, Moroccan Mint Tea, Quinoa and Vegetable Stir Fry
