,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,180.0,250.0,120.0,400.0, Quinoa Porridge, Greek Yogurt Pancakes, Veggie Quesadillas," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Mexican Quinoa Stuffed Zucchini - 400 calories/portion, 4 portions, Origin"
2,350.0,180.0,80.0,120.0,400.0, Blueberry Muffins, Cheese and Tomato Mini Quiches, Zucchini Chips," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Spinach and Mushroom Pasta
3,300.0,80.0,180.0,120.0,300.0, Idli and Sambar, Cheesy Popcorn, Oatmeal Raisin Cookies," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Sweet Potato and Chickpea Curry - 300 calories/portion, 4 portions, Origin"
4,250.0,150.0,240.0,120.0,350.0, Middle Eastern Shakshuka, Chocolate Protein Balls, Thai Vegetable Spring Rolls," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Veggie Tacos
5,350.0,120.0,100.0,120.0,200.0, Spinach and Goat Cheese Omelette, Almond Biscotti, Stuffed Mushrooms," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Mediterranean Stuffed Tomatoes - 200 calories/portion, 4 portions, Origin"
6,250.0,150.0,120.0,120.0,350.0, Tomato Basil Bruschetta, Pumpkin Energy Balls, Banana Oat Cookies," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Spinach and Artichoke Dip Stuffed Bread - 350 calories/portion, 4 portions, contains gluten and dairy (United States)
"
7,300.0,190.0,150.0,120.0,550.0, Quinoa Breakfast Bowl, Veggie Stuffed Pita, Roasted Chickpeas," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Thai Green Curry Noodle Soup
8,250.0,180.0,200.0,120.0,350.0, Vegan Protein Pancakes, Cantaloupe with Cottage Cheese, Baked Zucchini Fries," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Veggie Paella - 350 calories/portion, 4 portions, Origin"
9,150.0,150.0,200.0,120.0,350.0, Scrambled Tofu, Oatmeal Raisin Energy Bites, Greek Yogurt with Mango and Pistachios," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Stuffed Bell Peppers with Rice and Beans
10,300.0,150.0,160.0,120.0,200.0, Quinoa Breakfast Bowl, Boiled Egg with Whole Wheat Crackers, Roasted Sweet Potato Slices," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
11,300.0,180.0,260.0,120.0,350.0, Savory Oatmeal with Vegetables, Chia Banana Bread, Greek Stuffed Mushrooms," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Caprese Stuffed Avocado - 350 calories/portion, 2 portions, Origin"
12,300.0,180.0,120.0,120.0,350.0, Apple Cinnamon French Toast Casserole, Falafel, Dark Chocolate Energy Balls," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Veggie enchiladas - 350 calories per portion, 4 portions, contains gluten (Mexico)
"
13,400.0,180.0,120.0,120.0,150.0, Vegetarian Breakfast Strata, Spinach and Feta Muffins, Hummus Stuffed Mini Peppers," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Caprese salad - 150 calories per portion, 4 portions, contains dairy (Italy)
"
14,300.0,180.0,150.0,120.0,350.0, Chocolate Chia Protein Pudding, Vegetable Omelette, Caprese Salad Skewers," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Vegetable Tikka Masala - 350 calories/portion, 4 portions, contains dairy (India)
"
15,300.0,180.0,200.0,120.0,450.0, Sweet Potato Hash Browns, Mango Chia Pudding, Coconut Chia Pudding," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Tofu Tikka Masala
16,250.0,120.0,80.0,120.0,200.0, Overnight Chia Oats, Greek Stuffed Grape Leaves, Stuffed Mini Peppers," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
17,200.0,160.0,80.0,120.0,250.0, Mediterranean Vegetable Omelette, Rice Cakes with Almond Butter, Stuffed Dates with Almond Butter," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Quinoa Stuffed Mushrooms - 250 calories/portion, 4 portions, Origin"
18,200.0,150.0,120.0,120.0,150.0, Vegan Blueberry Pancakes, Greek Yogurt with Berries, Yogurt Covered Strawberries," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Spinach and Feta Stuffed Mushrooms
19,350.0,120.0,220.0,120.0,300.0, Shakshuka, Fruit Salsa with Cinnamon Chips, Roasted Red Pepper and Feta Crostini," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Mediterranean Quinoa Salad - 300 calories/portion, 4 portions, contains gluten (Greece)
"
20,350.0,120.0,200.0,120.0,550.0, Greek Yogurt with Fig Compote, Granola Bar, Fruit Kabobs with Chocolate Sauce," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Pad Thai with Tofu
21,250.0,180.0,80.0,120.0,390.0, Vegan Breakfast Sushi, Spinach and Feta Muffins, Avocado Deviled Eggs," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Spinach and Ricotta Stuffed Shells with Marinara Sauce - 390kcals per portion, 4 portions, contains dairy
"
