,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,200.0,300.0,20.0,450.0, Vegan Apricot and Almond Granola Bars - 350 calories per portion | 1 portion | Contains nuts | Origin, Vegetable Omelette, Stuffed bell peppers with quinoa and black beans, Moroccan Mint Tea," Lemon herb grilled salmon with quinoa and roasted vegetables – 450 calories per portion, 2 portions, contains fish
"
2,300.0,150.0,150.0,20.0,350.0," Zucchini and carrot muffins (300kcals per portion, 2 portions)
"," Mixed Berry Muffins - 150kcals per portion, 2 portions
    Origin", Ricotta Stuffed Mushrooms, Moroccan Mint Tea," Chinese Egg Fried Rice - 350 calories/portion, 4 portions, contains eggs and gluten (China)
"
3,550.0,200.0,160.0,100.0,400.0, Vegan Breakfast Cobbler, Tomato and cheese bruschetta, Cabbage Rolls, Israeli salad," Caprese Omelette - 400kcals per portion, 2 portions, contains dairy (Italy)
"
4,300.0,240.0,90.0,100.0,250.0," Chocolate avocado smoothie (300 calories per portion, 2 portions, nut-free, American origin)
", Peanut butter and jelly rice cakes, Chicken satay skewers, Israeli salad," Spinach and feta stuffed phyllo rolls - 250 calories per portion, 4 portions, contains gluten and dairy (Greece)
"
5,250.0,250.0,60.0,20.0,350.0," Fruit smoothie bowl topped with granola (250kcals per portion, 2 portions, nut allergies, origin", Stuffed Mushrooms with Sundried Tomato and Spinach, Cucumber and cream cheese bites, Moroccan Mint Tea, Quinoa Chili
6,250.0,200.0,150.0,100.0,400.0, Vegan Breakfast Shakshuka," Baked Cheese and Spinach Stuffed Mushrooms - 200kcals per portion, 1 portion
    Origin", Mini spinach and feta quiches, Israeli salad," Vegan Pad Thai - 400 calories per portion, 2 portions, Soy and peanuts, Thailand
"
7,350.0,250.0,250.0,100.0,400.0, Vegan Protein Pancakes, Greek Yogurt Pancakes - Approx, Falafel with Tahini Sauce, Israeli salad," General Tso's tofu with steamed rice (400 calories per portion, 3 portions, contains gluten and soy, origin"
8,150.0,200.0,180.0,20.0,200.0, Vegan Breakfast Fruit Pizza," Spinach and Cheese Pinwheels - 200kcals per portion, 1 portion
    Origin", Mini cauliflower pizza bites, Moroccan Mint Tea," Ratatouille - 200 calories per portion, 6 portions, no allergic warnings, Origin"
9,350.0,220.0,400.0,20.0,200.0, Blueberry Muffins, Salsa with Tortilla Chips, Vegan Caesar Salad, Moroccan Mint Tea, Mexican Rice Bowl
10,400.0,120.0,180.0,20.0,300.0, Huevos Rancheros, Sautéed Brussels Sprouts, Mini zucchini and cheese frittatas, Moroccan Mint Tea, Tofu and Vegetable Curry
