,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,80.0,80.0,280.0,330.0, Vegetarian Breakfast Strata, Apple with Cinnamon, Avocado Deviled Eggs," Lentil Salad with Roasted Vegetables - 280kcals per portion, 4 portions, no allergies
"," Lentil and Vegetable Curry - 330kcals per portion, 4 portions, contains legumes
"
2,300.0,80.0,80.0,390.0,350.0, Country Style Potatoes with Veggies, Apple with Cinnamon, Greek Salad Skewers," Tomato and Mozzarella Panini - 390kcals per portion, 1 portion, contains gluten, dairy (Italy)
"," Curried vegetable couscous - 350 calories per portion, 4 portions, contains gluten
"
3,300.0,80.0,120.0,350.0,250.0, Acai Bowl, Cheesy Popcorn, Greek Yogurt Dip with Veggies," Quinoa and Black Bean Salad - 350kcals per portion, 3 portions, no allergies
"," Panzanella salad - 250 calories per portion, 4 portions, contains gluten (Italy)
"
4,300.0,80.0,100.0,150.0,300.0, Blueberry Banana Breakfast Bars, Hard-Boiled Eggs, Grilled Vegetable Skewers, Spinach and mushroom frittata, Greek Orzo Salad
5,250.0,80.0,200.0,220.0,350.0, Vegan Breakfast Sushi Rolls, Fresh Squeezed Orange Juice, Avocado Toast, Greek tzatziki dip," Mexican Quinoa Stuffed Zucchini - 350 calories/portion, 4 portions, contains gluten (Mexico)
"
6,150.0,80.0,150.0,250.0,300.0, Fruit Salad, Mango with Chili Powder, Baked Parmesan Zucchini Fries, Roasted vegetable and hummus wrap," Sweet Potato and Chickpea Curry - 300 calories/portion, 4 portions, Origin"
7,300.0,80.0,150.0,350.0,340.0, Vegan Breakfast Burrito, Hard-Boiled Eggs, Fruit Skewers with Yogurt Dip, Vegetable Stir-Fry," Spinach and Mushroom Quiche - 340kcals per portion, 4 portions, contains dairy
"
8,200.0,80.0,80.0,400.0,200.0, Veggie Breakfast Pizza Rolls, Cheesy Popcorn, Veggie Spring Rolls, Argentinian empanadas," Avocado and Tomato Salad - 200 calories/portion, 2 portions, Origin"
9,200.0,80.0,140.0,360.0,350.0, Blueberry Almond Baked Oatmeal, Fruit Salad, Greek Yogurt with Apple and Cinnamon," Veggie Sushi Bowl - 360kcals per portion, 2 portions, contains soy, gluten (Japan)
"," Veggie Pad See Ew - 350 calories/portion, 4 portions, Origin"
10,250.0,80.0,210.0,280.0,350.0, Whole Wheat Veggie Breakfast Wrap, Avocado Deviled Eggs, Veggie Pizza Bagels," Black Bean Soup - 280kcals per portion, 4 portions, contains legumes
"," Vegetarian bibimbap - 350 calories per portion, 4 portions, contains gluten and soy (Korea)
"
11,300.0,80.0,80.0,380.0,300.0, Vegan Cranberry Orange Muffins, Fresh Squeezed Orange Juice, Zucchini Chips," Greek Spinach Pie (Spanakopita) - 380kcals per portion, 2 portions, contains gluten, dairy (Greece)
"," Mexican Quinoa Bowl - 300 calories/portion, 4 portions, contains cilantro (Mexico)
"
12,350.0,80.0,120.0,300.0,340.0, Veggie Omelette, Fruit Salad, Tomato Bruschetta, Spinach and mushroom stuffed bell peppers," Caprese Stuffed Portobello Mushrooms - 340kcals per portion, 2 portions, contains dairy
"
13,200.0,80.0,200.0,380.0,250.0, Mini Vegetable Quiche, Baked Apple Chips, Stuffed Eggplant," Avocado and Chickpea Salad - 380kcals per portion, 2 portions, contains legumes
"," Vegetable Stir Fry - 250 calories/portion, 4 portions, Origin"
14,400.0,80.0,180.0,310.0,320.0, French Toast, Kale Chips, Guacamole and Salsa with Tortilla Chips," Quinoa-Stuffed Bell Peppers - 310kcals per portion, 2 portions, gluten-free
"," Spinach and Mushroom Quesadillas - 320kcals per portion, 4 portions, contains dairy (Mexico)
"
15,250.0,80.0,150.0,300.0,200.0, Buckwheat Porridge, Avocado Deviled Eggs, Greek Yogurt Parfait, Mexican vegetable fajitas," Lentil curry - 200 calories per portion, 6 portions, contains gluten (India)
"
16,250.0,80.0,320.0,750.0,300.0, Whole Wheat Veggie Breakfast Wrap, Avocado Deviled Eggs, Greek Spanakopita, Tofu Pad Thai," Black Bean Enchiladas - 300 calories/portion, 4 portions, Origin"
17,200.0,80.0,150.0,240.0,300.0, Spinach and Feta Stuffed Portobello Mushrooms, Apple with Cinnamon, Caprese Salad Skewers," Beet Salad with Goat Cheese - 240kcals per portion, 2 portions, contains dairy (Mediterranean)
", Falafel with Tzatziki Sauce
