,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,80.0,100.0,250.0,320.0, Vegan Banana Bread, Avocado Deviled Eggs, Greek Cucumber Dip with Pita Bread, Lentil and vegetable curry," Spinach and Artichoke Dip - 320kcals per portion, 4 portions, contains dairy
"
2,250.0,80.0,150.0,390.0,230.0, Vegan Breakfast Sushi, Fruit Salad, Roasted Brussels Sprouts," Greek Chickpea Salad - 390kcals per portion, 2 portions, contains legumes, dairy (Greece)
"," Quinoa-Stuffed Bell Peppers - 230kcals per portion, 4 portions, gluten-free
"
3,350.0,80.0,190.0,350.0,300.0, Blueberry Muffins, Cheesy Popcorn, Mini Falafel Bites," Quinoa and Black Bean Salad - 350kcals per portion, 3 portions, no allergies
"," Greek Zucchini Fritters - 300 calories/portion, 4 portions, contains gluten and dairy (Greece)
"
4,250.0,80.0,120.0,400.0,400.0, Stuffed French Toast, Avocado Deviled Eggs, Greek Feta Dip with Veggies," Roasted Vegetable Sandwich - 400kcals per portion, 2 portions, no allergies
", Greek Moussaka
5,250.0,80.0,100.0,410.0,340.0, Vegan Pancake Skewers, Cheesy Popcorn, Baked Kale Chips," Greek Pasta Salad - 410kcals per portion, 2 portions, contains gluten, dairy (Greece)
"," Quinoa and Black Bean Burger - 340kcals per portion, 4 portions, contains legumes
"
6,200.0,80.0,220.0,400.0,300.0, Raspberry Coconut Breakfast Bars, Cheesy Popcorn, Caprese Bruschetta, Argentinian empanadas," Spinach and Feta Stuffed Phyllo Triangles - 300 calories/portion, 4 portions, contains gluten and dairy (Greece)
"
7,350.0,80.0,240.0,250.0,300.0, Acai Bowl, Apple with Cinnamon, Veggie Couscous Salad, Veggie Sushi Rolls," Chana masala - 300 calories per portion, 4 portions, contains nuts (India)
"
8,200.0,80.0,220.0,350.0,260.0, Blueberry Muffins, Mango with Chili Powder, Vegan Banana Pancakes," Lentil Meatballs - 350kcals per portion, 2 portions, contains legumes
"," Greek Baked Beans - 260kcals per portion, 4 portions
"
9,250.0,80.0,220.0,300.0,350.0, Whole Wheat Veggie Breakfast Wrap, Baked Apple Chips, Sesame Ginger Edamame, Falafel Salad Bowl," Curried vegetable couscous - 350 calories per portion, 4 portions, contains gluten
"
10,200.0,80.0,200.0,360.0,300.0, Tomato Basil Tofu Scramble, Cheesy Popcorn, Ratatouille," Veggie Sushi Bowl - 360kcals per portion, 2 portions, contains soy, gluten (Japan)
", Mexican Quinoa Salad
11,300.0,90.0,220.0,500.0,200.0, Tropical Mango Chia Pudding, Vegetarian Spring Rolls, Indian Samosa Chaat, Caprese Pasta," Caprese Skewers - 200 calories/portion, 4 portions, contains dairy (Italy)
"
12,200.0,80.0,120.0,150.0,420.0, Quinoa Veggie Breakfast Skillet, Fruit Salad, Yogurt Covered Strawberries, Lentil and vegetable frittata," Caprese Panini - 420kcals per portion, 2 portions, contains dairy (Italy)
"
13,250.0,80.0,160.0,700.0,300.0, Vegan Breakfast Enchiladas, Hard-Boiled Eggs, Baked Tofu Fingers, Sweet Potato and Chickpea Stew," Mediterranean Quinoa Salad - 300 calories/portion, 4 portions, contains gluten (Greece)
"
14,250.0,90.0,80.0,250.0,200.0, Raspberry Chia Jam Toast, Vegetarian Spring Rolls, Fresh Fruit Salad, Greek salad," Indian Vegetable Samosas - 200 calories/portion, 4 portions, contains gluten (India)
"
15,350.0,70.0,280.0,800.0,250.0, Vegan Breakfast Burrito, Fresh Fruit Salad, Veggie Flatbread Pizza, Vegetarian Philly Cheesesteak," Veggie Burrito Bowl - 250 calories/portion, 4 portions, Origin"
16,350.0,80.0,180.0,350.0,300.0, Veggie Omelette, Energy Balls, Blueberry Muffins, Chickpea salad wrap," Vegetable and tofu stir-fry - 300 calories per portion, 4 portions, contains soy
"
17,200.0,80.0,220.0,500.0,350.0, Veggie Breakfast Wrap with Tofu Scramble, Kale Chips, Sesame Ginger Edamame, Veggie Soba Noodle Stir-Fry, Greek Phyllo Pie
18,350.0,90.0,300.0,380.0,350.0, Veggie Omelette, Fruit Salad, Tortilla Española," Veggie Fried Rice - 380kcals per portion, 2 portions, contains gluten, soy (China)
", Greek Orzo Stuffed Peppers
19,350.0,80.0,250.0,400.0,320.0, Mushroom and Spinach Breakfast Quesadilla, Fruit Salad, Stuffed Bell Peppers with Quinoa, Vegetarian Spring Rolls," Quinoa-Stuffed Mushrooms - 320kcals per portion, 4 portions
"
20,300.0,80.0,150.0,180.0,350.0, Raspberry Peach Chia Pudding, Fresh Squeezed Orange Juice, Roasted Brussels Sprouts, Greek pumpkin and feta salad, Vegetable Paella
21,200.0,80.0,220.0,150.0,400.0, Veggie Breakfast Wrap with Tofu Scramble, Fruit Salad, Roasted Red Pepper and Feta Crostini, Caprese Salad, Veggie Bibimbap
22,250.0,80.0,180.0,250.0,350.0, Tropical Green Smoothie, Fresh Squeezed Orange Juice, Greek Olive Breadsticks," Greek Lentil Salad - 250kcals per portion, 4 portions, no allergies, Origin", Stuffed Bell Peppers with Rice and Beans
23,300.0,80.0,160.0,400.0,400.0, Greek Yogurt with Berries and Granola, Mango with Chili Powder, Greek Yogurt with Honey and Nuts," Caprese Stuffed Portobello Burgers - 400kcals per portion, 2 portions, contains dairy

Please note that the calorie counts provided are approximate and may vary depending on specific ingredients and preparation methods", Spinach and Ricotta Stuffed Shells
