,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,200.0,150.0,180.0,150.0,350.0, Tomato Basil Tofu Scramble, Zucchini Fritters, Broccoli and cheese bites, Caprese Salad, Thai Coconut Curry
2,200.0,150.0,250.0,120.0,250.0, Vegan Breakfast Quiche Lorraine, Mini Vegetable Frittatas, Chicken Lettuce Cups," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Greek Tabbouleh Salad - 250 calories/portion, 4 portions, contains gluten (Greece)

"
3,400.0,100.0,200.0,150.0,350.0," Huevos Rancheros with refried beans and salsa (400kcals per portion, 2 portions, origin"," Mint Yogurt Dip with Vegetable Sticks - 100kcals per portion, 2 portions
    Origin", Mini Chicken Teriyaki Skewers, Greek Taramasalata, Jamaican Rice and Peas
4,350.0,90.0,120.0,150.0,300.0," Apple cinnamon overnight French toast (350 calories per portion, 2 portions, nut-free, American origin)
", Stuffed Dates, Veggie Sushi Rolls, Butternut squash soup," Vegetable and tofu stir-fry - 300 calories per portion, 4 portions, contains soy
"
5,350.0,120.0,140.0,150.0,350.0, Baked Eggs in Avocado, Melon and Prosciutto Skewers, Bacon-Wrapped Asparagus," Greek Salad - 150kcals per portion, 2 portions"," Vegan Cauliflower Fried Rice - 350 calories per portion, 4 portions, None, China
"
6,400.0,150.0,250.0,150.0,350.0, Tomato Basil Quiche," Caprese Skewers (Tomato, Mozzarella, Basil) - 150kcals per portion, 2 portions
    Origin", Stuffed Mushrooms, Spinach and cheese stuffed tomatoes," Italian Eggplant Parmesan (350 calories/portion, 2 portions) - Italy
"
7,350.0,70.0,120.0,120.0,200.0," Moroccan msemen (thin layered pastry) with honey - 350 calories per portion, 2 portions, contains gluten, origin", Kale chips, Ricotta Stuffed Cherry Tomatoes," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Greek stuffed bell peppers - 200 calories per portion, 4 portions, none (Greece)
"
8,200.0,120.0,170.0,150.0,350.0, Apple Cinnamon Porridge, Cucumber Rolls," Egg Salad Lettuce Wraps - 170 kcals per portion, 3 portions, contains egg (USA)", Thai Tom Yum Soup," Vegan Thai Red Curry - 350 calories per portion, 2 portions, may contain tofu"
9,400.0,150.0,540.0,150.0,350.0," Apple cinnamon baked oatmeal (400kcals per portion, 2 portions)
", Homemade Trail Mix, Stuffed Bell Peppers," Greek Salad - 150kcals per portion, 2 portions", Soba Noodle Stir-Fry
10,380.0,120.0,100.0,150.0,250.0," Ricotta and cherry-stuffed French toast (380 calories per portion, 2 portions, contains dairy, American origin)
", Oatmeal Cookie," Homemade Hummus with Carrot Sticks - 100 kcals per portion, 4 portions, no allergic warnings, origin", Spinach and mushroom omelet, Tofu Tikka Masala
11,300.0,150.0,210.0,100.0,350.0," Strawberry banana overnight oats (300 calories per portion, 2 portions, nut-free, American origin)
", Mini Caprese Skewers - Approx, Veggie Pizza Bagels, Israeli salad," Mexican Stuffed Bell Peppers - 350 calories/portion, 4 portions, Origin"
