,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,450.0,100.0,120.0,20.0,250.0," Peanut butter and banana smoothie bowl (450 calories per portion, 2 portions, contains nuts, American origin)
"," Cinnamon Apple Chips - 100kcals per portion, 2 portions
    Origin", Caprese Salad Skewers, Moroccan Mint Tea, Portobello Mushroom Steaks
2,350.0,150.0,180.0,100.0,500.0," French toast with cinnamon and maple syrup (350kcals per portion, 2 portions, origin", Baked Cinnamon Sugar Donut Holes - Approx, Caprese Bruschetta, Israeli salad, Vietnamese Pho
3,550.0,100.0,100.0,100.0,400.0, Spanish Tortilla," Dates Stuffed with Almond Butter - 100kcals per portion, 2 portions
    Origin", Tuna Salad Stuffed Tomatoes, Israeli salad," Vegan Biryani - 400 calories per portion, 4 portions, None, India
"
4,200.0,150.0,180.0,100.0,350.0, Poha (Flattened Rice), Baked Cinnamon Apple Chips, Crispy Tofu Bites, Israeli salad," Mexican Quinoa Stuffed Peppers - 350 calories/portion, 4 portions, contains gluten (Mexico)
"
5,300.0,150.0,80.0,100.0,350.0, Vegan Sweet Potato Pancakes - 300 calories per portion | 1 portion | Contains gluten | Origin," Cucumber and Cream Cheese Sandwiches - 150kcals per portion, 2 portions
    Origin", Greek Salad Skewers, Israeli salad, Vegan Butternut Squash Ravioli
6,500.0,150.0,220.0,20.0,350.0," Filipino longganisa sausage with garlic rice and fried egg (500kcals per portion, 2 portions, origin", Pear with Goat Cheese, Roasted Red Pepper and Goat Cheese Crostini, Moroccan Mint Tea," Lentil and vegetable stir-fry – 350 calories per portion, 3 portions, vegan-friendly
"
7,450.0,150.0,200.0,20.0,150.0," Lebanese markouk bread with za'atar and olive oil (450kcals per portion, 2 portions, origin", Antipasto Skewers, Chickpea Salad, Moroccan Mint Tea, Veggie Stir-Fry
8,400.0,60.0,880.0,20.0,200.0," Indonesian nasi goreng (fried rice) with chicken and vegetables (400kcals per portion, 2 portions, origin", Fruit Salad - Approx, Jackfruit Tacos, Moroccan Mint Tea, Greek Salad
9,450.0,150.0,100.0,100.0,250.0, Veggie Breakfast Burritos, Yogurt Parfait, Baked Kale Chips, Israeli salad," Indian Aloo Gobi (250 calories/portion, 4 portions) - India
"
10,400.0,80.0,250.0,100.0,300.0," Scandinavian-style open-faced sandwich (400 calories per portion, 2 portions, nut-free, Scandinavian origin)
", Cheesy Popcorn, Spinach and Artichoke Dip with Pita Chips, Israeli salad," Mexican Quinoa Bowl - 300 calories/portion, 4 portions, contains cilantro (Mexico)
"
11,400.0,100.0,100.0,100.0,350.0, Vegan Tofu Benedict - 400 calories per portion | 1 portion | Contains soy | Origin, Baked Zucchini Chips - Approx," Roasted Cauliflower Hummus - 100 kcals per portion, 4 portions, no allergic warnings, origin", Israeli salad," Mexican Rice and Beans - 350 calories per portion, 4 portions, None, Mexico
"
12,250.0,100.0,180.0,20.0,400.0, Oatmeal with Fresh Berries," Raspberry Yogurt Popsicles - 100kcals per portion, 2 portions
    Origin", Strawberry banana smoothie, Moroccan Mint Tea," Herb-crusted baked fish with roasted vegetables – 400 calories per portion, 2 portions, contains fish
"
13,150.0,150.0,160.0,100.0,346.0, Vegan Energy Balls - 150 calories per portion | 2 portions | Contains nuts | Origin," Onion and Cheese Mini Quiches - 150kcals per portion, 2 portions
    Origin", Stuffed Mushrooms, Israeli salad, Sweet Potato and Lentil Curry
14,300.0,150.0,180.0,100.0,400.0, Vegan Breakfast Tiramisu, Vegan Chocolate Chip Cookies, Stuffed Jalapeno Poppers, Israeli salad, Lentil Curry Bowl
15,300.0,100.0,90.0,20.0,400.0," Thai coconut rice pudding with mango (300kcals per portion, 2 portions, origin", Cucumber Slices with Tzatziki - Approx, Mini Quiche, Moroccan Mint Tea," Vegetarian stuffed bell peppers with quinoa and black beans (400 calories per portion, 4 portions, vegan-friendly, origin"
16,200.0,150.0,160.0,100.0,350.0, Vegan Breakfast Tacos," Mixed Berry Muffins - 150kcals per portion, 2 portions
    Origin", Bruschetta with Tomato and Basil, Israeli salad," Greek Spanakopita (350 calories/portion, 3 portions) - Greece
"
17,300.0,150.0,200.0,20.0,250.0, Aloo Tikki," Cucumber and Cream Cheese Sandwiches - 150kcals per portion, 2 portions
    Origin", Vegetable Couscous Salad, Moroccan Mint Tea, Roasted Vegetable Salad
18,300.0,120.0,120.0,20.0,500.0, Banana Nut Smoothie Bowl, Roasted Chickpeas, Veggie Egg Muffins, Moroccan Mint Tea, Beef Stir Fry with Vegetables
19,200.0,100.0,150.0,100.0,380.0, Tofu Scramble, Watermelon Fruit Pizza, Veggie Chips, Israeli salad," Grilled shrimp and pineapple skewers with quinoa - 380 kcals per portion, 3 portions, contains shellfish
"
