,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,80.0,120.0,300.0,400.0, Country Style Potatoes with Veggies, Mango with Chili Powder, Yogurt Covered Strawberries," Greek Baked Feta - 300kcals per portion, 2 portions, contains dairy, Origin", Veggie Pot Pie
2,200.0,100.0,180.0,180.0,400.0, Roasted Vegetable Breakfast Tacos, Cucumber and Tomato Salad, Grilled Halloumi Skewers," Greek Salad - 180kcals per portion, 2 portions, contains dairy (Greece)
"," Spinach and Ricotta Stuffed Shells - 400 calories/portion, 4 portions, Origin"
3,300.0,100.0,280.0,500.0,250.0, Vegan Chocolate Chip Pancakes, Roasted Beetroot Chips, Veggie and Cream Cheese Roll-ups, Ratatouille," Stuffed Zucchini Boats - 250 calories/portion, 4 portions, contains dairy (Italy)
"
4,300.0,100.0,150.0,220.0,320.0, Veggie Breakfast Burrito Bowl, Watermelon Fruit Pizza, Cucumber and Cream Cheese Sandwiches, Lebanese tabbouleh," Lentil Soup - 320kcals per portion, 4 portions, gluten-free (Various)
"
5,400.0,100.0,250.0,300.0,380.0, French Toast, Guacamole Stuffed Cherry Tomatoes, Stuffed Bell Peppers with Quinoa, Mexican squash and black bean enchiladas," Eggplant Parmesan - 380kcals per portion, 4 portions, contains dairy (Italy)
"
6,300.0,90.0,240.0,180.0,200.0, Irish Soda Bread, Fruit Salad, Chickpea and Vegetable Curry, Tomato and basil bruschetta," Ratatouille Stuffed Zucchini - 200 calories/portion, 4 portions, Origin"
7,180.0,100.0,280.0,420.0,400.0, Overnight Chia Pudding, Vegetable Crudité with Hummus, Veggie Flatbread Pizza," Veggie Lo Mein - 420kcals per portion, 2 portions, contains gluten, soy (China)
", Veggie Lo Mein
8,300.0,100.0,80.0,180.0,300.0, Greek Yogurt Parfait, Corn on the Cob, Asian Cucumber Salad, Spinach and artichoke dip," Aloo Gobi - 300 calories/portion, 4 portions, contains turmeric (India)
"
9,200.0,100.0,180.0,350.0,400.0, Spinach and Feta Stuffed Portobello Mushrooms, Vegetable Crudité with Hummus, Veggie Sausage Rolls, Vegetable and chickpea curry," Potato Gnocchi - 400 calories/portion, 4 portions, Origin"
10,250.0,100.0,120.0,350.0,400.0, Banana Bread, Carrot Sticks with Ranch Dip, Greek Feta Dip with Veggies," Quinoa Taco Salad - 350kcals per portion, 3 portions, no allergies, Origin"," Caprese tortellini skillet - 400 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
11,200.0,70.0,90.0,350.0,260.0, Vegan Blueberry Pancakes, Fresh Fruit Salad, Greek Feta and Olive Skewers, Greek spinach and feta pie," Greek Style Lemon Potatoes - 260kcals per portion, 4 portions
"
12,200.0,100.0,120.0,300.0,300.0, Banana Pancakes, Quinoa Energy Bites, Spinach Balls, Vegetable and lentil tacos," Mediterranean Quinoa Salad - 300 calories/portion, 4 portions, contains gluten (Greece)
"
13,200.0,80.0,300.0,250.0,250.0, Vegetarian Quiche, Fruit Salad, Veggie Nachos," Greek Orzo Salad - 250kcals per portion, 4 portions, no allergies, Origin"," Mushroom and Spinach Quesadillas - 250 calories/portion, 4 portions, Origin"
14,350.0,90.0,80.0,350.0,350.0, Vegan Breakfast Burrito, Vegetarian Spring Rolls, Veggie Spring Rolls, Greek spinach and feta pie," Vegetable curry with basmati rice - 350 calories per portion, 4 portions, contains nuts (India)
"
15,400.0,80.0,150.0,300.0,250.0, Veggie Sausage Breakfast Sandwich, Hard-Boiled Eggs, Baked Parmesan Zucchini Fries, Stuffed Mushrooms," Ratatouille tart - 250 calories per portion, 6 portions, contains gluten (France)
"
