,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,380.0,80.0,190.0,150.0,260.0," Ricotta and berry-stuffed French toast (380 calories per portion, 2 portions, contains dairy, American origin)
", Apple with Cinnamon, Roasted Beet Hummus with Crackers, Lentil and vegetable soup," Greek Baked Beans - 260kcals per portion, 4 portions
"
2,400.0,80.0,160.0,150.0,250.0," Chinese congee with chicken and ginger (400kcals per portion, 2 portions, origin", Apple with Cinnamon," Spinach Stuffed Mushrooms - 160 kcals per portion, 3 portions, contains dairy (USA)", Spinach and cheese stuffed tomatoes, Cauliflower Fried Rice
3,300.0,50.0,60.0,150.0,300.0, Veggie Breakfast Scramble," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Caprese Skewers, Greek Tzatziki Dip with Pita," Greek Stuffed Eggplant - 300 calories/portion, 4 portions, contains gluten and dairy (Greece)
"
4,250.0,50.0,400.0,150.0,300.0, Vegan Overnight Chia Pudding - 250 calories per portion | 2 portions | None | Origin, Baked Apple Chips - Approx, Vegan Tzatziki and Pita Bread, Tomato and Basil Bruschetta," Greek Spinach and Feta Pie - 300 calories/portion, 4 portions, contains gluten and dairy (Greece)
"
5,400.0,80.0,300.0,150.0,320.0, Veggie Sausage Breakfast Sandwich, Fruit Salad, Veggie Sushi Bowls, Butternut squash soup," Cauliflower curry – 320 calories per portion, 4 portions, vegan-friendly
"
6,450.0,80.0,180.0,150.0,280.0, Lemon Poppy Seed Pancakes, Energy Balls, Vegetable sushi rolls, Butternut squash soup," Chickpea Salad - 280kcals per portion, 4 portions, gluten-free (Middle East)
"
7,200.0,80.0,120.0,150.0,250.0, Spinach and Feta Stuffed Portobello Mushrooms, Baked Apple Chips, Veggie Stuffed Mushrooms, Caprese Salad," Mexican Zucchini Boats - 250 calories/portion, 4 portions, contains cheese (Mexico)
"
8,320.0,50.0,150.0,150.0,250.0," Mushroom and goat cheese frittata (320 calories per portion, 2 portions, contains dairy, French origin)
"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Black Bean and Corn Salsa," Greek Salad - 150 calories
   - Total portions", Eggplant and Tomato Gratin
9,500.0,80.0,200.0,150.0,200.0," Breakfast burrito with scrambled eggs and avocado (500kcals per portion, 2 portions, origin", Fruit Salad," Vegan Mango Smoothie Bowl - 200 kcals per portion, 4 portions, no allergic warnings, origin", Grilled Chicken Salad, Zucchini Noodles with Pesto
10,200.0,80.0,180.0,150.0,250.0, Overnight Chia Pudding, Kale Chips, Guacamole with vegetable sticks, Tomato Basil Soup," Black bean and corn salad with lime dressing – 250 calories per portion, 4 portions, vegan-friendly (origin"
11,320.0,80.0,120.0,150.0,300.0," Egg and cheese breakfast roll-ups (320 calories per portion, 2 portions, contains dairy, American origin)
", Hard-Boiled Eggs, Stuffed Dates with Almonds, Tomato Basil Soup, Jackfruit Tacos
12,350.0,80.0,300.0,150.0,150.0, Chocolate Banana Smoothie Bowl, Fresh Watermelon Slices - Approx, Vegetable Pizza Rolls, Tomato Basil Soup, Lentil Soup with Kale
