,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,450.0,100.0,120.0,20.0,150.0," Mexican gorditas with beans, cheese, and salsa (450kcals per portion, 2 portions, origin", Edamame, Vegetable sushi rolls, Moroccan Mint Tea," Low-Calorie Veggie Stir-Fry (150 calories/portion, 3 portions) - China
"
2,400.0,100.0,80.0,20.0,150.0, Turkish Menemen with Feta Cheese, Kiwi and Strawberry Smoothie, Veggie sticks with hummus, Moroccan Mint Tea, Minestrone Soup
3,200.0,120.0,150.0,20.0,150.0, Quinoa Breakfast Burrito, Raspberry Chia Seed Jam, Greek Yogurt Parfait, Moroccan Mint Tea," Ratatouille - 150 calories per portion, 6 portions, None, France
"
4,250.0,120.0,320.0,20.0,300.0," Almond joy smoothie (250 calories per portion, 2 portions, contains nuts, American origin)
", Greek Stuffed Grape Leaves," Nachos with Guacamole - 320 kcals per portion, 2 portions, contains dairy (Mexico)", Moroccan Mint Tea," Chickpea Salad Sandwich - 300 calories per portion, 4 portions, Gluten, Various

"
5,200.0,120.0,180.0,20.0,300.0, Congee, Carrot Sticks with Hummus, Mediterranean Couscous Salad, Moroccan Mint Tea," Vegan Thai Green Curry - 300 calories per portion, 2 portions, may contain tofu"
6,350.0,100.0,760.0,20.0,300.0, Shakshuka, Quinoa Energy Bites, Vegan Cinnamon Rolls, Moroccan Mint Tea," Greek Salad - 300 calories/portion, 4 portions, Origin"
7,300.0,100.0,200.0,20.0,250.0," Egyptian foul medames (fava bean stew) - 300 calories per portion, 2 portions, no allergic warnings, origin", Cucumber Sandwich, Mini Apple Hand Pies, Moroccan Mint Tea, Black Bean Tacos
8,300.0,80.0,250.0,20.0,300.0," Shakriya (Lebanese rice pudding) - 300 calories per portion, 2 portions, contains dairy, origin", Fresh Squeezed Orange Juice, Mini Beef Sliders, Moroccan Mint Tea," Mexican Vegan Tortilla Soup (300 calories/portion, 4 portions) - Mexico
"
9,350.0,80.0,180.0,20.0,200.0, Acai Bowl, Kale Chips," Vegan Banana Bread - 180 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Quinoa Salad - 200 calories per portion, 2 portions, may contain nuts"
10,350.0,120.0,80.0,20.0,159.0, Maple Pecan Granola with Yogurt, Carrot Sticks with Hummus," Rice Paper Veggie Rolls - 80 kcals per portion, 4 portions, contains soy (Vietnam)", Moroccan Mint Tea, Quinoa Stuffed Mushrooms
11,300.0,100.0,150.0,20.0,300.0, Overnight Apple Pie Chia Pudding," Rice Cake with Almond Butter - 100kcals per portion, 2 portions
    Origin", Veggie Sushi Rolls, Moroccan Mint Tea, Grilled Vegetable Skewers with Tzatziki Sauce
12,350.0,100.0,220.0,20.0,300.0, Quinoa Porridge with Caramelized Bananas, Rice Paper Spring Rolls, Ratatouille, Moroccan Mint Tea," Chana masala - 300 calories per portion, 4 portions, contains nuts (India)
"
13,200.0,120.0,150.0,20.0,300.0, Vegan Breakfast Quiche Lorraine, Yogurt with Berries - Approx, Bruschetta, Moroccan Mint Tea," Moroccan Vegetable Lentil Stew (300 calories/portion, 4 portions) - Morocco
"
14,350.0,120.0,220.0,20.0,300.0," Veggie sausage and hash browns (350 calories per portion, 2 portions, contains soy, American origin)
", Granola Bar, Sweet Chili Lime Chicken Skewers, Moroccan Mint Tea," Vegetable Biryani - 300 calories/portion, 4 portions, Origin"
15,250.0,50.0,160.0,20.0,100.0, Vegan Green Breakfast Bowl - 250 calories per portion | 2 portions | None | Origin," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Baked apples with cinnamon and honey, Moroccan Mint Tea," Japanese Miso Soup with Tofu (100 calories/portion, 4 portions) - Japan
"
