,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,760.0,640.0,350.0,400.0, Sweet Potato and Black Bean Enchiladas, Vegan Cinnamon Rolls, Vegan Baked Falafel Bowl, Vegan BBQ Sandwich, Vegan Lasagna
2,300.0,200.0,160.0,400.0,350.0, Veggie Spring Rolls, Vegan Goulash, Vegan Spinach and Mushroom Puff Pastry, Vegan Ramen, Vegan BBQ Sandwich
3,400.0,460.0,960.0,880.0,300.0, Vegan Lasagna, Veggie Tacos, Vegan Buffalo Cauliflower Pizza, Jackfruit Tacos, Couscous Salad
4,480.0,560.0,440.0,200.0,400.0, Spinach and Mushroom Quesadillas, Vegan Pancakes, Vegan Gyoza, Stuffed Grape Leaves, Vegan Carbonara
5,400.0,440.0,720.0,320.0,400.0, Vegan Ramen, Vegan Gyoza, Vegan Black Bean Quesadillas, Vegan Breaded Zucchini Sticks, Vegan Jambalaya
6,450.0,300.0,440.0,450.0,350.0, Mushroom Risotto, Vegan Gyros, Vegan Gyoza, Mushroom Risotto, Vegan Ravioli
7,250.0,760.0,480.0,250.0,350.0, Vegan Fettuccine Alfredo, Vegan Indian Samosa Chaat, Spinach and Mushroom Quesadillas, Cauliflower Buffalo Wings, Mushroom Risotto Stuffed Peppers
8,450.0,620.0,480.0,450.0,350.0, Mushroom Risotto, Bean Burritos, Spinach and Mushroom Quesadillas, Tomato Basil Pasta, Mushroom Tacos
9,240.0,760.0,720.0,300.0,350.0, Vegan Spinach Dip with Pita Chips, Vegan Cinnamon Rolls, Vegetable Samosas, Vegan Spaghetti Carbonara, Veggie Burger
10,450.0,350.0,760.0,1000.0,350.0, Chickpea Tacos, Mushroom Tacos, Vegan Indian Samosa Chaat, Vegan Banana Pancakes, Vegan Tacos
11,350.0,520.0,300.0,300.0,400.0, Vegan Tacos, Vegan Mac and Cheese, Veggie Spring Rolls, Vegan Bao Buns, Vegan Pastrami Reuben Sandwich
12,320.0,450.0,560.0,350.0,350.0, Vegan Raspberry Oat Bars, Mushroom Risotto, Vegan Pancakes, Mushroom Tacos, Soba Noodle Stir-Fry
13,300.0,350.0,520.0,320.0,300.0, Vegan Bao Buns, Vegan Ravioli, Vegan Spinach and Artichoke Crostini, Vegan Breaded Zucchini Sticks, Couscous Salad
14,300.0,200.0,960.0,350.0,400.0, Vegan Gyros, Vegan Goulash, Vegan Buffalo Cauliflower Pizza, Vegan Tacos, Vegan Meatballs with Marinara Sauce
15,320.0,200.0,720.0,960.0,200.0, Vegan Breaded Zucchini Sticks, Mexican Rice Bowl, Vegan Black Bean Quesadillas, Vegan Buffalo Cauliflower Pizza, Vegan Goulash
16,760.0,240.0,840.0,760.0,250.0, Vegan Cinnamon Rolls, Vegan Spinach Dip with Pita Chips, Vegan Tomato Bruschetta, Vegan Cinnamon Rolls, Vegan Nachos
17,720.0,350.0,820.0,200.0,400.0, Vegan Black Bean Quesadillas, Mushroom Tacos, Vegan Lasagna, Mexican Rice Bowl, Vegan Ramen
18,350.0,360.0,640.0,200.0,300.0, Mushroom Risotto Stuffed Peppers, Vegetable Tempura, Vegan Baked Falafel Bowl, Lentil and Vegetable Bolognese, Veggie Fajitas
19,280.0,560.0,740.0,280.0,400.0, Vegan Lemon Poppy Seed Muffins, Vegan Chickpea Salad Sandwich, Vegan Buffalo Cauliflower Wings, Vegan Lemon Poppy Seed Muffins, Vegan Sausage and Peppers
20,250.0,400.0,320.0,760.0,300.0, Vegan Nachos, Vegan Tamales, Vegan Breaded Zucchini Sticks, Moroccan Couscous, Jackfruit Tacos
21,560.0,880.0,820.0,300.0,300.0, Vegan Chickpea Salad Sandwich, Jackfruit Tacos, Vegan Lasagna, Vegan Gyros, Veggie Fajitas
22,350.0,400.0,240.0,300.0,400.0, Soba Noodle Stir-Fry, Spaghetti Aglio e Olio, Vegan Spinach Dip with Pita Chips, Vegan Spaghetti Carbonara, Vegan Ramen
23,560.0,620.0,880.0,820.0,300.0, Vegan Pancakes, Bean Burritos, Jackfruit Tacos, Vegan Lasagna, Veggie Fajitas
24,400.0,520.0,320.0,720.0,200.0, Vegan Ramen, Vegan Spinach and Artichoke Crostini, Vegan Breaded Zucchini Sticks, Vegetable Samosas, Vegan Goulash
25,250.0,400.0,960.0,740.0,300.0, Vegan Nachos, Vegan Ramen, Vegan Meatballs with Marinara Sauce, Vegan Buffalo Cauliflower Wings, Couscous Salad
26,400.0,760.0,720.0,960.0,300.0, Vegan Lasagna, Vegan Cinnamon Rolls, Vegan Black Bean Quesadillas, Vegan Buffalo Cauliflower Pizza, Vegan Gyros
27,150.0,200.0,960.0,300.0,350.0, Vegan Banana Bread, Stuffed Grape Leaves, Vegan Buffalo Cauliflower Pizza, Vegan Gyros, Vegan Tacos
28,400.0,250.0,920.0,440.0,250.0, Vegan Paella, Cauliflower Buffalo Wings, Vegan Thai Spring Rolls, Vegan Gyoza, Cauliflower Buffalo Wings
29,400.0,350.0,520.0,350.0,350.0, Falafel Wrap, Vegan Tacos, Vegan Mac and Cheese, Vegan Tacos, Mushroom Tacos
30,400.0,820.0,800.0,400.0,300.0, Vegan Lasagna, Vegan Lasagna, Vegan Mexican Churros, Spaghetti Aglio e Olio, Veggie Fajitas
31,460.0,350.0,1000.0,720.0,350.0, Veggie Tacos, Soba Noodle Stir-Fry, Vegan Banana Pancakes, Vegetable Samosas, Vegan Tacos
32,400.0,240.0,560.0,620.0,200.0, Lentil Bolognese, Vegan Spinach Dip with Pita Chips, Vegan Chickpea Salad Sandwich, Bean Burritos, Mexican Rice Bowl
33,250.0,740.0,520.0,450.0,400.0, Vegan Fettuccine Alfredo, Vegan Buffalo Cauliflower Wings, Vegan Spinach and Artichoke Crostini, Mushroom Risotto, Vegan Sausage and Peppers
34,250.0,760.0,760.0,350.0,200.0, Vegan Fettuccine Alfredo, Vegan Indian Samosa Chaat, Vegan Cinnamon Rolls, Soba Noodle Stir-Fry, Mexican Rice Bowl
35,450.0,350.0,560.0,450.0,350.0, Ratatouille Tart, Veggie Burger, Vegan Chickpea Salad Sandwich, Mushroom Risotto, Vegan Ravioli
36,640.0,520.0,380.0,460.0,200.0, Vegan Baked Falafel Bowl, Vegan Spinach and Artichoke Crostini, Vegan Chocolate Chip Cookies, Veggie Tacos, Lentil and Vegetable Bolognese
37,350.0,400.0,480.0,450.0,350.0, Soba Noodle Stir-Fry, Zucchini Fritters, Vegan Lentil Burgers, Chickpea Tacos, Mushroom Risotto Stuffed Peppers
38,520.0,250.0,440.0,380.0,400.0, Vegan Mac and Cheese, Cauliflower Buffalo Wings, Vegan Gyoza, Vegan Chocolate Chip Cookies, Vegan Ramen
39,400.0,250.0,400.0,300.0,300.0, Falafel Wrap, Cauliflower Buffalo Wings, Zucchini Fritters, Vegan Spaghetti Carbonara, Veggie Fajitas
40,350.0,400.0,560.0,520.0,300.0, Vegan Ravioli, Falafel Wrap, Vegan Pancakes, Vegan Mac and Cheese, Jackfruit Tacos
41,300.0,400.0,200.0,460.0,400.0, Veggie Spring Rolls, Vegan Paella, Stuffed Grape Leaves, Veggie Tacos, Spaghetti Aglio e Olio
42,350.0,300.0,400.0,450.0,350.0, Vegan BBQ Sandwich, Vegan Gyros, Zucchini Fritters, Mushroom Risotto, Soba Noodle Stir-Fry
43,480.0,720.0,400.0,300.0,350.0, Vegan Lentil Burgers, Vegetable Samosas, Zucchini Fritters, Couscous Salad, Mushroom Tacos
44,300.0,300.0,360.0,200.0,250.0, Vegan Spaghetti Carbonara, Couscous Salad, Vegetable Tempura, Lentil and Vegetable Bolognese, Cauliflower Buffalo Wings
