,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,100.0,600.0,150.0,350.0, Vegan Breakfast Stuffed Mushrooms - 400 calories per portion | 1 portion | None | Origin, Fresh Fruit Salad, Vegan Mushroom Risotto, Veggie Spring Rolls, Veggie Pot Pie
2,250.0,180.0,260.0,150.0,250.0, Vegan Berry Chia Smoothie - 250 calories per portion | 2 portions | None | Origin, Sweet Potato Toast with Avocado, Spicy Mango Salsa, Lentil Soup, Tofu Stir-Fry
3,200.0,100.0,120.0,150.0,350.0, Vegan French Toast - 200 calories per portion | 2 portions | Contains gluten | Origin, Baked Apple Chips," Vegan Cheesy Popcorn - 120 kcals per portion, 4 portions, no allergic warnings, origin", Lentil Soup, Vegan Nachos
4,300.0,150.0,140.0,150.0,180.0, Vegan Oatmeal Raisin Cookies, Vegan Chocolate Chip Cookies," Vegan Cinnamon Sugar Donuts - 140 kcals per portion, 4 portions, no allergic warnings, origin", Ratatouille," Cauliflower Shawarma - 180 calories per portion, 6 portions, None, Middle East
"
5,200.0,150.0,840.0,150.0,350.0, Vegan Chocolate Chia Pudding - 200 calories per portion | 2 portions | None | Origin, Vegan Chocolate Chip Cookies, Vegan Almond Joy Energy Balls, Cabbage Stir-Fry," Lentil Coconut Curry - 350 calories per portion, 4 portions, None, India
"
6,450.0,150.0,180.0,150.0,300.0, Vegan Biscuits and Gravy - 450 calories per portion | 1 portion | Contains gluten | Origin, Chia Pudding," Baked Falafel Salad - 180 kcals per portion, 4 portions, allergic warning (sesame), origin", Ratatouille, Quinoa Stuffed Bell Peppers
7,70.0,150.0,320.0,150.0,450.0, Fruit Salad, Coconut Chia Pudding, Vegan Raspberry Oat Bars, Veggie Spring Rolls, Vegan Sushi Sandwich
8,250.0,90.0,380.0,150.0,210.0, Vegan Chocolate Chia Seed Pudding - 250 calories per portion | 2 portions | None | Origin, Quinoa Energy Bites, Vegan Chocolate Chip Cookies, Ratatouille, Quinoa Stuffed Portobello Mushrooms
9,70.0,180.0,160.0,150.0,256.0, Fruit Salad, Antipasto Skewers," Vegan Spinach and Mushroom Tartlets - 160 kcals per portion, 4 portions, no allergic warnings, origin", Tomato Basil Soup, Vegan BLT Sandwich
10,250.0,150.0,110.0,150.0,250.0, Vegan Berry Chia Smoothie - 250 calories per portion | 2 portions | None | Origin, Vegan Gingerbread Cookies," Oatmeal Raisin Energy Balls - 110 kcals per portion, 4 portions, no allergic warnings, origin", Lentil Soup, Vegan Tofu Scramble
11,250.0,150.0,160.0,150.0,220.0, Vegan Breakfast Bruschetta, Green Smoothie," Vegan Spinach and Artichoke Stuffed Mushrooms - 160 kcals per portion, 4 portions, no allergic warnings, origin", Cabbage Stir-Fry, Lentil and Vegetable Stir Fry
12,400.0,180.0,560.0,150.0,200.0, Vegan Breakfast Stuffed Mushrooms - 400 calories per portion | 1 portion | None | Origin, Vegan Blueberry Muffins, Vegan Chickpea Salad Sandwich, Tomato Basil Soup, Mexican Rice Bowl
13,450.0,160.0,520.0,150.0,300.0, Vegan Breakfast Enchiladas - 450 calories per portion | 1 portion | Contains gluten | Origin, Vegan Banana Bread Muffins, Vegan Spinach and Artichoke Crostini, Veggie Spring Rolls, Vegetable Curry
14,500.0,180.0,80.0,150.0,400.0, Vegan Breakfast Croque Madame, Oatmeal Raisin Cookies," Veggie Spring Rolls with Peanut Sauce - 80 kcals per portion, 4 portions, allergic warning (peanuts), origin", Cabbage Stir-Fry," Vegan Stuffed Cabbage Rolls - 400 calories per portion, 4 portions, None, Various
"
15,250.0,150.0,340.0,150.0,450.0, Raw Vegan Breakfast Bars - 250 calories per portion | 2 portions | Contains nuts | Origin, Green Smoothie, Vegan Nachos, Tom Yum Soup, Summer Rolls
16,200.0,150.0,120.0,150.0,246.0, Vegan Green Smoothie - 200 calories per portion | 2 portions | None | Origin, Roasted Chickpeas," Vegan Chocolate Chip Cookies - 120 kcals per portion, 4 portions, no allergic warnings, origin", Tomato Basil Soup, Black Bean and Corn Salad
17,250.0,120.0,1000.0,150.0,300.0, Vegan Chocolate Chia Seed Pudding - 250 calories per portion | 2 portions | None | Origin, Roasted Chickpeas, Vegan Paella, Lentil Soup, Sweet Potato Curry
18,600.0,150.0,180.0,150.0,300.0, Vegan Breakfast Biscotti, Cucumber and Hummus Bites," Vegan Strawberry Shortcake - 180 kcals per portion, 4 portions, no allergic warnings, origin", Tom Yum Soup, Quinoa Stuffed Bell Peppers
19,350.0,150.0,720.0,150.0,350.0, Vegan Blueberry Acai Smoothie Bowl - 350 calories per portion | 1 portion | None | Origin, Baked Sweet Potato Fries, Vegetable Samosas, Cabbage Stir-Fry, Soba Noodle Stir-Fry
20,650.0,180.0,180.0,150.0,312.0, Vegan Breakfast Zucchini Bread, Vegan Flapjacks," Vegan Blueberry Muffins - 180 kcals per portion, 4 portions, no allergic warnings, origin", Tomato Basil Soup, Vegan Kung Pao Tofu
21,250.0,150.0,90.0,150.0,159.0, Tofu Scramble - 250 calories per portion | 2 portions | None | Origin, Vegan Banana Pancakes," Guacamole with Tortilla Chips - 90 kcals per portion, 4 portions, allergic warning (avocado), origin", Tomato Basil Soup, Quinoa Stuffed Mushrooms
22,100.0,170.0,100.0,150.0,240.0, Vegan Breakfast Bagel, Walnut Energy Bars," Roasted Garlic Hummus with Veggie Sticks - 100 kcals per portion, 4 portions, no allergic warnings, origin", Veggie Spring Rolls, Spaghetti Aglio e Olio
23,400.0,180.0,880.0,150.0,350.0, Vegan Breakfast Tofu Wrap - 400 calories per portion | 1 portion | Contains soy | Origin, Fruity Nice Cream, Vegan Stuffed Dates with Nut Butter, Tomato Basil Soup, Vegan Tikka Wrap
24,350.0,150.0,80.0,150.0,200.0, Vegan Apricot and Almond Granola Bars - 350 calories per portion | 1 portion | Contains nuts | Origin, Coconut Chia Pudding, Vegan Peanut Butter Energy Bars, Tomato Basil Soup," Vegan BBQ Tofu - 200 calories per portion, 4 portions, Soy, United States
"
25,350.0,160.0,240.0,150.0,450.0, Vegan Pear and Walnut Oatmeal - 350 calories per portion | 1 portion | Contains nuts | Origin, Vegan Banana Bread Muffins, Vegan Spinach Dip with Pita Chips, Ratatouille," Mushroom Risotto - 450 calories per portion, 2 portions, may contain mushrooms"
26,100.0,120.0,90.0,150.0,400.0, Vegan Breakfast Rice Pudding, Roasted Chickpeas," Caprese Skewers with Vegan Mozzarella - 90 kcals per portion, 4 portions, no allergic warnings, origin", Lentil Soup, Vegan Carbonara
27,200.0,180.0,140.0,150.0,300.0, Vegan Chocolate Chia Pudding - 200 calories per portion | 2 portions | None | Origin, Vegan Protein Balls," Vegan Cinnamon Sugar Donuts - 140 kcals per portion, 4 portions, no allergic warnings, origin", Tomato Basil Soup, Vegan Soba Noodle Stir-Fry
28,200.0,120.0,140.0,150.0,200.0, Overnight Oats - 200 calories per portion | 2 portions | Contains gluten | Origin, Vegan Energy Balls," Vegan Mediterranean Pasta Salad - 140 kcals per portion, 4 portions, no allergic warnings, origin", Lentil Soup," Vegan Miso Soup - 200 calories per portion, 4 portions, Soy, Japan
"
29,250.0,150.0,900.0,150.0,350.0, Vegan Breakfast Oats and Berries, Vegan Gingerbread Cookies, Vegan Stuffed Mushrooms, Tom Yum Soup, Vegan Pesto Pasta
30,250.0,180.0,200.0,150.0,400.0, Vegan Matcha Overnight Oats - 250 calories per portion | 2 portions | None | Origin, Fruity Nice Cream," Vegan Mango Smoothie Bowl - 200 kcals per portion, 4 portions, no allergic warnings, origin", Ratatouille," Vegan Paella - 400 calories per portion, 4 portions, None, Spain
"
31,150.0,180.0,130.0,150.0,350.0, Vegan Breakfast Pita Pockets, Easy Homemade Granola," Sweet and Spicy Roasted Cashews - 130 kcals per portion, 4 portions, allergic warning (cashews), origin", Veggie Spring Rolls," Vegan Tikka Masala - 350 calories per portion, 4 portions, None, India
"
32,450.0,180.0,960.0,150.0,350.0, Vegan Breakfast Pho, Pumpkin Energy Bars, Vegan Southwestern Black Bean Salad, Veggie Spring Rolls," Chickpea Salad Sandwich - 350 calories per portion, 2 portions, may contain gluten"
33,400.0,150.0,80.0,150.0,350.0, Vegan Breakfast Quiche - 400 calories per portion | 1 portion | Contains gluten | Origin, Cucumber and Hummus Bites, Vegan Peanut Butter Energy Bars, Tom Yum Soup," Vegetable Paella - 350 calories per portion, 4 portions, None, Spain

"
