,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,350.0,300.0,350.0,350.0, French Toast, Tomato and Basil Bruschetta Scramble, Irish Soda Bread, Apple Cinnamon Muffins, Ricotta Pancakes
2,350.0,350.0,350.0,350.0,250.0, Banana Nut Muffins, Mushroom and Spinach Breakfast Quesadilla, Blueberry Muffins, Veggie Breakfast Wrap, Ragi (Finger Millet) Pancakes
3,350.0,300.0,300.0,300.0,400.0, Vegan Breakfast Tacos, Irish Soda Bread, Pancakes with Maple Syrup, Banana Oat Pancakes, French Toast
4,400.0,400.0,350.0,400.0,300.0, Veggie Biscuits and Gravy, Nutella Banana Croissant, Banana Walnut Bread, Mexican Sopes, Feta and Spinach Muffins
5,350.0,350.0,350.0,350.0,250.0, Chocolate Chip Muffins, Cranberry Orange Muffins, Tomato and Basil Bruschetta Scramble, Veggie Breakfast Wrap, Mozzarella and Tomato Bruschetta
6,400.0,250.0,350.0,300.0,350.0, Sourdough Biscuits and Mushroom Gravy, Ragi (Finger Millet) Pancakes, Cranberry Orange Muffins, Idli and Sambar, Vegan Protein Pancakes
7,250.0,300.0,250.0,400.0,350.0, Mozzarella and Tomato Bruschetta, Vegan Blueberry Muffins, Banana Bread, Nutella Banana Croissant, Chocolate Chip Muffins
8,450.0,300.0,350.0,350.0,300.0, Nutella Stuffed French Toast, Banana Oat Pancakes, Vegan Breakfast Burrito, Banana Nut Muffins, Vegan Blueberry Muffins
9,400.0,300.0,350.0,400.0,300.0, Almond Croissant, Banana Oat Pancakes, Banana Chia Pancakes, Veggie Sausage Breakfast Sandwich, Pancakes with Maple Syrup
10,300.0,400.0,300.0,300.0,350.0, Banana Pancakes, Aloo Paratha (Potato Stuffed Flatbread), Irish Soda Bread, Feta and Spinach Muffins, Mushroom and Spinach Breakfast Quesadilla
11,350.0,400.0,300.0,350.0,450.0, Blueberry Muffins, Veggie Breakfast Pizza Rolls, Banana Oat Pancakes, Vegan Breakfast Burrito, Nutella Stuffed French Toast
12,300.0,350.0,350.0,400.0,400.0, Banana Pancakes, Vegan Breakfast Tacos, Apple Cinnamon Muffins, Vegetarian Breakfast Strata, Mexican Sopes
