,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,80.0,80.0,20.0,320.0, Breakfast Sushi, Cheesy Popcorn, Stuffed Mushroom Caps, Moroccan Mint Tea," Sesame ginger tofu with broccoli – 320 calories per portion, 3 portions, vegan-friendly
"
2,400.0,120.0,300.0,20.0,300.0, Shakshuka with Halloumi Cheese, Cinnamon Sugar Pretzels, Sweet Potato and Black Bean Stuffed Peppers, Moroccan Mint Tea," Vegetable curry with coconut milk – 300 calories per portion, 4 portions, vegan-friendly (origin"
3,400.0,80.0,220.0,20.0,350.0, Breakfast Stuffed Peppers, Fruit Salad, Stuffed Bell Peppers, Moroccan Mint Tea, Quinoa and Black Bean Burgers
4,500.0,120.0,120.0,20.0,400.0," English full breakfast with bacon, sausages, eggs, beans, mushrooms, and toast (500kcals per portion, 2 portions, pork allergies, origin", Hummus with Veggies, Roasted Chickpeas, Moroccan Mint Tea," Greek Vegan Dolmades (400 calories/portion, 2 portions) - Greece
"
5,250.0,100.0,150.0,20.0,300.0," Syrian ka'ak (sesame bread rings) - 250 calories per portion, 1 portion, contains gluten, origin", Overnight Chia Pudding," Vegan Ratatouille - 150 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Lemon Garlic Butter Scallops - 300 calories per portion, 4 portions, contains shellfish, Origin"
6,400.0,100.0,120.0,20.0,450.0," Veggie breakfast quesadilla (400 calories per portion, 2 portions, nut-free, Mexican origin)
", Cucumber Slices with Tzatziki - Approx," Caprese skewers (cherry tomatoes, mozzarella, basil)", Moroccan Mint Tea," Mediterranean Roasted Vegetable Quiche - 450 calories/portion, 4 portions, contains gluten and dairy (Various)
"
7,450.0,120.0,150.0,20.0,400.0," Egyptian hawawshi (meat-stuffed pita) with ground beef and spices (450kcals per portion, 2 portions, origin", Cottage Cheese with Sliced Tomato, Roasted Brussels Sprouts, Moroccan Mint Tea," Sweet Potato and Black Bean Enchiladas - 400 calories/portion, 4 portions, contains gluten and beans (Mexico)

"
8,300.0,100.0,150.0,20.0,450.0," Spinach and feta pastry turnovers (300kcals per portion, 2 portions, dairy allergies)
", Cucumber Rolls with Hummus - Approx, Caprese skewers, Moroccan Mint Tea, Tofu Pad Thai
9,200.0,120.0,250.0,20.0,350.0," Oatmeal with berries - 200 calories per portion, 2 portions, no allergic warnings, origin", Banana Smoothie, Mini chicken quesadilla, Moroccan Mint Tea," Italian Vegan Pasta Aglio e Olio (350 calories/portion, 2 portions) - Italy
"
10,300.0,80.0,70.0,20.0,350.0, Vegan Mango Coconut Chia Pudding - 300 calories per portion | 1 portion | None | Origin, Apple with Cinnamon," Watermelon and Mint Salad - 70 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Greek Orzo Salad - 350 calories/portion, 4 portions, contains gluten (Greece)
"
11,500.0,120.0,150.0,20.0,450.0, Turkish Gozleme, Cucumber Rolls, Apple slices with peanut butter, Moroccan Mint Tea, Honey-Glazed Baked Ham
12,600.0,100.0,200.0,20.0,300.0, Vegan Waffles, Fruit Salad, Cucumber Cups with Tuna Salad, Moroccan Mint Tea," Quinoa Salad with Roasted Vegetables - 300 calories per portion, 4 portions, no allergic warnings, Origin"
13,600.0,100.0,150.0,20.0,250.0, Vegan Waffles, Overnight Chia Pudding, Roasted Garlic and Tomato Crostini, Moroccan Mint Tea," Mediterranean stuffed eggplant - 250 calories per portion, 4 portions, none
"
14,400.0,80.0,200.0,20.0,350.0, Smashed Avocado and Egg Toast, Stuffed Dates, Mini Bagel Pizzas, Moroccan Mint Tea," Japanese Vegan Hiyashi Chuka (350 calories/portion, 2 portions) - Japan
"
15,400.0,100.0,140.0,20.0,450.0, Vegan Chocolate Waffles, Energy Balls," Roasted Beetroot Dip with Pita Bread - 140 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Spinach and Ricotta Stuffed Manicotti - 450 calories/portion, 4 portions, contains gluten and dairy (Italy)
"
16,250.0,80.0,250.0,20.0,450.0, Vegan Raspberry Almond Scones - 250 calories per portion | 2 portions | Contains gluten and nuts | Origin, Avocado Deviled Eggs, Mini whole wheat pita pizza, Moroccan Mint Tea, Greek Grilled Lamb Chops
17,200.0,100.0,220.0,20.0,350.0, Vegan Pumpkin Pancakes, Rice Cake with Hummus and Cucumber," Baba Ghanoush Stuffed Pita Pockets - 220 kcals per portion, 3 portions, contains gluten (Middle East)", Moroccan Mint Tea," Quinoa Stuffed Zucchini - 350 calories per portion, 4 portions, None, Various
"
18,350.0,60.0,340.0,20.0,350.0," Quinoa breakfast bowl with fruits and seeds (350 calories per portion, 2 portions, nut-free, American origin)
", Cucumber and tomato salad, Vegan Nachos, Moroccan Mint Tea," Egg Fried Rice - 350 calories per portion, 4 portions, contains gluten (soy sauce), Origin"
19,350.0,100.0,150.0,20.0,300.0," Lebanese manakish (flatbread) with za'atar and olive oil (350kcals per portion, 2 portions, origin", Corn on the Cob, Roasted Chickpeas, Moroccan Mint Tea," Ratatouille Pasta - 300 calories/portion, 4 portions, Origin"
20,200.0,100.0,350.0,20.0,400.0, Papaya Boat with Lime," Rice Cake with Almond Butter - 100kcals per portion, 2 portions
    Origin", Avocado and black bean quesadilla, Moroccan Mint Tea, Spaghetti Aglio e Olio
21,250.0,120.0,160.0,20.0,350.0," Syrian ka'ak (sesame bread rings) - 250 calories per portion, 1 portion, contains gluten, origin", Tomato and Basil Bruschetta," Zucchini Bread - 160 kcals per portion, 4 portions, contains gluten (USA)", Moroccan Mint Tea," Tofu and vegetable stir-fry with noodles – 350 calories per portion, 2 portions, vegan-friendly
"
22,700.0,120.0,200.0,20.0,400.0," English breakfast (eggs, bacon, sausage, beans, tomato) - 700 calories per portion, 2 portions, no allergic warnings, origin", Raspberry Chia Seed Jam, Fruit and Yogurt Parfait, Moroccan Mint Tea," Butternut squash and lentil curry with basmati rice - 400 kcals per portion, 4 portions, vegetarian, contains gluten
"
23,350.0,100.0,180.0,20.0,331.0," Veggie sausage and hash browns (350 calories per portion, 2 portions, contains soy, American origin)
", Roasted Almonds," Antipasto skewers (olives, mozzarella, salami)", Moroccan Mint Tea, Vegan Tacos
24,300.0,120.0,220.0,20.0,350.0, Quinoa Breakfast Cookies, Sautéed Brussels Sprouts, Quinoa and Black Bean Salad, Moroccan Mint Tea, Thai Red Curry with Tofu
25,300.0,90.0,220.0,20.0,250.0, Shakshuka with Spinach, Stuffed Dates, Sweet Chili Lime Chicken Skewers, Moroccan Mint Tea, Greek Spanakopita
26,300.0,100.0,90.0,20.0,300.0, Mediterranean Chickpea Scramble, Watermelon and feta skewers," Rice Cakes with Almond Butter - 90 kcals per portion, 4 portions, allergic warning (almonds), origin", Moroccan Mint Tea, Sweet Potato Curry
27,380.0,100.0,120.0,20.0,350.0," Ricotta and berry-stuffed French toast (380 calories per portion, 2 portions, contains dairy, American origin)
", Caprese Skewers," Brown Butter Almond Madeleines - 120 kcals per portion, 5 portions, contains gluten, tree nuts (France)", Moroccan Mint Tea," Caprese Quinoa Stuffed Peppers - 350 calories/portion, 4 portions, Origin"
28,500.0,120.0,170.0,20.0,400.0," American biscuits and gravy with sausage (500kcals per portion, 2 portions, pork allergies, origin", Banana Smoothie," Roasted Red Pepper Hummus with Pita Bread - 170 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Penne alla Vodka with Spinach
29,250.0,100.0,180.0,20.0,350.0, Overnight Chia Oats, Cucumber Slices with Tzatziki - Approx," Berry Parfait - 180 kcals per portion, 2 portions, contains dairy (Various)", Moroccan Mint Tea, Greek Orzo Stuffed Peppers
30,250.0,60.0,120.0,20.0,360.0," Peach and almond smoothie - 250 calories per portion, 1 portion, may contain nuts, origin", Cucumber and tomato salad, Caprese Skewers, Moroccan Mint Tea," Greek Orzo Salad - 360kcals per portion, 4 portions
"
31,300.0,110.0,180.0,20.0,400.0," Carrot cake oatmeal (300 calories per portion, 2 portions, nut-free, American origin)
", Moroccan-style boiled eggs, Cucumber and Cream Cheese Sandwiches, Moroccan Mint Tea," Veggie Enchilada Casserole - 400 calories/portion, 4 portions, Origin"
32,350.0,100.0,180.0,20.0,300.0," Greek spanakopita (spinach pie) with phyllo dough (350kcals per portion, 2 portions, origin", Rice Cake with Hummus and Cucumber, Mediterranean Couscous Salad, Moroccan Mint Tea, Lentil Soup with Bread
33,400.0,110.0,200.0,20.0,312.0," Iraqi masgouf (grilled fish) with flatbread - 400 calories per portion, 2 portions, contains gluten, origin", Moroccan-style boiled eggs," Smoothie bowl (banana, spinach, almond milk, toppings)", Moroccan Mint Tea, Vegan Kung Pao Tofu
34,200.0,80.0,180.0,20.0,400.0, Avocado Toast, Fresh Watermelon Slices - Approx," Baked Falafel Salad - 180 kcals per portion, 4 portions, allergic warning (sesame), origin", Moroccan Mint Tea, Tofu and Vegetable Stir-Fry
35,150.0,100.0,150.0,20.0,400.0," Vegemite on toast - 150 calories per portion, 1 portion, contains gluten, origin", Zesty Lime Popcorn - Approx, Roasted Garlic and Tomato Crostini, Moroccan Mint Tea," British Vegan Mushroom Wellington (400 calories/portion, 2 portions) - United Kingdom

"
36,220.0,100.0,200.0,20.0,350.0," Vegetable frittata - 220 calories per portion, 4 portions, no allergic warnings, origin", Boiled chickpeas, Mini chicken empanadas, Moroccan Mint Tea," Szechuan Shrimp - 350 calories per portion, 4 portions, contains shellfish, Origin"
37,400.0,100.0,300.0,20.0,400.0," Apple cinnamon baked oatmeal (400kcals per portion, 2 portions)
", Roasted Edamame, Veggie Nachos, Moroccan Mint Tea," Herb-marinated grilled chicken with roasted potatoes - 400 kcals per portion, 4 portions, gluten-free
"
38,700.0,100.0,180.0,20.0,350.0," English breakfast (eggs, bacon, sausage, beans, tomato) - 700 calories per portion, 2 portions, no allergic warnings, origin", Chilled Gazpacho Soup - Approx, Fruit and Yogurt Parfait, Moroccan Mint Tea, Vegan Pad See Ew
39,200.0,120.0,140.0,20.0,400.0, Veggie Breakfast Pizza Rolls, Sautéed Brussels Sprouts," Vegan Sweet Potato Wedges - 140 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Mushroom and truffle risotto - 400 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
40,450.0,120.0,200.0,20.0,450.0," Norwegian smoked salmon and cream cheese bagel (450kcals per portion, 1 portion, origin", Roasted Chickpeas," Apple Cinnamon Muffins - 200 kcals per portion, 3 portions, contains gluten (USA)", Moroccan Mint Tea," Lemon herb grilled salmon with quinoa and roasted vegetables – 450 calories per portion, 2 portions, contains fish
"
41,200.0,80.0,150.0,20.0,400.0, Veggie Breakfast Wrap with Tofu Scramble, Fruit Salad, Bruschetta with Tomato and Basil, Moroccan Mint Tea, Stuffed Mushrooms
42,350.0,120.0,150.0,20.0,200.0," Moroccan baghrir (semolina pancakes) with honey and melted butter (350kcals per portion, 2 portions, origin", Cinnamon Sugar Pretzels, Bruschetta, Moroccan Mint Tea," Italian Vegan Garlic Bread (200 calories/portion, 2 portions) - Italy
"
43,450.0,80.0,200.0,20.0,250.0," Breakfast tacos - 450 calories per portion, 2 portions, contains gluten, origin", Fresh Watermelon Slices - Approx," Vegan Pumpkin Pancakes - 200 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Vegan Fettuccine Alfredo
