,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,450.0,90.0,340.0,450.0,320.0, Vegan Breakfast Lassi, Quinoa Energy Bites, Vegan Nachos," Falafel Wrap with Tahini Sauce
Total calories per portion", Thai Noodle Salad
2,300.0,90.0,380.0,400.0,300.0, Vegan Chocolate Protein Shake - 300 calories per portion | 1 portion | None | Origin, Quinoa Energy Bites, Vegan Chocolate Chip Cookies, Vegan Portobello Mushroom Burger, Sweet Potato and Lentil Curry
3,300.0,90.0,200.0,400.0,250.0, Vegan Oatmeal Raisin Cookies, Stuffed Dates," Vegan Peanut Butter Banana Smoothie - 200 kcals per portion, 4 portions, allergic warning (peanuts), origin", Vegan Paella," Vegan Black Bean Soup - 250 calories per portion, 3 portions, may contain gluten"
4,300.0,90.0,150.0,300.0,350.0, Vegan Pumpkin Muffins - 300 calories per portion | 2 portions | Contains gluten | Origin, Quinoa Energy Bites," Zucchini Fritters - 150 kcals per portion, 4 portions, no allergic warnings, origin"," Middle Eastern Falafel Salad
Total calories per portion"," Vegan Stir-Fried Noodles - 350 calories per portion, 4 portions, None, Various
"
5,250.0,90.0,160.0,250.0,250.0, Vegan Berry Parfait - 250 calories per portion | 2 portions | Contains nuts | Origin, Stuffed Dates," Vegan Spinach and Mushroom Tartlets - 160 kcals per portion, 4 portions, no allergic warnings, origin", Chickpea and Avocado Salad, Portobello Mushroom Burger
6,200.0,80.0,90.0,300.0,200.0, Overnight Oats - 200 calories per portion | 2 portions | Contains gluten | Origin, Fruit Salad," Caprese Skewers with Vegan Mozzarella - 90 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Singapore Noodles, Mexican Street Corn Salad
7,350.0,90.0,240.0,300.0,250.0, Quinoa Porridge - 350 calories per portion | 1 portion | Contains nuts | Origin, Stuffed Dates, Vegan Stuffed Portobello Mushrooms, Sweet Potato and Black Bean Chili, Roasted Vegetable Salad
8,300.0,80.0,150.0,200.0,350.0, Vegan Almond Butter Toast - 300 calories per portion | 1 portion | Contains nuts | Origin, Stuffed Dates," Caponata Bruschetta - 150 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Creamy Broccoli Soup, Veggie Burger
9,150.0,90.0,180.0,550.0,250.0, Vegan Breakfast Fajitas, Stuffed Dates," Spinach and Mushroom Quesadillas - 180 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Thai Basil Fried Rice
Total calories per portion", Moroccan Chickpea Stew
10,400.0,90.0,640.0,400.0,400.0, Vegan Breakfast Quesadilla - 400 calories per portion | 1 portion | Contains gluten | Origin, Quinoa Energy Bites, Vegan Ratatouille," Thai Coconut Curry Noodles
Total calories per portion"," Greek Vegan Moussaka (400 calories/portion, 2 portions) - Greece

"
11,400.0,80.0,200.0,400.0,350.0, Vegan Breakfast Tamales - 400 calories per portion | 1 portion | Contains gluten | Origin, Fruit Salad, Vegan Chocolate Covered Strawberries, Vegan Pasta Primavera," Lentil Coconut Curry - 350 calories per portion, 4 portions, None, India
"
12,400.0,80.0,160.0,200.0,383.0, Vegan Breakfast Burrito - 400 calories per portion | 1 portion | None | Origin, Fruit Salad," Vegan Samosas - 160 kcals per portion, 4 portions, no allergic warnings, origin", Quinoa Stuffed Mushrooms, Falafel Burger
13,350.0,80.0,140.0,400.0,400.0, Vegan Savory Breakfast Muffins - 350 calories per portion | 1 portion | Contains gluten | Origin, Fruit Salad," Vegan Lemon Bars - 140 kcals per portion, 4 portions, no allergic warnings, origin", Vegetable Curry with Rice," Vegan Fettuccine Alfredo - 400 calories per portion, 4 portions, Gluten, Italy
"
14,150.0,80.0,200.0,300.0,350.0, Vegan Energy Balls - 150 calories per portion | 2 portions | Contains nuts | Origin, Fruit Salad," Vegan Strawberry Banana Smoothie - 200 kcals per portion, 4 portions, no allergic warnings, origin"," Mexican Street Corn Salad
Total calories per portion", Moroccan Vegetable Tagine
15,250.0,90.0,500.0,300.0,300.0, Vegan Coconut Yogurt with Fruit - 250 calories per portion | 1 portion | None | Origin, Quinoa Energy Bites, Roasted Vegetable Skewers, Black Bean and Vegetable Quesadillas, Vegan Sloppy Joes
16,50.0,90.0,120.0,350.0,250.0, Vegan Breakfast Smoothie, Stuffed Dates," Vegan Spinach and Mushroom Frittata - 120 kcals per portion, 4 portions, no allergic warnings, origin", Vegan BBQ Sandwich, Vegan Soba Noodle Salad
17,350.0,90.0,100.0,450.0,200.0, Vegan Blueberry Acai Smoothie Bowl - 350 calories per portion | 1 portion | None | Origin, Quinoa Energy Bites," Vegan Energy Balls - 100 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Mac and Cheese
Total calories per portion"," Vegan Buffalo Cauliflower Wings - 200 calories per portion, 4 portions, None, United States
"
18,400.0,80.0,240.0,400.0,400.0, Vegan Breakfast Spanakopita, Fruit Salad, Veggie Sushi Rolls, Vegan Pad Thai, Vegan Mapo Tofu
19,250.0,90.0,540.0,400.0,250.0, Vegan Cinnamon Apple Oatmeal - 250 calories per portion | 2 portions | None | Origin, Stuffed Dates, Stuffed Bell Peppers, Vegan Bibimbap, Black Bean Quinoa Salad
20,50.0,90.0,130.0,400.0,294.0, Vegan Breakfast Stuffed Tomatoes, Stuffed Dates," Stuffed Mini Portobello Mushrooms - 130 kcals per portion, 4 portions, no allergic warnings, origin", Chickpea and Mushroom Stir-Fry, Vegan Lentil Sloppy Joes
21,350.0,90.0,160.0,400.0,300.0, Vegan Breakfast Croissant, Stuffed Dates," Vegan Raspberry Bars - 160 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Paella, Vegan Sloppy Joes
22,200.0,80.0,160.0,400.0,350.0, Vegan Matcha Chia Pudding - 200 calories per portion | 1 portion | None | Origin, Stuffed Dates," Vegan Samosas - 160 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Black Bean and Quinoa Salad
Total calories per portion", Vegan Shepherd's Pie
23,300.0,80.0,160.0,400.0,332.0, Fruit Smoothie Bowl - 300 calories per portion | 1 portion | None | Origin, Fruit Salad, Vegan Spinach and Mushroom Puff Pastry," Vegan Thai Red Curry Noodle Soup
Total calories per portion", Vegan Bolognese
24,150.0,90.0,90.0,550.0,220.0, Vegan Breakfast Fajitas, Stuffed Dates," Vegan Caprese Salad Skewers - 90 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Thai Basil Fried Rice
Total calories per portion", Quinoa and Vegetable Stir Fry
25,100.0,90.0,600.0,200.0,345.0, Vegan Breakfast Steamed Buns, Stuffed Dates, Vegan Indonesian Gado Gado, Vegan Caesar Salad, Eggplant Parmesan
26,300.0,90.0,80.0,400.0,225.0, Vegan Chocolate Protein Shake - 300 calories per portion | 1 portion | None | Origin, Quinoa Energy Bites, Vegan Peanut Butter Energy Bars, Vegan Thai Basil Tofu Stir-Fry, Vegan Stuffed Mushrooms
27,400.0,90.0,700.0,300.0,350.0, Vegan Peanut Butter Banana Wrap - 400 calories per portion | 1 portion | Contains nuts | Origin, Stuffed Dates, Vegan Pad Thai, Spicy Eggplant Stir-Fry," Vegan Thai Coconut Soup - 350 calories per portion, 2 portions, may contain soy"
28,250.0,80.0,160.0,450.0,300.0, Sweet Potato Toast - 250 calories per portion | 1 portion | None | Origin, Fruit Salad," Vegan Coconut Curry Rice Balls - 160 kcals per portion, 4 portions, no allergic warnings, origin"," Mexican Quinoa Stuffed Peppers
Total calories per portion", Vegetable Curry
29,350.0,80.0,160.0,200.0,300.0, Vegan Breakfast Baked Potato - 350 calories per portion | 1 portion | None | Origin, Fruit Salad," Vegan Spinach and Mushroom Tartlets - 160 kcals per portion, 4 portions, no allergic warnings, origin"," Spanish Gazpacho
Total calories per portion"," Moroccan Lentil Soup (300 calories/portion, 4 portions) - Morocco
"
30,400.0,80.0,200.0,400.0,350.0, Vegan Spinach and Mushroom Breakfast Wrap - 400 calories per portion | 1 portion | None | Origin, Fruit Salad," Vegan Baked Raspberry Oatmeal - 200 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Thai Pineapple Fried Rice, Vegan Mac and Cheese
31,250.0,90.0,130.0,500.0,300.0, Vegan Breakfast Bruschetta - 250 calories per portion | 2 portions | Contains gluten | Origin, Stuffed Dates," Veggie Sushi Rolls with Spicy Tofu - 130 kcals per portion, 4 portions, no allergic warnings, origin"," Black Bean Quesadillas with Guacamole
Total calories per portion"," Lentil Tacos - 300 calories per portion, 4 portions, None, Mexico
"
32,300.0,90.0,140.0,350.0,250.0, Vegan Sweet Potato Pancakes - 300 calories per portion | 1 portion | Contains gluten | Origin, Quinoa Energy Bites," Vegan Greek Salad - 140 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Spanish Gazpacho, Cucumber Avocado Sushi Rolls
33,350.0,80.0,150.0,350.0,350.0, Vegan Mushroom and Spinach Omelette - 350 calories per portion | 1 portion | None | Origin, Fruit Salad," Cucumber and Avocado Sushi Rolls - 150 kcals per portion, 4 portions, allergic warning (avocado), origin", Vegan Gyros, Chickpea Salad Sandwich
34,400.0,90.0,140.0,300.0,250.0, Vegan French Toast, Stuffed Dates," Roasted Beetroot Dip with Pita Bread - 140 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Spanish Paella, Ratatouille-Stuffed Tomatoes
35,450.0,80.0,120.0,350.0,300.0, Vegan Breakfast Enchiladas - 450 calories per portion | 1 portion | Contains gluten | Origin, Stuffed Dates," Roasted Cauliflower Bites - 120 kcals per portion, 4 portions, no allergic warnings, origin"," Lentil Curry with Coconut Milk
Total calories per portion", Vegan Quesadillas
36,300.0,80.0,200.0,400.0,250.0, Vegan Apple Cinnamon Quinoa - 300 calories per portion | 1 portion | None | Origin, Fruit Salad, Vegan Chocolate Covered Strawberries," Thai Curry Noodle Soup
Total calories per portion"," Mediterranean Quinoa Salad (250 calories/portion, 2 portions) - Greece
"
37,400.0,90.0,130.0,300.0,400.0, Vegan Breakfast Quesadilla - 400 calories per portion | 1 portion | Contains gluten | Origin, Quinoa Energy Bites," Oven-Baked Sweet Potato Fries - 130 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Chili, Vegan Paella
38,50.0,90.0,130.0,350.0,250.0, Vegan Breakfast Smoothie, Stuffed Dates," Baked Falafel with Tahini Sauce - 130 kcals per portion, 4 portions, allergic warning (sesame), origin", Vegan BBQ Jackfruit Sandwich, Ratatouille-Stuffed Tomatoes
39,400.0,90.0,90.0,350.0,300.0, Vegan Breakfast Skillet, Stuffed Dates," Vegan Caprese Salad Skewers - 90 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Moroccan Chickpea Salad
Total calories per portion"," Vegan Mushroom Stroganoff - 300 calories per portion, 2 portions, may contain gluten"
40,350.0,80.0,150.0,250.0,400.0, Vegan Breakfast Sandwich - 350 calories per portion | 1 portion | Contains gluten | Origin, Stuffed Dates," Zucchini Fritters - 150 kcals per portion, 4 portions, no allergic warnings, origin"," Italian Minestrone Soup
Total calories per portion", Falafel Wrap
41,250.0,80.0,140.0,250.0,317.0, Vegan Breakfast Bruschetta, Stuffed Dates," Mexican Street Corn Salad - 140 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Mushroom and Spinach Lasagna, Vegan Paella
42,400.0,90.0,180.0,300.0,400.0, Vegan Breakfast Fried Rice, Quinoa Energy Bites," Vegan Nachos with Salsa - 180 kcals per portion, 4 portions, no allergic warnings, origin", Spicy Eggplant Stir-Fry," Vegan Pad Thai - 400 calories per portion, 2 portions, Soy and peanuts, Thailand
"
43,350.0,80.0,150.0,400.0,350.0, Vegan Sweet Potato Hash Browns - 350 calories per portion | 1 portion | None | Origin, Fruit Salad," Zucchini Fritters - 150 kcals per portion, 4 portions, no allergic warnings, origin"," Mexican Rice and Beans
Total calories per portion"," Lentil Walnut Loaf - 350 calories per portion, 4 portions, Nuts, Various
"
44,350.0,90.0,180.0,200.0,212.0, Vegan Apricot and Almond Granola Bars - 350 calories per portion | 1 portion | Contains nuts | Origin, Quinoa Energy Bites," Vegan Nachos with Salsa - 180 kcals per portion, 4 portions, no allergic warnings, origin", Greek Salad with Tofu, Vegan Caesar Salad
45,400.0,90.0,80.0,300.0,250.0, Vegan Breakfast Spanakopita, Stuffed Dates," Veggie Spring Rolls with Peanut Sauce - 80 kcals per portion, 4 portions, allergic warning (peanuts), origin", Lentil Burgers, Tofu Stir-Fry
46,250.0,90.0,150.0,300.0,300.0, Vegan Coconut Yogurt with Fruit - 250 calories per portion | 1 portion | None | Origin, Stuffed Dates," Cucumber and Avocado Sushi Rolls - 150 kcals per portion, 4 portions, allergic warning (avocado), origin", Vegan Korean Bibimbap," Japanese Vegan Sushi Bowl (300 calories/portion, 3 portions) - Japan
"
47,250.0,90.0,140.0,300.0,300.0, Vegan Chocolate Chia Seed Pudding - 250 calories per portion | 2 portions | None | Origin, Quinoa Energy Bites," Roasted Beetroot Dip with Pita Bread - 140 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Sweet and Sour Tofu," Moroccan Lentil Soup (300 calories/portion, 4 portions) - Morocco
"
48,450.0,80.0,130.0,350.0,220.0, Vegan Breakfast Muffins, Fruit Salad," Veggie Sushi Rolls with Quinoa - 130 kcals per portion, 4 portions, no allergic warnings, origin", Falafel Wrap," Quinoa Salad - 220 calories per portion, 4 portions, None, Peru
"
49,400.0,80.0,480.0,300.0,300.0, Vegan Breakfast Burrito - 400 calories per portion | 1 portion | None | Origin, Fruit Salad, Vegan Lentil Burgers, Sweet Potato and Black Bean Chili," Lentil Walnut Tacos - 300 calories per portion, 4 portions, Nuts, Mexico
"
50,350.0,90.0,500.0,300.0,350.0, Tofu Scramble, Quinoa Energy Bites, Roasted Vegetable Skewers, Chickpea and Vegetable Couscous, Mediterranean Couscous Stuffed Bell Peppers
51,350.0,90.0,400.0,350.0,250.0, Quinoa Porridge - 350 calories per portion | 1 portion | Contains nuts | Origin, Stuffed Dates, Vegan Tzatziki and Pita Bread, Quinoa and Black Bean Burrito Bowl, Ratatouille-Stuffed Zucchini
52,400.0,80.0,120.0,250.0,300.0, Vegan Cinnamon Rolls, Fruit Salad," Black Bean Salsa with Tortilla Chips - 120 kcals per portion, 4 portions, no allergic warnings, origin", Chickpea and Avocado Salad, Tofu and Vegetable Curry
53,350.0,90.0,70.0,400.0,331.0, Vegan Protein Pancakes - 350 calories per portion | 1 portion | Contains gluten | Origin, Stuffed Dates," Fruit Salad - 70 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Portobello Mushroom Burger, Vegan Tacos
54,400.0,80.0,680.0,350.0,400.0, Vegan Breakfast Stuffed Peppers - 400 calories per portion | 1 portion | None | Origin, Fruit Salad, Sweet and Sour Tofu, Sweet Potato and Black Bean Enchiladas," British Vegan Lentil Shepherd's Pie (400 calories/portion, 3 portions) - United Kingdom
"
55,450.0,80.0,100.0,400.0,300.0, Quinoa Breakfast Bowl, Stuffed Dates," Vegan Spinach and Artichoke Dip - 100 kcals per portion, 4 portions, no allergic warnings, origin"," Moroccan Couscous Salad
Total calories per portion", Vegan Tikka Masala
56,400.0,90.0,160.0,400.0,400.0, Vegan Quinoa Breakfast Skillet - 400 calories per portion | 1 portion | None | Origin, Quinoa Energy Bites," Sweet Potato and Black Bean Quesadillas - 160 kcals per portion, 4 portions, no allergic warnings, origin"," Moroccan Vegetable Tagine
Total calories per portion"," Vegan Pesto Pasta - 400 calories per portion, 4 portions, Gluten, Italy
"
57,350.0,90.0,180.0,250.0,350.0, Vegan Breakfast Baked Potato - 350 calories per portion | 1 portion | None | Origin, Stuffed Dates," Baked Falafel Salad - 180 kcals per portion, 4 portions, allergic warning (sesame), origin"," Vegan Cauliflower ""Steak""", Vegan Quiche
58,300.0,80.0,100.0,250.0,290.0, Vegan Breakfast Potato Hash - 300 calories per portion | 1 portion | None | Origin, Stuffed Dates," Vegan Spinach and Artichoke Dip - 100 kcals per portion, 4 portions, no allergic warnings, origin", Veggie Soba Noodles, Vegan Lentil Tacos
59,250.0,80.0,140.0,200.0,320.0, Vegan Breakfast Bruschetta, Fruit Salad," Cauliflower Buffalo Wings - 140 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Mushroom and Lentil Soup
Total calories per portion", Chickpea Salad Sandwich
60,300.0,90.0,320.0,350.0,300.0, Vegan Breakfast Parfait, Stuffed Dates, Quinoa Salad, Mediterranean Wrap, Spicy Lentil and Potato Curry
61,250.0,90.0,90.0,400.0,400.0, Vegan Cacao Banana Smoothie - 250 calories per portion | 2 portions | None | Origin, Quinoa Energy Bites," Bruschetta with Fresh Tomatoes and Basil - 90 kcals per portion, 4 portions, no allergic warnings, origin"," Veggie Tacos with Homemade Tortillas
Total calories per portion"," Mexican Vegan Quesadillas (400 calories/portion, 2 portions) - Mexico
"
62,150.0,80.0,560.0,250.0,300.0, Vegan Energy Balls - 150 calories per portion | 2 portions | Contains nuts | Origin, Stuffed Dates, Vegan Pancakes, Stuffed Bell Peppers, Quinoa-Stuffed Bell Peppers
