,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,90.0,120.0,300.0,250.0, Vegetable Scramble, Rice Paper Rolls, Granola Bar, Black bean and vegetable enchiladas, Vegan Swedish Meatballs
2,300.0,100.0,150.0,250.0,200.0, Vegetable Frittata, Cucumber Sandwiches," Stuffed Mini Bell Peppers - 150 kcals per portion, 4 portions, gluten-free (Various)"," Greek Fava Bean Dip - 250kcals per portion, 4 portions, no allergies, Origin"," Stuffed Portobello Mushrooms - 200 calories/portion, 2 portions, Origin"
3,250.0,100.0,150.0,400.0,320.0, Vegan Raspberry Almond Scones - 250 calories per portion | 2 portions | Contains gluten and nuts | Origin, Toasted Coconut Chips, Apple slices with peanut butter, Caprese Flatbread," Eggplant Curry - 320kcals per portion, 4 portions, contains spices (India)
"
4,250.0,120.0,150.0,250.0,300.0, Greek Yogurt Parfait Bowl, Almond Biscotti, Stuffed Bell Peppers, Lebanese Lentil Rice," Chana masala - 300 calories per portion, 4 portions, contains nuts (India)
"
5,300.0,100.0,220.0,400.0,285.0," Berry chia seed smoothie (300 calories per portion, 2 portions, nut-free, American origin)
", Fresh Fruit Salad, Chicken Tikka Skewers," Tomato and Mozzarella Salad - 400kcals per portion, 2 portions, contains dairy, Origin", Stuffed Bell Peppers
6,300.0,120.0,120.0,400.0,200.0," Congee (Chinese rice porridge) with century eggs - 300 calories per portion, 2 portions, no allergic warnings, origin", Kale Chips, Greek Yogurt Dip with Veggies, Chana Masala," Tofu and Broccoli Stir-Fry - 200 calories/portion, 4 portions, contains soy (China)
"
7,300.0,100.0,180.0,450.0,240.0, Quinoa Breakfast Bowl, Rice Cake with Hummus and Cucumber, Coconut Almond Energy Balls," Thai Peanut Noodles with Tofu - 450 calories
    - Total portions", Vegetable Fried Rice
8,300.0,120.0,160.0,350.0,300.0, Irish Soda Bread, Fruit Salsa with Cinnamon Chips, Roasted Eggplant Dip, Greek vegetable and feta burgers," Moroccan chickpea stew – 300 calories per portion, 5 portions, vegan-friendly
"
9,400.0,100.0,150.0,500.0,250.0," Dutch baby pancake with lemon and sugar - 400 calories per portion, 2 portions, contains gluten, origin", Tomato Basil Bruschetta," Energy Balls (Dates, Nuts, and Coconut)"," Greek Shrimp Saganaki - 500kcals per portion, 4 portions"," Falafel salad with tahini dressing - 250 calories per portion, 4 portions, contains gluten (Middle East)
"
10,250.0,100.0,50.0,400.0,270.0, Vegan Breakfast Pizza, Chilled Gazpacho, Fruit Salad, Spaghetti with marinara sauce and turkey meatballs, Mexican Quinoa Bowl
