,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,90.0,130.0,400.0,180.0, Vegan Peanut Butter Banana Smoothie - 300 calories per portion | 1 portion | Contains nuts | Origin, Stuffed Dates," Stuffed Mini Portobello Mushrooms - 130 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Tikka Masala, Vegan Ratatouille
2,250.0,250.0,200.0,400.0,250.0, Vegan Breakfast Crepes, Vegan Chocolate Banana Bread," Vegan Baked Raspberry Oatmeal - 200 kcals per portion, 4 portions, no allergic warnings, origin", Veggie Biryani," Vegan Korean Bibimbap - 250 calories per portion, 2 portions, may contain soy"
3,350.0,150.0,140.0,500.0,285.0, Vegan Protein Pancakes - 350 calories per portion | 1 portion | Contains gluten | Origin, Vegan Cinnamon Sugar Donuts," Vegan Sweet Potato Wedges - 140 kcals per portion, 4 portions, no allergic warnings, origin", Veggie Burger with Sweet Potato Fries, Stuffed Bell Peppers
4,200.0,250.0,150.0,350.0,250.0, Vegan Chocolate Chia Pudding - 200 calories per portion | 2 portions | None | Origin, Raspberries and Cream Oatmeal," Caponata Bruschetta - 150 kcals per portion, 4 portions, no allergic warnings, origin"," Vegetable Stir-Fry with Tofu
Total calories per portion"," Vegan Tofu Scramble - 250 calories per portion, 4 portions, None, Various
"
5,200.0,200.0,200.0,300.0,200.0, Overnight Chia Pudding, Vegan Protein Muffins," Vegan Baked Raspberry Oatmeal - 200 kcals per portion, 4 portions, no allergic warnings, origin"," Chickpea Curry
Total calories per portion"," Lentil Curry (200 calories/portion, 4 portions) - India
"
6,100.0,180.0,160.0,350.0,250.0, Vegan Breakfast Falafel, Veggie Sushi Rolls," Vegan Taco Lettuce Wraps - 160 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Teriyaki Vegetable Stir-Fry
Total calories per portion"," Stuffed Portobello Mushrooms - 250 calories per portion, 4 portions, None, Various
"
7,250.0,180.0,600.0,350.0,200.0, Vegan Oatmeal Raisin Overnight Oats - 250 calories per portion | 2 portions | Contains gluten | Origin, Pumpkin Energy Bars, Vegan Indonesian Gado Gado, Vegan Lentil Sloppy Joes," Italian Vegan Garlic Bread (200 calories/portion, 2 portions) - Italy
"
8,250.0,200.0,180.0,350.0,280.0, Vegan Chocolate Chia Seed Pudding - 250 calories per portion | 2 portions | None | Origin, Banana Bread Overnight Oats," Vegan Banana Bread - 180 kcals per portion, 4 portions, no allergic warnings, origin", Ratatouille Wrap, Chickpea and Vegetable Stew
9,250.0,200.0,200.0,400.0,220.0, Vegan Matcha Overnight Oats - 250 calories per portion | 2 portions | None | Origin, Vegan Spinach and Mushroom Mini Quiches," Vegan Mango Smoothie Bowl - 200 kcals per portion, 4 portions, no allergic warnings, origin", Chickpea Curry, Lentil and Vegetable Stir Fry
10,350.0,150.0,440.0,300.0,200.0, Vegan Pear and Walnut Oatmeal - 350 calories per portion | 1 portion | Contains nuts | Origin, Chia Pudding, Vegan Roasted Red Pepper Dip, Sweet Potato and Black Bean Chili, Ratatouille
