|title|raw_text|meal_type|cultural_restriction
0| Fruit Salad|"1. Fruit Salad: 70 calories per portion, 4 portions, contains fruits only.
"|breakfast|vegan
1| Vegan Pancakes|"2. Vegan Pancakes: 150 calories per portion, 4 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan
2| Overnight Chia Pudding|"3. Overnight Chia Pudding: 200 calories per portion, 2 portions, contains nuts (almonds), Mexico.
"|breakfast|vegan
3| Avocado Toast|"4. Avocado Toast: 250 calories per portion, 2 portions, may contain gluten (check bread), Mexico.
"|breakfast|vegan
4| Vegan Omelette|"5. Vegan Omelette: 300 calories per portion, 1 portion, contains chickpea flour, India.
"|breakfast|vegan
5| Tofu Scramble|"6. Tofu Scramble: 350 calories per portion, 2 portions, contains soy, United States.
"|breakfast|vegan
6| Vegan French Toast|"7. Vegan French Toast: 400 calories per portion, 2 portions, may contain gluten (check bread), France.
"|breakfast|vegan
7| Quinoa Breakfast Bowl|"8. Quinoa Breakfast Bowl: 450 calories per portion, 2 portions, contains nuts (almonds) and soy, Peru.
"|breakfast|vegan
8| Vegan Breakfast Burrito|"9. Vegan Breakfast Burrito: 500 calories per portion, 1 portion, may contain gluten (check wrap), Mexico.
"|breakfast|vegan
9| Granola with Soy Milk|"10. Granola with Soy Milk: 550 calories per portion, 1 portion, contains nuts (varies by brand), United States.

"|breakfast|vegan
10| Vegan Waffles|"11. Vegan Waffles: 600 calories per portion, 3 portions, may contain gluten (check ingredients), Belgium.
"|breakfast|vegan
11| Vegan Breakfast Sandwich|"12. Vegan Breakfast Sandwich: 650 calories per portion, 1 portion, may contain gluten (check bread), United States.
"|breakfast|vegan
12| Acai Bowl|"13. Acai Bowl: 700 calories per portion, 1 portion, contains nuts (granola and toppings), Brazil.
"|breakfast|vegan
13| Vegan Breakfast Casserole|"14. Vegan Breakfast Casserole: 750 calories per portion, 6 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan
14| Vegan Sausage and Biscuits|"15. Vegan Sausage and Biscuits: 800 calories per portion, 2 portions, may contain gluten (check biscuits), United States.
"|breakfast|vegan
15| Vegan Breakfast Pizza|"16. Vegan Breakfast Pizza: 850 calories per portion, 4 portions, may contain gluten (check crust), Italy.
"|breakfast|vegan
16| Chickpea Flour Pancakes|"17. Chickpea Flour Pancakes: 900 calories per portion, 3 portions, may contain gluten (check ingredients), India.
"|breakfast|vegan
17| Vegan Breakfast Tacos|"18. Vegan Breakfast Tacos: 950 calories per portion, 2 portions, may contain gluten (check tortillas), Mexico.
"|breakfast|vegan
18| Tempeh Bacon and Hash Browns|"19. Tempeh Bacon and Hash Browns: 1000 calories per portion, 1 portion, contains soy, Indonesia.
"|breakfast|vegan
19| Vegan Breakfast Quiche|"20. Vegan Breakfast Quiche: 800 calories per portion, 4 portions, contains nuts (cashews), United States.

"|breakfast|vegan
20| Vegan Scones|"21. Vegan Scones: 700 calories per portion, 3 portions, may contain gluten (check ingredients), United Kingdom.
"|breakfast|vegan
21| Vegan Breakfast BLT|"22. Vegan Breakfast BLT: 600 calories per portion, 2 portions, may contain gluten (check bread), United States.
"|breakfast|vegan
