,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,200.0,180.0,20.0,450.0, Chia Seed Pudding Parfait, Turkish-style feta and tomato omelette, Black Bean Brownies, Moroccan Mint Tea," Roasted Vegetable and Goat Cheese Tart - 450 calories/portion, 4 portions, contains gluten and dairy (Various)
"
2,200.0,150.0,280.0,20.0,250.0," Spinach and feta breakfast muffins (200 calories per portion, 2 portions, contains dairy, Greek origin)
", Oatmeal Raisin Energy Bites, Cucumber and Avocado Sushi, Moroccan Mint Tea," Vegan Teriyaki Tofu - 250 calories per portion, 4 portions, Soy, Japan
"
3,400.0,80.0,200.0,20.0,300.0, Huevos Rancheros, Energy Balls, Vegetable Dumplings, Moroccan Mint Tea," Caprese Quinoa Bowls - 300 calories/portion, 4 portions, Origin"
4,300.0,150.0,420.0,20.0,150.0," Carrot cake oatmeal (300 calories per portion, 2 portions, nut-free, American origin)
", Fruit Smoothie, Vegan Potato Salad, Moroccan Mint Tea, Ratatouille
5,550.0,200.0,230.0,20.0,300.0, Vegan Breakfast Chili, Egg salad on whole wheat toast," Smoked Salmon Canapés - 230 kcals per portion, 4 portions, contains gluten, fish (Various)", Moroccan Mint Tea," Mexican Rice and Beans - 300 calories/portion, 4 portions, contains cilantro (Mexico)
"
6,300.0,180.0,80.0,20.0,350.0, Tomato and Basil Omelette, Vegan Zucchini Bread," Mini Vegetable Spring Rolls - 80 kcals per portion, 8 portions, contains gluten, soy (China)", Moroccan Mint Tea," Vegan Stir-Fried Noodles - 350 calories per portion, 4 portions, None, Various
"
7,300.0,100.0,300.0,20.0,400.0," Avocado toast - 300 calories per portion, 2 portions, may contain gluten, origin", Berry Chia Detox Water, Veggie Quesadillas, Moroccan Mint Tea, Vegan Carbonara
8,550.0,80.0,160.0,20.0,225.0, Eggs Benedict, Fruit Salad," Vegan Broccoli and Cheese Bites - 160 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Vegan Stuffed Mushrooms
9,300.0,100.0,200.0,20.0,420.0, Veggie Tofu Scramble Wrap - 300 calories per portion | 1 portion | None | Origin, Greek yogurt with berries, Greek yogurt and honey with walnuts, Moroccan Mint Tea," Spicy honey glazed shrimp with jasmine rice - 420 kcals per portion, 2 portions, contains shellfish
"
10,250.0,150.0,80.0,20.0,400.0, Vegan Beetroot and Apple Smoothie - 250 calories per portion | 2 portions | None | Origin, Sweet Berry Bruschetta - Approx, Mini stuffed bell peppers with cream cheese, Moroccan Mint Tea," Chickpea and spinach stew with crusty bread (400 calories per portion, 3 portions, vegan-friendly, origin"
11,350.0,180.0,250.0,20.0,400.0, Quinoa Porridge with Caramelized Bananas, Vegan Blueberry Scones, Mini chicken pot pies, Moroccan Mint Tea, Vegan Carbonara
12,550.0,180.0,320.0,20.0,400.0, Smoked Salmon Bagel Sandwich, Oatmeal Raisin Cookies, Greek Spanakopita, Moroccan Mint Tea," Quinoa and black bean burgers - 400 calories per portion, 4 portions, contains gluten
"
13,280.0,200.0,160.0,20.0,150.0," Avocado toast with smoked salmon (280 calories per portion, 2 portions, contains fish, American origin)
", Avocado Toast," Mini Spinach and Feta Quiches - 160 kcals per portion, 4 portions, contains dairy (Greece)", Moroccan Mint Tea, Minestrone Soup
14,400.0,50.0,220.0,20.0,256.0," Turkish breakfast (tomato, cucumber, olives, cheese, bread) - 400 calories per portion, 2 portions, contains gluten and dairy, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Halva - 220 kcals per portion, 6 portions, may contain sesame (Middle East)", Moroccan Mint Tea, Vegan BLT Sandwich
15,250.0,150.0,120.0,20.0,280.0, Vegan Oatmeal Raisin Overnight Oats - 250 calories per portion | 2 portions | Contains gluten | Origin, Greek Yogurt with Honey - Approx," Ceviche - 120 kcals per portion, 2 portions, contains fish (Peru)", Moroccan Mint Tea," Sweet Potato Curry - 280 calories per portion, 4 portions, None, India
"
16,350.0,200.0,280.0,20.0,300.0, Vegan Chocolate Peanut Butter Smoothie - 350 calories per portion | 1 portion | Contains nuts | Origin, Baked Falafel, Veggie Bruschetta Pizza, Moroccan Mint Tea," Chickpea Salad Sandwich - 300 calories per portion, 4 portions, Gluten, Various

"
17,150.0,200.0,180.0,20.0,350.0, Fruit Salad, Cheesy Broccoli Bites, Greek Tzatziki with Pita Bread, Moroccan Mint Tea," Chicken Noodle Stir-Fry - 350 calories per portion, 4 portions, contains gluten (soy sauce), Origin"
18,320.0,200.0,600.0,20.0,400.0," Baked eggs with spinach and mushrooms (320 calories per portion, 2 portions, nut-free, American origin)
", Cottage cheese and tomato on rye toast, Vegan Mushroom Risotto, Moroccan Mint Tea, Vegetable Curry with Basmati Rice
19,550.0,120.0,190.0,20.0,400.0, Sausage Gravy and Biscuits, Hummus with Veggies, Cucumber sushi rolls, Moroccan Mint Tea, Vegan Paella with Artichokes
20,300.0,200.0,800.0,20.0,380.0, Sweet Potato Hash Browns, Mango Coconut Chia Pudding - Approx, Vegan Spinach Artichoke Dip, Moroccan Mint Tea," Spinach and Cheese Stuffed Shells - 380kcals per portion, 4 portions, contains dairy
"
21,350.0,180.0,200.0,20.0,400.0," Muesli with yogurt and mixed fruits (350kcals per portion, 1 portion)
", Blueberry Quinoa Muffins, Banana Bread, Moroccan Mint Tea," Veggie Sushi Bowl - 400 calories/portion, 2 portions, Origin"
22,350.0,100.0,180.0,20.0,150.0, Vegan Chocolate Peanut Butter Smoothie - 350 calories per portion | 1 portion | Contains nuts | Origin," Apple Slices with Caramel Dip - 100kcals per portion, 2 portions
    Origin", Fruit and Yogurt Parfait, Moroccan Mint Tea," Caprese salad - 150 calories per portion, 4 portions, contains dairy (Italy)
"
23,250.0,200.0,140.0,20.0,400.0, Overnight Chia Oats, Oat Bars, Roasted Red Pepper Dip with Pita Chips, Moroccan Mint Tea, Black Bean Enchiladas
24,300.0,120.0,180.0,20.0,400.0, Baked Egg in Avocado, Roasted Chickpeas, Crispy Tofu Bites, Moroccan Mint Tea," Honey Sesame Chicken - 400 calories per portion, 4 portions, contains gluten (soy sauce), Origin"
25,380.0,100.0,150.0,20.0,320.0," Pancake roll-ups filled with peanut butter and bananas (380 calories per portion, 2 portions, contains nuts, American origin)
", Stuffed Dates - Approx," Tabbouleh Salad - 150 kcals per portion, 4 portions, contains gluten (Lebanon)", Moroccan Mint Tea," Beef stir-fry with broccoli and bell peppers - 320 kcals per portion, 4 portions, contains soy
"
26,200.0,200.0,120.0,20.0,250.0," Spinach and feta stuffed mushrooms - 200 calories per portion, 2 portions, contains dairy, origin", Chocolate Protein Balls, Spiced Roasted Chickpeas, Moroccan Mint Tea," Greek Tabbouleh Salad - 250 calories/portion, 4 portions, contains gluten (Greece)

"
27,380.0,150.0,140.0,20.0,400.0," Cinnamon apple quinoa bake (380 calories per portion, 2 portions, nut-free, American origin)
"," Chickpea Salad - 150kcals per portion, 2 portions
    Origin", Melon and Prosciutto Skewers, Moroccan Mint Tea," Greek Vegan Dolmades (400 calories/portion, 2 portions) - Greece
"
28,400.0,200.0,100.0,20.0,300.0, Vegan Breakfast Hand Pies, Banana bread, Stuffed Dates with Almond Butter, Moroccan Mint Tea," Peanut Noodle Salad - 300 calories per portion, 4 portions, Peanuts, Various
"
29,400.0,150.0,680.0,20.0,200.0, Chorizo Breakfast Burrito, Antipasto Skewers, Vegan Broccoli Cheddar Soup, Moroccan Mint Tea," Vegan Thai Yellow Curry - 200 calories per portion, 2 portions, may contain tofu"
30,250.0,150.0,200.0,20.0,300.0, Vegan Green Breakfast Bowl - 250 calories per portion | 2 portions | None | Origin, Antipasto Skewers, Chicken and Vegetable Spring Rolls, Moroccan Mint Tea," Quinoa-stuffed mushrooms – 300 calories per portion, 4 portions, vegetarian-friendly
"
31,400.0,200.0,250.0,20.0,350.0, Vegetable Omelette with Hash Browns, Mixed Nuts - Approx, Eggplant and feta bruschetta, Moroccan Mint Tea, Moroccan Vegetable Tagine
32,300.0,180.0,150.0,20.0,300.0, Country Style Potatoes with Veggies, Stuffed dates with almond butter, Roasted chickpeas, Moroccan Mint Tea," Chana masala - 300 calories per portion, 4 portions, contains nuts (India)
"
33,320.0,150.0,250.0,20.0,250.0," Sweet corn pancakes with tomato and avocado salsa (320 calories per portion, 2 portions, nut-free, American origin)
", Veggie Roll-Up, Greek Spanakopita Triangles, Moroccan Mint Tea, Veggie Stir-Fry
34,350.0,200.0,150.0,20.0,350.0, Vegan Breakfast Burrito, Mixed nuts and dried fruit, Peanut Butter Banana Roll-Ups, Moroccan Mint Tea, Vegan Burritos
35,400.0,200.0,200.0,20.0,345.0, Vegan Spinach and Mushroom Breakfast Wrap - 400 calories per portion | 1 portion | None | Origin, Cheesy Broccoli Bites, Fruit Kabobs with Chocolate Sauce, Moroccan Mint Tea, Eggplant Parmesan
36,400.0,180.0,80.0,20.0,250.0, Vegan Breakfast Sushi - 400 calories per portion | 1 portion | Contains soy | Origin, Falafel, Veggie Spring Rolls, Moroccan Mint Tea," Tomato and Basil Bruschetta - 250 calories per portion, 4 portions, contains gluten (bread), Origin"
37,350.0,200.0,120.0,20.0,220.0, Vegan Breakfast Burrito, Baked Falafel," Vegan Almond Butter Energy Balls - 120 kcals per portion, 4 portions, allergic warning (almonds), origin", Moroccan Mint Tea, Quinoa and Vegetable Stir Fry
38,500.0,150.0,180.0,20.0,450.0," American biscuits and gravy with sausage (500kcals per portion, 2 portions, pork allergies, origin", Chocolate Avocado Mousse, Mini vegetable quinoa bites, Moroccan Mint Tea, Chicken and Vegetable Skewers with Peanut Sauce
39,300.0,150.0,250.0,20.0,300.0, Savory Oatmeal with Vegetables, Vegan Chocolate Energy Balls, Baked Samosas, Moroccan Mint Tea, Mediterranean Veggie Pizza
40,400.0,150.0,120.0,20.0,200.0, Vegan Breakfast Tostadas - 400 calories per portion | 1 portion | Contains soy | Origin, Oatmeal Raisin Cookies," Chia Pudding with Fresh Berries - 120 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Italian Vegan Garlic Bread (200 calories/portion, 2 portions) - Italy
"
41,650.0,180.0,160.0,20.0,300.0, Vegan Breakfast Sandwich, Vegan Blueberry Scones," Mini Spinach and Feta Quiches - 160 kcals per portion, 4 portions, contains dairy (Greece)", Moroccan Mint Tea, Tofu and Vegetable Curry
42,400.0,120.0,200.0,20.0,180.0," Shakshuka with crusty bread (400 calories per portion, 2 portions, contains eggs, Israeli origin)
", Greek Stuffed Grape Leaves, Mini Quiches, Moroccan Mint Tea, Rainbow Salad
43,350.0,150.0,350.0,20.0,150.0," Egg and cheese breakfast sandwich - 350 calories per portion, 2 portions, contains gluten and dairy, origin"," Assorted Mini Muffins - 150kcals per portion, 2 portions
    Origin", Quinoa salad, Moroccan Mint Tea," Lentil Soup - 150 calories per portion, 6 portions, None, Various
"
44,150.0,200.0,180.0,20.0,450.0, Vegan Breakfast Fajitas," Grilled Halloumi Skewers - 200kcals per portion, 1 portion
    Origin"," Blueberry Oatmeal Muffins - 180 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Chickpea Tacos
45,250.0,150.0,90.0,20.0,450.0, Vegan Breakfast Pizza, Fruit Smoothie, Zucchini fritters, Moroccan Mint Tea, Veggie Pad Thai
46,400.0,120.0,600.0,20.0,350.0," Polish jajecznica (scrambled eggs with kielbasa) - 400 calories per portion, 2 portions, no allergic warnings, origin", Raspberry Chia Seed Jam, Vegan Shepherd's Pie, Moroccan Mint Tea," Lentil Tacos - 350kcals per portion, 4 portions, contains legumes (Mexico)
"
47,400.0,200.0,160.0,20.0,400.0," Shakshuka with crusty bread (400 calories per portion, 2 portions, contains eggs, Israeli origin)
", Green Tea Infused Overnight Oats - Approx," Chickpea Salad Lettuce Wraps - 160 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Eggplant Parmesan - 400 calories/portion, 4 portions, Origin"
48,300.0,120.0,460.0,20.0,350.0," Egyptian ful medames (fava bean dish) with olive oil and lemon (300kcals per portion, 2 portions, origin", Tomato and Basil Bruschetta, Veggie Tacos, Moroccan Mint Tea," Vegetarian sushi rolls with avocado and cucumber – 350 calories per portion, 4 portions, vegetarian-friendly (origin"
49,180.0,160.0,200.0,20.0,250.0, Overnight Chia Pudding, Tomato and mozzarella skewers, Stuffed grape leaves with rice and herbs, Moroccan Mint Tea, Veggie Stir-Fry
50,250.0,150.0,300.0,20.0,280.0," Banana walnut muffins (250 calories per portion, 2 portions, contains nuts, American origin)
", Rice Cake with Peanut Butter, Mini Pita Pizzas, Moroccan Mint Tea," Herb-crusted baked tofu with roasted vegetables – 280 calories per portion, 3 portions, vegan-friendly
"
51,300.0,200.0,150.0,20.0,200.0, Savory Oatmeal with Vegetables, Vegan Protein Bars, Bruschetta with Tomato and Basil, Moroccan Mint Tea," Caprese Skewers - 200 calories/portion, 4 portions, contains dairy (Italy)
"
52,550.0,150.0,160.0,20.0,300.0, Granola with Soy Milk, Zucchini Fritters," Cinnamon Sugar Pretzels - 160 kcals per portion, 3 portions, contains gluten (USA)", Moroccan Mint Tea," Chinese Vegan Tomato and Tofu Soup (300 calories/portion, 4 portions) - China
"
53,160.0,150.0,210.0,20.0,300.0," Scrambled eggs with spinach and feta (160 calories per portion, 2 portions, contains dairy, Greek origin)
"," Baked Zucchini Fries - 150kcals per portion, 2 portions
    Origin"," Mini Cheese Balls - 210 kcals per portion, 4 portions, contains dairy (Various)", Moroccan Mint Tea, Ratatouille Stuffed Portobello Mushrooms
54,400.0,150.0,680.0,20.0,350.0," American pancakes with maple syrup - 400 calories per portion, 2 portions, contains gluten and dairy, origin", Baked Apple with Cinnamon, Vegan Protein Bars, Moroccan Mint Tea," Stuffed bell peppers with quinoa and black beans - 350 kcals per portion, 4 portions, vegetarian, gluten-free
"
55,350.0,70.0,760.0,20.0,305.0," Pancetta and mushroom omelette (350 calories per portion, 2 portions, nut-free, Italian origin)
", Fresh Fruit Salad, Moroccan Couscous, Moroccan Mint Tea, Vegan Baked Ziti
