,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,120.0,580.0,150.0,250.0," Fruit smoothie bowl topped with granola (250kcals per portion, 2 portions, nut allergies, origin", Tomato and Basil Bruschetta, Falafel with Tahini Sauce, Tom Yum Soup," Veggie Burrito Bowl - 250 calories/portion, 4 portions, Origin"
2,250.0,100.0,200.0,150.0,250.0, Tropical Smoothie, Cucumber Rolls with Hummus - Approx," Vegan Mango Smoothie Bowl - 200 kcals per portion, 4 portions, no allergic warnings, origin", Cabbage Stir-Fry, Quinoa Veggie Stir-Fry
3,300.0,100.0,200.0,20.0,200.0, Egg White Omelette with Veggies, Rice Paper Spring Rolls, Vegetable Couscous Salad, Moroccan Mint Tea," Greek stuffed bell peppers - 200 calories per portion, 4 portions, none (Greece)
"
4,300.0,100.0,120.0,100.0,200.0, Greek Yogurt Parfait, Fresh Fruit Salad, Hummus and Pita, Israeli salad, Mexican Rice Bowl
5,350.0,100.0,80.0,150.0,220.0," Pita bread with hummus and vegetables - 350 calories per portion, 2 portions, contains gluten, origin"," Dates Stuffed with Almond Butter - 100kcals per portion, 2 portions
    Origin"," Chocolate Dipped Strawberries - 80 kcals per portion, 4 portions, contains dairy (USA)", Lentil and Vegetable Soup," Greek Lemon Potatoes - 220kcals per portion, 4 portions
"
6,300.0,100.0,150.0,150.0,200.0," Baked beans on toast - 300 calories per portion, 2 portions, contains gluten, origin", Vegetable Crudité with Hummus, Veggie Kabobs, Spinach and cheese stuffed tomatoes," Miso soup with tofu and seaweed – 200 calories per portion, 6 portions, vegan-friendly (origin"
7,320.0,60.0,250.0,150.0,200.0," Yogurt pancakes with mixed berries (320 calories per portion, 2 portions, contains dairy, American origin)
", Cucumber and tomato salad, Sweet Potato and Black Bean Wraps," Caponata - 150kcals per portion, 4 portions, no allergies, Origin"," Mexican Vegan Guacamole (200 calories/portion, 4 portions) - Mexico
"
8,350.0,120.0,140.0,150.0,250.0," Greek spanakopita (spinach pie) with phyllo dough (350kcals per portion, 2 portions, origin", Cottage Cheese with Sliced Tomato, Blueberry Oat Bars, Spinach and mushroom frittata," Ratatouille tart - 250 calories per portion, 6 portions, contains gluten (France)
"
9,250.0,100.0,80.0,150.0,250.0, Middle Eastern Shakshuka, Fresh Juice - Approx, Cucumber Bites," Grilled Vegetable Skewers - 150kcals per portion, 4 portions", Vegan Tacos
10,250.0,110.0,100.0,150.0,240.0, Vegan Blueberry Chia Pancakes, Moroccan-style boiled eggs, Veggie Pinwheels, Lentil and Vegetable Soup, Spaghetti Aglio e Olio
11,300.0,100.0,300.0,150.0,200.0, Vegan Peanut Butter Banana Smoothie - 300 calories per portion | 1 portion | Contains nuts | Origin, Fruit Smoothie Popsicles - Approx, Mini Beef Empanadas, Spanish Gazpacho," Spinach and Feta Stuffed Peppers - 200 calories/portion, 4 portions, Origin"
12,350.0,80.0,200.0,150.0,250.0," Veggie fajita scramble with tofu (350 calories per portion, 2 portions, nut-free, Mexican origin)
", Fresh Squeezed Orange Juice, Antipasto Skewers, Grilled Chicken Salad," Mediterranean Quinoa Salad (250 calories/portion, 2 portions) - Greece
"
13,250.0,80.0,120.0,150.0,250.0," Cereal with milk and sliced strawberries (250kcals per portion, 1 portion, lactose allergies)
", Fruit Salad, Tabbouleh Salad," Greek Salad - 150 calories
   - Total portions", Lebanese Tabbouleh
14,350.0,120.0,120.0,150.0,250.0," Greek spanakopita (spinach pie) with phyllo dough (350kcals per portion, 2 portions, origin", Kale Chips, Tomato Basil Bruschetta, Spinach and cheese stuffed tomatoes," Spinach and feta stuffed phyllo rolls - 250 calories per portion, 4 portions, contains gluten and dairy (Greece)
"
15,350.0,50.0,90.0,20.0,200.0, Vegan Breakfast Pizza - 350 calories per portion | 1 portion | Contains gluten | Origin," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Watermelon Feta Bites, Moroccan Mint Tea," Caprese Stuffed Avocado - 200 calories/portion, 4 portions, contains dairy (Italy)
"
16,300.0,120.0,90.0,150.0,180.0, Raspberry Peach Chia Pudding, Greek Stuffed Grape Leaves, Shrimp cocktail, Greek Tzatziki Dip with Pita," Greek salad - 180 calories per portion, 4 portions, contains dairy (Greece)
"
17,250.0,100.0,440.0,150.0,250.0, Cucumber Sandwich, Caprese Skewers, Vegan Chili, Butternut squash soup, Lentil Buddha Bowl
18,350.0,80.0,200.0,150.0,150.0," Apple cinnamon overnight French toast (350 calories per portion, 2 portions, nut-free, American origin)
", Fruit Salad, Almond Butter Banana Toast, Veggie Spring Rolls," Feta and spinach stuffed tomatoes - 150 calories per portion, 6 portions, contains dairy (Greece)
"
19,250.0,70.0,120.0,150.0,200.0, Greek Yogurt with Honey and Nuts, Kale chips, Spinach and Feta Pinwheels, Grilled Chicken Salad," Lentil Soup - 200 calories/portion, 6 portions, Origin"
20,300.0,120.0,250.0,150.0,200.0, Feta and Spinach Muffins, Bruschetta with Tomato and Basil, Sweet Potato and Black Bean Wraps, Lentil Soup," Spinach and Goat Cheese Stuffed Tomatoes - 200 calories/portion, 4 portions, Origin"
21,350.0,80.0,520.0,150.0,250.0," Veggie breakfast burrito with black beans (350 calories per portion, 2 portions, nut-free, Mexican origin)
", Fruit Salad, Vegan Spinach and Artichoke Crostini," Grilled Vegetable Skewers - 150kcals per portion, 4 portions"," Indian Vegan Masoor Dal (250 calories/portion, 4 portions) - India
"
22,350.0,120.0,200.0,150.0,260.0, Vegan Breakfast Burrito, Roasted Chickpeas, Avocado Toast," Lentil Soup - 150kcals per portion, 6 portions", Mexican Stuffed Zucchini
23,250.0,100.0,90.0,150.0,250.0, Cheesy Spinach Pita Pocket, Energy Balls - Approx, Vegetable Spring Rolls, Butternut squash soup," Stuffed Portobello Mushrooms - 250 calories per portion, 4 portions, None, Various
"
