,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,60.0,190.0,120.0,182.0, Mushroom and Spinach Vegan Quiche, Fruit Salad - Approx, Mini Falafel Bites," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Carrot and Ginger Soup
2,300.0,90.0,200.0,120.0,250.0," Turkish menemen (egg and vegetable scramble) - 300 calories per portion, 2 portions, no allergic warnings, origin", Turkish-style boiled eggs, Caramelized Onion and Gruyere Tart," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Black Bean Tacos - 250 calories/portion, 4 portions, Origin"
3,300.0,80.0,180.0,20.0,250.0, Blueberry Banana Breakfast Bars, Fruit Salad, Spinach and Feta Pastry Triangles, Moroccan Mint Tea, Vegan Zucchini Bread
4,450.0,50.0,50.0,120.0,300.0," Lebanese markouk bread with za'atar and olive oil (450kcals per portion, 2 portions, origin", Baked Apple Chips - Approx, Fruit Salad," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Baked Ziti - 300 calories/portion, 4 portions, Origin"
5,250.0,80.0,150.0,20.0,250.0, Vegan Chocolate Banana Chia Pudding - 250 calories per portion | 2 portions | None | Origin, Cheesy Popcorn," Energy Balls (Dates, Nuts, and Coconut)", Moroccan Mint Tea," Greek Tabbouleh Salad - 250 calories/portion, 4 portions, contains gluten (Greece)

"
6,150.0,80.0,520.0,120.0,290.0," Vegemite on toast - 150 calories per portion, 1 portion, contains gluten, origin", Hard-Boiled Eggs, Vegan Thai Coconut Curry Soup," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Vegan Lentil Tacos
7,200.0,80.0,120.0,120.0,240.0, Vegan Oatmeal Raisin Cookies - 200 calories per portion | 2 portions | Contains gluten | Origin, Hard-Boiled Eggs," Roasted Chickpeas - 120 kcals per portion, 4 portions, no allergic warnings, origin"," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Caprese Stuffed Avocado - 240kcals per portion, 4 portions, contains dairy (Italy)
"
8,250.0,60.0,150.0,120.0,300.0, Vegan Breakfast Sushi Rolls, Cucumber and tomato salad, Veggie Kabobs," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Chinese Sesame Noodles (300 calories/portion, 4 portions) - China
"
9,350.0,80.0,80.0,20.0,280.0," Nigerian akara (bean fritters) with tomato sauce (350kcals per portion, 2 portions, origin", Fruit Salad, Stuffed Dates with Almond Butter, Moroccan Mint Tea, Vegan Quiche
10,300.0,70.0,160.0,20.0,200.0, Vegan Breakfast Potato Hash - 300 calories per portion | 1 portion | None | Origin, Fresh Fruit Salad, Vegan Spinach and Mushroom Puff Pastry, Moroccan Mint Tea, Lebanese Fattoush Salad
