,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,250.0,160.0,20.0,200.0, Chorizo Breakfast Burrito, Veggie Fajitas," Mini Pizza Bagels - 160 kcals per portion, 4 portions, contains gluten, dairy (USA)", Moroccan Mint Tea," Tofu Stir-Fry - 200 calories per portion, 4 portions, Soy, China
"
2,250.0,150.0,80.0,20.0,300.0, Yogurt Parfait, Tomato Bruschetta, Asian Cucumber Salad, Moroccan Mint Tea, Vegan Lentil Tacos
3,350.0,150.0,90.0,20.0,200.0, Vegan Breakfast Banana Bread, Mozzarella Sticks," Miso Soup - 90 kcals per portion, 4 portions, contains soy (Japan)", Moroccan Mint Tea," Minestrone soup - 200 calories per portion, 6 portions, contains gluten (Italy)
"
4,200.0,250.0,90.0,20.0,300.0, Vegan Green Smoothie - 200 calories per portion | 2 portions | None | Origin, Vegan Caramel Popcorn," Fresh Fruit Salad - 90 kcals per portion, 4 portions, gluten-free (Various)", Moroccan Mint Tea," Thai Curry Noodle Soup - 300 calories per portion, 4 portions, None, Thailand
"
5,400.0,180.0,250.0,100.0,300.0," Iraqi masgouf (grilled fish) with flatbread - 400 calories per portion, 2 portions, contains gluten, origin", Pita Bread with Hummus," Sushi - 250 kcals per portion, 2 portions, contains fish, soy (Japan)", Israeli salad, Lentil and Vegetable Stir-Fry
6,400.0,200.0,120.0,100.0,200.0, Vegan Breakfast Hash, Vegetable Frittata, Hummus Stuffed Mini Peppers, Israeli salad," Lentil Spinach Salad - 200 calories per portion, 4 portions, None, Various
"
7,450.0,300.0,200.0,100.0,250.0, Breakfast Tostadas, Sundried Tomato and Olive Focaccia - Approx, Fruit Kabobs with Chocolate Sauce, Israeli salad," Mediterranean stuffed eggplant - 250 calories per portion, 4 portions, none
"
8,400.0,280.0,150.0,100.0,200.0," Cheese and beef sausage omelet (400kcals per portion, 2 portions, dairy allergies, origin", Yogurt with mixed nuts and honey, Caprese skewers with balsamic glaze, Israeli salad," Stuffed Portobello Mushrooms - 200 calories/portion, 2 portions, Origin"
9,500.0,250.0,250.0,20.0,317.0, Vegan Breakfast Burrito, Apple Cinnamon Granola, Greek Spanakopita Triangles, Moroccan Mint Tea, Vegan Paella
10,400.0,230.0,240.0,20.0,150.0," Nigerian plantain porridge - 400 calories per portion, 2 portions, no allergic warnings, origin", Vegan Banana Chia Pudding," Grilled Halloumi Skewers - 240 kcals per portion, 2 portions, contains dairy (Cyprus)", Moroccan Mint Tea," Low-Calorie Veggie Stir-Fry (150 calories/portion, 3 portions) - China
"
11,300.0,300.0,180.0,100.0,300.0, Idli and Sambar, Chocolate Chia Seed Pudding, Chocolate Peanut Butter Protein Balls, Israeli salad," Tahini Chickpea Salad - 300 calories per portion, 4 portions, None, Various
"
12,300.0,350.0,200.0,20.0,200.0, Mushroom and Tomato Omelette, Homemade Veggie Pizza, Baked buffalo cauliflower bites, Moroccan Mint Tea," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
13,300.0,120.0,200.0,100.0,150.0, Egg Salad Sandwich, Cottage cheese and pineapple, Almond butter energy bites, Israeli salad, Spinach and Feta Stuffed Mushrooms
14,350.0,300.0,520.0,20.0,220.0, Vegan Breakfast Grits - 350 calories per portion | 1 portion | None | Origin, Cheese and Vegetable Quesadilla, Vegan Mac and Cheese, Moroccan Mint Tea, Lentil and Vegetable Stir Fry
15,300.0,220.0,70.0,100.0,250.0, Fruit Smoothie Bowl, Vegan Banana Walnut Bread," Watermelon and Mint Salad - 70 kcals per portion, 4 portions, no allergic warnings, origin", Israeli salad, Caprese Salad
16,300.0,250.0,250.0,100.0,250.0, Hash Brown Casserole, Greek yogurt pancakes with maple syrup, Coconut chia pudding, Israeli salad," Spinach and feta stuffed phyllo rolls - 250 calories per portion, 4 portions, contains gluten and dairy (Greece)
"
17,350.0,150.0,150.0,100.0,200.0, Chocolate Banana Smoothie Bowl, Spinach and feta stuffed mushrooms, Paprika and Cumin Spiced Roasted Chickpeas, Israeli salad," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
18,300.0,150.0,150.0,100.0,300.0," Filipino champorado (chocolate rice porridge) - 300 calories per portion, 2 portions, contains gluten, origin", Vegan Chocolate Energy Balls, Baked Vegetable Samosas, Israeli salad," Greek Spinach and Feta Pie - 300 calories/portion, 4 portions, contains gluten and dairy (Greece)
"
19,450.0,250.0,100.0,20.0,200.0, Vegan Biscuits and Gravy - 450 calories per portion | 1 portion | Contains gluten | Origin, Vegan Chocolate Oat Bars, Apple Chips, Moroccan Mint Tea," Greek Veggie Skewers - 200 calories/portion, 4 portions, Origin"
20,200.0,150.0,320.0,20.0,300.0, Spinach Tomato Feta Frittata, Almond Butter Banana Bites - Approx, Avocado toast, Moroccan Mint Tea," Mediterranean Pasta Salad - 300 calories/portion, 4 portions, Origin"
21,300.0,200.0,180.0,100.0,200.0," Thai coconut rice pudding with mango (300kcals per portion, 2 portions, origin", Zucchini Fritters, Zucchini Pizza Bites, Israeli salad," Tomato and mozzarella tart - 200 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
22,380.0,100.0,180.0,100.0,300.0," Pancake roll-ups filled with peanut butter and bananas (380 calories per portion, 2 portions, contains nuts, American origin)
"," Cinnamon Apple Chips - 100kcals per portion, 2 portions
    Origin", Roasted Cauliflower Bites, Israeli salad, Lentil and Vegetable Curry
23,400.0,250.0,250.0,100.0,250.0, Bagel with Cream Cheese and Smoked Salmon, Greek Yogurt Pancakes, Thai Mango Sticky Rice, Israeli salad, Vegan Sushi Bowl
24,320.0,120.0,180.0,100.0,250.0," Egg and cheese breakfast roll-ups (320 calories per portion, 2 portions, contains dairy, American origin)
", Banana Smoothie," Trail mix (nuts, dried fruits, seeds)", Israeli salad, Mediterranean Couscous Salad
25,350.0,220.0,180.0,100.0,250.0," Apple cinnamon quinoa breakfast bowl (350 calories per portion, 2 portions, nut-free, American origin)
", Vegan Chocolate Chip Waffles, Mini Pizza Bagels, Israeli salad," Black bean and corn salad with lime dressing – 250 calories per portion, 4 portions, vegan-friendly (origin"
