,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,100.0,140.0,250.0,400.0, Avocado Toast, Chilled Gazpacho," Roasted Beetroot Dip with Pita Bread - 140 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Mushroom Risotto," Vegan Quiche - 400 calories per portion, 4 portions, Gluten, Various
"
2,300.0,90.0,200.0,350.0,200.0, Vegan Sweet Potato Pancakes - 300 calories per portion | 1 portion | Contains gluten | Origin, Stuffed Dates, Stuffed Grape Leaves," Vegan Teriyaki Tofu Stir-Fry
Total calories per portion", Lentil Spinach Soup
3,500.0,100.0,360.0,350.0,350.0, Vegan Breakfast Burrito, Roasted Pumpkin Seeds, Vegan Mushroom Soup, Vegan Mushroom Stroganoff," Mexican Vegan Stuffed Zucchini (350 calories/portion, 2 portions) - Mexico
"
4,400.0,100.0,120.0,350.0,250.0, Vegan Breakfast Empanadas - 400 calories per portion | 1 portion | Contains gluten | Origin, Roasted Pumpkin Seeds," Roasted Chickpeas - 120 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Teriyaki Tofu Stir-Fry
Total calories per portion", Vegetable Curry
5,350.0,100.0,320.0,350.0,300.0, Vegan Breakfast Couscous - 350 calories per portion | 1 portion | Contains gluten | Origin, Roasted Almonds, Vegan Mediterranean Flatbread Pizza, Tofu and Vegetable Kebabs, Quinoa Salad
6,50.0,120.0,400.0,300.0,350.0, Vegan Breakfast Energy Balls, Hummus with Veggies, Vegan Tzatziki and Pita Bread," Quinoa Tabbouleh Salad
Total calories per portion", Vegan Chili
7,350.0,90.0,160.0,200.0,300.0, Vegan Apricot and Almond Granola Bars - 350 calories per portion | 1 portion | Contains nuts | Origin, Quinoa Energy Bites," Vegan Pesto Pasta Salad - 160 kcals per portion, 4 portions, no allergic warnings, origin"," Lentil Soup
Total calories per portion"," Roasted Vegetable Pasta - 300 calories per portion, 4 portions, Gluten, Italy
"
8,150.0,100.0,140.0,250.0,250.0, Vegan Energy Balls - 150 calories per portion | 2 portions | Contains nuts | Origin, Baked Apple Chips," Vegan Lemon Bars - 140 kcals per portion, 4 portions, no allergic warnings, origin", Mexican Quinoa Salad," Indian Vegan Masoor Dal (250 calories/portion, 4 portions) - India
"
9,350.0,120.0,200.0,400.0,220.0, Vegan Vegetable Frittata - 350 calories per portion | 1 portion | None | Origin, Vegan Energy Balls," Vegan Mango Smoothie Bowl - 200 kcals per portion, 4 portions, no allergic warnings, origin"," Greek Vegan Moussaka
Total calories per portion", Chickpea and Vegetable Stir Fry
10,350.0,80.0,120.0,300.0,320.0, Quinoa Porridge - 350 calories per portion | 1 portion | Contains nuts | Origin, Stuffed Dates," Vegan Avocado Toast - 120 kcals per portion, 4 portions, allergic warning (avocado), origin", Vegan Greek Moussaka, Chickpea Salad Sandwich
