,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,600.0,200.0,300.0,350.0, Tofu Stir Fry with Black Bean Sauce, Vietnamese Caramelized Pork, Chicken Lettuce Wraps, Korean Japchae, Vegetarian Sushi Rolls
2,400.0,400.0,120.0,450.0,300.0, Beef and Snow Pea Stir Fry," Teriyaki vegetable stir-fry with tofu and rice (400 calories per portion, 3 portions, contains soy, origin", Veggie Sushi Rolls, Chicken and Vegetable Rice Bowl, Teriyaki Tofu Stir Fry
3,400.0,400.0,120.0,450.0,350.0," Vegetable pad Thai with tofu and peanuts (400 calories per portion, 3 portions, contains peanuts and soy, origin", Vegetable Chow Mein, Veggie Sushi Rolls, Chicken and Vegetable Rice Bowl, Thai Pineapple Fried Rice
4,400.0,400.0,120.0,400.0,300.0, Beef and Broccoli Stir-Fry," Vegetarian pad Thai with tofu and vegetables (400 calories per portion, 3 portions, contains soy, origin", Veggie Sushi Rolls, Korean Kimchi Fried Rice," Vegetable stir-fry with tofu (300 calories per portion, 3 portions, contains soy, origin"
5,350.0,400.0,120.0,300.0,600.0, Korean Bibimbap, Teriyaki Salmon Bowl, Veggie Sushi Rolls, Beef and Broccoli Stir-Fry, Vietnamese Caramelized Pork
6,400.0,400.0,200.0,500.0,400.0," Vegetable pad Thai with tofu and peanuts (400 calories per portion, 3 portions, contains peanuts and soy, origin", Korean Kimchi Fried Rice, Chicken Lettuce Wraps, Teriyaki Chicken with Rice, Hawaiian BBQ Chicken
7,400.0,450.0,200.0,400.0,400.0, Teriyaki Beef Stir Fry, Chicken and Asparagus Stir Fry, Chicken Satay Skewers, Chicken and Vegetable Stir Fry, Honey Glazed Chicken Thighs
8,450.0,400.0,200.0,450.0,450.0, Chicken and Asparagus Stir Fry, Thai Basil Chicken Stir Fry, Chicken Lettuce Wraps, Chicken and Mushroom Stir Fry, Beef Stir-Fry with Broccoli
9,400.0,120.0,120.0,350.0,400.0," Vegetarian pad Thai with tofu and vegetables (400 calories per portion, 3 portions, contains soy, origin", Veggie Sushi Rolls, Veggie Sushi Rolls, Korean Bibimbap, Teriyaki Salmon
10,400.0,400.0,200.0,400.0,600.0, Veggie Burger with Avocado Mayo, Teriyaki Beef Stir Fry, Chicken Satay Skewers, Chicken and Vegetable Stir Fry, Sweet and Sour Chicken with Rice
