,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,50.0,280.0,20.0,180.0," Russian syrniki (cottage cheese pancakes) - 350 calories per portion, 2 portions, contains gluten and dairy, origin", Baked Apple Chips - Approx," Mini Cheesecakes - 280 kcals per portion, 3 portions, contains dairy (USA)", Moroccan Mint Tea, Ratatouille
2,300.0,50.0,160.0,20.0,250.0," Yogurt parfait with granola and fruit - 300 calories per portion, 1 portion, may contain gluten, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Sliced Apples with Peanut Butter, Moroccan Mint Tea, Portobello Mushroom Steaks
3,400.0,50.0,220.0,20.0,250.0," Chilean completo (hot dog with toppings) - 400 calories per portion, 1 portion, contains gluten, origin", Baked Apple Chips - Approx, Caprese Bruschetta, Moroccan Mint Tea, Cauliflower Fried Rice
4,250.0,120.0,300.0,20.0,200.0, Yogurt Parfait, Date Balls, Chicken Shawarma Wraps, Moroccan Mint Tea, Vegan Goulash
5,320.0,80.0,200.0,20.0,250.0," Spinach and mushroom breakfast wrap (320 calories per portion, 2 portions, nut-free, American origin)
", Stuffed Dates, Stuffed dates with goat cheese and walnuts, Moroccan Mint Tea," Greek Tabbouleh Salad - 250 calories/portion, 4 portions, contains gluten (Greece)

"
6,250.0,120.0,200.0,20.0,180.0," Peach and almond smoothie - 250 calories per portion, 1 portion, may contain nuts, origin", Beetroot Hummus, Vegan Thai Papaya Salad, Moroccan Mint Tea, Spinach and Mushroom Frittata
7,400.0,90.0,200.0,20.0,200.0, Vegan Breakfast Sushi - 400 calories per portion | 1 portion | Contains soy | Origin, Stuffed Dates, Almond Butter Banana Toast, Moroccan Mint Tea, Greek Salad
8,350.0,80.0,180.0,20.0,200.0, Vegan Protein Pancakes, Fresh Watermelon Slices - Approx, Granola Bars, Moroccan Mint Tea, Lentil Soup
9,250.0,100.0,120.0,20.0,200.0, Vegan Banana Bread - 250 calories per portion | 2 portions | Contains gluten | Origin, Fresh Fruit Salad, Pumpkin Hummus with Carrot Sticks, Moroccan Mint Tea, Veggie Miso Soup
10,350.0,80.0,160.0,20.0,200.0, Vegan Breakfast Quinoa Bowl - 350 calories per portion | 1 portion | Contains nuts | Origin, Fresh Watermelon Slices - Approx, Stuffed Jalapeno Poppers, Moroccan Mint Tea," Veggie Stir-Fry with Tofu - 200 calories/portion, 4 portions, contains soy (China)
"
11,400.0,100.0,360.0,20.0,250.0," Thai mango sticky rice (400kcals per portion, 2 portions, origin", Som Tam (Papaya Salad), Vegetable Tempura, Moroccan Mint Tea," Chickpea Stew - 250 calories per portion, 6 portions, Allergic to legumes, Middle East
"
12,250.0,100.0,200.0,20.0,250.0," Coconut chia pudding with mango (250kcals per portion, 2 portions)
", Baked Apple Chips, Egg Salad Lettuce Wraps, Moroccan Mint Tea, Vegan Kung Pao Tofu
13,300.0,100.0,150.0,20.0,250.0, Vegan Mango Coconut Chia Pudding - 300 calories per portion | 1 portion | None | Origin, Roasted Edamame," Stuffed Mini Bell Peppers - 150 kcals per portion, 4 portions, gluten-free (Various)", Moroccan Mint Tea," Greek Vegan Revithokeftedes (250 calories/portion, 4 portions) - Greece

Please note that the calorie counts are approximate and may vary based on specific ingredient choices and preparation methods"
14,250.0,100.0,220.0,20.0,256.0, Middle Eastern Shakshuka, Edamame, Mango Salsa with Tortilla Chips, Moroccan Mint Tea, Vegan BLT Sandwich
15,300.0,100.0,200.0,20.0,260.0," Rice porridge with cinnamon and sugar - 300 calories per portion, 2 portions, no allergic warnings, origin", Roasted Pumpkin Seeds, Banana Bread, Moroccan Mint Tea," Greek Baked Beans - 260kcals per portion, 4 portions
"
16,300.0,50.0,280.0,20.0,200.0, Vegan Berry Protein Smoothie Bowl," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Vegan Lemon Poppy Seed Muffins, Moroccan Mint Tea," Vegetable Stir-Fry - 200kcals per portion, 4 portions
"
17,350.0,90.0,180.0,20.0,250.0, Broccoli and Cheese Frittata, Quinoa Energy Bites, Oatmeal Raisin Cookies, Moroccan Mint Tea," Moroccan Lentil Salad - 250 calories/portion, 4 portions, contains nuts (Morocco)
"
18,200.0,100.0,130.0,20.0,250.0, Quinoa Breakfast Skillet, Fresh Fruit Salad, Mini Vegetable Quesadillas, Moroccan Mint Tea, Veggie Stir-Fry with Quinoa
19,300.0,120.0,180.0,20.0,200.0, Mexican Quinoa Breakfast Bowl, Vegetable Spring Rolls, Cucumber and Cream Cheese Sandwiches, Moroccan Mint Tea," Caprese Skewers - 200 calories/portion, 4 portions, contains dairy (Italy)
"
