,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,250.0,120.0,250.0,200.0, Baked Egg in Avocado, Sweet Potato and Kale Quesadilla, Cucumber Sandwiches, Palak paneer," Spinach and Feta Stuffed Mushrooms - 200 calories/portion, 4 portions, Origin"
2,300.0,300.0,280.0,300.0,350.0, Pancakes with Maple Syrup, Apple Cinnamon Muffins, Mediterranean Hummus Wrap, Black bean and vegetable enchiladas," Vegetarian bibimbap - 350 calories per portion, 4 portions, contains gluten and soy (Korea)
"
3,350.0,250.0,280.0,180.0,450.0, Vegan Protein Pancakes, Pear and Almond Tart, Greek Spinach Pie," Oven-Roasted Vegetables - 180kcals per portion, 2 portions, contains nightshade vegetables
"," Butternut Squash and Sage Pasta - 450 calories/portion, 4 portions, contains gluten (Italy)
"
4,350.0,250.0,150.0,300.0,250.0, Tomato and Basil Bruschetta Scramble, Strawberry Shortcake, Cucumber and Cream Cheese Sandwiches, Chickpea and vegetable couscous," Mexican Corn Salad - 250 calories/portion, 4 portions, contains cilantro (Mexico)
"
5,300.0,250.0,280.0,300.0,250.0, Vegan Smoothie Bowl, Bruschetta with Avocado and Feta, Mexican Street Corn, Vegetable and lentil tacos," Tofu and vegetable kabobs - 250 calories per portion, 4 portions, contains soy
"
6,400.0,150.0,150.0,420.0,300.0, Veggie English Breakfast, Vegan Chocolate Energy Balls, Caprese Salad Skewers," Veggie Curry - 420kcals per portion, 2 portions, contains legumes, nightshade vegetables (India)
"," Greek Salad - 300 calories/portion, 4 portions, Origin"
7,300.0,200.0,90.0,300.0,350.0, Mexican Quinoa Breakfast Bowl, Cinnamon Raisin Oatmeal, Greek Feta and Olive Skewers, Mexican vegetable fajitas," Chinese Egg Fried Rice - 350 calories/portion, 4 portions, contains eggs and gluten (China)
"
8,350.0,100.0,200.0,350.0,250.0, Quinoa Breakfast Bake, Rice Paper Spring Rolls, Nachos with Salsa and Cheese, Vegetable Stir-Fry," Black Bean Tacos - 250 calories/portion, 4 portions, Origin"
9,450.0,250.0,90.0,400.0,400.0, Nutella Stuffed French Toast, Tomato and Mozzarella Bruschetta, Watermelon Gazpacho," Tomato and Mozzarella Panini - 400kcals per portion, 2 portions, contains dairy
"," Caprese Quinoa Bowl - 400 calories/portion, 4 portions, contains dairy (Italy)
"
10,300.0,350.0,160.0,400.0,420.0, Greek Yogurt Parfait, Greek Yogurt Parfait with Granola and Berries, Spinach and Artichoke Dip," Caprese Stuffed Portobello Burgers - 400kcals per portion, 2 portions, contains dairy

Please note that the calorie counts provided are approximate and may vary depending on specific ingredients and preparation methods"," Caprese Panini - 420kcals per portion, 2 portions, contains dairy (Italy)
"
11,400.0,200.0,100.0,350.0,450.0, Veggie Breakfast Pizza, Greek Spinach and Feta Pie, Stuffed Dates," Sweet Potato Black Bean Burrito - 350kcals per portion, 2 portions, no allergies, Origin"," Vegetable Stroganoff - 450 calories/portion, 4 portions, contains gluten and dairy (Russia)
"
12,250.0,200.0,70.0,420.0,330.0, Stuffed French Toast, Cinnamon Raisin Oatmeal, Stuffed Cherry Tomatoes," Lentil and Vegetable Curry - 420kcals per portion, 2 portions, contains legumes, nightshade vegetables (India)
"," Greek Chickpea Salad - 330kcals per portion, 4 portions, contains legumes
"
13,350.0,150.0,140.0,350.0,350.0, Veggie Omelette, Caprese Salad, Tomato Bruschetta," Sweet Potato and Black Bean Quesadilla - 350kcals per portion, 2 portions, contains legumes, gluten (Mexico)
"," Spinach and ricotta stuffed shells - 350 calories per portion, 4 portions, contains dairy (Italy)
"
14,300.0,200.0,210.0,250.0,250.0, Acai Bowl, Vegetable Omelette, Tomato and Mozzarella Bruschetta, Vegetable chow mein," Ratatouille tart - 250 calories per portion, 6 portions, contains gluten (France)
"
15,300.0,200.0,210.0,300.0,420.0, Tomato and Basil Omelette, Stuffed Mushrooms, Veggie Pizza Bagels, Lentil curry," Caprese Panini - 420kcals per portion, 2 portions, contains dairy (Italy)
"
16,200.0,250.0,260.0,500.0,400.0, Oatmeal with Berries, Ricotta and Spinach Stuffed Shells, Greek Feta and Spinach Patties, Middle Eastern Falafel Burger," Quinoa and black bean burgers - 400 calories per portion, 4 portions, contains gluten
"
17,300.0,400.0,100.0,250.0,350.0, Banana Nut Smoothie Bowl, Breakfast Burrito Bowl, Edamame, Vegetarian sushi bowl," Greek Orzo Salad - 350 calories/portion, 4 portions, Origin"
18,300.0,250.0,150.0,200.0,300.0, Sweet Potato Hash Browns, Greek Yogurt and Berry Popsicles, Zucchini Fritters," Spinach and Artichoke Dip - 200kcals per portion, 4 portions, contains dairy
"," Lentil Bolognese - 300 calories/portion, 4 portions, Origin"
19,300.0,100.0,280.0,800.0,350.0, Vegetable Frittata, Frozen Grapes, Greek Spinach Pie, Spanakopita," Veggie Pad See Ew - 350 calories/portion, 4 portions, Origin"
