,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,100.0,190.0,180.0,400.0, Tomato Basil Quiche, Rice Cake with Hummus and Cucumber, Cucumber and Avocado Gazpacho," Oven-Roasted Vegetables - 180kcals per portion, 2 portions, contains nightshade vegetables
"," Vegetarian quinoa and black bean chili with cornbread (400 calories per portion, 4 portions, vegan-friendly, origin"
2,250.0,150.0,180.0,180.0,400.0," Syrian ka'ak (sesame bread rings) - 250 calories per portion, 1 portion, contains gluten, origin", Pumpkin Spice Latte," Rice Crispy Treats - 180 kcals per portion, 6 portions, gluten-free (USA)", Tabbouleh," Caprese Pasta - 400 calories/portion, 2 portions, Origin"
3,350.0,120.0,200.0,150.0,300.0, Vegan Savory Breakfast Muffins - 350 calories per portion | 1 portion | Contains gluten | Origin, Sautéed Brussels Sprouts, Avocado Toast, Butternut squash soup, Vegan Fajitas
4,350.0,120.0,100.0,150.0,400.0," Mexican sopes with refried beans and salsa (350kcals per portion, 2 portions, origin", Veggie Fritters," Homemade Hummus with Carrot Sticks - 100 kcals per portion, 4 portions, no allergic warnings, origin", Spinach and feta stuffed bell peppers, Chicken and Rice Soup
5,400.0,80.0,940.0,120.0,450.0, Veggie Breakfast Burrito, Apple with Cinnamon, Chickpea Curry with Rice," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Thai Vegan Pineapple Curry (450 calories/portion, 2 portions) - Thailand
"
6,50.0,150.0,90.0,180.0,320.0, Vegan Breakfast Energy Balls, Watermelon and Feta Skewers, Shrimp cocktail, Greek pumpkin and feta salad, Chickpea Salad Sandwich
7,300.0,150.0,80.0,180.0,300.0, Vegan Breakfast Stromboli, Vegan Chocolate Energy Balls, Mini spinach and mushroom quiche, Tabbouleh, Vegan Soba Noodle Stir-Fry
8,350.0,150.0,200.0,150.0,400.0, Scrambled Eggs with Smoked Salmon, Almond Butter Banana Bites - Approx, Almond butter energy bites, Spinach and cheese stuffed tomatoes, Vegan Ramen
9,350.0,150.0,180.0,150.0,400.0, Greek Yogurt with Fig Compote," Baked Sweet Potato Fries - 150kcals per portion, 2 portions
    Origin", Cranberry Orange Muffins, Greek Tzatziki Dip with Pita," Eggplant Involtini - 400 calories/portion, 4 portions, Origin"
10,300.0,100.0,190.0,150.0,300.0," Poha (Indian flattened rice dish) - 300 calories per portion, 2 portions, no allergic warnings, origin", Baked Zucchini Chips - Approx, Mini Falafel Bites, Thai Tom Yum Soup, Black Bean and Corn Salad
11,150.0,100.0,120.0,150.0,420.0, Vegan Peanut Butter Banana Smoothie, Energy Balls, Greek Yogurt Berry Parfait," Lentil Soup - 150 calories
   - Total portions"," Honey garlic chicken with broccoli and brown rice - 420 kcals per portion, 3 portions, contains gluten
"
12,500.0,150.0,200.0,150.0,400.0," Malaysian nasi lemak (coconut rice with condiments) - 500 calories per portion, 2 portions, contains gluten, origin", Cherry Tomatoes with Mozzarella - Approx, Chicken and Vegetable Spring Rolls, Gazpacho Soup," Beef and Mushroom Stroganoff - 400 calories per portion, 4 portions, contains gluten (flour), Origin"
13,250.0,100.0,200.0,150.0,450.0, Vegan Beetroot and Apple Smoothie - 250 calories per portion | 2 portions | None | Origin, Rice Paper Spring Rolls," Vegan Peanut Butter Banana Smoothie - 200 kcals per portion, 4 portions, allergic warning (peanuts), origin", Gazpacho Soup," Mexican Chicken Enchilada Casserole - 450 calories per portion, 4 portions, contains gluten (tortillas), Origin"
14,450.0,80.0,120.0,150.0,180.0, Nutella Stuffed French Toast, Apple with Cinnamon, Spiced Roasted Chickpeas, Spinach and cheese stuffed tomatoes, Tofu Stir-Fry
15,450.0,100.0,250.0,180.0,350.0, Vegan Breakfast Muffuletta, Baked Zucchini Chips - Approx, Spinach and Mushroom Stuffed Phyllo Triangles," Greek Salad - 180kcals per portion, 2 portions, contains dairy (Greece)
"," Vegan Meatballs with Marinara Sauce - 350 calories per portion, 4 portions, Gluten, Italy
"
16,350.0,150.0,320.0,150.0,400.0," Greek yogurt and berry parfait (350 calories per portion, 2 portions, contains dairy, Greek origin)
"," Caprese Skewers (Tomato, Mozzarella, Basil) - 150kcals per portion, 2 portions
    Origin", Vegan Mediterranean Flatbread Pizza, Spanish Gazpacho, Thai Green Curry
17,150.0,100.0,150.0,150.0,200.0, Vegan Breakfast Pita Pockets, Cucumber Sandwiches, Spinach and feta stuffed chicken breast," Greek Salad - 150 calories
   - Total portions"," Vegan Miso Soup - 200 calories per portion, 4 portions, Soy, Japan
"
18,250.0,150.0,120.0,150.0,350.0, Oatmeal with Fresh Berries," Mexican Salsa with Tortilla Chips - 150kcals per portion, 2 portions
    Origin", Tomato Mozzarella Skewers, Spinach and cheese stuffed tomatoes," Vegan Meatballs with Marinara Sauce - 350 calories per portion, 4 portions, Gluten, Italy
"
19,350.0,100.0,100.0,150.0,450.0, Blueberry Muffins, Cucumber and Tomato Salad, Stuffed Dates with Almond Butter, Lentil Soup, Tomato Basil Pasta
20,400.0,170.0,250.0,150.0,240.0, Turkish Borek, Sweet Potato Toast, Greek Spanakopita Triangles, Gazpacho Soup, Vegan Margherita Pizza
21,450.0,150.0,300.0,150.0,400.0," Mexican chilaquiles with salsa verde and cheese (450kcals per portion, 2 portions, origin", Apple Cinnamon Oatmeal, Mediterranean feta and olive tortilla wraps, Lentil Soup," Vegetable biryani - 400 calories per portion, 6 portions, contains nuts (India)
"
22,450.0,150.0,120.0,180.0,200.0," Spanish hot chocolate with churros (450kcals per portion, 2 portions, origin", Rice Cake with Peanut Butter, Watermelon and Feta Skewers," Spinach and Feta Stuffed Portobello Mushrooms - 180kcals per portion, 2 portions, contains dairy
", Lentil Spinach Soup
23,300.0,150.0,150.0,180.0,240.0, Chia Seed Pudding Parfait," Yogurt Parfait - 150kcals per portion, 1 portion
   Origin", Pita Bread with Baba Ganoush, Mexican corn and black bean salad," Caprese Stuffed Avocado - 240kcals per portion, 4 portions, contains dairy (Italy)
"
24,450.0,150.0,600.0,100.0,380.0, Quinoa Breakfast Bowl, Mini Caprese Skewers - Approx, Vegan Indonesian Gado Gado, Israeli salad," Lentil Stew - 380kcals per portion, 4 portions
"
25,200.0,150.0,180.0,150.0,450.0, Vegan Breakfast Tacos," Mexican Salsa with Tortilla Chips - 150kcals per portion, 2 portions
    Origin"," Antipasto skewers (olives, mozzarella, salami)", Lentil and Vegetable Soup, Baked Chicken Parmesan
26,200.0,150.0,150.0,150.0,200.0, Vegan Oatmeal Raisin Cookies - 200 calories per portion | 2 portions | Contains gluten | Origin, Rice Cake with Almond Butter - Approx," Strawberry Spinach Salad - 150 kcals per portion, 3 portions, contains dairy (USA)"," Vegetable Stir-Fry - 150kcals per portion, 3 portions", Mediterranean Stuffed Eggplant
27,350.0,100.0,120.0,180.0,350.0, Vegan Breakfast Banana Bread, Greek Salad Skewers, Hummus Stuffed Mini Peppers, Mexican black bean and corn salad," Vegetarian bibimbap - 350 calories per portion, 4 portions, contains gluten and soy (Korea)
"
28,250.0,100.0,120.0,150.0,350.0," Coconut chia pudding with mango (250kcals per portion, 2 portions)
", Fresh Juice - Approx," Vegan Almond Butter Energy Balls - 120 kcals per portion, 4 portions, allergic warning (almonds), origin"," Lentil Soup - 150 calories
   - Total portions", Vegan Pesto Pasta
29,400.0,150.0,100.0,150.0,350.0," Algerian msemen (pan fried dough) with honey - 400 calories per portion, 2 portions, contains gluten, origin", Granola Bar with Dark Chocolate Chips, Pita chips with tzatziki dip," Cucumber Avocado Salad - 150kcals per portion, 2 portions, nut-free, International
"," Greek Vegan Gemista (350 calories/portion, 2 portions) - Greece
"
30,400.0,100.0,160.0,180.0,180.0, Pancakes with Maple Syrup, Rice Paper Spring Rolls, Roasted Chickpeas," Greek Salad - 180kcals per portion, 4 portions, no allergies, Origin"," Greek Roasted Vegetables - 180kcals per portion, 4 portions
"
31,300.0,150.0,320.0,180.0,300.0, Vegan Granola - 300 calories per portion | 1 portion | Contains nuts | Origin, Chocolate Protein Balls, Vegan Raspberry Oat Bars," Ratatouille - 180kcals per portion, 2 portions, contains nightshade vegetables (France)
", Couscous Salad
32,350.0,100.0,180.0,150.0,188.0, Zucchini Fritters with Yogurt Sauce, Vegetable Crudité with Hummus, Cucumber and Avocado Sushi Rolls, Tom Yum Soup, Lentil and Vegetable Stir Fry
33,250.0,150.0,150.0,150.0,300.0, Sourdough Toast with Almond Butter, Baked Egg Cups, Roasted Garlic and Tomato Crostini, Tomato Basil Soup, Quinoa Stuffed Peppers
34,350.0,150.0,720.0,180.0,150.0," Apple cinnamon quinoa breakfast bowl (350 calories per portion, 2 portions, nut-free, American origin)
", Rainbow Veggie Skewers, Vegan Black Bean Quesadillas," Greek Salad - 180kcals per portion, 2 portions, contains dairy (Greece)
", Chickpea Salad
35,400.0,150.0,160.0,150.0,250.0, Turkish Borek, Baked Egg Cups, Roasted Eggplant Dip, Cabbage Stir-Fry, Lebanese Tabbouleh
