,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,450.0,50.0,150.0,350.0,250.0, Vegan Biscuits and Gravy - 450 calories per portion | 1 portion | Contains gluten | Origin," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Energy Balls (Dates, Nuts, and Coconut)", Lebanese Meatball Kebabs, Vegan Stuffed Bell Peppers
2,400.0,50.0,200.0,300.0,350.0," Quinoa and black bean breakfast bowl (400 calories per portion, 2 portions, nut-free, American origin)
", Baked Apple Chips - Approx, Almond Butter Banana Toast," Greek-style Quinoa Stuffed Tomatoes (300 calories per portion, serves 6, no allergies, origin"," Stuffed Portobello mushrooms with quinoa and feta - 350 kcals per portion, 3 portions, vegetarian, gluten-free
"
3,450.0,50.0,300.0,250.0,250.0," Lebanese markouk bread with za'atar and olive oil (450kcals per portion, 2 portions, origin"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Mini Beef Empanadas," Vegan Caesar Salad
Total calories per portion", Mushroom Risotto
4,500.0,50.0,70.0,250.0,250.0, Cheesy Egg and Bacon Casserole, Baked Apple Chips - Approx, Baked kale chips, Greek Gigantes Plaki, Chickpea Salad
5,300.0,50.0,70.0,250.0,300.0, Vegan Chocolate Banana Smoothie Bowl - 300 calories per portion | 1 portion | None | Origin," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Baked kale chips," Lebanese Tabbouleh Salad
Total calories per portion", Moroccan Vegetable Tagine
6,100.0,50.0,110.0,390.0,350.0, Healthy Fruit Salad," Fruit Salad - 50kcals per portion, 2 portions
   Origin"," Zucchini Fritters - 110 kcals per portion, 5 portions, contains gluten, dairy (Various)"," Tomato and Mozzarella Panini - 390kcals per portion, 1 portion, contains gluten, dairy (Italy)
"," Mexican Rice Casserole - 350 calories/portion, 4 portions, contains gluten (Mexico)
"
7,300.0,50.0,250.0,350.0,320.0, Idli and Sambar," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Greek Stuffed Grape Leaves (Dolmades)," Israeli Falafel Pita - 350 calories per portion, 2 portions, vegetarian, Israeli

", Thai Red Curry with Vegetables
8,400.0,50.0,180.0,400.0,350.0, Vegan Breakfast Casserole - 400 calories per portion | 1 portion | None | Origin," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Chocolate Peanut Butter Protein Balls, Roasted Vegetable Pasta, Vegan Butternut Squash Ravioli
9,400.0,50.0,120.0,250.0,300.0," Lebanese shakshouka with tomatoes, peppers, and eggs (400kcals per portion, 2 portions, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Cucumber Avocado Rolls, Minestrone Soup, Beetroot Burger
10,400.0,50.0,200.0,250.0,250.0, Veggie Bagel Sandwich," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Mini chicken empanadas," Mediterranean Pasta Salad - 250kcals per portion, 2 portions, lacto-vegetarian, International
"," Greek Vegan Revithokeftedes (250 calories/portion, 4 portions) - Greece

Please note that the calorie counts are approximate and may vary based on specific ingredient choices and preparation methods"
11,500.0,50.0,160.0,410.0,350.0, Cheddar and Herb Quiche," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Strawberry Parfait," Veggie Enchiladas - 410kcals per portion, 2 portions, contains gluten, dairy (Mexico)
"," Mushroom and goat cheese flatbread - 350 calories per portion, 4 portions, contains gluten and dairy
"
12,350.0,50.0,280.0,350.0,280.0, Vegan Blueberry Acai Smoothie Bowl - 350 calories per portion | 1 portion | None | Origin," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Mini Margherita Pizzas, Vegetable and tofu stir-fry with noodles," Lentil Curry - 280kcals per portion, 4 portions, contains legumes (India)
"
13,250.0,50.0,280.0,350.0,350.0, Sweet Potato Toast - 250 calories per portion | 1 portion | None | Origin," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Vegan Chocolate Mousse, Vegan Tacos, Tofu Tikka Masala
14,200.0,50.0,180.0,400.0,312.0, Vegan Matcha Chia Pudding - 200 calories per portion | 1 portion | None | Origin, Baked Apple Chips - Approx, Veggie Fritters, Vegan Korean Bimbimbap Rice Bowl, Vegan Kung Pao Tofu
15,300.0,50.0,180.0,450.0,350.0, Vegan Breakfast Bars - 300 calories per portion | 1 portion | Contains nuts | Origin," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Apple and Cheese Quesadillas, Mexican Stuffed Peppers, Vegan Butter Chicken
16,380.0,50.0,120.0,250.0,220.0," Sausage and egg breakfast burrito (380 calories per portion, 2 portions, contains eggs, American origin)
", Baked Apple Chips - Approx, Oven-Baked Sweet Potato Fries," Mexican-Style Quinoa Salad (250 calories per portion, serves 4, contains gluten, origin", Spicy Black Bean Soup
