,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,100.0,280.0,20.0,300.0, Vegan Breakfast Strata, Baked Apple Chips, Quinoa Stuffed Bell Peppers, Moroccan Mint Tea, Ratatouille Stuffed Portobello Mushrooms
2,100.0,100.0,140.0,20.0,280.0, Vegan Breakfast Rice Pudding, Cucumber Rolls with Hummus - Approx," Vegan Sweet Potato Wedges - 140 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Lentil Bolognese
3,450.0,100.0,250.0,20.0,250.0," Mexican gorditas with beans, cheese, and salsa (450kcals per portion, 2 portions, origin", Carrot Sticks with Ranch Dip, Smoked Salmon and Cream Cheese on Rye Bread, Moroccan Mint Tea, Greek Spanakopita
4,220.0,90.0,180.0,20.0,200.0," Vegetable frittata - 220 calories per portion, 4 portions, no allergic warnings, origin", Rice Paper Rolls, Mini mushroom and spinach quiches, Moroccan Mint Tea," Vegan Thai Yellow Curry - 200 calories per portion, 2 portions, may contain tofu"
5,250.0,100.0,180.0,20.0,200.0, Vegan Breakfast Bruschetta, Cucumber Sandwich, Vegetable sushi rolls, Moroccan Mint Tea, Mediterranean Stuffed Eggplant
6,350.0,100.0,100.0,20.0,220.0, Broccoli and Cheese Frittata, Boiled chickpeas, Stuffed Dates, Moroccan Mint Tea," Quinoa Salad - 220 calories per portion, 4 portions, None, Peru
"
7,450.0,120.0,250.0,20.0,300.0, Vegan Breakfast Muffuletta, Raspberry Chia Seed Jam, Mini chicken and vegetable skewers, Moroccan Mint Tea, Vegan Quesadillas
8,250.0,100.0,240.0,20.0,300.0, Cucumber Sandwich, Caprese Skewers, Spinach and Artichoke Dip, Moroccan Mint Tea," Greek Gigantes Plaki - 300 calories/portion, 4 portions, contains garlic (Greece)
"
9,400.0,70.0,180.0,20.0,220.0," Turkish sesame bagel with cream cheese and olives (400kcals per portion, 1 portion, dairy allergies, origin", Fresh Fruit Salad, Guacamole with vegetable sticks, Moroccan Mint Tea, Grilled Vegetable Skewers
10,450.0,50.0,200.0,20.0,300.0," Quiche Lorraine with bacon and cheese (450kcals per portion, 2 portions, pork allergies, origin"," Fruit Salad - 50kcals per portion, 2 portions
   Origin"," Vegan Pumpkin Pancakes - 200 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Spicy Lentil and Potato Curry
