,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,200.0,80.0,150.0,20.0,200.0, Veggie Breakfast Wrap with Tofu Scramble, Stuffed Dates," Tabbouleh Salad - 150 kcals per portion, 4 portions, contains gluten (Lebanon)", Moroccan Mint Tea," Falafel with tahini sauce - 200 calories per portion, 4 portions, contains gluten (Middle East)
"
2,350.0,50.0,250.0,20.0,250.0," Veggie breakfast wrap with scrambled eggs (350kcals per portion, 2 portions, origin", Baked Apple Chips - Approx, Chicken Lettuce Cups, Moroccan Mint Tea," Indian Aloo Gobi (250 calories/portion, 4 portions) - India
"
3,450.0,70.0,120.0,20.0,200.0," Smoked turkey and cheese sandwich (450kcals per portion, 1 portion, turkey allergies, origin", Fresh Fruit Salad, Caprese Salad Skewers, Moroccan Mint Tea," Roasted Vegetable Frittata - 200 calories/portion, 4 portions, Origin"
4,400.0,80.0,130.0,20.0,250.0, Sourdough Biscuits and Mushroom Gravy, Fresh Squeezed Orange Juice, Veggie Taco Cups, Moroccan Mint Tea," Quinoa salad with roasted butternut squash – 250 calories per portion, 4 portions, gluten-free, vegan-friendly
"
5,400.0,80.0,340.0,20.0,200.0," Chicken sausage and vegetable stir-fry (400kcals per portion, 2 portions, origin", Fresh Squeezed Orange Juice, Greek Feta and Olive Bread, Moroccan Mint Tea," Spinach and Goat Cheese Stuffed Tomatoes - 200 calories/portion, 4 portions, Origin"
6,300.0,80.0,150.0,100.0,250.0, Vegan Buckwheat Banana Pancakes - 300 calories per portion | 1 portion | Contains gluten | Origin, Fruit Salad, Blueberry Oat Muffins, Israeli salad," Grilled Chicken Caesar Salad - 250 calories per portion, 4 portions, contains dairy (cheese), Origin"
7,350.0,90.0,80.0,100.0,250.0, Quinoa Porridge with Caramelized Bananas, Fruit Salad, Shrimp ceviche, Israeli salad," Stuffed Portobello Mushrooms - 250 calories per portion, 4 portions, None, Various
"
8,100.0,80.0,90.0,100.0,225.0, Vegan Breakfast Rice Pudding," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Baked Parmesan Zucchini Bites, Israeli salad, Vegan Stuffed Mushrooms
9,300.0,90.0,480.0,20.0,200.0, Vegan French Toast, Stuffed Dates, Vegan Cucumber Sushi Rolls, Moroccan Mint Tea," Spanakopita - 200 calories per portion, 6 portions, contains gluten and dairy (Greece)
"
10,350.0,70.0,400.0,20.0,250.0, Tomato and Basil Bruschetta Scramble, Fresh Fruit Salad, Zucchini Fritters, Moroccan Mint Tea, Thai Peanut Noodles
11,300.0,60.0,180.0,20.0,200.0, Saffron Yogurt with Fruit, Cucumber and tomato salad, Sweet and Spicy Roasted Almonds, Moroccan Mint Tea," Tomato and mozzarella tart - 200 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
12,300.0,70.0,120.0,20.0,200.0," Poha (Indian flattened rice dish) - 300 calories per portion, 2 portions, no allergic warnings, origin", Kale chips," Vegan Almond Butter Energy Balls - 120 kcals per portion, 4 portions, allergic warning (almonds), origin", Moroccan Mint Tea," Stuffed Portobello Mushrooms - 200 calories/portion, 2 portions, Origin"
13,320.0,80.0,80.0,20.0,150.0," Ricotta and berry-stuffed crepes (320 calories per portion, 2 portions, contains dairy, French origin)
", Fruit Salad, Cucumber Bites, Moroccan Mint Tea," Low-Calorie Veggie Stir-Fry (150 calories/portion, 3 portions) - China
"
